Date,Open,High,Low,Close,Volume,OpenInt
20120803,1.3075,1.547,1.3075,1.3973,357009,0
20120806,1.4272,1.557,1.2875,1.5271,238832,0
20120807,1.547,1.8464,1.4572,1.8464,98855,0
20120808,1.9962,2.1958,1.7965,2.0461,165998,0
20120809,1.9862,2.1758,1.9462,2.1059,51070,0
20120810,2.096,2.096,2.0461,2.056,19252,0
20120813,2.056,2.096,2.056,2.056,15078,0
20120814,2.056,2.056,2.0061,2.0061,2357,0
20120816,2.076,2.1159,2.0461,2.1159,8589,0
20120817,2.1359,2.1459,2.1059,2.1459,5160,0
20120820,2.1958,2.2457,2.086,2.1958,1446,0
20120821,2.2956,2.2956,2.1958,2.2856,2545,0
20120822,2.2956,2.2956,2.1958,2.1958,2911,0
20120823,2.2257,2.2257,2.1359,2.1359,16183,0
20120824,2.1758,2.2756,2.1758,2.2756,4546,0
20120827,2.1958,2.2756,2.1958,2.2656,1358,0
20120828,2.2756,2.2756,2.1558,2.2357,7014,0
20120829,2.2357,2.2557,2.2357,2.2557,60,0
20120830,2.2457,2.2457,2.1459,2.1459,7920,0
20120831,2.096,2.3155,1.9462,2.2956,41274,0
20120903,2.2956,2.3255,2.2956,2.3255,2785,0
20120904,2.3255,2.3255,2.2856,2.2956,185,0
20120905,2.2956,2.2956,2.2457,2.2457,1525,0
20120906,2.2756,2.2956,2.2756,2.2856,401,0
20120907,2.2956,2.2956,2.2856,2.2856,200,0
20120910,2.2956,2.2956,2.2956,2.2956,1221,0
20120911,2.2956,2.2956,2.2856,2.2856,2891,0
20120912,2.2656,2.2656,2.1958,2.2656,511,0
20120913,2.2656,2.2656,2.076,2.1459,10054,0
20120914,2.1459,2.1459,2.1159,2.1159,1122,0
20120917,2.1159,2.1159,2.0361,2.0361,1528,0
20120918,2.0361,2.1159,1.9562,2.096,22168,0
20120919,2.066,2.1059,2.066,2.1059,1252,0
20120920,2.096,2.096,2.086,2.096,115,0
20120921,2.096,2.096,2.0061,2.096,952,0
20120924,2.1059,2.1159,2.1059,2.1159,461,0
20120925,2.1159,2.1159,2.096,2.096,50,0
20120926,2.076,2.1459,2.0261,2.1459,8917,0
20120927,2.1459,2.1459,2.1159,2.1359,872,0
20120928,2.1359,2.1858,2.1359,2.1858,200,0
20121001,2.1858,2.1858,2.1758,2.1858,326,0
20121002,2.1958,2.1958,2.1159,2.1958,9967,0
20121003,2.1958,2.2457,2.1658,2.2257,3151,0
20121004,2.2457,2.2457,2.2357,2.2457,2755,0
20121005,2.2457,2.2557,2.2357,2.2457,2605,0
20121008,2.2457,2.2956,2.1958,2.2956,1954,0
20121009,2.2956,2.2956,2.2856,2.2956,401,0
20121010,2.2956,2.2956,2.2457,2.2457,671,0
20121011,2.2656,2.3255,2.2656,2.3155,1292,0
20121012,2.3255,2.6948,2.3056,2.6948,16067,0
20121015,2.7447,2.7447,2.6948,2.7447,2726,0
20121016,2.7447,2.8944,2.7347,2.8944,7680,0
20121017,2.9942,3.2437,2.9942,3.2338,33154,0
20121018,3.2338,3.3935,3.1938,3.3935,16837,0
20121019,3.3935,3.3935,3.2637,3.2637,7615,0
20121022,3.1739,3.5931,3.1739,3.5931,20547,0
20121023,3.5931,3.7128,3.2437,3.7128,25022,0
20121024,3.6629,3.7927,3.6629,3.7727,22423,0
20121025,3.7927,3.8226,3.7827,3.8126,6064,0
