Date,Open,High,Low,Close,Volume,OpenInt
20041126,7.3218,7.467,6.8938,7.039,1495559,0
20041129,6.7868,7.0008,6.718,6.9625,350117,0
20041130,6.932,7.0695,6.8938,7.0695,315277,0
20041201,7.0695,7.2148,7.0695,7.0695,421578,0
20041202,7.0695,7.1078,7.0008,7.0695,80497,0
20041203,7.0008,7.039,6.9625,6.9625,149254,0
20041206,6.8555,6.8938,6.7485,6.7868,151887,0
20041207,6.6416,6.718,6.397,6.397,275916,0
20041208,6.2136,6.2136,5.9995,6.076,292194,0
20041209,5.9308,6.29,5.9308,6.2518,242282,0
20041210,6.183,6.3588,6.183,6.2518,102446,0
20041213,6.2518,6.4275,6.2136,6.3588,171838,0
20041214,6.397,6.4275,6.2518,6.3588,91084,0
20041215,6.29,6.7868,6.29,6.6416,298581,0
20041216,6.611,6.7485,6.611,6.718,66005,0
20041217,6.718,6.718,6.6416,6.6798,83808,0
20041220,6.7485,6.7485,6.5345,6.5728,105243,0
20041221,6.5728,6.611,6.397,6.4275,120110,0
20041222,6.3588,6.4658,6.3588,6.4275,162309,0
20041223,6.397,6.4658,6.1448,6.2518,122279,0
20041224,6.2136,6.397,6.2136,6.3588,18220,0
20041227,6.3588,6.3588,6.1066,6.1448,122086,0
20041228,6.1448,6.1448,5.9995,6.076,372499,0
20041229,6.076,6.4658,6.0378,6.3205,400210,0
20041230,6.29,6.3588,6.2136,6.3588,144680,0
20041231,6.2518,6.397,6.2518,6.29,35490,0
20050103,6.29,6.3205,6.2136,6.2518,28745,0
20050104,6.2136,6.2136,6.076,6.183,60926,0
20050105,6.1066,6.2136,6.0378,6.1448,49641,0
20050106,6.1066,6.1066,5.9995,5.9995,185977,0
20050107,5.9995,5.9995,5.8925,5.969,126040,0
20050110,5.8925,6.0378,5.7168,5.8238,108730,0
20050111,5.7856,5.8238,5.6787,5.7168,135464,0
20050112,5.6403,5.8925,5.6403,5.8925,163429,0
20050113,5.8238,5.9995,5.7856,5.9308,211314,0
20050114,5.9308,6.0378,5.862,5.969,36358,0
20050117,5.8925,5.9995,5.8925,5.969,50340,0
20050118,5.9308,5.9995,5.9308,5.969,97650,0
20050119,5.9308,6.29,5.9308,6.2518,289079,0
20050120,6.2136,6.4658,6.1448,6.4658,347856,0
20050121,6.4658,6.4658,6.2518,6.4275,207467,0
20050124,6.2518,6.397,6.2136,6.397,25176,0
20050125,6.397,6.397,6.29,6.3588,103120,0
20050126,6.29,6.4658,6.29,6.4658,121978,0
20050127,6.4658,6.504,6.3588,6.397,121899,0
20050128,6.397,6.504,6.3588,6.4275,559842,0
20050131,6.4658,6.504,6.4275,6.504,57475,0
20050201,6.504,6.7868,6.504,6.7485,315261,0
20050202,6.7868,6.7868,6.6416,6.718,150903,0
20050203,6.6798,6.6798,6.611,6.6416,86394,0
20050204,6.611,6.718,6.5345,6.718,73325,0
20050207,6.6416,6.718,6.6416,6.718,44335,0
20050208,6.6798,6.718,6.5345,6.6798,72283,0
20050209,6.5728,6.7485,6.5728,6.6798,154725,0
20050210,6.6416,6.7868,6.5728,6.7868,244917,0
20050211,6.718,6.7868,6.6798,6.7868,57861,0
20050214,6.6798,6.825,6.6798,6.7868,97603,0
20050215,6.718,6.8555,6.718,6.7868,96520,0
20050216,6.7868,6.825,6.718,6.825,96608,0
20050217,6.7868,6.825,6.718,6.7485,132333,0
20050218,6.718,6.825,6.718,6.825,343755,0
20050221,6.7868,7.1766,6.7868,7.146,438981,0
20050222,7.1078,7.146,7.0008,7.146,270618,0
20050223,7.039,7.146,7.039,7.146,236542,0
20050224,7.0695,7.146,7.0695,7.146,195855,0
20050225,7.146,7.36,7.1078,7.36,327846,0
20050228,7.2835,7.2835,6.9625,7.039,194891,0
20050301,6.932,7.146,6.8555,7.146,171044,0
20050302,6.8555,6.8555,6.183,6.5345,390732,0
20050303,6.4275,6.611,6.4275,6.5728,174176,0
20050304,6.6798,6.6798,6.4658,6.611,147638,0
20050307,6.6798,6.6798,6.4658,6.5728,34342,0
20050308,6.4658,6.504,5.9995,6.0378,134791,0
20050309,6.076,6.2518,5.8238,5.8925,295759,0
20050310,5.8925,5.969,5.7168,5.862,151791,0
20050311,5.8925,6.0378,5.7168,5.8238,223320,0
20050314,5.862,5.862,5.6787,5.7168,115056,0
