Date,Open,High,Low,Close,Volume,OpenInt
19980217,26.098,26.098,26.098,26.098,173754,0
19980218,27.343,27.343,27.343,27.343,196943,0
19980219,29.13,29.13,29.13,29.13,103982,0
19980220,29.904,29.904,29.904,29.904,99985,0
19980223,30.136,30.136,30.136,30.136,153588,0
19980224,30.059,30.059,30.059,30.059,87139,0
19980225,29.672,29.672,29.672,29.672,92507,0
19980226,29.672,29.672,29.672,29.672,110907,0
19980227,29.672,29.672,29.672,29.672,59468,0
19980302,29.904,29.904,29.904,29.904,18025,0
19980303,30.685,30.685,30.685,30.685,65124,0
19980304,30.29,30.29,30.29,30.29,45795,0
19980305,29.594,29.594,29.594,29.594,24689,0
19980306,29.904,29.904,29.904,29.904,21984,0
19980309,30.445,30.445,30.445,30.445,22190,0
19980310,31.614,31.614,31.614,31.614,29506,0
19980311,33.323,33.323,33.323,33.323,36291,0
19980312,32.627,32.627,32.627,32.627,68941,0
19980313,32.627,32.627,32.627,32.627,34770,0
19980316,33.401,33.401,33.401,33.401,71930,0
19980317,34.878,34.878,34.878,34.878,16650,0
19980318,33.477,33.477,33.477,33.477,34665,0
19980319,34.568,34.568,34.568,34.568,88831,0
19980320,34.955,34.955,34.955,34.955,54272,0
19980323,35.033,35.033,35.033,35.033,37622,0
19980324,35.805,35.805,35.805,35.805,57162,0
19980325,36.588,36.588,36.588,36.588,28225,0
19980326,38.374,38.374,38.374,38.374,32329,0
19980327,37.747,37.747,37.747,37.747,31878,0
19980330,37.129,37.129,37.129,37.129,30245,0
19980331,36.51,36.51,36.51,36.51,51306,0
19980401,36.355,36.355,36.355,36.355,34867,0
19980402,35.496,35.496,35.496,35.496,24217,0
19980406,35.496,35.496,35.496,35.496,21034,0
19980407,36.896,36.896,36.896,36.896,8477,0
19980408,37.902,37.902,37.902,37.902,50488,0
19980409,37.902,37.902,37.902,37.902,30359,0
19980414,39.225,39.225,39.225,39.225,95722,0
19980415,40.006,40.006,40.006,40.006,50343,0
19980416,41.553,41.553,41.553,41.553,52734,0
19980417,40.393,40.393,40.393,40.393,16977,0
19980420,40.779,40.779,40.779,40.779,13886,0
19980421,39.225,39.225,39.225,39.225,42882,0
19980422,40.006,40.006,40.006,40.006,56173,0
19980423,40.006,40.006,40.006,40.006,53740,0
19980424,40.006,40.006,40.006,40.006,71388,0
19980427,40.393,40.393,40.393,40.393,19374,0
19980428,39.225,39.225,39.225,39.225,30461,0
19980429,38.297,38.297,38.297,38.297,44396,0
19980430,38.451,38.451,38.451,38.451,11771,0
19980504,38.838,38.838,38.838,38.838,39735,0
19980505,38.451,38.451,38.451,38.451,25774,0
19980506,36.896,36.896,36.896,36.896,25450,0
19980507,36.819,36.819,36.819,36.819,11867,0
19980508,36.819,36.819,36.819,36.819,11994,0
19980511,36.974,36.974,36.974,36.974,9864,0
19980512,36.665,36.665,36.665,36.665,15102,0
19980513,36.115,36.115,36.115,36.115,5041,0
19980514,34.955,34.955,34.955,34.955,18228,0
19980515,34.173,34.173,34.173,34.173,11925,0
19980518,33.401,33.401,33.401,33.401,10404,0
19980519,30.685,30.685,30.685,30.685,25859,0
19980520,31.072,31.072,31.072,31.072,20038,0
19980521,32.782,32.782,32.782,32.782,16706,0
19980522,31.845,31.845,31.845,31.845,56383,0
19980525,30.918,30.918,30.918,30.918,8797,0
19980526,30.685,30.685,30.685,30.685,7900,0
19980527,28.194,28.194,28.194,28.194,19380,0
19980528,26.253,26.253,26.253,26.253,53513,0
19980529,26.33,26.33,26.33,26.33,45699,0
19980601,26.021,26.021,26.021,26.021,44672,0
19980602,25.248,25.248,25.248,25.248,58374,0
19980603,25.248,25.248,25.248,25.248,18557,0
19980604,26.717,26.717,26.717,26.717,25301,0
19980605,27.962,27.962,27.962,27.962,48526,0
19980608,28.735,28.735,28.735,28.735,15495,0
19980609,27.653,27.653,27.653,27.653,20803,0
19980610,27.731,27.731,27.731,27.731,59522,0
19980615,27.19,27.19,27.19,27.19,31606,0
19980616,27.731,27.731,27.731,27.731,16625,0
19980617,27.962,27.962,27.962,27.962,82011,0
19980618,29.208,29.208,29.208,29.208,26566,0
19980619,28.735,28.735,28.735,28.735,30210,0
19980622,29.053,29.053,29.053,29.053,4788,0
19980623,29.518,29.518,29.518,29.518,15417,0
19980624,28.349,28.349,28.349,28.349,9230,0
19980625,28.658,28.658,28.658,28.658,8116,0
19980626,28.735,28.735,28.735,28.735,19069,0
19980629,28.349,28.349,28.349,28.349,9965,0
19980630,28.504,28.504,28.504,28.504,3926,0
19980701,29.208,29.208,29.208,29.208,12261,0
19980702,30.368,30.368,30.368,30.368,12844,0
19980703,31.072,31.072,31.072,31.072,28322,0
19980706,32.627,32.627,32.627,32.627,24315,0
19980707,33.787,33.787,33.787,33.787,11283,0
