Date,Open,High,Low,Close,Volume,OpenInt
19980630,41.983,41.983,41.983,41.983,734050,0
19980701,44.654,44.654,44.654,44.654,853358,0
19980702,46.568,46.568,46.568,46.568,778821,0
19980703,44.654,44.654,44.654,44.654,1113430,0
19980706,44.654,44.654,44.654,44.654,517040,0
19980707,43.511,44.654,43.511,43.898,377474,0
19980708,43.511,43.511,41.983,41.983,997793,0
19980709,41.983,41.983,41.983,41.983,344471,0
19980710,41.983,43.133,41.983,42.747,126572,0
19980713,43.511,45.418,43.511,45.04,67126,0
19980714,45.804,46.946,45.804,45.804,211929,0
19980715,46.568,46.946,45.04,46.568,417545,0
19980716,46.568,46.568,45.804,46.182,271554,0
19980717,47.333,47.711,46.946,47.333,303663,0
19980720,47.333,49.617,47.333,49.617,164931,0
19980721,49.617,49.617,48.097,48.475,154726,0
19980722,48.853,48.853,47.333,48.097,196262,0
19980723,48.475,49.617,48.475,49.239,134923,0
19980724,48.853,49.617,48.853,49.239,93550,0
19980727,48.475,48.475,47.711,48.475,70402,0
19980728,48.097,48.097,46.946,47.333,108372,0
19980729,47.333,48.475,47.333,48.475,173918,0
19980730,48.853,48.853,48.475,48.853,79132,0
19980731,47.711,48.097,47.333,48.097,116374,0
19980803,46.568,48.097,46.568,47.333,104129,0
19980804,47.711,47.711,47.333,47.333,126115,0
19980805,45.804,46.568,45.804,46.182,174315,0
19980806,46.568,47.333,46.182,46.182,85350,0
19980807,46.568,47.333,46.568,47.333,59893,0
19980810,47.333,47.333,46.568,46.946,58116,0
19980811,46.182,46.182,44.276,44.276,157645,0
19980812,45.804,46.946,45.418,46.568,175826,0
19980813,45.04,45.04,43.898,44.654,65493,0
19980814,45.04,45.804,45.04,45.804,64487,0
19980817,45.04,46.182,45.04,45.804,88567,0
19980818,46.182,47.333,46.182,46.568,55674,0
19980819,46.182,46.946,46.182,46.946,105867,0
19980820,46.182,46.182,45.04,45.418,210526,0
19980821,45.418,45.804,44.276,45.418,223872,0
19980824,45.04,46.182,45.04,46.182,90107,0
19980825,45.804,45.804,45.04,45.04,42230,0
19980826,45.04,45.418,45.04,45.04,221905,0
19980827,44.276,44.654,43.511,44.276,477486,0
19980828,40.076,41.219,39.312,41.219,29736,0
19980831,38.934,39.698,38.548,38.934,120001,0
19980901,35.039,35.417,32.977,35.113,159993,0
19980902,37.784,39.312,37.406,39.312,152705,0
19980903,38.934,38.934,37.406,37.406,244381,0
19980904,38.17,39.312,38.17,39.312,149888,0
19980907,39.312,41.219,39.312,40.463,72691,0
19980908,39.312,40.841,39.312,40.841,235144,0
19980909,40.463,40.463,39.698,40.076,159483,0
19980910,38.934,39.698,38.934,38.934,100759,0
19980911,37.784,38.17,37.562,37.784,50012,0
19980914,38.17,38.934,38.17,38.17,128308,0
19980915,37.71,37.866,37.71,37.784,200842,0
19980916,37.71,38.096,37.71,37.784,110221,0
19980917,37.028,37.332,36.412,36.412,62938,0
19980918,36.412,37.25,36.412,37.25,30870,0
19980921,35.877,35.877,35.113,35.803,17736,0
19980922,36.108,36.642,36.108,36.264,49615,0
19980923,36.642,38.17,36.642,37.406,39531,0
19980924,38.934,38.934,38.17,38.17,46538,0
19980925,37.784,37.784,37.406,37.406,25571,0
19980928,37.784,37.784,37.028,37.028,49096,0
19980929,37.406,37.406,37.028,37.406,57601,0
19980930,35.877,35.877,35.113,35.195,13812,0
19981001,32.295,32.295,31.144,31.3,39030,0
19981002,29.082,29.468,28.934,29.312,111261,0
19981005,28.4,29.082,27.479,27.783,127147,0
19981006,27.561,27.561,26.181,27.175,77603,0
19981007,27.865,27.865,25.113,26.263,56009,0
19981008,25.113,25.113,23.362,23.666,59778,0
19981009,23.666,24.2,23.666,24.2,61812,0
19981012,25.959,26.715,25.959,26.715,90165,0
19981013,27.479,27.865,26.567,26.715,83086,0
19981014,25.959,26.945,25.959,26.715,29369,0
19981015,27.249,27.249,25.647,25.959,20916,0
19981016,28.243,29.542,28.169,29.394,101173,0
19981019,29.772,29.772,29.082,29.164,70430,0
19981020,29.394,30.462,29.008,30.462,85390,0
19981021,29.008,30.462,29.008,29.312,123172,0
19981022,28.63,29.542,28.63,29.164,60828,0
19981023,29.394,30.15,29.394,29.772,126813,0
19981026,30.536,30.536,29.698,30.232,44847,0
19981027,29.772,29.772,28.473,28.473,26050,0
19981028,27.939,27.939,27.249,27.331,39329,0
19981029,27.479,28.243,27.479,27.865,76313,0
19981030,30.15,30.15,29.312,29.468,123981,0
19981102,33.133,34.349,33.051,34.275,134185,0
19981103,33.585,33.585,31.53,31.678,55462,0
19981104,32.139,33.971,32.139,33.585,137332,0
19981105,32.443,32.517,32.064,32.369,107912,0
19981106,32.673,32.673,32.064,32.599,97919,0
19981109,32.829,32.829,31.834,32.064,95929,0
19981110,31.3,31.3,29.616,29.772,110918,0
19981112,29.008,29.394,28.778,28.934,64342,0
19981113,29.008,31.07,29.008,30.84,126432,0
19981116,31.908,33.585,31.908,33.281,66332,0
19981117,31.908,31.908,30.536,30.914,79856,0
19981118,30.306,30.914,29.542,29.928,87199,0
19981119,29.772,29.772,28.778,29.394,64490,0
19981120,29.772,30.15,29.772,29.846,36511,0
19981123,31.3,31.3,30.15,30.232,57429,0
19981124,30.536,30.536,29.008,29.542,43728,0
19981125,29.772,29.772,29.394,29.698,44129,0
19981126,29.772,29.772,29.542,29.772,21839,0
19981127,29.394,29.772,29.312,29.394,31005,0
19981130,29.394,29.394,28.778,29.238,19194,0
19981201,28.63,29.008,27.783,28.243,28267,0
19981202,28.243,29.394,28.243,29.394,46919,0
19981203,28.243,29.238,28.243,28.704,29730,0
19981204,28.243,29.394,28.243,29.008,44140,0
19981207,28.63,29.082,28.63,28.86,96706,0
19981208,29.008,29.616,29.008,29.616,21752,0
19981209,29.394,29.468,29.008,29.008,26021,0
19981210,29.008,29.616,28.778,28.778,32405,0
19981211,28.243,28.63,28.095,28.63,33535,0
19981214,28.243,28.243,27.783,27.865,13268,0
19981215,28.169,28.548,28.095,28.169,20090,0
19981216,28.326,28.4,28.169,28.326,19206,0
19981217,28.63,28.63,28.013,28.095,25793,0
19981218,28.778,28.934,28.63,28.63,30649,0
