Date,Open,High,Low,Close,Volume,OpenInt
20050513,6.76,7.14,6.76,6.95,47752,0
20050516,6.85,7.04,6.85,6.95,15129,0
20050517,6.95,7.04,6.9,7.04,19705,0
20050518,7.14,7.14,6.9,7,15399,0
20050519,6.9,7,6.9,7,8335,0
20050520,6.95,7,6.9,6.95,3040,0
20050523,7,7,6.85,6.85,16850,0
20050524,6.85,6.95,6.85,6.95,18757,0
20050525,6.85,6.9,6.8,6.9,11917,0
20050527,6.9,6.9,6.85,6.9,528,0
20050530,6.8,6.95,6.8,6.9,21665,0
20050531,6.95,6.95,6.95,6.95,5,0
20050601,6.9,6.9,6.85,6.85,4777,0
20050602,6.95,6.95,6.85,6.9,7151,0
20050603,6.9,6.95,6.9,6.95,13240,0
20050606,6.9,7,6.85,7,17411,0
20050607,7,7.04,6.95,7.04,24226,0
20050608,7,7.24,7,7.24,5850,0
20050609,7.14,7.24,7.04,7.24,1369,0
20050610,7.24,7.38,7.24,7.38,17549,0
20050613,7.43,7.43,7.14,7.38,8926,0
20050614,7.43,7.43,7.33,7.43,19295,0
20050615,7.33,7.43,7.14,7.43,6160,0
20050616,7.43,7.48,7.43,7.43,12983,0
20050617,7.48,7.58,7.48,7.53,22587,0
20050620,7.53,7.53,7.53,7.53,11079,0
20050621,7.43,7.53,7.43,7.53,8808,0
20050622,7.29,7.48,7.29,7.48,2597,0
20050623,7.09,7.43,7.09,7.24,3385,0
20050624,7.14,7.29,7.14,7.29,414,0
20050627,7.33,7.33,7.14,7.29,875,0
20050628,7.24,7.29,7.24,7.24,22554,0
20050629,7.24,7.29,7.24,7.29,135,0
20050630,7.19,7.29,7.19,7.29,933,0
20050701,7.19,7.29,7.19,7.29,725,0
20050704,7.24,7.24,7.19,7.24,1171,0
20050705,7.24,7.24,7.24,7.24,5214,0
20050707,7.19,7.19,6.85,7.04,3953,0
20050708,7.04,7.04,6.85,6.95,1855,0
20050711,6.95,7.14,6.85,7.04,4280,0
20050712,7.04,7.04,6.95,7.04,1865,0
20050713,7.04,7.14,7.04,7.14,534,0
20050714,7.14,7.14,6.95,7.09,8501,0
20050715,6.85,7.19,6.85,7.19,1761,0
20050718,7.14,7.19,6.85,7.19,2170,0
20050719,7,7.19,6.85,7.09,6308,0
20050720,6.95,6.95,6.9,6.9,1734,0
20050721,6.71,6.85,6.66,6.85,606,0
20050722,6.76,6.85,6.56,6.85,6002,0
20050725,6.71,6.9,6.66,6.66,1050,0
20050726,6.76,6.85,6.76,6.85,2971,0
20050727,6.9,6.95,6.76,6.8,3534,0
20050728,6.85,6.85,6.85,6.85,5,0
20050729,6.9,6.95,6.76,6.95,14030,0
20050801,6.8,6.9,6.76,6.9,1763,0
20050802,6.95,6.95,6.76,6.9,2407,0
20050803,6.9,6.95,6.76,6.9,456,0
20050804,6.76,6.95,6.61,6.95,4612,0
20050805,6.76,6.95,6.76,6.95,1939,0
20050808,6.76,6.95,6.76,6.95,312,0
20050809,6.76,6.9,6.76,6.9,859,0
20050810,6.76,6.95,6.76,6.95,1705,0
20050811,6.76,6.95,6.76,6.95,11897,0
20050812,6.85,6.85,6.76,6.76,3916,0
20050816,6.85,6.85,6.85,6.85,834,0
20050817,6.8,6.8,6.66,6.8,2622,0
20050818,6.76,6.76,6.66,6.76,3885,0
20050819,6.76,6.8,6.76,6.8,14559,0
20050822,6.61,6.8,6.61,6.8,16707,0
20050823,6.71,6.8,6.61,6.8,1773,0
20050824,6.8,6.8,6.22,6.76,6172,0
20050825,6.56,6.76,6.47,6.76,4493,0
20050826,6.56,6.76,6.56,6.76,11807,0
20050829,6.56,6.76,6.47,6.76,12130,0
20050830,6.61,6.66,6.56,6.66,11040,0
20050831,6.56,6.66,6.32,6.61,23559,0
20050901,6.56,6.56,6.42,6.47,2668,0
20050902,6.37,6.42,6.32,6.42,7715,0
20050905,6.37,6.37,6.27,6.32,1133,0
20050906,6.32,6.42,6.32,6.42,11363,0
20050907,6.27,6.66,6.27,6.51,10899,0
20050908,6.47,6.56,6.47,6.56,978,0
20050909,6.56,6.56,6.56,6.56,518,0
20050912,6.47,6.56,6.47,6.56,518,0
20050913,6.47,6.66,6.37,6.66,1082,0
20050914,6.61,6.61,6.56,6.61,1124,0
20050915,6.42,6.61,6.27,6.42,3735,0
20050916,6.42,6.47,6.37,6.47,568,0
20050919,6.37,6.37,6.27,6.32,927,0
20050920,6.32,6.42,6.27,6.42,1558,0
20050921,6.42,6.42,6.22,6.32,3270,0
20050922,6.13,6.18,6.13,6.18,3135,0
20050923,6.08,6.18,5.93,6.13,7748,0
20050926,6.18,6.18,6.03,6.13,3384,0
20050927,5.93,6.13,5.89,6.13,3186,0
20050928,6.03,6.18,5.93,6.18,12520,0
20050929,6.08,6.08,5.79,5.84,8599,0
20050930,5.93,6.37,5.89,6.27,51129,0
20051003,6.37,7.43,6.37,7.24,67107,0
20051004,7.19,7.24,7.04,7.14,5151,0
20051005,7.04,7.04,6.85,6.85,20231,0
20051006,6.8,6.8,6.61,6.71,14378,0
20051007,6.66,6.9,6.66,6.9,7048,0
20051010,6.85,6.85,6.76,6.76,1731,0
20051011,6.56,6.71,6.47,6.71,6835,0
20051012,6.71,6.71,6.66,6.71,1403,0
20051013,6.85,6.85,6.47,6.47,3478,0
20051014,6.37,6.61,6.27,6.61,2440,0
20051017,6.42,6.66,6.42,6.66,725,0
20051018,6.47,6.61,6.47,6.61,1157,0
20051019,6.56,6.61,6.27,6.61,8241,0
20051020,6.56,6.95,6.51,6.85,2901,0
20051021,6.56,6.76,6.27,6.56,6785,0
20051024,6.61,6.61,6.42,6.56,3251,0
20051025,6.42,6.76,6.42,6.76,1108,0
20051026,6.71,6.76,6.71,6.76,650,0
20051027,6.56,6.76,6.56,6.76,1658,0
20051028,6.76,6.76,6.76,6.76,37,0
20051031,6.71,6.71,6.66,6.71,940,0
20051102,6.51,6.76,6.51,6.76,1052,0
20051103,6.76,6.76,6.61,6.76,1977,0
20051104,6.76,7.14,6.76,6.95,15250,0
20051107,7,7,6.85,6.95,5699,0
20051108,6.9,6.9,6.76,6.76,2647,0
20051109,6.76,6.76,6.76,6.76,74,0
20051110,6.71,6.76,6.71,6.76,311,0
20051114,6.85,7.09,6.85,6.9,8150,0
20051115,7,8.01,7,8.01,335626,0
20051116,8.01,8.2,7.67,7.77,204026,0
20051117,7.77,8.01,7.77,7.91,46512,0
20051118,7.91,8.11,7.91,8.11,108272,0
20051121,8.2,8.4,8.11,8.3,107954,0
20051122,8.3,8.97,8.25,8.93,280763,0
20051123,9.07,9.55,9.07,9.31,191566,0
20051124,9.46,9.6,9.36,9.46,89432,0
20051125,9.55,9.55,9.12,9.31,53701,0
20051128,9.36,9.36,9.12,9.12,36347,0
20051129,8.88,9.07,8.78,8.97,37046,0
20051130,8.97,8.97,8.83,8.93,30661,0
20051201,8.93,9.41,8.83,9.12,80900,0
20051202,9.22,9.26,8.88,9.12,27461,0
20051205,9.31,9.31,8.93,9.17,38983,0
20051206,9.17,9.17,9.02,9.12,10927,0
20051207,9.07,9.12,8.88,9.12,25227,0
20051208,9.12,9.12,8.97,9.12,4602,0
20051209,9.02,9.12,8.97,9.12,9723,0
20051212,9.12,9.12,8.88,9.07,6482,0
20051213,9.12,9.12,9.02,9.07,20136,0
20051214,8.97,9.26,8.93,9.26,8490,0
20051215,9.02,9.12,8.93,9.12,14699,0
20051216,9.07,9.07,8.88,9.07,8362,0
20051219,9.17,9.31,8.93,8.93,11117,0
20051220,8.88,9.02,8.88,8.93,15643,0
20051221,8.93,8.93,8.78,8.93,14541,0
20051222,8.78,8.83,8.59,8.83,12157,0
20051223,8.78,8.78,8.69,8.78,6524,0
20051227,8.69,8.78,8.44,8.73,36407,0
20051228,8.73,8.88,8.69,8.88,8542,0
20051229,8.93,8.97,8.73,8.97,2803,0
20051230,8.97,9.07,8.97,9.07,2606,0
20060102,9.07,9.22,9.02,9.12,21980,0
20060103,9.22,9.26,9.07,9.17,25734,0
20060104,9.31,9.31,9.17,9.22,53685,0
20060105,9.26,9.41,9.17,9.41,73880,0
20060106,9.46,10.08,9.36,9.99,107592,0
20060109,9.94,9.99,9.65,9.94,42235,0
20060110,9.94,10.08,9.84,10.08,36373,0
20060111,10.08,10.13,9.84,9.99,20607,0
20060112,9.94,9.94,9.75,9.94,14322,0
20060113,9.89,9.89,9.7,9.84,10503,0
20060116,9.65,9.89,9.65,9.84,5931,0
20060117,9.89,9.94,9.75,9.94,15431,0
20060118,9.94,9.94,9.65,9.84,8700,0
20060119,9.65,9.8,9.65,9.8,31697,0
20060120,9.7,9.8,9.65,9.8,9061,0
20060123,9.8,9.8,9.51,9.7,12706,0
20060124,9.65,9.75,9.55,9.75,7024,0
20060125,9.6,9.75,9.6,9.75,4226,0
20060126,9.84,10.9,9.84,10.76,215794,0
20060127,10.95,10.95,10.23,10.47,87300,0
20060130,10.62,10.86,10.37,10.71,42925,0
20060131,10.62,10.66,10.28,10.62,54533,0
20060201,10.57,11.58,10.57,11.58,175746,0
20060202,12.16,12.16,11,11.05,101374,0
20060203,11.39,11.39,9.26,10.52,38270,0
20060206,10.42,10.52,10.23,10.33,8439,0
20060207,10.37,10.47,10.18,10.33,8489,0
20060208,10.42,11.05,10.33,11,85234,0
20060209,11.34,11.39,11.05,11.15,41399,0
20060210,11.15,11.19,10.47,10.57,73713,0
20060213,10.95,10.95,10.33,10.33,64571,0
20060214,10.86,10.86,10.37,10.66,83375,0
20060215,10.81,10.81,10.66,10.66,11879,0
20060216,10.76,10.81,10.62,10.66,20101,0
20060217,10.71,11.24,10.62,11.1,166429,0
20060220,11.1,11.29,10.9,11,59824,0
20060221,11.1,11.53,11,11.15,101171,0
20060222,11.87,11.87,11.48,11.48,254786,0
20060223,11.63,11.63,11.29,11.53,23331,0
20060224,11.58,11.58,11.15,11.24,73414,0
20060227,11.19,11.44,11.15,11.29,34504,0
20060228,11.29,11.34,11,11.19,22976,0
20060301,11.1,11.1,10.86,10.95,17463,0
20060302,11,11,10.62,10.86,233423,0
20060303,10.86,10.86,10.66,10.81,15733,0
20060306,10.66,10.81,10.62,10.81,203427,0
20060307,10.71,10.81,10.62,10.76,382845,0
