Date,Open,High,Low,Close,Volume,OpenInt
20091106,20.908,21.552,20.464,20.94,61630371,0
20091109,21.23,21.415,21.028,21.343,8064134,0
20091110,21.343,21.447,21.069,21.254,5684065,0
20091112,21.109,21.149,20.867,20.948,4105070,0
20091113,20.948,20.988,20.795,20.883,1977551,0
20091116,21.109,21.214,20.908,20.924,2561124,0
20091117,20.948,20.964,20.553,20.561,2374096,0
20091118,20.585,20.698,20.062,20.062,3909428,0
20091119,19.909,19.981,19.336,19.369,5008507,0
20091120,19.417,19.917,19.417,19.731,2381088,0
20091123,19.933,20.102,19.763,19.917,1126007,0
20091124,19.884,20.021,19.755,19.78,889673,0
20091125,19.78,19.884,19.659,19.739,763679,0
20091126,19.876,19.876,19.369,19.417,898169,0
20091127,19.159,19.57,18.861,19.57,1645497,0
20091130,19.659,20.053,19.618,20.053,700306,0
20091201,20.053,20.134,19.788,19.812,773339,0
20091202,19.836,19.933,19.498,19.578,1220600,0
20091203,19.659,19.723,19.425,19.651,677363,0
20091204,19.618,19.715,19.53,19.667,593350,0
20091207,19.651,19.667,19.457,19.578,444668,0
20091208,19.651,19.868,19.546,19.739,878649,0
20091209,19.586,19.707,19.296,19.32,2057278,0
20091210,19.336,19.336,19.167,19.199,1102635,0
20091211,19.336,19.336,19.256,19.312,1010822,0
20091214,19.393,19.909,19.336,19.82,2515142,0
20091215,19.917,20.199,19.788,20.094,2554663,0
20091216,20.126,20.738,20.126,20.706,6934254,0
20091217,20.706,20.787,20.199,20.384,10844217,0
20091218,20.142,20.384,20.086,20.344,4392888,0
20091221,20.344,20.352,20.126,20.166,1395141,0
20091222,20.199,20.263,19.981,20.102,1297008,0
20091223,20.062,20.102,19.747,19.747,1197423,0
20091228,19.747,19.82,19.465,19.546,1686370,0
20091229,19.578,19.812,19.538,19.731,947387,0
20091230,19.739,19.739,19.457,19.538,1032730,0
20091231,19.586,19.739,19.506,19.739,566054,0
20100104,19.699,19.9,19.538,19.61,1016616,0
20100105,19.723,19.723,19.49,19.61,2735967,0
20100106,19.643,19.643,19.498,19.554,1739728,0
20100107,19.538,19.538,19.232,19.232,1904115,0
20100108,19.336,19.498,19.216,19.248,1163958,0
20100111,19.53,19.53,19.256,19.256,2436238,0
20100112,19.336,19.344,18.732,18.853,2488047,0
20100113,18.845,19.07,18.652,18.934,2426649,0
20100114,18.958,19.054,18.684,18.732,1093620,0
20100115,18.756,18.837,18.652,18.652,1427374,0
20100118,18.797,18.797,18.571,18.772,1475837,0
20100119,18.789,19.014,18.74,19.014,1233165,0
20100120,19.063,19.417,19.014,19.369,2312203,0
20100121,19.369,19.417,19.183,19.336,889959,0
20100122,19.224,19.232,18.893,19.006,805399,0
20100125,18.813,19.054,18.772,18.877,555451,0
20100126,18.772,18.772,18.619,18.708,594683,0
20100127,18.732,19.103,18.644,19.046,3113166,0
20100128,19.135,19.256,18.934,19.079,1747702,0
20100129,18.884,19.017,18.775,19.017,1114373,0
20100201,18.917,18.917,18.797,18.813,297058,0
20100202,18.934,18.934,18.692,18.732,777625,0
20100203,18.732,18.772,18.45,18.571,1812347,0
20100204,18.531,18.66,18.41,18.49,3369841,0
20100205,18.289,18.289,17.878,18.007,4907493,0
20100208,17.975,18.088,17.201,17.483,3433319,0
20100209,17.403,17.677,17.403,17.644,1982625,0
20100210,17.725,18.047,17.5,17.54,1002221,0
20100211,17.37,17.467,16.863,16.919,2796163,0
20100212,17.564,17.757,17.242,17.564,1630837,0
20100215,17.717,17.822,17.564,17.757,701440,0
20100216,17.862,17.862,17.354,17.483,729107,0
20100217,17.926,17.926,17.282,17.363,551331,0
20100218,17.507,17.685,17.403,17.564,591317,0
20100219,17.524,17.806,17.379,17.781,531177,0
20100222,17.967,18.104,17.854,17.991,787129,0
20100223,17.926,17.943,17.733,17.773,466840,0
20100224,17.733,17.87,17.653,17.87,455400,0
20100225,17.846,17.87,17.661,17.685,327735,0
20100226,17.765,17.838,17.596,17.644,333994,0
20100301,17.725,17.725,17.443,17.556,333507,0
20100302,17.556,17.709,17.483,17.564,1284401,0
20100303,17.5,17.926,17.5,17.886,718557,0
20100304,17.878,18.289,17.846,18.007,1449392,0
20100305,18.249,18.45,18.168,18.37,1496225,0
20100308,18.531,18.531,18.297,18.45,1162181,0
20100309,18.442,18.458,18.144,18.458,1116606,0
20100310,18.378,18.893,18.37,18.853,1495721,0
20100311,18.853,19.28,18.772,19.095,1677452,0
20100312,19.175,19.272,18.95,19.119,1472206,0
20100315,18.99,19.296,18.982,19.256,847092,0
20100316,19.143,19.353,19.143,19.256,2373318,0
20100317,19.207,19.32,18.579,18.797,2102704,0
20100318,18.926,18.934,18.732,18.853,1426706,0
20100319,19.014,19.135,18.748,19.014,13687913,0
20100322,18.772,18.772,18.442,18.611,2044279,0
20100323,18.531,18.845,18.49,18.676,1216602,0
20100324,18.813,18.813,18.289,18.41,1072019,0
20100325,18.49,18.772,18.41,18.692,3052261,0
20100326,18.7,18.845,18.362,18.37,1569925,0
20100329,18.418,18.571,18.337,18.531,1307166,0
20100330,18.684,18.813,18.434,18.716,1402926,0
20100331,18.676,18.817,18.476,18.609,1322041,0
20100401,18.692,18.772,18.571,18.772,699153,0
20100406,18.756,18.813,18.611,18.772,1085225,0
20100407,18.732,18.797,18.579,18.579,3105960,0
20100408,18.571,18.692,18.41,18.41,859938,0
20100409,18.531,18.644,18.378,18.378,1126670,0
20100412,18.209,18.531,18.192,18.49,1475688,0
20100413,18.41,18.45,18.055,18.241,4603364,0
20100414,18.241,18.241,17.822,17.854,2378502,0
20100415,17.886,17.894,17.596,17.644,1607424,0
20100416,17.644,17.806,17.612,17.717,895486,0
20100419,17.644,17.677,17.467,17.58,1492708,0
20100420,17.644,17.709,17.451,17.572,956293,0
20100421,17.701,17.725,17.516,17.725,735824,0
20100422,17.725,17.765,17.604,17.604,804136,0
20100423,17.643,17.993,17.61,17.968,935211,0
20100426,17.967,18.297,17.967,18.249,804598,0
20100427,18.249,18.289,17.967,17.967,521855,0
20100428,17.725,17.725,17.443,17.604,3916539,0
20100429,17.765,17.765,17.459,17.604,1059225,0
20100430,17.685,17.843,17.526,17.793,535976,0
20100504,17.983,17.983,17.33,17.33,2261555,0
20100505,17.322,17.435,17.201,17.25,1640703,0
20100506,17.628,17.628,17.242,17.242,1268386,0
20100507,16.718,17.314,16.678,17.161,2064535,0
20100510,17.242,17.733,17.242,17.677,1221576,0
20100511,17.403,17.669,17.403,17.564,844778,0
20100512,17.524,17.798,17.403,17.564,909685,0
20100513,17.725,17.757,17.483,17.701,661328,0
20100514,17.604,17.725,17.081,17.081,1347966,0
20100517,17.121,17.193,16.791,16.919,1064676,0
20100518,17.234,17.242,16.919,17.072,562932,0
20100519,17.064,17.064,16.436,16.597,1839148,0
20100520,16.613,16.839,16.114,16.114,1716226,0
20100521,15.953,16.396,15.63,16.073,1801615,0
20100524,16.275,16.404,15.969,16.355,1453805,0
20100525,16.033,16.09,15.638,15.872,994013,0
20100526,16.041,16.637,16.033,16.363,1772320,0
20100527,16.541,17.056,16.541,16.919,2101279,0
20100528,17,17.306,16.718,17.306,1083076,0
20100531,17.085,17.152,16.96,16.994,742677,0
20100601,17.008,17.032,16.517,16.517,536292,0
20100602,16.517,17.161,16.46,17,1090184,0
20100604,17,17.081,16.557,16.581,706435,0
20100607,16.436,16.919,16.275,16.919,536630,0
20100608,16.807,17.064,16.525,16.791,1271250,0
