Date,Open,High,Low,Close,Volume,OpenInt
19951222,15.86,15.86,15.86,15.86,68706,0
19951227,17.3,17.3,17.3,17.3,56247,0
19951228,16.53,16.53,16.53,16.53,30822,0
19951229,16.72,16.72,16.72,16.72,37346,0
19960102,17.3,17.3,17.3,17.3,15752,0
19960103,16.82,16.82,16.82,16.82,33356,0
19960104,16.43,16.43,16.43,16.43,49684,0
19960105,18.07,18.07,18.07,18.07,66556,0
19960108,18.74,18.74,18.74,18.74,32363,0
19960109,19.22,19.22,19.22,19.22,60351,0
19960110,18.93,18.93,18.93,18.93,31269,0
19960111,20.18,20.18,20.18,20.18,43603,0
19960112,19.99,19.99,19.99,19.99,29940,0
19960115,19.7,19.7,19.7,19.7,16064,0
19960116,19.32,19.32,19.32,19.32,18273,0
19960117,19.89,19.89,19.89,19.89,22595,0
19960118,19.12,19.12,19.12,19.12,13777,0
19960119,18.36,18.36,18.36,18.36,21410,0
19960122,18.36,18.36,18.36,18.36,12420,0
19960123,18.16,18.16,18.16,18.16,8175,0
19960124,18.84,18.84,18.84,18.84,23439,0
19960125,19.51,19.51,19.51,19.51,15967,0
19960126,19.22,19.22,19.22,19.22,39540,0
19960129,19.03,19.03,19.03,19.03,15266,0
19960130,18.26,18.26,18.26,18.26,33434,0
19960131,19.03,19.03,19.03,19.03,60514,0
19960201,18.26,18.26,18.26,18.26,27273,0
19960202,18.93,18.93,18.93,18.93,39851,0
19960205,18.74,18.74,18.74,18.74,18569,0
19960206,18.74,18.74,18.74,18.74,25319,0
19960207,18.55,18.55,18.55,18.55,20298,0
19960208,18.84,18.84,18.84,18.84,6503,0
19960209,19.22,19.22,19.22,19.22,29785,0
19960212,21.14,21.14,21.14,21.14,55763,0
19960213,20.18,20.18,20.18,20.18,32752,0
19960214,20.18,20.18,20.18,20.18,46998,0
19960215,20.47,20.47,20.47,20.47,35833,0
19960216,20.66,20.66,20.66,20.66,21705,0
19960219,21.14,21.14,21.14,21.14,16081,0
19960220,21.14,21.14,21.14,21.14,37624,0
19960221,21.34,21.34,21.34,21.34,27841,0
19960222,23.06,23.06,23.06,23.06,49079,0
19960223,23.45,23.45,23.45,23.45,20704,0
19960226,24.41,24.41,24.41,24.41,16877,0
19960227,24.6,24.6,24.6,24.6,26399,0
19960228,24.22,24.22,24.22,24.22,15773,0
19960229,25.08,25.08,25.08,25.08,54778,0
19960301,26.43,26.43,26.43,26.43,27583,0
19960304,26.43,26.43,26.43,26.43,21132,0
19960305,26.33,26.33,26.33,26.33,23601,0
19960306,25.18,25.18,25.18,25.18,50438,0
19960307,24.89,24.89,24.89,24.89,20750,0
19960308,23.93,23.93,23.93,23.93,28332,0
19960311,23.55,23.55,23.55,23.55,21596,0
19960312,23.26,23.26,23.26,23.26,13458,0
19960313,23.26,23.26,23.26,23.26,7804,0
19960314,23.06,23.06,23.06,23.06,12724,0
19960315,23.26,23.26,23.26,23.26,9802,0
19960318,23.83,23.83,23.83,23.83,39272,0
19960319,23.93,23.93,23.93,23.93,19577,0
19960320,22.3,22.3,22.3,22.3,14800,0
19960321,22.39,22.39,22.39,22.39,11165,0
19960322,21.82,21.82,21.82,21.82,25279,0
19960325,21.72,21.72,21.72,21.72,5248,0
19960326,21.91,21.91,21.91,21.91,5430,0
19960327,22.2,22.2,22.2,22.2,7117,0
19960328,21.34,21.34,21.34,21.34,2648,0
19960329,21.62,21.62,21.62,21.62,11353,0
19960401,21.91,21.91,21.91,21.91,7210,0
19960402,21.62,21.62,21.62,21.62,5410,0
19960403,21.62,21.62,21.62,21.62,7329,0
19960404,21.91,21.91,21.91,21.91,9286,0
19960405,22.1,22.1,22.1,22.1,9093,0
19960409,21.91,21.91,21.91,21.91,10679,0
19960410,22.58,22.58,22.58,22.58,11799,0
19960411,22.78,22.78,22.78,22.78,11810,0
19960412,22.3,22.3,22.3,22.3,1951,0
19960415,22.87,22.87,22.87,22.87,10492,0
19960416,23.16,23.16,23.16,23.16,20788,0
19960417,23.16,23.16,23.16,23.16,15457,0
19960418,23.64,23.64,23.64,23.64,21255,0
19960419,23.93,23.93,23.93,23.93,43460,0
19960422,24.31,24.31,24.31,24.31,52068,0
19960423,24.99,24.99,24.99,24.99,30676,0
19960424,24.6,24.6,24.6,24.6,22863,0
19960425,24.03,24.03,24.03,24.03,19145,0
19960426,23.83,23.83,23.83,23.83,18859,0
19960429,23.83,23.83,23.83,23.83,10552,0
19960430,23.83,23.83,23.83,23.83,15293,0
19960506,24.51,24.51,24.51,24.51,13404,0
19960507,24.79,24.79,24.79,24.79,19460,0
19960508,24.89,24.89,24.89,24.89,14483,0
19960509,25.47,25.47,25.47,25.47,32079,0
19960510,24.99,24.99,24.99,24.99,14127,0
19960513,24.99,24.99,24.99,24.99,45303,0
19960514,25.18,25.18,25.18,25.18,19182,0
19960515,25.47,25.47,25.47,25.47,10640,0
19960516,26.14,26.14,26.14,26.14,20447,0
19960517,25.95,25.95,25.95,25.95,38249,0
19960520,25.47,25.47,25.47,25.47,12074,0
19960521,24.51,24.51,24.51,24.51,15914,0
19960522,23.06,23.06,23.06,23.06,28180,0
19960523,22.2,22.2,22.2,22.2,17612,0
19960524,22.68,22.68,22.68,22.68,13778,0
19960527,22.68,22.68,22.68,22.68,7628,0
19960528,22.39,22.39,22.39,22.39,5157,0
19960529,22.2,22.2,22.2,22.2,16261,0
19960530,21.43,21.43,21.43,21.43,3219,0
19960531,22.3,22.3,22.3,22.3,10741,0
19960603,22.87,22.87,22.87,22.87,26013,0
19960604,23.26,23.26,23.26,23.26,28163,0
19960605,22.97,22.97,22.97,22.97,40381,0
19960607,22.97,22.97,22.97,22.97,12147,0
