Date,Open,High,Low,Close,Volume,OpenInt
20050923,3.1918,3.2262,3.0365,3.0452,267542866,0
20050926,3.0192,3.0796,2.9761,3.0452,47498044,0
20050927,3.0796,3.1918,3.0796,3.1746,47340963,0
20050928,3.2349,3.3212,3.2003,3.2435,62068702,0
20050929,3.1918,3.3039,3.1573,3.2607,25110923,0
20050930,3.1918,3.1918,3.1054,3.1918,65782469,0
20051003,3.1831,3.1918,3.14,3.1573,11514941,0
20051004,3.1659,3.1746,3.0625,3.0625,16581628,0
20051005,3.0625,3.0796,2.9847,3.0796,25149105,0
20051006,3.0365,3.0625,3.0019,3.0365,18381549,0
20051007,3.0192,3.0365,3.0019,3.0365,10403090,0
20051010,3.0365,3.0882,3.0279,3.0279,4516832,0
20051011,3.0365,3.0625,3.0107,3.0365,6613903,0
20051012,3.0365,3.0625,2.9675,2.9675,7467522,0
20051013,2.9761,2.9761,2.7863,2.8208,32649962,0
20051014,2.8036,2.8812,2.7777,2.8727,17801991,0
20051017,2.9158,2.9244,2.8467,2.8467,9446506,0
20051018,2.8727,2.8812,2.7949,2.8208,11583802,0
20051019,2.7863,2.8122,2.7605,2.8122,13816625,0
20051020,2.8727,2.8812,2.7605,2.7777,8209413,0
20051021,2.7605,2.7691,2.7345,2.7432,15108317,0
20051024,2.7088,2.7345,2.657,2.726,20345400,0
20051025,2.7519,2.8899,2.7432,2.8899,11873895,0
20051026,2.9072,2.9675,2.8294,2.9158,16065223,0
20051027,2.8208,2.8727,2.8036,2.838,5771021,0
20051028,2.8036,2.8899,2.7863,2.8812,9084541,0
20051031,2.9072,2.9072,2.8727,2.8812,1679327,0
20051102,2.8812,2.9415,2.8812,2.9415,6711619,0
20051103,2.9502,2.9588,2.8208,2.8294,11351779,0
20051104,2.8554,2.864,2.7949,2.8036,6095420,0
20051107,2.8036,2.8036,2.7001,2.7173,8685105,0
20051108,2.7519,2.7691,2.7345,2.7345,6281494,0
20051109,2.7519,2.7605,2.726,2.7345,5075060,0
20051110,2.7519,2.7605,2.6741,2.7173,6128139,0
20051114,2.7432,2.7432,2.657,2.6741,5328810,0
20051115,2.6828,2.7173,2.657,2.7088,4571579,0
20051116,2.6914,2.6914,2.562,2.5879,24686481,0
20051117,2.5793,2.6656,2.5018,2.657,18055768,0
20051118,2.6914,2.7088,2.657,2.6914,9676023,0
20051121,2.7088,2.7088,2.6741,2.6914,4657242,0
20051122,2.7001,2.7691,2.7001,2.7173,11360822,0
20051123,2.7605,2.7691,2.6828,2.7173,10918832,0
20051124,2.7001,2.7519,2.6396,2.6656,13335768,0
20051125,2.6484,2.7001,2.631,2.6396,11627459,0
20051128,2.562,2.6224,2.562,2.5965,10647176,0
20051129,2.5793,2.726,2.5706,2.7173,19636490,0
20051130,2.7519,2.7949,2.7345,2.7777,11839603,0
20051201,2.7949,2.7949,2.7605,2.7777,7922497,0
