Date,Open,High,Low,Close,Volume,OpenInt
20111010,1,1,0.69,0.76,115460,0
20111011,0.8,0.84,0.73,0.75,58699,0
20111012,0.76,0.78,0.7,0.78,176677,0
20111013,0.73,0.8,0.73,0.8,27212,0
20111014,0.78,0.82,0.78,0.81,5258,0
20111017,0.82,0.88,0.82,0.86,33814,0
20111018,0.83,0.87,0.83,0.86,35117,0
20111019,0.86,0.89,0.86,0.88,6688,0
20111020,0.88,0.88,0.85,0.85,759,0
20111021,0.85,0.88,0.81,0.83,9287,0
20111024,0.83,0.85,0.83,0.83,7789,0
20111025,0.83,0.86,0.83,0.84,11073,0
20111026,0.87,0.89,0.83,0.87,93064,0
20111027,0.87,0.89,0.84,0.85,116381,0
20111028,0.82,0.86,0.77,0.86,17336,0
20111031,0.8,0.87,0.8,0.87,3298,0
20111102,0.81,0.87,0.81,0.86,31023,0
20111103,0.86,0.88,0.83,0.85,6501,0
20111104,0.85,0.86,0.84,0.86,41042,0
20111107,0.86,0.9,0.86,0.89,36797,0
20111108,0.88,0.99,0.88,0.97,148684,0
20111109,1.03,1.12,0.97,1.04,124489,0
20111110,1.07,1.07,0.93,1.01,20826,0
20111114,0.96,1.02,0.93,0.93,135542,0
20111115,0.9,1.03,0.9,1.03,458455,0
20111116,1.05,1.1,1.05,1.1,25642,0
20111117,1.11,1.15,1.07,1.12,67029,0
20111118,1.08,1.13,1.08,1.13,1380,0
20111121,1.05,1.1,1.04,1.06,18107,0
20111122,1.02,1.12,1.02,1.07,8192,0
20111123,1.07,1.07,1.07,1.07,2821,0
20111124,1.07,1.07,1.07,1.07,77947,0
20111125,1.07,1.07,1.03,1.06,6168,0
20111128,1,1.07,0.99,1.07,38136,0
20111129,1.06,1.08,1.04,1.08,9549,0
20111130,1.07,1.14,1.05,1.14,50639,0
20111201,1.1,1.15,1.07,1.1,74528,0
20111202,1.11,1.12,1.09,1.1,27691,0
20111205,1.1,1.15,1.1,1.15,26553,0
20111206,1.13,1.22,1.13,1.2,8893,0
20111207,1.26,1.37,1.18,1.35,27122,0
20111208,1.3,1.35,1.25,1.3,38745,0
20111209,1.29,1.31,1.26,1.3,1703,0
20111212,1.29,1.32,1.27,1.3,10672,0
20111213,1.27,1.31,1.27,1.3,5913,0
20111214,1.32,1.32,1.23,1.28,1664,0
20111215,1.29,1.29,1.25,1.29,395,0
20111216,1.23,1.29,1.23,1.28,815,0
20111219,1.29,1.3,1.2,1.27,8016,0
20111220,1.25,1.27,1.22,1.27,12169,0
20111221,1.24,1.39,1.24,1.34,21167,0
20111222,1.37,1.45,1.35,1.45,43023,0
20111223,1.47,1.56,1.46,1.54,21094,0
20111227,1.55,1.69,1.52,1.55,104374,0
20111228,1.63,1.68,1.58,1.62,702171,0
20111229,1.64,1.64,1.56,1.6,6848,0
20111230,1.61,1.61,1.56,1.58,6318,0
20120102,1.72,1.72,1.58,1.69,2971,0
20120103,1.73,1.73,1.65,1.66,10370,0
20120104,1.62,1.64,1.58,1.58,11128,0
20120105,1.59,1.63,1.46,1.59,26959,0
20120109,1.55,1.58,1.46,1.49,9957,0
20120110,1.49,1.51,1.46,1.47,15739,0
20120111,1.47,1.47,1.4,1.42,8680,0
20120112,1.49,1.5,1.49,1.5,9003,0
20120113,1.5,1.5,1.43,1.5,6371,0
20120116,1.41,1.49,1.4,1.45,1848,0
20120117,1.49,1.51,1.39,1.5,9726,0
20120118,1.5,1.5,1.5,1.5,201,0
20120119,1.52,1.52,1.42,1.46,2403,0
20120120,1.46,1.46,1.46,1.46,51,0
20120123,1.42,1.5,1.41,1.5,14639,0
20120124,1.41,1.5,1.41,1.5,5030,0
20120125,1.51,1.52,1.47,1.51,10813,0
20120126,1.51,1.51,1.43,1.46,4992,0
20120127,1.47,1.49,1.42,1.49,13701,0
20120130,1.52,1.52,1.44,1.44,5100,0
20120131,1.45,1.45,1.4,1.41,12062,0
20120201,1.43,1.45,1.41,1.45,55013,0
20120202,1.44,1.52,1.44,1.52,13807,0
20120203,1.46,1.6,1.45,1.6,30034,0
20120206,1.61,1.65,1.6,1.6,44010,0
20120207,1.6,1.63,1.54,1.6,38259,0
20120208,1.54,1.6,1.54,1.59,34065,0
20120209,1.55,1.57,1.55,1.55,4915,0
20120210,1.59,1.59,1.59,1.59,2000,0
20120213,1.57,1.57,1.5,1.5,8006,0
20120214,1.5,1.51,1.5,1.5,1910,0
20120215,1.46,1.5,1.45,1.46,27484,0
20120216,1.48,1.55,1.47,1.55,65295,0
20120217,1.58,1.58,1.58,1.58,260,0
20120220,1.57,1.59,1.57,1.58,10569,0
20120221,1.57,1.66,1.52,1.66,12591,0
20120222,1.65,1.65,1.55,1.65,14965,0
20120223,1.59,1.65,1.55,1.65,4509,0
20120224,1.67,1.67,1.56,1.64,10000,0
20120227,1.6,1.6,1.6,1.6,350,0
20120228,1.55,1.55,1.55,1.55,1300,0
20120229,1.55,1.7,1.55,1.7,10328,0
20120301,1.69,1.7,1.6,1.65,6443,0
20120302,1.71,1.71,1.65,1.65,2536,0
20120305,1.65,1.65,1.65,1.65,2080,0
20120306,1.65,1.65,1.52,1.56,5861,0
20120307,1.52,1.55,1.52,1.55,5127,0
20120308,1.55,1.56,1.55,1.55,1250,0
20120309,1.52,1.52,1.52,1.52,1860,0
20120312,1.53,1.53,1.52,1.52,11127,0
20120313,1.55,1.62,1.55,1.6,2141,0
20120314,1.59,1.65,1.55,1.65,49393,0
20120315,1.65,1.65,1.65,1.65,3000,0
20120316,1.63,1.65,1.63,1.65,3500,0
20120319,1.55,1.65,1.54,1.65,1141,0
20120322,1.56,1.7,1.55,1.7,21860,0
20120323,1.72,1.78,1.68,1.68,7405,0
20120326,1.7,1.74,1.65,1.72,20257,0
20120327,1.66,1.82,1.66,1.79,70838,0
20120328,1.71,1.82,1.71,1.8,10736,0
20120329,1.86,1.95,1.83,1.9,376938,0
20120330,1.99,2,1.87,1.9,144569,0
20120402,1.95,1.96,1.76,1.94,28080,0
20120403,1.94,1.95,1.8,1.95,14513,0
20120404,1.9,1.94,1.84,1.94,19636,0
20120405,1.94,1.94,1.89,1.93,6312,0
20120410,1.91,1.95,1.7,1.77,11939,0
20120411,1.71,1.88,1.65,1.88,8926,0
20120412,1.88,1.93,1.81,1.93,11780,0
20120413,1.92,1.92,1.89,1.91,2286,0
20120416,1.72,1.9,1.72,1.9,3574,0
20120417,1.92,1.92,1.78,1.9,4061,0
20120418,1.9,1.94,1.81,1.9,20000,0
20120419,1.94,1.94,1.84,1.9,95339,0
20120420,1.94,1.94,1.9,1.9,1620,0
20120423,1.93,1.93,1.81,1.93,4065,0
20120424,1.9,1.9,1.89,1.9,1580,0
20120425,1.93,1.93,1.93,1.93,62,0
20120426,1.82,1.9,1.8,1.9,3202,0
20120427,1.93,1.93,1.9,1.9,503,0
20120430,1.93,1.93,1.93,1.93,1235,0
20120502,1.93,1.93,1.93,1.93,4000,0
20120504,1.91,1.99,1.9,1.99,8258,0
20120507,1.97,1.97,1.69,1.96,11903,0
20120508,1.97,1.97,1.97,1.97,10,0
20120509,1.85,1.97,1.85,1.97,1352,0
20120510,1.84,1.96,1.84,1.96,1627,0
20120511,1.97,1.97,1.97,1.97,2000,0
20120514,1.96,1.99,1.83,1.99,11120,0
20120515,1.86,1.99,1.81,1.99,31824,0
20120516,1.86,1.98,1.84,1.94,19575,0
20120517,1.84,1.95,1.79,1.85,37702,0
20120518,1.88,1.9,1.57,1.9,25671,0
20120521,1.71,1.85,1.71,1.85,208655,0
20120522,1.85,1.88,1.81,1.85,228469,0
20120523,1.78,1.89,1.78,1.85,53503,0
20120524,1.81,1.85,1.8,1.85,3180,0
20120525,1.85,1.88,1.85,1.88,1978,0
20120528,1.89,1.89,1.87,1.89,2107,0
20120529,1.83,1.91,1.83,1.91,1793,0
20120530,1.85,1.91,1.85,1.91,4302,0
20120531,1.8,1.95,1.8,1.95,5051,0
20120601,1.95,1.99,1.91,1.99,34231,0
20120604,2.02,2.2,2,2.2,31905,0
20120605,2.2,2.28,2.15,2.2,28516,0
20120606,2.19,2.2,2.06,2.18,7245,0
20120608,2.01,2.14,2.01,2.09,28027,0
20120611,2.05,2.09,1.92,2.07,19312,0
20120612,1.99,2.15,1.98,2.15,4517,0
20120613,2.02,2.14,2.02,2.12,7229,0
20120614,2.14,2.15,2.03,2.15,22155,0
20120615,2.05,2.12,2,2,23659,0
20120618,1.99,2,1.91,2,17236,0
20120619,2.12,2.12,1.88,1.9,24223,0
20120620,1.84,1.98,1.84,1.97,6937,0
20120621,1.88,1.97,1.88,1.97,2343,0
20120622,1.97,2.08,1.97,2.08,14241,0
20120625,2.08,2.15,1.97,2.05,20716,0
20120626,2.11,2.11,2.03,2.06,14409,0
20120627,2.13,2.13,2.04,2.05,20502,0
20120628,2.05,2.14,2.02,2.11,9379,0
20120629,2.18,2.18,2.18,2.18,5000,0
20120702,2.18,2.2,2.05,2.05,6406,0
20120703,2.17,2.17,2.08,2.16,209008,0
20120704,2.17,2.23,2.09,2.2,19354,0
20120705,2.2,2.2,2.19,2.2,25065,0
20120706,2.19,2.2,2.12,2.19,8281,0
20120709,2.08,2.19,2.08,2.19,3510,0
20120710,2.1,2.15,2.07,2.15,91403,0
20120711,2.13,2.13,2.13,2.13,50,0
20120712,2.06,2.14,2.06,2.14,4426,0
20120713,2.14,2.14,2.09,2.14,3251,0
20120716,2.1,2.13,2.03,2.03,6444,0
20120717,2,2.07,1.98,2.07,1801,0
20120718,2.1,2.1,2.04,2.1,704,0
20120719,2.03,2.14,2.03,2.14,198,0
20120720,2.03,2.09,2.03,2.09,2616,0
20120723,2.03,2.12,1.89,2.12,14810,0
20120724,1.93,2.08,1.93,2.02,1775,0
20120725,2.08,2.08,1.82,1.84,42221,0
20120726,1.8,1.84,1.67,1.84,34337,0
20120727,1.66,1.8,1.66,1.77,5667,0
20120730,1.8,2,1.72,2,12023,0
20120731,1.9,2,1.81,2,9157,0
20120801,1.88,1.98,1.86,1.88,8106,0
20120802,1.94,1.95,1.85,1.95,4712,0
20120803,1.93,2.03,1.85,2.03,6566,0
20120806,2.03,2.03,1.9,1.99,13205,0
20120807,1.92,2,1.85,1.9,19971,0
20120808,1.85,2,1.85,2,7236,0
20120809,1.92,2.02,1.91,2.02,6156,0
20120810,2.02,2.03,1.93,2.03,12479,0
20120813,1.94,2,1.93,2,4780,0
20120814,1.94,2,1.94,2,1559,0
20120816,1.93,2.08,1.93,2.08,5182,0
20120817,2,2.05,1.93,2.01,6348,0
20120820,1.94,2.01,1.85,1.87,12700,0
20120821,1.87,1.96,1.85,1.9,16846,0
20120822,1.99,1.99,1.85,1.9,1697,0
20120823,1.97,1.97,1.84,1.89,12693,0
20120824,1.98,2,1.87,2,10009,0
20120827,1.99,2,1.99,2,2951,0
20120828,1.99,1.99,1.92,1.99,753,0
20120829,1.93,1.98,1.88,1.9,21156,0
20120830,1.87,1.94,1.87,1.9,2205,0
20120831,1.99,2.1,1.89,2.1,76510,0
20120903,1.98,2.09,1.93,2,23243,0
20120904,2,2,1.95,2,3300,0
20120905,1.95,2.01,1.93,1.99,1493,0
20120906,2.03,2.03,1.92,2,2450,0
20120907,2.02,2.02,1.96,2,919,0
20120910,1.93,2.06,1.93,2.06,2156,0
20120911,2,2.05,1.97,2.05,2851,0
20120913,2,2.05,2,2.03,7536,0
20120914,2.03,2.06,1.95,2.03,5796,0
20120917,2.04,2.04,1.83,1.92,49779,0
20120918,1.87,1.9,1.87,1.88,560,0
20120919,1.88,1.95,1.87,1.95,1602,0
20120920,1.9,2.02,1.85,2.02,21686,0
20120921,2.02,2.02,1.96,1.97,4479,0
20120924,2,2,2,2,592,0
20120925,1.95,2,1.95,2,600,0
20120926,1.95,1.95,1.93,1.93,2800,0
20120927,1.94,1.94,1.94,1.94,1990,0
20120928,1.98,1.98,1.94,1.94,6330,0
20121001,1.94,1.94,1.94,1.94,76,0
20121002,1.94,1.94,1.93,1.93,1624,0
20121003,1.96,1.96,1.88,1.88,6919,0
20121004,1.88,1.88,1.88,1.88,1781,0
20121005,1.89,1.9,1.86,1.87,25472,0
20121008,1.85,1.87,1.83,1.83,11262,0
20121009,1.8,1.9,1.77,1.9,3417,0
20121010,1.89,1.89,1.89,1.89,1870,0
20121011,1.82,1.87,1.82,1.87,4140,0
20121012,1.85,1.85,1.83,1.84,900,0
20121015,1.84,1.84,1.83,1.83,1647,0
20121016,1.83,1.89,1.79,1.89,1533,0
20121017,1.85,1.87,1.85,1.87,394,0
20121018,1.85,1.86,1.82,1.86,61723,0
20121019,1.86,1.87,1.79,1.87,690,0
20121022,1.83,1.89,1.8,1.83,915,0
20121026,1.82,1.82,1.82,1.82,5495,0
20121029,1.81,1.82,1.81,1.81,2507,0
20121030,1.81,1.82,1.81,1.81,11612,0
20121031,1.81,1.81,1.81,1.81,500,0
20121102,1.81,1.89,1.81,1.89,7367,0
20121105,1.85,1.85,1.8,1.8,3818,0
20121106,1.85,1.85,1.85,1.85,2545,0
20121107,1.82,1.88,1.8,1.88,50700,0
20121109,1.85,1.85,1.85,1.85,2000,0
20121112,1.82,1.82,1.82,1.82,600,0
20121113,1.66,1.85,1.66,1.8,1816,0
20121114,1.68,1.85,1.68,1.85,45,0
20121115,1.85,1.85,1.73,1.85,12225,0
20121120,1.85,1.86,1.73,1.86,13004,0
20121121,1.85,1.86,1.8,1.86,10700,0
20121122,1.76,1.85,1.76,1.8,3190,0
20121123,1.8,1.82,1.8,1.82,210000,0
20121126,1.8,1.85,1.8,1.85,5162,0
20121127,1.8,1.85,1.8,1.85,14064,0
20121128,1.83,1.83,1.82,1.82,4741,0
20121129,1.83,1.87,1.8,1.87,1713,0
20121130,1.87,2.01,1.82,2.01,305576,0
20121203,2,2,1.93,1.97,58982,0
20121204,1.96,2.05,1.96,2.01,429520,0
20121205,2.01,2.06,2,2.05,108140,0
20121206,1.93,2.07,1.93,2.05,217587,0
20121207,1.92,2.08,1.92,2.08,10603,0
20121210,1.97,2.08,1.97,2.05,22804,0
20121211,1.98,2.17,1.98,2.1,137067,0
20121212,2.15,2.2,2.09,2.16,129578,0
20121213,2.16,2.16,2.07,2.11,53658,0
20121214,2.08,2.14,2.08,2.11,21566,0
20121217,2.1,2.13,2.03,2.07,71433,0
20121218,2.03,2.14,2.03,2.04,94605,0
20121219,2.04,2.09,2.04,2.04,56199,0
20121220,2.04,2.08,1.91,2,166631,0
20121221,1.92,2.1,1.92,1.95,70177,0
20121227,1.95,2,1.83,1.88,65585,0
20121228,1.88,1.9,1.83,1.85,130651,0
20130102,1.85,2,1.74,1.88,46011,0
20130103,2,2,1.83,1.87,2035,0
20130104,1.98,2.02,1.89,2.02,212220,0
20130107,2.02,2.02,1.93,1.94,21999,0
20130108,1.9,1.97,1.88,1.9,145033,0
20130109,1.89,1.98,1.89,1.9,31622,0
20130110,1.98,2.02,1.98,2.02,1426,0
20130111,1.92,2.02,1.92,2.02,17544,0
20130114,2.01,2.04,2.01,2.01,3504,0
20130115,2,2.02,1.97,1.97,3550,0
20130116,1.97,2,1.93,2,160758,0
20130118,2.03,2.03,1.92,2,11494,0
20130121,1.95,1.96,1.95,1.95,39872,0
20130122,1.96,1.96,1.95,1.95,7200,0
20130123,2.04,2.04,1.92,1.92,3608,0
20130124,1.88,1.93,1.87,1.9,12930,0
20130125,1.94,1.96,1.9,1.92,183970,0
20130128,1.92,1.93,1.92,1.93,395,0
20130129,1.91,2.02,1.91,2.02,3867,0
20130130,1.91,2,1.91,2,28213,0
20130131,1.96,2.1,1.96,2.1,26582,0
20130201,2.03,2.2,2.03,2.09,863895,0
20130204,2.15,2.15,2.1,2.1,3750,0
20130205,2.05,2.14,2.05,2.1,299,0
20130206,2.13,2.19,2.13,2.16,54047,0
20130207,2.19,2.19,2.06,2.11,76667,0
20130208,2.18,2.18,2.12,2.18,240,0
20130211,2.18,2.18,2.02,2.18,3369,0
20130212,2.09,2.19,2.09,2.18,1452,0
20130213,2.16,2.18,2.16,2.18,384,0
20130214,2.12,2.18,2.03,2.17,9563,0
20130215,2.11,2.16,2.11,2.16,11263,0
20130218,2.14,2.3,2.13,2.18,85079,0
20130219,2.25,2.25,2.2,2.2,5053,0
20130220,2.17,2.2,2.15,2.18,23759,0
20130221,2.15,2.16,2.13,2.15,43306,0
20130222,2.06,2.2,2.06,2.2,14432,0
20130225,2.2,2.3,2.2,2.28,29595,0
20130226,2.35,2.35,2.16,2.29,34340,0
20130227,2.2,2.51,2.2,2.3,56413,0
20130228,2.25,2.45,2.14,2.2,75458,0
20130301,2.25,2.29,2.01,2.08,46006,0
20130304,2.09,2.09,2.03,2.04,14540,0
20130305,2.14,2.15,2.05,2.09,9209,0
20130306,2.06,2.09,2.03,2.06,13881,0
20130307,2.06,2.15,2.04,2.04,2002,0
20130308,2.04,2.05,1.94,1.97,16276,0
20130311,1.95,2,1.81,1.89,31909,0
20130312,1.91,1.99,1.89,1.99,2387,0
20130313,1.95,1.99,1.87,1.98,8491,0
20130314,1.98,1.99,1.98,1.99,390,0
20130315,1.98,1.99,1.95,1.99,3669,0
20130318,1.98,2.01,1.98,2.01,10025,0
20130319,2,2.01,1.99,1.99,10850,0
20130320,1.98,2.02,1.98,1.99,9490,0
20130321,2.05,2.05,1.97,2.04,2011,0
20130322,2,2.05,1.95,2,7547,0
20130325,1.91,2.05,1.91,2.05,1202,0
20130326,2,2.06,1.9,2.04,2555,0
20130327,2.05,2.06,1.94,1.94,3109,0
20130328,1.94,2.05,1.84,1.87,30860,0
20130402,1.88,1.9,1.86,1.87,41969,0
20130403,1.87,1.87,1.85,1.86,3339,0
20130404,1.86,1.89,1.86,1.89,4065,0
20130405,1.88,1.88,1.83,1.87,1788,0
20130408,1.82,1.82,1.74,1.8,5547,0
20130409,1.79,1.8,1.77,1.8,20343,0
20130410,1.8,1.82,1.8,1.8,3250,0
20130411,1.8,1.84,1.8,1.83,162855,0
20130412,1.85,1.98,1.85,1.95,13904,0
20130415,1.97,2,1.95,1.95,124626,0
20130417,1.99,2.04,1.91,2,663905,0
20130418,1.9,2.01,1.86,2,260811,0
20130419,2,2.08,2,2.08,12603,0
20130422,2.07,2.2,2.07,2.2,22460,0
20130423,2.19,2.29,2.19,2.29,25639,0
20130424,2.15,2.35,2.15,2.35,27306,0
20130425,2.35,2.5,2.35,2.47,61849,0
20130426,2.35,2.5,2.35,2.49,25079,0
20130429,2.5,2.5,2.3,2.46,2457,0
20130430,2.46,2.46,2.46,2.46,25,0
20130502,2.35,2.4,2.35,2.4,6150,0
20130506,2.35,2.42,2.35,2.38,32016,0
20130507,2.38,2.43,2.38,2.43,30936,0
20130508,2.37,2.43,2.37,2.43,9411,0
20130509,2.39,2.43,2.38,2.4,6528,0
20130510,2.38,2.4,2.38,2.4,5462,0
20130513,2.4,2.46,2.36,2.46,27293,0
20130514,2.52,2.7,2.5,2.69,133935,0
20130515,2.7,2.85,2.7,2.84,52048,0
20130516,2.87,3.15,2.85,2.92,113902,0
20130517,3.18,3.18,2.93,3.15,23342,0
20130520,3.16,3.35,3,3.24,65999,0
20130521,3.05,3.29,3.05,3.29,2600,0
20130522,3.34,3.34,3.16,3.29,7948,0
20130523,3.17,3.31,3.17,3.31,8611,0
20130524,3.21,3.33,3.21,3.33,14134,0
20130527,3.14,3.35,3.14,3.34,2338,0
20130528,3.26,3.35,3.23,3.34,10884,0
20130529,3.23,3.34,3.23,3.34,1712,0
20130531,3.24,3.33,3.24,3.25,1139,0
20130603,3.16,3.25,2.88,3.25,19655,0
20130604,3.02,3.3,3.02,3.3,45148,0
20130605,3.25,3.3,3.19,3.25,209682,0
20130606,3.25,3.25,3.21,3.25,207899,0
20130607,3.27,3.27,3.05,3.25,7022,0
20130610,3.27,3.27,3.23,3.26,4157,0
20130611,3.26,3.26,3.23,3.23,52,0
20130612,3.23,3.41,3.03,3.33,137274,0
20130613,3.33,3.39,3.33,3.34,18773,0
20130614,3.37,3.37,3.32,3.32,1837,0
20130617,3.21,3.33,3.12,3.33,16600,0
20130618,3.11,3.35,3.11,3.35,9501,0
20130619,3.35,3.37,3.13,3.35,1995,0
20130620,3.19,3.35,3.19,3.35,11982,0
20130621,3.19,3.34,3.18,3.18,2205,0
20130624,3.3,3.38,3.21,3.21,232,0
20130625,3.3,3.35,3.3,3.35,18,0
20130626,3.35,3.35,3.34,3.35,7410,0
20130627,3.3,3.34,3.11,3.34,4535,0
20130628,3.21,3.31,3.11,3.31,5800,0
20130701,3.06,3.34,3.06,3.34,3601,0
20130702,3.21,3.33,3.21,3.32,3289,0
20130703,3.35,3.35,3.27,3.27,861,0
20130704,3.35,3.35,3.07,3.32,2240,0
20130705,3.32,3.32,3.16,3.3,2155,0
20130708,3.2,3.2,3.12,3.2,506,0
20130709,3.07,3.3,3.07,3.3,92,0
20130710,3.05,3.29,3.05,3.29,1893,0
20130711,3.08,3.28,3.08,3.28,5564,0
20130712,3.12,3.25,3.11,3.24,3008,0
20130715,3.06,3.27,3.06,3.11,10812,0
20130716,3.2,3.2,3.2,3.2,100,0
20130717,3.06,3.2,3.06,3.2,2101,0
20130718,3.07,3.23,3.07,3.08,5696,0
20130719,3.07,3.21,3.07,3.21,6423,0
20130722,3.06,3.2,3.06,3.2,1575,0
20130723,3.06,3.2,3.06,3.2,2524,0
20130724,3.1,3.19,3.1,3.12,3355,0
20130725,3.14,3.23,3.14,3.23,1271,0
20130726,3.06,3.21,3.05,3.21,1665,0
20130729,3.06,3.22,3.06,3.22,5012,0
20130730,3.18,3.3,3.18,3.3,5675,0
20130731,3.3,3.45,3.09,3.45,51948,0
20130801,3.4,3.55,3.25,3.41,6496,0
20130802,3.4,3.5,3.4,3.4,305,0
20130805,3.5,3.5,3.41,3.48,821,0
20130806,3.5,3.5,3.24,3.49,839,0
20130807,3.6,3.6,3.37,3.55,2383,0
20130808,3.5,3.52,3.41,3.42,4463,0
20130809,3.35,3.45,3.24,3.3,2620,0
20130812,3.3,3.4,3.17,3.4,2325,0
20130813,3.28,3.45,3.25,3.43,1659,0
