Date,Open,High,Low,Close,Volume,OpenInt
19990810,6.2943,6.2943,6.2943,6.2943,38776,0
19990811,6.6056,6.6056,6.6056,6.6056,45815,0
19990812,7.2366,7.2366,7.2366,7.2366,27411,0
19990813,7.8678,7.8678,7.8678,7.8678,48199,0
19990816,7.7078,7.7078,7.7078,7.7078,16569,0
19990817,6.959,6.959,6.959,6.959,0,0
19990818,6.37,6.37,6.37,6.37,30444,0
19990819,6.6056,6.6056,6.6056,6.6056,16431,0
19990820,6.4457,6.4457,6.4457,6.4457,3940,0
19990823,6.2943,6.2943,6.2943,6.2943,10774,0
19990824,6.412,6.412,6.412,6.412,17790,0
19990825,6.2943,6.2943,6.2943,6.2943,4613,0
19990826,6.2943,6.2943,6.2943,6.2943,6711,0
19990827,6.2101,6.2101,6.2101,6.2101,5133,0
19990830,6.2943,6.2943,6.2943,6.2943,2243,0
19990831,6.2101,6.2101,6.2101,6.2101,11498,0
19990901,6.2943,6.2943,6.2943,6.2943,5075,0
19990902,6.2101,6.2101,6.2101,6.2101,2353,0
19990903,6.1343,6.1343,6.1343,6.1343,1855,0
19990906,6.1343,6.1343,6.1343,6.1343,4482,0
19990907,6.0586,6.0586,6.0586,6.0586,5663,0
19990908,5.8988,5.8988,5.8988,5.8988,4266,0
19990909,5.5874,5.5874,5.5874,5.5874,12915,0
19990910,5.621,5.621,5.621,5.621,12362,0
19990913,5.6632,5.6632,5.6632,5.6632,9869,0
19990914,5.1919,5.1919,5.1919,5.1919,1461,0
19990915,5.1919,5.1919,5.1919,5.1919,6666,0
19990916,4.7964,4.7964,4.7964,4.7964,8957,0
19990917,4.7207,4.7207,4.7207,4.7207,14850,0
19990920,4.7207,4.7207,4.7207,4.7207,8420,0
19990921,4.3251,4.3251,4.3251,4.3251,6981,0
19990922,3.896,3.896,3.896,3.896,12737,0
19990923,4.0139,4.0139,4.0139,4.0139,18420,0
19990924,4.0896,4.0896,4.0896,4.0896,18688,0
19990927,4.1653,4.1653,4.1653,4.1653,11619,0
19990928,4.3251,4.3251,4.3251,4.3251,9505,0
19990929,4.2073,4.2073,4.2073,4.2073,4045,0
19990930,3.9297,3.9297,3.9297,3.9297,2125,0
19991001,4.0475,4.0475,4.0475,4.0475,1691,0
19991004,3.9297,3.9297,3.9297,3.9297,1465,0
19991005,4.0139,4.0139,4.0139,4.0139,8407,0
19991006,4.0896,4.0896,4.0896,4.0896,2542,0
19991007,4.1653,4.1653,4.1653,4.1653,5893,0
19991008,4.0139,4.0139,4.0139,4.0139,1518,0
19991011,4.0896,4.0896,4.0896,4.0896,5715,0
19991012,4.0139,4.0139,4.0139,4.0139,1274,0
19991013,3.9297,3.9297,3.9297,3.9297,8823,0
19991014,3.9297,3.9297,3.9297,3.9297,4322,0
19991015,3.9297,3.9297,3.9297,3.9297,5762,0
19991018,3.5425,3.5425,3.5425,3.5425,5111,0
19991019,3.6184,3.6184,3.6184,3.6184,1401,0
19991020,3.7783,3.7783,3.7783,3.7783,2542,0
19991021,4.0139,4.0139,4.0139,4.0139,12823,0
19991022,4.0139,4.0139,4.0139,4.0139,16490,0
19991025,4.0896,4.0896,4.0896,4.0896,9237,0
19991026,3.9718,3.9718,3.9718,3.9718,3847,0
19991027,3.9718,3.9718,3.9718,3.9718,2225,0
19991028,4.0475,4.0475,4.0475,4.0475,2029,0
19991029,4.0139,4.0139,4.0139,4.0139,634,0
19991102,3.9718,3.9718,3.9718,3.9718,1397,0
