Date,Open,High,Low,Close,Volume,OpenInt
19980522,16.43,16.43,16.43,16.43,31617,0
19980525,18.08,18.08,18.08,18.08,14162,0
19980526,19.72,19.72,19.72,19.72,0,0
19980527,21.55,21.55,21.55,21.55,19650,0
19980528,19.54,19.54,19.54,19.54,15386,0
19980529,18.08,18.08,18.08,18.08,4151,0
19980601,18.08,18.08,18.08,18.08,7180,0
19980602,16.43,16.43,16.43,16.43,3349,0
19980603,17.53,17.53,17.53,17.53,4438,0
19980604,17.89,17.89,17.89,17.89,2486,0
19980605,17.53,17.53,17.53,17.53,1738,0
19980608,17.89,17.89,17.89,17.89,3403,0
19980609,16.1,16.1,16.1,16.1,742,0
19980610,15.34,15.34,15.34,15.34,596,0
19980615,14.61,14.61,14.61,14.61,3970,0
19980616,14.24,14.24,14.24,14.24,5879,0
19980617,15.34,15.34,15.34,15.34,1333,0
19980618,16.87,16.87,16.87,16.87,1996,0
19980619,16.98,16.98,16.98,16.98,5471,0
19980622,16.98,16.98,16.98,16.98,1374,0
19980623,17.53,17.53,17.53,17.53,3576,0
19980624,18.26,18.26,18.26,18.26,2313,0
19980625,18.26,18.26,18.26,18.26,1601,0
19980626,18.26,18.26,18.26,18.26,1555,0
19980629,18.26,18.26,18.26,18.26,1341,0
19980630,19.35,19.35,19.35,19.35,2738,0
19980701,18.99,18.99,18.99,18.99,12087,0
19980702,19.35,19.35,19.35,19.35,2272,0
19980703,19.54,19.54,19.54,19.54,2902,0
19980706,19.72,19.72,19.72,19.72,952,0
19980707,19.72,19.72,19.72,19.72,3286,0
19980708,19.17,19.17,19.17,19.17,1100,0
19980709,18.62,18.62,18.62,18.62,879,0
19980710,18.44,18.44,18.44,18.44,1667,0
19980713,18.26,18.26,18.26,18.26,846,0
19980714,18.26,18.26,18.26,18.26,1900,0
19980715,18.26,18.26,18.26,18.26,6405,0
19980716,18.26,18.26,18.26,18.26,2793,0
19980717,18.44,18.44,18.44,18.44,3324,0
