Date,Open,High,Low,Close,Volume,OpenInt
20040227,1.9923,2.0271,1.9049,1.934,2980463,0
20040301,1.9867,1.9979,1.9396,1.9631,1327562,0
20040302,1.98,2.0551,1.9519,2.0203,815447,0
20040303,2.0203,2.0383,1.9923,2.0091,296263,0
20040304,2.0203,2.0203,1.9744,1.98,206459,0
20040305,1.9744,1.9923,1.9519,1.9744,564144,0
20040308,2.0091,2.0091,1.9284,1.9284,192066,0
20040309,1.9575,1.9575,1.8768,1.9049,95202,0
20040310,1.9049,1.9049,1.8768,1.9049,80825,0
20040311,1.8824,1.8824,1.8017,1.8477,40814,0
20040312,1.8477,1.8477,1.7838,1.8421,93034,0
20040315,1.8073,1.8365,1.8073,1.8309,94265,0
20040316,1.7961,1.8073,1.7838,1.7894,54254,0
20040317,1.8309,1.8477,1.7961,1.8017,56128,0
20040318,1.8073,1.8421,1.8073,1.8129,65154,0
20040319,1.8129,1.8129,1.767,1.7961,80623,0
20040322,1.8073,1.8073,1.7322,1.7557,176162,0
20040323,1.7378,1.7614,1.721,1.7378,34230,0
20040324,1.7086,1.7614,1.6918,1.721,143608,0
20040325,1.721,1.7614,1.721,1.7614,333081,0
20040326,1.7557,1.8824,1.7322,1.8185,253917,0
20040329,1.7961,1.8309,1.7894,1.8185,23289,0
20040330,1.8017,1.8365,1.7894,1.7894,19775,0
20040331,1.8017,1.8129,1.7894,1.8017,35462,0
20040401,1.8129,1.8129,1.7894,1.7961,24537,0
20040402,1.8309,1.8365,1.8017,1.8241,25142,0
20040405,1.8073,1.8241,1.8017,1.8017,12970,0
20040406,1.8073,1.8185,1.8017,1.8129,21209,0
20040407,1.8309,1.8365,1.8017,1.8017,12343,0
20040408,1.8241,1.8365,1.8017,1.8365,54601,0
20040413,1.8421,1.8712,1.8421,1.8477,31068,0
20040414,1.8712,1.8824,1.8589,1.8589,25624,0
20040415,1.8824,2.0203,1.8824,2.0203,452375,0
20040416,2.0147,2.0147,1.9631,1.9867,212167,0
