Date,Open,High,Low,Close,Volume,OpenInt
20071120,10.511,10.511,8.6,9.46,67351,0
20071121,9.46,9.46,8.5236,8.772,13815,0
20071122,8.5618,8.7911,7.2718,8.4089,22291,0
20071123,8.3324,8.5522,7.9598,8.5522,8165,0
20071126,8.5522,9.1256,8.4567,8.4567,13118,0
20071127,8.4471,8.5904,8.2178,8.5904,775,0
20071128,8.9822,8.9822,8.6096,8.6096,3286,0
20071129,8.6191,8.9344,8.6191,8.9249,1085,0
20071130,8.858,8.8771,8.7529,8.8676,2242,0
20071203,8.8484,8.8484,8.3802,8.772,395,0
20071204,8.2656,8.7816,8.2656,8.4567,1775,0
20071205,8.4567,8.6,8.3133,8.6,1520,0
20071206,8.6096,8.6096,8.3133,8.4089,4182,0
20071207,8.4089,8.5522,8.3133,8.5522,2017,0
20071210,8.2178,8.5331,8.2178,8.5044,5179,0
20071211,7.74,8.4089,7.74,8.4089,514,0
20071212,8.0267,8.4949,8.0267,8.0362,505,0
20071213,7.74,7.74,7.6444,7.6444,2099,0
20071214,7.3196,7.6444,7.3196,7.6444,6423,0
20071217,6.9947,7.2144,6.9947,7.0711,4207,0
20071218,6.88,7.4056,6.8322,7.0998,39169,0
20071219,7.4056,7.4056,7.1189,7.3482,26678,0
20071220,7.5489,7.6444,7.0233,7.224,3796,0
20071221,6.8513,7.1571,6.6889,6.8322,16620,0
20071227,6.7844,6.9278,6.6889,6.8704,10724,0
20071228,6.8704,7.4916,6.708,7.4916,6669,0
20080102,6.7462,6.9278,6.4978,6.6507,11169,0
20080103,6.6889,6.6889,6.4978,6.6698,4537,0
20080104,6.6602,6.6602,6.1156,6.6411,6252,0
20080107,6.1156,6.6411,6.1156,6.6411,175,0
20080108,6.1347,6.5838,6.1347,6.4882,617,0
20080109,6.1442,6.3067,6.1156,6.1156,4345,0
20080110,5.7429,5.9244,5.7333,5.9244,3497,0
20080111,6.106,6.106,6.106,6.106,1,0
20080114,5.9149,5.9149,5.59,5.9149,4131,0
20080115,6.1156,6.1156,5.59,5.5996,1095,0
20080116,5.0453,5.5422,5.0453,5.5422,4402,0
20080117,5.4371,5.4371,5.4371,5.4371,157,0
20080118,5.4371,5.4371,4.7778,5.2556,12404,0
20080121,4.9689,5.5422,4.7491,4.7778,6102,0
20080122,4.9689,4.9689,4.8256,4.8256,333,0
20080123,4.9689,5.6378,4.7682,5.2938,3447,0
20080124,5.2938,6.3927,5.2938,6.3067,9445,0
20080125,6.3067,6.6984,5.7333,6.2302,6834,0
20080128,5.59,6.0678,5.59,5.6378,2696,0
20080129,5.6856,6.2111,5.6856,5.9244,2135,0
20080130,5.7333,5.9244,5.7333,5.8289,785,0
20080131,5.6378,5.9244,5.6378,5.7238,1310,0
20080201,5.7047,5.9244,5.7047,5.9244,383,0
20080204,5.8289,6.2111,5.7811,5.934,2492,0
20080205,5.4849,6.2016,5.4849,6.1156,129,0
20080206,5.7333,6.0104,5.5996,6.0104,2305,0
20080207,5.4944,5.9244,5.4944,5.9244,9746,0
20080208,5.7333,5.9244,5.5709,5.9244,3379,0
