Date,Open,High,Low,Close,Volume,OpenInt
20060620,11.1,12.45,11.1,12.1,1121980,0
20060621,12.45,12.85,12,12.35,218268,0
20060622,12.3,12.35,12,12,44292,0
20060623,11.8,12,11.8,12,19490,0
20060626,12,12.25,11.8,12.25,4465,0
20060627,11.55,12.5,11.55,12.5,13421,0
20060628,11.5,12.3,11.5,12.3,2125,0
20060629,11.9,12.5,11.9,12.3,73844,0
20060630,12.7,12.7,12.25,12.65,8004,0
20060703,12.65,12.7,12.3,12.7,11389,0
20060704,12.7,13,12.55,12.65,5295,0
20060705,12.5,13.2,12.5,13.05,186307,0
20060706,13,13.1,12.8,13.1,7848,0
20060707,12.9,13.1,12.9,13.1,146,0
20060710,13,13.1,13,13.1,19663,0
20060711,13,13.1,13,13.05,1443,0
20060712,13,13.05,13,13.05,10246,0
20060713,13,13,13,13,9667,0
20060714,13,13.1,13,13,1718,0
20060718,12.9,13.05,12.9,13,898,0
20060719,12.9,12.9,12.9,12.9,30,0
20060720,13.05,13.05,13,13,5674,0
20060721,12.9,12.9,12.85,12.85,500,0
20060724,12.85,13.05,12.3,13.05,6330,0
20060725,13.2,14,13.2,13.7,9292,0
20060726,13.7,15.4,13.7,15.2,47051,0
20060727,14.9,15,13.8,14.8,22677,0
20060728,15.2,15.2,14.4,14.9,7541,0
20060731,14.4,15,14.35,15,760,0
20060801,14.5,14.5,14,14,7741,0
20060802,14.1,14.1,13.55,14,6626,0
20060803,14.3,14.3,13.2,13.5,5328,0
20060804,13.2,13.5,13.1,13.5,3953,0
20060807,14.1,14.1,13.6,13.6,3427,0
20060808,14.7,14.7,13.65,13.95,2721,0
20060809,13.65,13.9,13.35,13.9,5167,0
20060810,13.9,13.9,13.6,13.85,1449,0
20060811,13.55,14,13.55,14,1034,0
20060814,13.75,13.75,13.5,13.75,2920,0
20060816,13.95,14,13.75,13.8,7319,0
20060817,14.1,14.35,13.8,13.8,48017,0
20060818,13.5,13.8,13.5,13.5,101459,0
20060821,13.5,13.95,13.5,13.95,59829,0
20060822,13.95,13.95,13.9,13.9,586,0
20060823,13.9,13.95,13.9,13.95,44150,0
20060824,13.7,13.7,13.7,13.7,140,0
20060825,13.7,13.9,13.7,13.8,3833,0
20060828,13.7,13.7,13.7,13.7,1912,0
20060829,13.7,13.8,13.7,13.8,2634,0
20060830,13.8,13.8,13.8,13.8,2053,0
20060831,13.85,14.05,13.85,13.9,10724,0
20060901,13.9,13.9,13.65,13.9,233,0
20060904,13.9,14,13.9,14,8190,0
20060905,13.8,14,13.75,13.9,12595,0
20060906,13.9,14,13.9,14,52951,0
20060907,14,14.15,14,14.1,2692,0
20060908,14.15,14.15,13.62,13.62,53428,0
20060911,13.9,14.1,13.63,14.1,2860,0
20060912,14.1,14.1,14,14,2001,0
20060913,14.15,14.15,14.1,14.13,1650,0
20060914,14.15,14.4,14.15,14.15,2600,0
20060915,14.15,14.4,14.15,14.4,3563,0
20060918,14.3,14.3,14.3,14.3,350,0
20060919,14.11,15.68,14,14.69,322801,0
20060920,15.67,15.68,14.52,14.99,8939,0
20060921,14.7,15.1,14.7,15.1,9952,0
20060922,14.79,15.4,14.4,15.4,5923,0
20060925,15.5,16.44,15.1,15.12,11158,0
20060926,15.39,15.4,15,15.39,12986,0
20060927,15.99,15.99,15.01,15.4,10520,0
20060928,15.71,16.1,15.35,15.4,12778,0
20060929,15.71,16.01,15.1,15.79,12008,0
20061002,15.5,15.5,15.2,15.2,5209,0
20061003,15.45,15.74,15.3,15.49,10002,0
20061004,15.49,15.49,15.35,15.46,376,0
20061005,15.5,15.8,15.5,15.55,7925,0
20061006,15.8,15.95,15.6,15.6,17247,0
20061009,15.85,16.17,15.5,15.5,16310,0
20061010,15.55,15.87,15.55,15.55,7391,0
20061011,15.87,15.87,15.55,15.85,5679,0
20061012,16,16,15.7,16,31114,0
20061013,15.86,16.45,15.86,16.35,145541,0
20061016,16.51,17.2,16.51,17.2,11034,0
20061017,17.2,17.65,17.2,17.65,27053,0
20061018,17.85,17.85,17.3,17.69,6974,0
20061019,17.86,17.86,17.44,17.75,4414,0
20061020,17.8,17.86,17.75,17.8,4874,0
20061023,17.5,17.86,17.3,17.8,9717,0
20061024,17.81,17.81,17.8,17.8,1135,0
20061025,17.86,18.24,17.3,17.8,29015,0
20061026,18,18,17.6,17.8,5911,0
20061027,17.98,17.98,17.44,17.8,31224,0
20061030,17.8,18,17.8,18,22934,0
20061031,18,19.6,18,18.5,31256,0
20061102,18.5,19.9,18.2,19,11367,0
20061103,19.2,19.2,18.8,19,16278,0
20061106,19.05,19.5,19,19.03,24808,0
20061107,18.85,19.2,18.8,19.2,8344,0
20061108,19.17,19.8,19.17,19.8,6621,0
20061109,19.8,20.99,19.8,20.9,7121,0
20061110,21.32,22,21.11,21.5,22997,0
20061113,21.9,22.6,20.5,21.38,56372,0
20061114,21.1,22.34,21.1,21.3,7727,0
20061115,22.28,22.28,20,20.5,13113,0
20061116,20.91,21,20.5,21,2333,0
20061117,21.1,21.45,21.1,21.45,2508,0
20061120,21.5,21.5,21,21.39,38879,0
20061121,21.35,21.6,20.96,21.22,312672,0
20061122,21.1,22.21,21.1,22.21,9922,0
20061123,22.21,23.8,22,23,27743,0
20061124,23.46,23.46,22.8,23,6811,0
20061127,23.46,23.98,23.45,23.85,33973,0
20061128,24,24.62,23.2,23.91,7422,0
20061129,24.2,29,24.03,25.49,16760,0
20061130,27,27,26.02,26.4,72005,0
20061201,26.5,26.5,26,26.45,59082,0
20061204,26.7,27,26.4,26.7,45247,0
20061205,27,27,26.41,26.6,31269,0
20061206,27,27,24.4,26.2,57639,0
20061207,25.67,26,24.5,25.8,8079,0
20061208,25.95,27,25.6,26.5,33594,0
20061211,27.11,29,27.11,27.95,49548,0
20061212,28.51,28.51,27.12,27.24,42011,0
20061213,27.78,27.78,27.11,27.3,6760,0
20061214,27.74,27.74,25.75,26.16,6211,0
20061215,25.63,25.99,22.5,25.98,36051,0
20061218,26.15,26.15,24.5,24.5,4504,0
20061219,24.75,24.99,23.75,23.75,8483,0
20061220,23.01,23.69,22.2,23.5,14742,0
20061221,23.03,23.45,22.01,22.7,3612,0
20061222,22.6,22.7,22.36,22.7,11470,0
20061227,23.16,23.7,23,23.49,2837,0
20061228,23.74,23.74,22.8,22.8,2618,0
20061229,22.75,23,22.4,22.89,2583,0
20070102,23,23.44,22.54,23,1782,0
20070103,23.2,23.2,22.6,22.6,1969,0
20070104,22.98,22.98,21.9,21.9,6743,0
20070105,21.46,22,20.5,21.28,2925,0
20070108,20.2,21.33,20.2,20.65,3832,0
20070109,20.32,22,20.32,21.2,4965,0
20070110,21.5,21.9,21.02,21.85,4193,0
20070111,22.1,23.4,22.1,23.39,5816,0
20070112,25,25,24.01,24.99,16670,0
20070115,25,25.99,24.5,25.4,27282,0
20070116,25.68,25.68,24.9,24.9,3313,0
20070117,25.3,25.3,24.4,24.4,5396,0
20070118,24,25.1,24,24.5,26502,0
20070119,24.01,24.98,23.8,24,6362,0
20070122,24.44,24.47,22.6,22.91,5647,0
20070123,23.2,24.5,22.9,24.5,22559,0
20070124,24.5,24.98,23.9,24.2,12438,0
20070125,23.75,24.65,23.75,24.1,2791,0
20070126,23.61,24.45,23.5,24.25,37967,0
20070129,24.5,24.65,23.85,23.9,33274,0
20070130,23.9,24,23.5,23.89,1648,0
20070131,23.88,23.88,23.1,23.4,1494,0
20070201,23.4,23.46,23,23.4,2809,0
20070202,23.5,23.5,23.18,23.18,29367,0
20070205,23.65,23.88,22.81,23.1,2101,0
20070206,24,25.81,23.61,25,60335,0
20070207,25.5,25.81,24.5,24.7,10478,0
20070208,24.8,24.8,24,24,12708,0
20070209,23.52,24.45,23.04,24.45,5368,0
20070212,24.45,24.45,24.02,24.19,70175,0
20070213,23.71,24.6,23.65,24.4,27110,0
20070214,24.5,26,24.5,25,7559,0
20070215,25,25.45,24.99,25.3,66386,0
20070216,25.45,25.5,24.95,25,125557,0
20070219,25.9,25.9,25.25,25.25,150128,0
20070220,26.2,26.5,25.25,26.2,10171,0
20070221,26.45,26.7,26,26.4,65854,0
20070222,26.29,26.29,25.5,26.24,3115,0
20070223,26.23,26.23,25.8,26.08,1419,0
20070226,25.9,26.05,24.8,25.7,2963,0
20070227,25.99,26,23.5,23.5,16434,0
20070228,23,23.5,22.5,23.15,7307,0
20070301,23.38,23.84,22.13,22.3,8844,0
20070302,22.3,22.75,21.7,22.1,2950,0
20070305,21.65,21.65,20.56,20.7,5171,0
20070306,21.9,21.9,20.82,21.39,15826,0
20070307,21.5,22.9,21.5,22.3,9067,0
20070308,22.75,23.73,22.75,23.72,20445,0
20070309,24.15,24.15,22.5,23.5,11259,0
20070312,23.9,24,22.15,22.15,3085,0
20070313,22.6,22.6,22.3,22.55,4814,0
20070314,22.54,22.6,22.15,22.5,5243,0
20070315,22.55,23.41,22.45,23.41,10009,0
20070316,23,23.79,22.94,23.41,4724,0
20070319,23.5,23.9,23,23.4,2797,0
20070320,23,23.35,22.6,23.35,2364,0
20070321,23.04,23.5,21.54,23.5,23124,0
20070322,23.97,23.97,22.6,23.97,9285,0
20070323,23.96,23.96,23,23.5,2422,0
20070326,23.44,24,22.9,23.6,8493,0
20070327,23.15,24,23.15,24,19579,0
20070328,24,25.5,23.46,24.99,10580,0
20070329,24.95,24.95,24.05,24.7,1601,0
20070330,24.5,24.5,23.04,23.45,3408,0
20070402,23.45,23.45,22.65,23.33,2116,0
20070403,22.97,23.43,22.6,22.8,7958,0
20070404,22.84,23.06,22.5,22.6,12732,0
20070405,22.6,22.98,22.51,22.6,8275,0
20070410,22.6,23.35,22.6,23.35,7921,0
20070411,23.15,23.41,22.92,23.2,10657,0
20070412,23.54,23.65,22.6,22.61,4882,0
20070413,22.7,22.8,22.52,22.6,8432,0
20070416,22.71,22.8,22.6,22.6,3000,0
20070417,22.63,22.63,21.8,22.02,5070,0
20070418,22.12,22.98,21.8,21.8,9617,0
20070419,21.8,21.8,20.87,21,19476,0
20070420,21,21.5,20.7,20.9,28541,0
20070423,21.52,22.22,20.82,20.9,29572,0
20070424,21.01,21.45,20.88,21.1,12985,0
20070425,21.4,22.1,21.4,21.9,9628,0
20070426,21.99,21.99,21.45,21.45,8136,0
20070427,21.45,21.75,21,21.44,5051,0
20070430,21.45,21.45,21.05,21.34,1774,0
20070502,21.38,21.6,21.34,21.51,4552,0
20070504,21.52,21.94,21.52,21.75,6511,0
20070507,21.91,22.75,21.91,22.74,12990,0
20070508,22.75,23,22.5,22.5,12811,0
20070509,22.7,22.7,21.6,21.65,2967,0
20070510,21.6,21.66,21,21.37,2589,0
20070511,21,21,19.96,21,12835,0
20070514,21.05,21.67,21,21.6,8286,0
20070515,22.19,23.29,21.6,22.67,56120,0
20070516,22.9,23.95,22.7,23.85,31352,0
