Date,Open,High,Low,Close,Volume,OpenInt
19981218,10.431,10.431,10.431,10.431,1987,0
19981221,10.328,10.328,10.328,10.328,5602,0
19981222,9.3051,9.3051,9.3051,9.3051,0,0
19981223,8.7986,8.7986,8.7986,8.7986,2153,0
19981228,8.3952,8.3952,8.3952,8.3952,2059,0
19981229,8.339,8.339,8.339,8.339,1016,0
19981230,8.142,8.142,8.142,8.142,1250,0
19981231,8.3952,8.3952,8.3952,8.3952,197,0
19990104,8.6485,8.6485,8.6485,8.6485,526,0
19990105,8.6485,8.6485,8.6485,8.6485,97,0
19990106,8.6485,8.6485,8.6485,8.6485,197,0
19990107,8.3952,8.3952,8.3952,8.3952,1024,0
19990108,8.3952,8.3952,8.3952,8.3952,0,0
19990111,8.339,8.339,8.339,8.339,0,0
19990112,8.339,8.339,8.339,8.339,90,0
19990113,8.3952,8.3952,8.3952,8.3952,236,0
19990114,8.0387,8.0387,8.0387,8.0387,0,0
19990115,7.6261,7.6261,7.6261,7.6261,40,0
19990118,6.8663,6.8663,6.8663,6.8663,191,0
19990119,7.5323,7.5323,7.5323,7.5323,393,0
19990120,8.2358,8.2358,8.2358,8.2358,174,0
19990121,7.4291,7.4291,7.4291,7.4291,97,0
19990122,8.142,8.142,8.142,8.142,49,0
19990125,7.8324,7.8324,7.8324,7.8324,137,0
19990126,7.1196,7.1196,7.1196,7.1196,197,0
19990127,7.6261,7.6261,7.6261,7.6261,197,0
19990128,7.8886,7.8886,7.8886,7.8886,18,0
19990129,7.8324,7.8324,7.8324,7.8324,18,0
19990201,7.9825,7.9825,7.9825,7.9825,40,0
19990202,8.142,8.142,8.142,8.142,66,0
19990203,7.9356,7.9356,7.9356,7.9356,0,0
19990204,7.8886,7.8886,7.8886,7.8886,263,0
19990205,8.0387,8.0387,8.0387,8.0387,15,0
19990208,7.9356,7.9356,7.9356,7.9356,197,0
19990209,7.9825,7.9825,7.9825,7.9825,35,0
19990210,7.9825,7.9825,7.9825,7.9825,0,0
19990211,7.2228,7.2228,7.2228,7.2228,0,0
19990212,7.8886,7.8886,7.8886,7.8886,393,0
19990215,8.142,8.142,8.142,8.142,321,0
19990216,8.2358,8.2358,8.2358,8.2358,334,0
19990217,8.3952,8.3952,8.3952,8.3952,559,0
19990218,8.6485,8.6485,8.6485,8.6485,570,0
19990219,9.512,9.512,9.512,9.512,2359,0
19990222,8.6485,8.6485,8.6485,8.6485,10716,0
19990223,8.6485,8.6485,8.6485,8.6485,15910,0
19990224,7.7855,7.7855,7.7855,7.7855,1968,0
