Date,Open,High,Low,Close,Volume,OpenInt
20101021,3.7064,3.8316,3.4369,3.5813,388121,0
20101022,3.5813,3.639,3.562,3.6101,45650,0
20101025,3.6198,3.6198,3.562,3.6198,10048,0
20101026,3.6198,3.6198,3.4657,3.5331,20747,0
20101027,3.4754,3.4754,3.1962,3.3021,66514,0
20101028,3.3213,3.3406,3.3117,3.331,11097,0
20101029,3.3302,3.3302,3.2712,3.3302,3451,0
20101102,3.4176,3.4369,3.3695,3.4272,17909,0
20101103,3.5042,3.5139,3.4176,3.485,4966,0
20101104,3.4657,3.5042,3.4176,3.4657,7549,0
20101105,3.4176,3.4176,3.2443,3.2828,23971,0
20101108,3.2828,3.3406,3.2732,3.3117,7072,0
20101109,3.3406,3.3406,3.2732,3.331,2606,0
20101110,3.331,3.331,3.2732,3.3213,2429,0
20101112,3.3502,3.3502,3.2636,3.3021,7245,0
20101115,3.2251,3.2828,3.2251,3.2732,1687,0
20101116,3.2539,3.2539,3.1769,3.1769,9507,0
20101117,3.0807,3.2154,3.0807,3.1769,3540,0
20101118,3.1962,3.2058,3.1288,3.1962,5620,0
20101119,3.2443,3.2443,3.2347,3.2347,1870,0
20101122,3.2732,3.2732,3.2732,3.2732,2078,0
20101123,3.1866,3.1866,3.0903,3.1095,4095,0
20101124,3.1095,3.148,3.0807,3.148,6051,0
20101125,3.1577,3.1577,3.1577,3.1577,1304,0
20101126,3.0807,3.0807,3.0036,3.0229,2727,0
20101129,2.9844,2.9844,2.917,2.917,18318,0
20101130,2.9266,2.9844,2.917,2.9844,2285,0
20101201,2.9844,2.9844,2.9363,2.9363,4319,0
20101203,2.8977,2.9748,2.8977,2.9748,661,0
20101206,2.8977,2.8977,2.8977,2.8977,208,0
20101207,2.9074,3.0325,2.8881,2.9844,7879,0
20101208,3.1095,3.1769,2.9363,3.1288,19427,0
20101209,3.071,3.0999,3.071,3.0999,5972,0
20101210,3.1288,3.148,3.0807,3.148,7695,0
20101213,3.2154,3.2154,3.1288,3.1769,8621,0
20101214,3.0807,3.1769,3.0807,3.1769,2317,0
20101215,3.0518,3.0518,3.0518,3.0518,17839,0
20101216,3.0518,3.1192,3.0325,3.1192,2212,0
