Date,Open,High,Low,Close,Volume,OpenInt
20080611,2.1829,2.2124,1.9272,1.9666,74549,0
20080612,2.1239,2.1239,2.0256,2.0256,12281,0
20080613,2.0452,2.114,1.9666,2.0157,14446,0
20080616,1.9666,2.1632,1.8682,2.1042,23832,0
20080617,2.0157,2.1534,2.0157,2.1534,14802,0
20080618,2.1239,2.1239,1.9666,1.9666,13665,0
20080619,2.0452,2.0452,1.9076,2.0059,4099,0
20080620,2.0452,2.0452,1.8879,1.9862,4186,0
20080623,1.9666,1.9666,1.8387,1.8486,5799,0
20080624,1.9076,1.9076,1.6716,1.7699,3868,0
20080625,1.6912,1.8092,1.6912,1.8092,20343,0
20080626,1.8781,1.9076,1.6322,1.6814,13176,0
20080627,1.6421,1.8289,1.5831,1.7699,22963,0
20080630,1.7601,1.9076,1.7601,1.8682,10947,0
20080701,1.8682,1.9076,1.8682,1.9076,103,0
20080702,1.9076,1.9272,1.7797,1.7797,8193,0
20080703,1.9272,1.9272,1.7699,1.8879,2715,0
20080704,1.7699,1.8289,1.6912,1.7601,27680,0
20080707,1.8191,1.8191,1.5831,1.7502,23362,0
20080708,1.7502,1.7502,1.5831,1.6814,12265,0
20080709,1.7207,1.7207,1.5241,1.6716,6451,0
20080710,1.6617,1.7306,1.5142,1.7306,13219,0
20080711,1.6716,1.9076,1.6716,1.8486,18596,0
20080714,1.9272,1.9272,1.9174,1.9174,33,0
20080715,1.8682,1.8682,1.8682,1.8682,361,0
20080716,1.6617,1.9174,1.6617,1.8977,3006,0
20080717,1.9272,1.9469,1.8289,1.9174,18663,0
20080718,1.9174,1.9174,1.8092,1.8879,54681,0
20080721,1.6912,1.9174,1.6912,1.8387,3437,0
20080722,1.8191,2.0452,1.7404,1.9666,40006,0
20080723,1.9666,2.1435,1.9371,2.1239,16759,0
20080724,2.1435,2.2025,2.0649,2.1632,21478,0
20080725,2.114,2.114,1.9174,2.0452,4267,0
20080728,2.114,2.3402,1.9961,2.114,1846,0
20080729,2.114,2.2025,2.114,2.1927,6179,0
20080730,2.1239,2.409,2.1239,2.35,13737,0
20080731,2.2517,2.3402,2.1239,2.3304,18281,0
20080801,2.2714,2.35,2.2124,2.35,7272,0
20080804,2.3599,2.4582,2.2714,2.291,9511,0
20080805,2.35,2.35,2.1927,2.35,9296,0
20080806,2.1927,2.3009,2.1632,2.1632,3509,0
20080808,2.1632,2.1632,2.1632,2.1632,1526,0
20080811,2.2517,2.3304,2.0354,2.0354,5731,0
20080812,2.0452,2.114,2.0157,2.114,4492,0
20080813,2.1435,2.2517,1.9469,2.0944,10424,0
20080814,2.2124,2.2124,1.9469,2.0649,28589,0
20080818,1.9567,2.1042,1.9567,2.0452,13057,0
20080819,1.9272,2.114,1.9272,2.114,25389,0
20080820,2.1239,2.1435,1.9567,1.9961,36116,0
20080821,1.9469,1.9469,1.8682,1.8781,58639,0
20080822,1.9666,1.9961,1.8387,1.9272,28825,0
20080825,1.9567,2.114,1.9174,2.114,12477,0
20080826,2.1435,2.2812,2.1435,2.2025,14035,0
20080827,2.0649,2.1927,2.0157,2.0157,10718,0
20080828,2.0256,2.173,2.0256,2.173,11537,0
20080829,2.0551,2.2025,2.0551,2.0551,4448,0
20080901,2.0649,2.0649,2.0551,2.0649,4431,0
20080902,2.1239,2.1239,2.0649,2.0944,9373,0
20080903,2.0649,2.114,2.0649,2.114,899,0
20080904,2.1632,2.2124,2.114,2.1632,6845,0
20080905,2.1632,2.2615,2.1239,2.2615,20764,0
