Date,Open,High,Low,Close,Volume,OpenInt
20091013,23.5,5000,23.5,59.5,1063,0
20091014,56.5,81,52,81,872,0
20091015,81.5,100,81.5,100,1687,0
20091016,99,125,87.5,92.5,2320,0
20091019,87.5,95,76,79.5,682,0
20091020,77.5,77.5,64.5,67.5,1544,0
20091021,67,74,56.5,58,957,0
20091022,60,75,56.5,70,2937,0
20091023,76,76,62.5,62.5,929,0
20091026,64,67,60,60.5,187,0
20091027,60,62.5,57.5,60.5,251,0
20091028,58.5,58.5,55,55,488,0
20091029,54,67.5,53,61.5,884,0
20091030,67,67,55.5,56.5,375,0
20091102,58,63,56.5,58.5,340,0
20091103,58.5,58.5,51.5,52,697,0
20091104,52.5,55,42,47,797,0
20091105,46.5,52,45,51.5,208,0
20091106,51.5,52,47.5,48,60,0
20091109,48,48,41,47.5,107,0
20091110,52.5,52.5,52.5,52.5,10,0
20091112,45,63,45,61.5,988,0
20091113,59,59,55,56,55,0
20091116,55.5,57.5,50.5,56,208,0
20091117,51,54.5,47.5,49,256,0
20091118,54,54,54,54,10,0
20091119,48,52,47.5,52,66,0
20091123,50,51.5,50,50,20,0
20091124,49,50,45,45,318,0
20091125,47,47,42.5,46.5,49,0
20091126,45,45,42.5,42.5,117,0
20091127,43,45,43,45,35,0
20091130,43,43,38,43,145,0
20091201,43,43,40.5,42.5,90,0
20091202,42.5,42.5,38,38,135,0
20091203,38,42.5,38,42.5,4,0
20091204,42,42,38.5,38.5,41,0
20091207,41.5,41.5,39,39,88,0
20091208,39,39,39,39,9,0
20091209,39,39,34.5,35.5,27,0
20091210,39,39,32,34.5,83,0
20091211,35,41,34.5,37,112,0
20091214,39,39,39,39,0,0
20091215,31.5,37.5,31.5,37.5,52,0
20091217,35.5,40,35.5,37.5,210,0
20091218,32.5,37,32.5,37,9,0
20091221,33.5,33.5,32,32,19,0
20091222,36,36,32.5,36,4,0
20091228,32.5,32.5,32.5,32.5,0,0
20091229,34,39,34,39,56,0
20091230,39.5,42.5,39.5,40,20,0
20100105,41,43,41,43,9,0
20100106,43.5,45,36,36,21,0
20100107,43,43,43,43,20,0
20100108,43,43,43,43,2,0
20100111,44,45,44,45,0,0
20100113,42.5,42.5,42.5,42.5,20,0
