Date,Open,High,Low,Close,Volume,OpenInt
19970522,1.14,1.14,1.14,1.14,957503,0
19970523,1.05,1.05,1.05,1.05,1517361,0
19970526,0.95,0.95,0.95,0.95,1841384,0
19970527,0.9,0.9,0.9,0.9,1349064,0
19970528,0.9,0.9,0.9,0.9,977655,0
19970530,0.91,0.91,0.91,0.91,631984,0
19970602,0.92,0.92,0.92,0.92,1303374,0
19970603,0.88,0.88,0.88,0.88,1137073,0
19970604,0.8,0.8,0.8,0.8,2017162,0
19970605,0.76,0.76,0.76,0.76,1935059,0
19970606,0.78,0.78,0.78,0.78,1018856,0
19970609,0.75,0.75,0.75,0.75,949024,0
19970610,0.7,0.7,0.7,0.7,889067,0
19970611,0.69,0.69,0.69,0.69,798784,0
19970612,0.73,0.73,0.73,0.73,1275740,0
19970613,0.78,0.78,0.78,0.78,1025740,0
19970616,0.78,0.78,0.78,0.78,560156,0
19970617,0.77,0.77,0.77,0.77,739426,0
19970618,0.75,0.75,0.75,0.75,454609,0
19970619,0.73,0.73,0.73,0.73,651836,0
19970620,0.73,0.73,0.73,0.73,663209,0
19970623,0.69,0.69,0.69,0.69,667998,0
19970624,0.67,0.67,0.67,0.67,862830,0
19970625,0.65,0.65,0.65,0.65,748205,0
19970626,0.63,0.63,0.63,0.63,805667,0
19970627,0.65,0.65,0.65,0.65,1088190,0
19970630,0.66,0.66,0.66,0.66,437750,0
19970701,0.64,0.64,0.64,0.64,457303,0
19970702,0.64,0.64,0.64,0.64,399142,0
19970703,0.68,0.68,0.68,0.68,779331,0
19970704,0.74,0.74,0.74,0.74,630488,0
19970707,0.72,0.72,0.72,0.72,525839,0
19970708,0.74,0.74,0.74,0.74,461493,0
19970709,0.77,0.77,0.77,0.77,991721,0
19970710,0.77,0.77,0.77,0.77,616022,0
19970711,0.74,0.74,0.74,0.74,491421,0
19970714,0.67,0.67,0.67,0.67,346967,0
19970715,0.65,0.65,0.65,0.65,1432265,0
19970716,0.67,0.67,0.67,0.67,838289,0
19970717,0.67,0.67,0.67,0.67,806466,0
19970718,0.66,0.66,0.66,0.66,302275,0
19970721,0.61,0.61,0.61,0.61,1045891,0
19970722,0.61,0.61,0.61,0.61,644354,0
19970723,0.62,0.62,0.62,0.62,643656,0
19970724,0.58,0.58,0.58,0.58,479849,0
19970725,0.58,0.58,0.58,0.58,1065544,0
19970728,0.56,0.56,0.56,0.56,911314,0
19970729,0.55,0.55,0.55,0.55,583899,0
19970730,0.57,0.57,0.57,0.57,760975,0
19970731,0.58,0.58,0.58,0.58,376497,0
19970801,0.54,0.54,0.54,0.54,423085,0
19970804,0.57,0.57,0.57,0.57,539406,0
19970805,0.56,0.56,0.56,0.56,752695,0
19970806,0.57,0.57,0.57,0.57,579310,0
19970807,0.58,0.58,0.58,0.58,980448,0
19970808,0.6,0.6,0.6,0.6,1116522,0
19970811,0.63,0.63,0.63,0.63,1780629,0
19970812,0.62,0.62,0.62,0.62,956905,0
19970813,0.63,0.63,0.63,0.63,1625501,0
19970814,0.64,0.64,0.64,0.64,1838590,0
19970818,0.63,0.63,0.63,0.63,1341183,0
19970819,0.6,0.6,0.6,0.6,415703,0
19970820,0.62,0.62,0.62,0.62,650839,0
19970821,0.61,0.61,0.61,0.61,686054,0
19970822,0.62,0.62,0.62,0.62,485834,0
19970825,0.62,0.62,0.62,0.62,750001,0
19970826,0.63,0.63,0.63,0.63,697527,0
19970827,0.63,0.63,0.63,0.63,1040105,0
19970828,0.65,0.65,0.65,0.65,823325,0
19970829,0.68,0.68,0.68,0.68,2112334,0
19970901,0.67,0.67,0.67,0.67,1124403,0
19970902,0.68,0.68,0.68,0.68,1379591,0
19970903,0.7,0.7,0.7,0.7,1793598,0
19970904,0.72,0.72,0.72,0.72,2301480,0
19970905,0.72,0.72,0.72,0.72,998306,0
19970908,0.75,0.75,0.75,0.75,1461894,0
19970909,0.78,0.78,0.78,0.78,1761775,0
19970910,0.78,0.78,0.78,0.78,1584899,0
19970911,0.75,0.75,0.75,0.75,631784,0
19970912,0.75,0.75,0.75,0.75,1216383,0
19970915,0.73,0.73,0.73,0.73,810057,0
19970916,0.72,0.72,0.72,0.72,727056,0
19970917,0.71,0.71,0.71,0.71,1296590,0
19970918,0.71,0.71,0.71,0.71,1269256,0
19970919,0.71,0.71,0.71,0.71,866122,0
19970922,0.71,0.71,0.71,0.71,473763,0
19970923,0.73,0.73,0.73,0.73,589286,0
19970924,0.71,0.71,0.71,0.71,367119,0
19970925,0.67,0.67,0.67,0.67,1038110,0
19970926,0.64,0.64,0.64,0.64,469474,0
19970929,0.66,0.66,0.66,0.66,492917,0
19970930,0.65,0.65,0.65,0.65,425180,0
19971001,0.64,0.64,0.64,0.64,377494,0
19971002,0.67,0.67,0.67,0.67,647447,0
19971003,0.65,0.65,0.65,0.65,132083,0
19971006,0.63,0.63,0.63,0.63,176975,0
19971007,0.63,0.63,0.63,0.63,329110,0
19971008,0.64,0.64,0.64,0.64,881087,0
19971009,0.66,0.66,0.66,0.66,728353,0
19971010,0.65,0.65,0.65,0.65,1151039,0
19971013,0.64,0.64,0.64,0.64,583301,0
19971014,0.66,0.66,0.66,0.66,631485,0
19971015,0.66,0.66,0.66,0.66,598464,0
19971016,0.67,0.67,0.67,0.67,495012,0
19971017,0.66,0.66,0.66,0.66,579410,0
19971020,0.64,0.64,0.64,0.64,715085,0
19971021,0.63,0.63,0.63,0.63,418496,0
19971022,0.64,0.64,0.64,0.64,274441,0
19971023,0.62,0.62,0.62,0.62,548484,0
19971024,0.6,0.6,0.6,0.6,591481,0
19971027,0.6,0.6,0.6,0.6,875300,0
19971028,0.54,0.54,0.54,0.54,0,0
19971029,0.59,0.59,0.59,0.59,787012,0
19971030,0.56,0.56,0.56,0.56,582004,0
19971031,0.54,0.54,0.54,0.54,593875,0
19971103,0.57,0.57,0.57,0.57,339186,0
19971104,0.57,0.57,0.57,0.57,972966,0
