Date,Open,High,Low,Close,Volume,OpenInt
19910416,16.92,16.92,16.92,16.92,26,0
19910423,15.39,15.39,15.39,15.39,511,0
19910430,13.95,13.95,13.95,13.95,412,0
19910514,12.51,12.51,12.51,12.51,541,0
19910521,11.52,11.52,11.52,11.52,681,0
19910528,12.51,12.51,12.51,12.51,474,0
19910604,13.77,13.77,13.77,13.77,0,0
19910611,15.12,15.12,15.12,15.12,1658,0
19910618,13.59,13.59,13.59,13.59,889,0
19910625,12.69,12.69,12.69,12.69,574,0
19910702,12.69,12.69,12.69,12.69,557,0
19910709,13.77,13.77,13.77,13.77,886,0
19910716,12.42,12.42,12.42,12.42,1045,0
19910723,13.05,13.05,13.05,13.05,433,0
19910730,12.69,12.69,12.69,12.69,664,0
19910806,12.69,12.69,12.69,12.69,587,0
19910813,11.97,11.97,11.97,11.97,653,0
19910820,10.89,10.89,10.89,10.89,492,0
19910827,10.17,10.17,10.17,10.17,905,0
19910903,9.27,9.27,9.27,9.27,435,0
19910910,8.28,8.28,8.28,8.28,984,0
19910917,7.56,7.56,7.56,7.56,1379,0
19910924,8.28,8.28,8.28,8.28,752,0
19911001,9.09,9.09,9.09,9.09,1085,0
19911008,9.99,9.99,9.99,9.99,643,0
19911015,10.89,10.89,10.89,10.89,1386,0
19911022,11.97,11.97,11.97,11.97,1789,0
19911029,13.05,13.05,13.05,13.05,3432,0
19911105,13.95,13.95,13.95,13.95,3254,0
19911112,12.51,12.51,12.51,12.51,1034,0
19911119,11.34,11.34,11.34,11.34,838,0
19911126,10.26,10.26,10.26,10.26,2512,0
19911203,11.16,11.16,11.16,11.16,1044,0
19911210,12.24,12.24,12.24,12.24,1652,0
19911217,13.5,13.5,13.5,13.5,4125,0
19911231,12.24,12.24,12.24,12.24,742,0
19920107,12.24,12.24,12.24,12.24,1075,0
19920109,11.52,11.52,11.52,11.52,1052,0
19920114,11.52,11.52,11.52,11.52,805,0
19920116,11.79,11.79,11.79,11.79,275,0
19920121,12.06,12.06,12.06,12.06,1750,0
19920123,11.79,11.79,11.79,11.79,525,0
19920128,10.89,10.89,10.89,10.89,1239,0
19920130,11.34,11.34,11.34,11.34,880,0
19920204,11.61,11.61,11.61,11.61,1076,0
19920206,11.79,11.79,11.79,11.79,1925,0
19920211,11.97,11.97,11.97,11.97,1400,0
19920213,10.89,10.89,10.89,10.89,747,0
19920218,11.52,11.52,11.52,11.52,642,0
19920220,11.16,11.16,11.16,11.16,784,0
19920225,10.71,10.71,10.71,10.71,1059,0
19920227,10.26,10.26,10.26,10.26,856,0
19920303,11.16,11.16,11.16,11.16,722,0
19920305,10.62,10.62,10.62,10.62,1087,0
19920310,10.71,10.71,10.71,10.71,1500,0
19920312,10.89,10.89,10.89,10.89,1962,0
19920317,10.89,10.89,10.89,10.89,1469,0
19920319,9.99,9.99,9.99,9.99,1283,0
19920324,9.99,9.99,9.99,9.99,1122,0
19920326,10.44,10.44,10.44,10.44,646,0
19920331,9.54,9.54,9.54,9.54,1015,0
19920402,9.72,9.72,9.72,9.72,1090,0
19920407,9.54,9.54,9.54,9.54,1144,0
19920409,9.72,9.72,9.72,9.72,650,0
19920414,8.73,8.73,8.73,8.73,1038,0
19920416,8.73,8.73,8.73,8.73,414,0
19920423,9.09,9.09,9.09,9.09,954,0
19920428,9.54,9.54,9.54,9.54,828,0
19920430,9.27,9.27,9.27,9.27,485,0
19920505,8.64,8.64,8.64,8.64,497,0
19920507,7.83,7.83,7.83,7.83,499,0
19920512,7.83,7.83,7.83,7.83,981,0
19920514,8.19,8.19,8.19,8.19,348,0
19920519,8.28,8.28,8.28,8.28,551,0
19920521,7.83,7.83,7.83,7.83,544,0
19920526,7.11,7.11,7.11,7.11,122,0
19920528,7.29,7.29,7.29,7.29,426,0
19920602,7.11,7.11,7.11,7.11,907,0
19920604,6.66,6.66,6.66,6.66,307,0
19920609,6.03,6.03,6.03,6.03,2258,0
19920611,5.58,5.58,5.58,5.58,1082,0
19920616,5.58,5.58,5.58,5.58,716,0
19920623,6.03,6.03,6.03,6.03,1224,0
19920625,5.76,5.76,5.76,5.76,638,0
19920630,6.03,6.03,6.03,6.03,1508,0
19920702,6.66,6.66,6.66,6.66,1748,0
19920707,7.29,7.29,7.29,7.29,1292,0
19920709,7.83,7.83,7.83,7.83,2236,0
19920714,7.11,7.11,7.11,7.11,980,0
19920716,6.48,6.48,6.48,6.48,836,0
19920721,6.93,6.93,6.93,6.93,461,0
19920723,6.39,6.39,6.39,6.39,369,0
19920728,6.39,6.39,6.39,6.39,1027,0
19920730,6.39,6.39,6.39,6.39,712,0
19920804,6.84,6.84,6.84,6.84,1172,0
19920806,6.39,6.39,6.39,6.39,426,0
19920811,6.39,6.39,6.39,6.39,583,0
19920813,6.03,6.03,6.03,6.03,469,0
19920818,6.03,6.03,6.03,6.03,361,0
19920820,6.39,6.39,6.39,6.39,277,0
19920825,6.39,6.39,6.39,6.39,592,0
19920827,6.48,6.48,6.48,6.48,758,0
19920901,6.84,6.84,6.84,6.84,2073,0
19920903,6.48,6.48,6.48,6.48,490,0
19920908,6.66,6.66,6.66,6.66,1610,0
19920910,6.48,6.48,6.48,6.48,573,0
19920915,6.39,6.39,6.39,6.39,820,0
19920917,5.76,5.76,5.76,5.76,744,0
19920922,6.03,6.03,6.03,6.03,1772,0
19920924,6.39,6.39,6.39,6.39,913,0
19920929,5.76,5.76,5.76,5.76,1142,0
19921001,5.76,5.76,5.76,5.76,3930,0
19921006,6.03,6.03,6.03,6.03,2385,0
19921008,6.03,6.03,6.03,6.03,1171,0
19921013,5.76,5.76,5.76,5.76,986,0
19921015,5.31,5.31,5.31,5.31,950,0
19921020,5.76,5.76,5.76,5.76,0,0
19921022,6.21,6.21,6.21,6.21,0,0
19921027,6.84,6.84,6.84,6.84,0,0
19921029,7.38,7.38,7.38,7.38,12865,0
19921103,8.01,8.01,8.01,8.01,8205,0
19921105,8.73,8.73,8.73,8.73,10769,0
19921110,9.54,9.54,9.54,9.54,10471,0
19921112,10.44,10.44,10.44,10.44,4492,0
19921117,9.99,9.99,9.99,9.99,8219,0
19921119,10.89,10.89,10.89,10.89,16054,0
19921124,11.97,11.97,11.97,11.97,7068,0
19921126,13.05,13.05,13.05,13.05,12248,0
19921201,11.79,11.79,11.79,11.79,5369,0
19921203,11.79,11.79,11.79,11.79,8208,0
19921208,12.87,12.87,12.87,12.87,6520,0
