Date,Open,High,Low,Close,Volume,OpenInt
20070115,3.0816,3.2818,3.0816,3.1617,1086935,0
20070116,3.2898,3.2898,3.1617,3.2257,160568,0
20070117,3.2097,3.2337,3.1617,3.2017,74942,0
20070118,3.1297,3.2017,3.1297,3.1617,122865,0
20070119,3.1937,3.2097,3.1457,3.2017,77388,0
20070122,3.1697,3.2017,3.1297,3.1697,70886,0
20070123,3.1697,3.1697,3.0416,3.1617,55273,0
20070124,3.0896,3.1217,3.0656,3.1138,37988,0
20070125,3.1138,3.1217,3.0496,3.0736,66680,0
20070126,3.0416,3.0736,2.9215,3.0736,33483,0
20070129,2.9296,3.0816,2.9296,3.0816,67043,0
20070130,3.0816,3.0816,3.0016,3.0096,47248,0
20070131,3.0416,3.0656,3.0416,3.0656,58805,0
20070201,3.0656,3.0656,3.0176,3.0416,29315,0
20070202,3.0416,3.1937,3.0257,3.1937,84703,0
20070205,3.1937,3.2416,3.1297,3.1937,65907,0
20070206,3.1937,3.2416,3.1857,3.2017,103596,0
20070207,3.2177,3.2177,3.1457,3.2017,40709,0
20070208,3.2017,3.2017,3.0257,3.0257,32398,0
20070209,3.0816,3.1056,3.0416,3.0976,10458,0
20070212,3.0575,3.0976,3.0575,3.0656,9198,0
20070213,3.0656,3.0656,3.0416,3.0656,5816,0
20070214,3.0416,3.1457,3.0176,3.1377,30663,0
20070215,3.2017,3.2818,3.0816,3.0816,28090,0
20070216,3.0816,3.1617,3.0496,3.0496,16223,0
20070219,3.1377,3.1377,3.0575,3.1297,46450,0
20070220,3.1297,3.1377,3.0496,3.1217,16049,0
20070221,3.1217,3.1377,3.0896,3.1297,21415,0
20070222,3.1297,3.1937,3.1217,3.1937,66382,0
20070223,3.1857,3.1937,3.1697,3.1937,31337,0
20070226,3.1937,3.1937,3.1217,3.1937,110385,0
20070227,3.1937,3.1937,3.0176,3.0416,25058,0
20070228,2.9616,3.0816,2.9296,3.0575,18296,0
20070301,3.0416,3.1937,3.0416,3.0896,35393,0
20070302,3.0416,3.1457,3.0416,3.1217,11804,0
20070305,2.9776,3.0976,2.9776,3.0816,38750,0
20070306,3.0736,3.1217,3.0575,3.1138,28103,0
20070307,3.1217,3.1217,3.1138,3.1138,14801,0
20070308,3.1138,3.3617,3.1138,3.3298,181784,0
20070309,3.4819,3.4819,3.3058,3.3617,81545,0
20070312,3.3778,3.4097,3.3298,3.3617,46038,0
20070313,3.3617,3.6819,3.3617,3.5619,112996,0
20070314,3.5379,3.6659,3.3698,3.6659,69975,0
20070315,3.8341,3.9701,3.77,3.9701,195437,0
20070316,4.0021,4.0742,3.9541,3.9701,125973,0
20070319,3.9781,4.0021,3.8101,3.9942,85137,0
20070320,3.9701,4.1942,3.9701,4.1702,104882,0
20070321,4.3463,4.6504,4.2583,4.6504,218750,0
20070322,5.0426,5.0506,4.4263,4.6744,144268,0
20070323,4.6504,4.6744,4.4584,4.5544,62961,0
20070326,4.5464,4.8105,4.5064,4.5304,37115,0
20070327,4.5705,4.5705,4.2984,4.5223,37414,0
20070328,4.4824,4.4824,4.2823,4.3303,74891,0
20070329,4.3703,4.4104,4.1702,4.4024,85562,0
20070330,4.4744,4.4744,4.1783,4.3303,53189,0
20070402,4.3463,4.4024,4.0262,4.4024,32235,0
20070403,4.4024,4.5705,4.3383,4.5304,40336,0
20070404,4.5624,4.9706,4.5624,4.8025,79048,0
20070405,4.8025,4.8105,4.6665,4.7704,33747,0
20070410,4.6744,4.7865,4.6665,4.6904,47411,0
20070411,4.6504,4.7545,4.6424,4.6504,106891,0
20070412,4.6104,4.6344,4.4504,4.4664,49144,0
20070413,4.5144,4.6344,4.4104,4.4904,62112,0
20070416,4.6584,4.9545,4.4904,4.8825,277168,0
20070417,5.0106,5.0506,4.7225,4.9226,192978,0
20070418,4.9625,4.9625,4.7304,4.8025,53177,0
20070419,4.6904,4.8105,4.6744,4.7304,73133,0
20070420,4.6904,5.0347,4.6904,5.0347,211910,0
20070423,5.0506,5.0827,4.9306,5.0267,91865,0
20070424,5.0587,5.0587,4.7545,5.0106,48584,0
20070425,4.8506,5.0187,4.8506,5.0106,34719,0
20070426,4.9706,4.9706,4.8506,4.9625,8810,0
20070427,4.9625,5.0106,4.8585,5.0026,13228,0
20070430,5.1707,5.4509,5.1707,5.3708,163638,0
20070502,5.547,5.611,5.4108,5.4829,70512,0
20070504,5.4348,5.4829,5.4188,5.4509,48047,0
20070507,5.4749,5.675,5.4509,5.611,71322,0
20070508,5.675,5.7631,5.5629,5.5629,110473,0
20070509,5.5309,5.611,5.4668,5.5949,65083,0
20070510,6.0112,6.0112,5.4668,5.6269,78623,0
20070511,5.2908,6.0112,5.2908,5.9872,60553,0
20070514,5.9872,6.4113,5.9872,6.2994,123352,0
20070515,6.3233,6.3233,6.0752,6.1553,63761,0
20070516,6.1793,6.4113,5.8671,5.8911,221507,0
20070517,6.0112,6.0912,5.8191,5.8831,46115,0
20070518,5.747,6.0112,5.7311,5.7311,30164,0
20070521,5.8512,6.1793,5.8512,6.0032,132862,0
20070522,6.0912,6.1713,5.8512,5.9711,79996,0
20070523,6.1233,6.1233,5.9071,5.9791,27881,0
20070524,5.9791,5.9791,5.779,5.9631,35505,0
20070525,5.955,5.9711,5.811,5.9711,63386,0
20070528,5.9711,6.1312,5.9311,5.9631,74443,0
20070529,6.0112,6.0912,5.803,5.9071,70586,0
20070530,5.8191,5.9071,5.6429,5.7551,47909,0
20070531,5.699,5.811,5.6591,5.7709,39548,0
20070601,5.795,5.8512,5.6509,5.811,36965,0
20070604,5.803,5.803,5.675,5.723,24960,0
20070605,5.699,5.803,5.6509,5.6509,46438,0
20070606,5.7551,6.0032,5.6429,5.9631,60491,0
20070608,5.9791,6.3394,5.6429,6.3233,113105,0
20070611,6.7316,7.2038,6.6116,6.7957,207641,0
20070612,6.7957,6.7957,6.4515,6.5314,135433,0
20070613,6.4274,6.7316,6.4274,6.6116,117948,0
20070614,6.6515,6.7316,6.4675,6.7316,119196,0
20070615,7.0517,7.0517,6.6195,6.6356,110361,0
20070618,6.6835,6.6835,6.3394,6.4835,136517,0
20070619,6.4113,6.4113,6.1953,6.1953,66755,0
20070620,6.1713,6.4113,6.0992,6.3634,33372,0
20070621,6.3714,6.3714,6.1632,6.2272,23598,0
20070622,6.4034,6.4034,6.1312,6.2512,59043,0
20070625,6.1312,6.5715,6.1152,6.4193,59516,0
20070626,6.4113,6.4113,6.2512,6.3314,43067,0
20070627,6.1713,6.2914,6.0912,6.0912,40845,0
20070628,6.0832,6.2914,6.0112,6.0192,39100,0
20070629,6.1953,6.1953,5.9471,5.9471,43106,0
20070702,6.0512,6.0912,5.747,5.7551,55898,0
20070703,5.7551,5.859,5.7551,5.787,50344,0
20070704,5.8671,6.0912,5.859,5.8671,48597,0
