Date,Open,High,Low,Close,Volume,OpenInt
20110729,5.4371,6.775,5.4371,6.1157,145124,0
20110801,6.2112,6.7368,6.2112,6.3928,36564,0
20110802,6.259,6.2686,6.2207,6.259,4083,0
20110803,6.2207,6.3068,5.829,6.173,10154,0
20110804,5.9437,6.0105,5.7334,5.7908,9519,0
20110805,5.2651,5.7717,5.0645,5.3798,6710,0
20110808,5.2078,5.9246,5.2078,5.7334,11086,0
20110809,5.6379,5.7334,5.3989,5.5423,5836,0
20110810,5.6188,5.7429,5.2556,5.5327,22040,0
20110811,5.2651,5.6761,5.2651,5.6761,1944,0
20110812,5.4468,5.7334,5.4468,5.6856,6010,0
20110816,5.5423,5.6665,5.2747,5.6665,1696,0
20110817,5.59,5.657,5.5423,5.657,547,0
20110818,5.4468,5.5327,5.2747,5.5327,1930,0
20110819,5.2747,5.5232,5.2747,5.5232,1286,0
20110822,5.5327,5.6283,5.5327,5.6283,471,0
20110823,5.2747,5.6092,5.2747,5.6092,179,0
20110825,5.3512,5.5997,5.3512,5.5997,582,0
20110826,5.3512,5.3607,5.3512,5.3607,320,0
20110829,5.59,5.59,5.3512,5.4468,755,0
20110830,5.3416,5.5805,5.3416,5.3512,1102,0
20110831,5.5327,5.59,5.4371,5.59,2878,0
20110901,5.59,5.59,5.59,5.59,56,0
20110902,5.5327,5.5327,5.4945,5.4945,370,0
20110906,5.4468,5.4468,5.4468,5.4468,105,0
20110907,5.4468,5.5518,5.4468,5.5518,1222,0
20110908,5.3321,5.5423,5.3321,5.5423,223,0
20110909,5.3512,5.5423,5.3512,5.5423,224,0
20110912,5.3321,5.5232,5.2556,5.5232,1467,0
20110913,5.2843,5.4371,5.2843,5.2843,466,0
20110914,5.4945,5.4945,5.4945,5.4945,314,0
20110916,5.2556,5.3512,5.1601,5.246,5753,0
20110919,5.0645,5.1123,5.0645,5.1123,745,0
20110920,5.0645,5.3416,5.0168,5.3416,377,0
20110921,4.9786,5.3321,4.9786,5.1601,1857,0
20110922,5.1601,5.2843,4.8352,4.8448,1345,0
20110923,4.7778,4.9594,4.5963,4.9594,276,0
20110926,4.5963,4.9594,4.5963,4.9594,1133,0
20110927,4.9594,4.9594,4.7778,4.9594,589,0
20110928,4.9594,4.9594,4.7778,4.9403,111,0
20110929,4.9403,4.9403,4.9403,4.9403,1,0
20110930,4.9403,4.9403,4.7778,4.9212,761,0
20111003,4.9307,4.9307,4.6919,4.8734,1218,0
20111004,4.8734,4.8734,4.711,4.8543,182,0
20111005,4.8734,4.8734,4.7301,4.7778,182,0
20111006,4.711,4.8352,4.6823,4.8352,443,0
20111007,4.8448,4.8448,4.8257,4.8448,736,0
20111010,4.8448,4.8448,4.8448,4.8448,1,0
20111011,4.7778,4.8639,4.7492,4.8639,3887,0
20111012,4.8448,4.8448,4.6823,4.8448,3,0
20111013,4.8352,4.8448,4.8352,4.8448,2,0
20111014,4.8448,4.8448,4.7683,4.8448,250,0
20111017,4.8543,4.8734,4.8543,4.8734,1371,0
20111018,4.8448,4.8448,4.6919,4.7778,453,0
20111019,4.7778,4.7778,4.6823,4.7778,379,0
20111020,4.6249,4.7778,4.6249,4.7778,13,0
20111021,4.8543,4.8543,4.8543,4.8543,2,0
20111024,4.8257,4.8257,4.644,4.6728,11910,0
20111025,4.644,4.8448,4.644,4.8448,147,0
