Date,Open,High,Low,Close,Volume,OpenInt
20080414,7.7881,7.7881,6.0675,6.2033,14439,0
20080415,5.841,6.7919,5.841,6.7919,24932,0
20080416,6.6108,7.0455,6.158,7.0455,3506,0
20080417,7.1451,7.1451,6.7919,7.1088,752,0
20080418,7.1088,7.1088,6.475,7.1088,3070,0
20080421,6.7919,7.0999,6.7919,7.0999,2760,0
20080422,7.0636,7.0636,6.3391,6.8734,6805,0
20080423,6.5656,6.8825,6.5656,6.8825,960,0
20080424,6.7919,6.7919,6.5656,6.7828,1171,0
20080425,6.7919,6.7919,6.5745,6.7919,2637,0
20080428,6.7919,6.8372,6.7919,6.8372,159,0
20080429,6.6108,6.9368,6.6108,6.8825,674,0
20080430,6.8372,6.8825,6.6108,6.8825,1013,0
20080505,6.8825,6.8825,6.4297,6.8825,1178,0
20080506,6.8734,6.8734,6.8734,6.8734,110,0
20080507,6.8734,6.8734,6.8734,6.8734,55,0
20080508,6.8734,6.8825,6.5203,6.8825,3350,0
20080509,6.8825,6.8825,6.8825,6.8825,22,0
20080512,6.8825,6.8825,6.5656,6.8734,2567,0
20080513,6.8825,6.8825,6.5656,6.7919,674,0
20080514,6.5656,6.7375,6.475,6.7375,707,0
20080515,6.7466,6.7466,6.493,6.7466,386,0
20080516,6.5293,6.6108,6.4388,6.6108,3976,0
20080519,6.7013,6.7013,6.2938,6.656,5267,0
20080520,6.656,6.656,6.3391,6.656,1281,0
20080521,6.6108,6.6108,6.3391,6.6108,751,0
20080523,6.6108,6.6108,6.2033,6.6108,408,0
20080526,6.6108,6.6108,6.3391,6.6108,2021,0
20080527,6.6108,6.6108,6.158,6.5203,8072,0
20080528,6.7375,6.7375,6.7375,6.7375,11,0
20080529,6.7195,6.7195,6.4297,6.6108,298,0
20080602,6.4297,6.7013,6.2758,6.7013,1932,0
20080603,6.3482,6.3573,6.3482,6.3482,3313,0
20080604,6.3391,6.6108,6.158,6.6108,1490,0
20080605,6.2485,6.6108,6.2485,6.6108,243,0
20080606,6.6108,6.6108,6.6108,6.6108,11,0
20080609,6.6018,6.6018,6.2485,6.5656,905,0
20080610,6.6018,6.6018,6.6018,6.6018,22,0
20080611,6.6018,6.6018,6.3029,6.3844,1126,0
20080612,6.3391,6.3391,6.0675,6.3391,453,0
20080613,6.3391,6.3391,6.0675,6.3391,1457,0
20080616,6.3391,6.3391,6.3391,6.3391,11,0
20080617,6.3391,6.3391,6.3391,6.3391,11,0
20080618,6.0765,6.4025,6.0765,6.4025,574,0
20080619,6.158,6.4568,6.158,6.4568,552,0
20080620,6.158,6.4297,6.158,6.4297,485,0
20080623,6.4297,6.4297,6.167,6.4297,2253,0
20080624,6.4206,6.4206,6.158,6.3391,464,0
20080625,6.3844,6.3844,6.3844,6.3844,11,0
20080626,6.0675,6.0675,6.0675,6.0675,442,0
20080627,6.0675,6.0675,5.669,6.0675,1358,0
20080630,6.0222,6.3391,5.7957,6.3391,2949,0
20080701,6.0855,6.0855,5.7957,6.0675,1656,0
20080702,6.0675,6.0675,5.7052,5.8863,1104,0
20080703,5.8863,5.8863,5.8863,5.8863,110,0
20080704,5.8863,5.8863,5.6147,5.8863,3976,0
20080708,5.7052,5.7957,5.7052,5.7957,563,0
20080709,5.7957,5.7957,5.4335,5.6147,519,0
20080710,5.7957,5.9769,5.2072,5.841,3276,0
20080711,5.5694,5.7957,5.5694,5.66,1596,0
20080714,5.7957,5.841,5.7957,5.841,828,0
20080716,5.6147,5.6147,5.4788,5.6147,1126,0
20080717,5.6147,5.6147,5.4788,5.5241,619,0
20080718,5.4788,5.7052,5.4788,5.7052,895,0
20080721,5.7052,5.8954,5.4335,5.7052,3448,0
20080722,5.6147,5.6147,5.6147,5.6147,552,0
20080723,5.7957,5.7957,5.7957,5.7957,552,0
20080724,5.9769,5.9769,5.9769,5.9769,55,0
20080725,6.0222,6.0222,6.0222,6.0222,221,0
20080728,6.0222,6.0222,6.0222,6.0222,110,0
20080729,6.0222,6.0222,6.0222,6.0222,11,0
20080730,6.0222,6.1761,6.0222,6.1761,1535,0
20080731,6.3844,6.3844,6.3844,6.3844,331,0
20080801,6.6108,6.7919,6.5112,6.5112,1236,0
20080805,6.8463,6.8463,6.8463,6.8463,1,0
20080811,6.8372,6.8372,6.8372,6.8372,11,0
20080812,6.8372,6.8372,6.8372,6.8372,11,0
20080813,6.8372,6.8372,6.8372,6.8372,11,0
20080814,6.8372,6.8463,6.8372,6.8372,108,0
20080818,6.656,6.656,6.656,6.656,552,0
20080825,6.7466,6.7466,6.6108,6.6108,994,0
20080826,6.6108,6.6108,6.6108,6.6108,11,0
20080827,6.6108,6.6108,6.6108,6.6108,2621,0
20080904,6.6108,6.6108,6.6108,6.6108,5,0
20080905,6.7013,6.7919,6.7013,6.7919,304,0
20080908,6.7919,6.7919,6.7919,6.7919,33,0
20080909,6.7919,6.7919,6.7919,6.7919,11,0
20080910,6.7919,6.7919,6.7919,6.7919,11,0
20080911,6.7919,6.7919,6.7919,6.7919,11,0
20080912,6.7919,6.7919,6.7919,6.7919,11,0
20080915,6.7919,6.7919,6.7919,6.7919,5,0
20080916,6.7919,6.7919,6.7919,6.7919,5,0
20080917,6.7919,6.7919,6.7919,6.7919,5,0
20080918,6.9278,6.9278,6.9278,6.9278,5,0
20080919,6.9278,6.9278,6.9278,6.9278,11,0
20080922,6.9821,6.9821,6.9821,6.9821,276,0
20080923,6.7013,6.7013,6.7013,6.7013,442,0
20080924,7.0273,7.0364,7.0273,7.0364,154,0
20080926,7.0636,7.2447,7.0636,7.2447,1380,0
20080929,6.9731,6.9731,6.9731,6.9731,442,0
20080930,7.2266,7.2266,7.2266,7.2266,11,0
20081001,7.2266,7.2266,7.2266,7.2266,67,0
20081002,7.1541,7.1541,7.1541,7.1541,11,0
20081003,7.1541,7.1541,7.1541,7.1541,11,0
20081006,7.1541,7.1541,6.8372,6.8372,453,0
20081007,6.7013,6.7013,6.7013,6.7013,11,0
20081008,6.4297,6.6108,6.4297,6.6108,453,0
20081009,6.4297,6.4297,6.4297,6.4297,11,0
20081010,6.3391,6.3391,6.3391,6.3391,11,0
20081013,6.3391,6.3391,6.3391,6.3391,11,0
20081014,6.6108,6.6108,6.6108,6.6108,442,0
20081015,6.5203,6.5203,6.5203,6.5203,442,0
20081016,6.7919,6.7919,6.7919,6.7919,11,0
20081020,6.8372,6.8372,6.8372,6.8372,11,0
20081021,6.8372,6.8825,6.8372,6.8825,232,0
20081022,6.3391,7.1723,6.3391,6.3844,3976,0
20081023,5.9769,6.7828,5.4426,6.7828,2178,0
20081027,6.7919,6.7919,6.7919,6.7919,93,0
20081028,6.7828,6.7919,6.7828,6.7919,1435,0
20081029,6.7919,6.7919,6.4297,6.4297,668,0
20081030,6.7828,6.7919,6.7828,6.7919,1116,0
20081031,6.7919,6.7919,6.7919,6.7919,110,0
20081103,6.7828,6.7828,6.7828,6.7828,11,0
20081104,6.7738,6.7738,6.4297,6.4297,563,0
20081106,6.7828,6.7828,6.7828,6.7828,11,0
20081107,6.7828,6.7828,6.3391,6.3391,453,0
20081112,6.3391,6.3391,6.3391,6.3391,166,0
20081113,6.7828,6.7828,6.3391,6.3391,343,0
20081114,6.3391,6.3935,6.2938,6.2938,3737,0
20081117,6.3391,6.3391,6.3391,6.3391,552,0
20081118,6.3391,6.3391,6.2938,6.3391,1351,0
20081119,6.3391,6.3391,6.3391,6.3391,563,0
20081120,6.3391,6.3391,6.3391,6.3391,107,0
20081121,6.3391,6.3391,6.3391,6.3391,442,0
20081124,6.7919,6.7919,6.2485,6.2485,553,0
20081126,6.2576,6.2576,6.2485,6.2485,2208,0
20081128,6.2576,6.2576,6.2576,6.2576,6,0
20081201,6.2576,6.2576,6.2485,6.2485,215,0
20081209,6.6018,6.6018,6.3391,6.3391,122,0
20081210,6.6018,6.6018,6.6018,6.6018,11,0
20081211,6.6018,6.6018,6.6018,6.6018,11,0
20081212,6.6018,6.6018,6.6018,6.6018,11,0
20081215,6.6108,6.6108,6.6108,6.6108,552,0
20081217,6.7828,6.7828,6.7828,6.7828,105,0
20081218,6.5656,6.5656,6.3391,6.3391,3831,0
20081219,6.3391,6.3391,6.3391,6.3391,442,0
20081231,6.6108,6.6108,6.6108,6.6108,110,0
20090105,6.656,6.656,6.656,6.656,11,0
20090106,6.7013,6.7013,6.7013,6.7013,11,0
20090107,6.7466,6.8372,6.7466,6.8372,3296,0
20090108,6.8372,6.8372,6.8372,6.8372,5,0
20090109,6.8463,6.8463,6.4297,6.8463,98,0
20090112,6.8463,6.8463,6.8463,6.8463,11,0
20090113,6.8463,6.8463,6.4297,6.4297,396,0
20090114,6.8643,6.8643,6.8643,6.8643,1104,0
20090115,6.8643,7.2447,6.8643,7.2447,2952,0
20090116,7.2447,7.2447,7.2447,7.2447,110,0
20090119,7.2447,7.2447,7.2447,7.2447,110,0
20090120,7.2447,7.2447,7.2447,7.2447,11,0
20090121,7.2447,7.2447,7.2447,7.2447,11,0
20090122,7.6975,7.6975,7.6975,7.6975,1656,0
20090123,7.6975,7.6975,7.6975,7.6975,11,0
20090126,7.6975,7.6975,7.6975,7.6975,5,0
20090127,7.6975,7.6975,7.6975,7.6975,11,0
20090128,7.6975,8.2318,7.6975,8.2318,22010,0
20090129,8.1503,8.1503,8.1503,8.1503,110,0
20090130,8.2409,8.2409,8.2409,8.2409,11,0
20090202,8.2409,8.2409,8.2409,8.2409,11,0
20090203,8.2409,8.2409,8.1503,8.1503,1311,0
20090204,8.2409,8.2409,8.2409,8.2409,850,0
20090205,8.2409,8.6031,8.2409,8.5125,3313,0
20090209,8.4219,8.6937,8.4219,8.6937,287,0
20090210,8.7843,8.9562,8.7843,8.9562,2286,0
20090211,8.9653,9.065,8.9653,9.065,2275,0
20090212,9.0559,9.237,9.0559,9.237,1137,0
20090213,9.237,9.4181,9.237,9.4181,1236,0
20090216,9.4181,9.681,9.4181,9.681,629,0
20090218,9.4181,9.4181,8.6031,9.409,1348,0
20090219,9.0559,9.554,9.0559,9.554,2109,0
20090220,9.554,9.69,9.554,9.69,1662,0
20090223,9.681,9.681,9.681,9.681,22,0
20090224,9.0559,9.681,9.0559,9.681,106,0
20090225,9.4181,9.4181,9.4181,9.4181,11,0
20090226,9.681,9.681,9.681,9.681,1,0
20090227,9.681,9.78,9.681,9.78,2788,0
