Date,Open,High,Low,Close,Volume,OpenInt
19940630,9.0184,9.0184,9.0184,9.0184,94133,0
19940704,8.4739,8.4739,8.4739,8.4739,100969,0
19940705,9.0184,9.0184,9.0184,9.0184,126985,0
19940706,9.916,9.916,9.916,9.916,105607,0
19940707,10.91,10.91,10.91,10.91,0,0
19940711,11.999,11.999,11.999,11.999,80229,0
19940712,13.165,13.165,13.165,13.165,0,0
19940713,14.435,14.435,14.435,14.435,139313,0
19940714,13.528,13.528,13.528,13.528,103114,0
19940718,14.884,14.884,14.884,14.884,142668,0
19940719,14.435,14.435,14.435,14.435,50143,0
19940720,13.623,13.623,13.623,13.623,70384,0
19940721,14.435,14.435,14.435,14.435,118780,0
19940725,12.983,12.983,12.983,12.983,68565,0
19940726,12.716,12.716,12.716,12.716,32691,0
19940727,13.346,13.346,13.346,13.346,31273,0
19940728,12.983,12.983,12.983,12.983,31494,0
19940801,13.079,13.079,13.079,13.079,28185,0
19940802,13.528,13.528,13.528,13.528,71442,0
19940803,14.072,14.072,14.072,14.072,62235,0
19940804,14.435,14.435,14.435,14.435,121230,0
19940808,14.435,14.435,14.435,14.435,40580,0
19940809,14.072,14.072,14.072,14.072,45072,0
19940810,13.709,13.709,13.709,13.709,30635,0
19940811,13.528,13.528,13.528,13.528,36395,0
19940816,14.072,14.072,14.072,14.072,26100,0
19940817,13.977,13.977,13.977,13.977,45818,0
19940818,13.795,13.795,13.795,13.795,17024,0
19940822,13.795,13.795,13.795,13.795,17956,0
19940823,13.165,13.165,13.165,13.165,26211,0
19940824,12.811,12.811,12.811,12.811,32663,0
19940825,12.63,12.63,12.63,12.63,20041,0
19940829,12.353,12.353,12.353,12.353,24835,0
19940830,12.63,12.63,12.63,12.63,41827,0
19940831,11.818,11.818,11.818,11.818,20689,0
19940901,11.541,11.541,11.541,11.541,11542,0
19940905,11.541,11.541,11.541,11.541,13599,0
19940906,10.461,10.461,10.461,10.461,28811,0
19940907,9.563,9.563,9.563,9.563,46622,0
19940908,10.461,10.461,10.461,10.461,59994,0
19940912,11.187,11.187,11.187,11.187,48431,0
19940913,10.098,10.098,10.098,10.098,133698,0
19940914,9.916,9.916,9.916,9.916,42138,0
19940915,9.0184,9.0184,9.0184,9.0184,27879,0
19940919,9.649,9.649,9.649,9.649,63807,0
19940920,9.916,9.916,9.916,9.916,47066,0
19940921,9.1139,9.1139,9.1139,9.1139,52150,0
19940922,9.916,9.916,9.916,9.916,56402,0
19940926,9.745,9.745,9.745,9.745,20434,0
19940927,9.649,9.649,9.649,9.649,24259,0
19940928,9.745,9.745,9.745,9.745,34222,0
19940929,10.279,10.279,10.279,10.279,43794,0
19941003,10.824,10.824,10.824,10.824,53962,0
19941004,11.369,11.369,11.369,11.369,56740,0
19941005,11.722,11.722,11.722,11.722,35951,0
19941006,11.273,11.273,11.273,11.273,38699,0
19941007,10.824,10.824,10.824,10.824,25778,0
19941010,10.461,10.461,10.461,10.461,43451,0
19941011,10.098,10.098,10.098,10.098,39283,0
19941012,10.098,10.098,10.098,10.098,35783,0
19941013,9.916,9.916,9.916,9.916,40835,0
19941014,10.098,10.098,10.098,10.098,10196,0
19941017,9.916,9.916,9.916,9.916,9530,0
19941018,10.098,10.098,10.098,10.098,13637,0
19941019,10.557,10.557,10.557,10.557,40707,0
19941020,10.461,10.461,10.461,10.461,30008,0
19941021,9.4674,9.4674,9.4674,9.4674,48325,0
19941024,9.3814,9.3814,9.3814,9.3814,28916,0
19941025,9.0184,9.0184,9.0184,9.0184,38046,0
19941026,8.6554,8.6554,8.6554,8.6554,27580,0
19941027,8.4739,8.4739,8.4739,8.4739,17429,0
19941028,8.1203,8.1203,8.1203,8.1203,16870,0
19941102,8.4739,8.4739,8.4739,8.4739,25218,0
19941103,8.6554,8.6554,8.6554,8.6554,27905,0
19941104,8.1203,8.1203,8.1203,8.1203,21715,0
19941107,8.2063,8.2063,8.2063,8.2063,10206,0
19941108,8.34,8.34,8.34,8.34,16765,0
19941109,8.3019,8.3019,8.3019,8.3019,24042,0
19941110,8.1203,8.1203,8.1203,8.1203,14368,0
19941114,8.0248,8.0248,8.0248,8.0248,19586,0
19941115,7.2127,7.2127,7.2127,7.2127,20639,0
19941116,6.9453,6.9453,6.9453,6.9453,28227,0
19941117,7.1268,7.1268,7.1268,7.1268,20412,0
19941118,7.3943,7.3943,7.3943,7.3943,55703,0
