Date,Open,High,Low,Close,Volume,OpenInt
20090518,3.52,4.76,3.52,4.76,390120,0
20090519,4.58,5.15,4.5,4.71,225075,0
20090520,4.71,4.71,4.4,4.42,37415,0
20090521,4.5,4.5,3.72,4.25,109057,0
20090522,4.25,5,4.25,4.88,48571,0
20090525,4.9,4.9,4.3,4.68,15124,0
20090526,4.45,4.79,4.3,4.74,6738,0
20090527,4.8,4.99,4.35,4.8,17312,0
20090528,4.85,4.85,4.31,4.31,1007,0
20090529,4.35,4.84,4.21,4.84,145684,0
20090601,4.85,4.9,4.6,4.8,16450,0
20090602,4.8,4.9,4.5,4.87,10125,0
20090603,4.87,4.91,4.66,4.68,20626,0
20090604,4.94,5.16,4.94,5.15,80472,0
20090605,5.16,5.49,4.91,5.49,65561,0
20090608,5.5,5.55,5.3,5.55,18140,0
20090609,5.55,5.65,5.55,5.59,30900,0
20090610,5.65,5.79,5.5,5.79,31929,0
20090612,5.7,5.95,5.7,5.95,20156,0
20090615,5.96,6.01,5.8,6.01,9240,0
20090616,6,6.3,5.5,6.3,57019,0
20090617,6.3,6.32,5.89,6.3,20837,0
20090618,6.29,6.32,5.87,6.31,9007,0
20090619,6.2,6.5,5.95,6.5,17279,0
20090622,6.4,6.4,5.6,6.05,7786,0
20090623,6.2,6.2,5.12,5.79,3212,0
20090624,5.79,6.2,5.79,6.2,8649,0
20090625,6.2,6.5,5.84,6,8630,0
20090626,6.1,6.8,5.91,6.8,21085,0
20090629,7,7.07,6.51,7.07,4114,0
20090630,7.07,7.2,6.75,7.2,11177,0
20090701,6.6,7.2,6.6,7.15,725,0
20090703,6.72,7.12,6.54,7.12,2270,0
20090706,6.75,6.75,6.5,6.5,1240,0
20090707,6.4,6.4,6.05,6.05,1048,0
20090708,6.25,6.3,6.21,6.3,3863,0
20090710,6.26,6.51,5.81,6.51,1901,0
20090713,6.36,6.36,6.36,6.36,26,0
20090714,6.3,6.3,6.3,6.3,200,0
20090715,6.2,6.29,6.2,6.29,20617,0
20090717,5.21,6.8,5.21,6.79,8008,0
20090720,6.78,6.85,6.09,6.85,1329,0
20090721,6.85,6.85,6.35,6.84,1291,0
20090722,6.8,6.8,6.26,6.79,2754,0
20090723,6.7,6.9,6.7,6.9,465,0
20090724,6.3,6.74,6.3,6.74,948,0
20090727,6.32,6.75,6.3,6.75,455,0
20090728,6.71,6.71,6.71,6.71,19,0
20090729,6.73,6.73,6.73,6.73,20,0
20090730,6.8,6.8,6.05,6.05,545,0
20090731,6.05,6.97,6.05,6.89,6067,0
20090803,6.79,6.79,6.41,6.41,504,0
20090804,6.79,6.79,6.27,6.72,70,0
20090805,6.5,6.5,6.4,6.4,600,0
20090806,6.3,6.77,6.3,6.77,8626,0
20090807,6.4,6.97,6.4,6.88,5425,0
20090810,6.84,6.84,6.31,6.7,420,0
20090811,6.7,6.7,6.35,6.7,22,0
20090812,6.7,6.7,6.69,6.69,120,0
20090813,6.4,6.69,6.4,6.41,597,0
20090814,6.41,6.89,6.1,6.89,4416,0
20090817,6.05,6.78,6.05,6.78,8260,0
20090818,6.78,6.78,6.23,6.23,500,0
20090819,6.25,6.97,6.01,6.97,4470,0
20090821,6.4,7.09,6.3,7.09,4841,0
20090824,7.09,7.1,7.09,7.1,1200,0
20090825,7.01,7.11,6.56,7.11,308,0
20090826,6.54,6.54,6.54,6.54,290,0
20090827,7.11,7.11,6.72,7.11,845,0
20090828,6.61,7.17,6.54,7.17,3768,0
20090831,7.15,7.18,7.15,7.18,534,0
20090901,6.68,7.04,6.52,6.8,706,0
20090902,6.57,6.57,6.5,6.5,162,0
20090903,6.59,6.59,6.31,6.31,440,0
20090904,6.3,7.05,6.3,7.05,870,0
20090908,6.85,7.12,6.26,7.12,3414,0
20090910,6.8,6.8,6.4,6.4,3100,0
20090914,6.41,6.41,6.41,6.41,100,0
20090916,6.4,6.7,6.4,6.7,210,0
20090917,6.26,6.6,6.25,6.6,1270,0
20090918,6.45,6.45,6.3,6.45,638,0
20090921,6.21,6.21,6.2,6.2,1150,0
20090922,6.25,6.66,6.25,6.66,201,0
20090925,6,6,6,6,166,0
20090928,6,6.8,6,6.78,1388,0
20090929,6.12,6.76,6.11,6.76,1161,0
20090930,6.79,6.98,6.04,6.98,3471,0
20091001,6.87,6.87,6.2,6.2,1010,0
20091002,6.78,6.79,6.78,6.79,80,0
20091013,6.45,6.94,6.45,6.89,18142,0
20091015,6.45,6.45,6.45,6.45,2268,0
20091016,6.55,6.55,6.15,6.15,3070,0
20091019,6.12,6.12,6.01,6.01,370,0
20091020,5.55,5.6,5.5,5.6,4600,0
20091021,5.96,6,5.6,6,1106,0
20091028,5.1,6,5.1,6,6100,0
20091104,5.7,5.7,5.7,5.7,200,0
20091105,5.65,5.65,5.5,5.5,830,0
20091106,5.99,6,5.99,6,680,0
20091109,5.99,6,5.99,6,105,0
20091110,6.24,6.24,6.24,6.24,70,0
20091112,6.37,6.75,6.37,6.75,2776,0
20091113,6.76,6.89,6.76,6.89,207,0
20091116,6.11,6.8,5.53,6.8,1195,0
20091117,6.8,6.8,6.8,6.8,12,0
20091119,5.56,6.7,5.56,6.7,201,0
20091123,6.2,6.7,6.2,6.7,911,0
20091124,6,6.83,6,6.83,1186,0
20091126,6.37,6.37,6.37,6.37,21,0
20091127,6.82,6.83,6.82,6.83,450,0
20091201,6.8,6.8,6.8,6.8,21,0
20091203,6.8,6.84,6.8,6.84,350,0
20091204,6.65,6.65,6.65,6.65,500,0
20091207,6.7,6.89,6.55,6.55,2806,0
20091208,6.58,6.89,6.58,6.89,1514,0
20091209,6.7,6.8,6.7,6.8,600,0
20091211,6.8,6.8,6.8,6.8,300,0
20091218,6.79,6.79,6.79,6.79,610,0
20091221,6.79,6.95,6.79,6.95,2364,0
20091222,6.94,6.99,6.94,6.99,2000,0
20091223,6.99,7.2,6.99,7.2,7167,0
20091228,7.15,7.2,7.05,7.2,3000,0
20091229,7.2,7.79,7,7.79,8097,0
20091230,7.79,8.2,7.45,8.13,7337,0
20091231,8.3,8.35,7.5,8.29,5350,0
20100104,8.15,8.15,7.5,7.5,1600,0
20100105,7.06,8.34,7,7.75,950,0
20100106,6.86,7.78,6.85,6.85,468,0
20100107,6.85,7.4,6.85,7.4,159,0
20100108,7.7,8.19,7.7,8.19,379,0
20100111,7.61,7.61,7.6,7.6,450,0
20100112,7.6,8.13,7.4,8.13,347,0
20100113,7.99,8,7.99,8,100,0
20100114,7.75,8.13,7.75,8.13,1389,0
20100115,8.12,8.17,7.45,8.17,976,0
20100119,7.61,7.61,7.6,7.6,360,0
20100120,7.64,7.64,7.64,7.64,250,0
20100121,7.4,7.63,7.1,7.63,670,0
20100122,7.05,7.05,7.05,7.05,110,0
20100125,7,7,7,7,500,0
20100126,6.9,6.9,6.9,6.9,200,0
20100128,7.19,7.6,7.19,7.6,250,0
20100129,7.5,7.5,7.5,7.5,20,0
20100201,7.3,7.96,7,7.96,560,0
20100202,7.5,7.5,7.5,7.5,150,0
20100204,7.8,7.8,7.8,7.8,100,0
20100205,7.86,8.12,7.86,8.12,520,0
20100208,8.12,8.12,8.12,8.12,50,0
20100209,7.5,8.25,7.5,8.25,405,0
20100210,8.25,8.3,8.25,8.3,127,0
20100211,8.28,8.28,8.28,8.28,50,0
20100212,8.3,8.3,8.3,8.3,100,0
20100216,8.3,8.34,7.51,8.34,1838,0
20100217,8.33,8.45,8.33,8.45,1130,0
20100218,8.45,8.74,7.51,8.74,2322,0
20100219,8.74,8.95,8.74,8.95,1765,0
20100222,8.95,9.25,8.51,9.25,3229,0
20100223,9.26,9.74,9,9.74,1711,0
20100224,9.01,9.9,9,9.9,1488,0
20100225,9.9,9.95,9.3,9.3,1541,0
20100226,9.31,9.94,9.31,9.94,277,0
20100301,9.94,9.94,9.3,9.65,744,0
20100302,9.81,9.92,9.81,9.92,200,0
20100303,9.89,9.92,9.5,9.92,558,0
20100304,9.15,9.93,9.15,9.93,58,0
20100305,9.92,9.92,9.92,9.92,105,0
20100309,9.79,10,9.5,9.99,50415,0
20100310,9.99,10,9.8,10,65669,0
20100311,10,10,9,9.95,44549,0
20100312,9.85,9.97,9.15,9.8,59183,0
20100315,9.97,9.98,9.45,9.49,53225,0
20100316,9.5,9.5,9.35,9.35,22235,0
20100317,9.31,9.42,9.1,9.14,32773,0
20100318,9.05,9.05,9,9,18630,0
20100319,8.55,8.6,8,8.53,22320,0
20100322,8.97,8.98,8.5,8.98,8617,0
20100323,8.8,8.8,8.8,8.8,17,0
20100324,8.79,8.79,8.79,8.79,27,0
20100325,8.8,8.8,8.8,8.8,5000,0
20100326,8.68,9.5,8.68,9.5,30511,0
20100329,9.5,10,9.5,9.5,11926,0
20100330,10,10,10,10,500,0
20100331,10,10,10,10,500,0
20100401,10,10,10,10,455,0
20100406,9.01,10,9.01,10,493,0
20100407,9.2,9.2,9,9,1615,0
20100408,9.15,9.15,9.15,9.15,300,0
20100409,8.75,9.45,8.7,9.45,781,0
20100412,8.75,9.43,8.75,9.43,277,0
20100413,8.5,8.8,8.4,8.8,685,0
20100414,8.23,8.59,8.23,8.59,380,0
20100415,8.23,8.23,8.14,8.14,360,0
20100416,8.05,8.15,8.05,8.15,1000,0
20100419,8.02,8.1,8,8.1,430,0
20100420,8.05,8.05,8.01,8.01,300,0
20100421,8.01,8.1,8,8.1,320,0
20100422,8,8.59,8,8.59,400,0
20100423,8.52,9.09,8.52,9.09,1190,0
20100426,8.59,8.59,8.5,8.5,395,0
