Date,Open,High,Low,Close,Volume,OpenInt
19990803,26.307,26.307,26.307,26.307,111,0
19990804,26.307,26.307,26.307,26.307,66,0
19990805,28.122,28.122,28.122,28.122,22,0
19990806,27.214,27.214,27.214,27.214,111,0
19990809,26.307,26.307,26.307,26.307,10,0
19990909,21.772,21.772,21.772,21.772,1653,0
19990913,23.586,23.586,23.586,23.586,330,0
19990920,22.225,22.225,22.225,22.225,330,0
19990922,21.137,21.137,21.137,21.137,111,0
19990924,20.864,20.864,20.864,20.864,111,0
19990928,20.864,21.318,20.864,21.318,661,0
19990929,20.864,20.864,20.864,20.864,111,0
19991004,20.864,21.046,20.864,21.046,441,0
19991007,19.866,19.957,19.866,19.957,220,0
19991015,20.864,20.864,20.864,20.864,772,0
19991021,19.957,19.957,19.957,19.957,551,0
19991105,17.871,18.233,17.871,18.233,220,0
19991122,18.233,18.233,18.233,18.233,111,0
19991126,21.772,21.772,21.772,21.772,111,0
19991129,24.039,24.493,24.039,24.493,36897,0
19991203,18.233,19.05,18.143,18.143,441,0
19991206,18.233,18.233,18.233,18.233,111,0
19991208,17.235,17.235,17.055,17.055,220,0
19991210,17.235,17.235,17.235,17.235,111,0
19991216,16.329,16.419,16.329,16.419,22577,0
19991223,17.145,17.145,17.145,17.145,1213,0
20000110,18.052,18.143,18.052,18.143,1213,0
20000118,17.235,17.235,17.235,17.235,177,0
20000120,16.782,16.782,16.782,16.782,166,0
20000121,16.329,16.782,16.329,16.782,353,0
20000124,16.329,16.329,16.329,16.329,220,0
20000127,16.329,16.329,16.329,16.329,739,0
20000128,16.329,16.329,16.329,16.329,353,0
20000201,16.329,16.329,16.329,16.329,551,0
20000203,16.691,17.689,16.691,17.689,1984,0
20000204,16.964,16.964,16.329,16.873,1632,0
20000207,16.329,16.329,16.329,16.329,551,0
20000208,16.329,16.329,16.329,16.329,1102,0
20000209,16.419,16.419,16.329,16.419,860,0
20000210,16.873,16.873,16.873,16.873,55,0
20000217,16.419,16.419,16.419,16.419,111,0
20000221,16.329,16.329,16.329,16.329,10,0
20000223,16.6,17.235,15.875,15.875,639,0
20000229,17.145,18.688,16.782,18.688,1223,0
20000301,15.422,17.235,15.422,17.235,561,0
20000302,17.235,17.235,16.964,17.145,1709,0
20000303,18.143,18.143,17.78,18.143,1058,0
20000306,18.143,19.05,18.143,19.05,716,0
20000307,19.504,19.957,19.504,19.957,639,0
20000308,19.141,19.141,18.143,18.868,1499,0
20000309,19.05,19.05,18.143,18.143,1323,0
20000310,18.597,18.597,18.597,18.597,937,0
20000313,19.05,19.957,18.143,18.143,1378,0
20000314,19.504,19.504,19.05,19.05,551,0
20000316,19.504,19.504,19.504,19.504,220,0
20000317,19.504,19.504,19.504,19.504,220,0
20000320,19.504,19.504,19.504,19.504,1102,0
20000321,19.141,19.141,19.141,19.141,111,0
20000322,19.957,24.493,19.685,24.493,1312,0
20000323,20.411,23.132,20.411,21.862,330,0
20000324,20.955,20.955,20.955,20.955,33,0
20000327,21.772,21.772,21.772,21.772,144,0
20000328,21.772,21.772,20.864,20.864,551,0
20000329,21.408,21.408,20.864,20.864,232,0
20000330,20.139,20.955,20.139,20.955,220,0
20000331,20.411,20.411,19.05,19.05,1764,0
20000403,20.955,20.955,19.141,19.141,463,0
20000404,20.411,21.318,19.231,19.413,540,0
20000405,18.143,19.504,18.143,19.504,330,0
20000406,18.597,18.597,18.597,18.597,111,0
20000407,19.05,19.413,19.05,19.141,1995,0
20000410,19.05,19.504,19.05,19.141,4740,0
20000411,19.775,19.775,19.775,19.775,55,0
20000412,20.411,20.411,19.957,19.957,1102,0
20000413,20.048,20.139,20.048,20.139,208,0
20000417,19.957,19.957,19.05,19.05,463,0
20000418,18.233,19.05,18.233,19.05,220,0
20000419,20.23,20.501,19.05,19.05,1301,0
20000420,19.05,19.866,19.05,19.504,342,0
20000425,19.504,20.23,19.322,20.23,275,0
20000426,20.501,21.681,20.32,21.681,1422,0
20000427,22.497,24.221,21.318,21.772,4696,0
20000428,22.679,22.679,22.225,22.225,14508,0
20000505,22.225,22.679,22.225,22.679,275,0
