Date,Open,High,Low,Close,Volume,OpenInt
20080320,4.0335,4.2173,3.9372,3.9372,156699,0
20080325,3.771,3.9811,3.4735,3.4998,35884,0
20080326,3.4822,3.5873,3.2373,3.2899,78384,0
20080327,3.4735,3.4735,3.2986,3.3685,8729,0
20080328,3.4036,3.4036,3.2373,3.3597,8932,0
20080331,3.2373,3.3949,3.1061,3.3861,18948,0
20080401,3.3949,3.4473,3.2373,3.3073,5306,0
20080402,3.3248,3.3336,3.1674,3.2548,7917,0
20080403,3.2023,3.2023,2.9748,2.9836,19240,0
20080404,3.0011,3.0011,2.7561,2.8786,32056,0
20080407,2.8435,2.8611,2.7561,2.8435,16819,0
20080408,2.7473,3.316,2.7124,3.316,67928,0
20080409,3.3073,3.6573,3.2286,3.6573,74272,0
20080410,3.6748,3.7185,3.5523,3.6047,8884,0
20080411,3.6748,4.191,3.6748,4.1385,93087,0
20080414,3.7623,3.9985,3.7623,3.9286,4469,0
20080415,3.9372,3.9547,3.6836,3.6923,883,0
20080416,3.9286,4.0685,3.6923,3.9811,48801,0
20080417,3.9372,3.9372,3.6923,3.7011,3750,0
20080418,3.6748,3.7011,3.4648,3.7011,11682,0
20080421,3.7449,3.8322,3.7449,3.8322,2790,0
20080422,3.7449,3.8935,3.7449,3.8935,1441,0
20080423,3.9198,3.9198,3.9198,3.9198,17,0
20080424,3.6748,3.8935,3.6748,3.8935,576,0
20080425,3.6836,3.7798,3.6836,3.7798,552,0
20080428,3.8061,3.8061,3.5261,3.7273,2331,0
20080429,3.7273,3.7273,3.4998,3.4998,15758,0
20080430,3.666,3.841,3.666,3.841,19965,0
20080505,3.841,3.8935,3.6748,3.841,13250,0
20080506,4.2698,4.2698,3.8061,4.0248,1312,0
20080507,4.0948,4.0948,4.0948,4.0948,1,0
20080508,3.7185,3.7536,3.5873,3.6047,8031,0
20080509,3.6047,3.7273,3.5873,3.7273,1989,0
20080512,3.7273,3.8848,3.7273,3.8848,80,0
20080513,3.4998,3.7798,3.4911,3.7798,1457,0
20080515,3.4124,3.6748,3.4124,3.6748,9381,0
20080516,3.3336,3.4561,3.2373,3.2373,14678,0
20080519,3.3248,3.4124,3.2373,3.4124,22964,0
20080520,3.4036,3.4036,3.4036,3.4036,15,0
20080521,3.0885,3.3949,3.0885,3.3949,1102,0
20080523,3.4036,3.4998,3.4036,3.4648,1418,0
20080526,3.4735,3.4735,3.3861,3.3861,87,0
20080527,3.2373,3.4561,3.2373,3.4561,336,0
20080529,3.1935,3.4561,3.1148,3.1499,3115,0
20080530,3.2373,3.2373,2.9311,3.2286,6608,0
20080602,3.0536,3.0536,3.0536,3.0536,1142,0
20080603,3.0186,3.0186,2.8961,3.0098,2280,0
20080604,2.8435,3.0011,2.8435,2.8435,1669,0
20080605,2.9311,3.1236,2.9311,3.1236,1632,0
20080606,3.0624,3.316,3.0624,3.316,246,0
20080609,3.3861,3.3861,3.3861,3.3861,1,0
20080610,2.7124,2.7124,2.7124,2.7124,68,0
20080611,3.2373,3.2373,3.2373,3.2373,68,0
20080612,3.2286,3.3248,2.7298,3.1499,1053,0
20080613,3.1411,3.1411,3.1411,3.1411,1579,0
20080616,3.1499,3.1499,3.1499,3.1499,2,0
20080617,3.2286,3.2286,3.2286,3.2286,5,0
20080618,3.3248,3.3248,3.3248,3.3248,1,0
20080619,3.3685,3.4561,3.3685,3.4561,2,0
20080620,3.4385,3.4385,3.4385,3.4385,171,0
20080624,3.2811,3.2811,3.2286,3.2286,150,0
20080626,3.2811,3.2811,3.2811,3.2811,13,0
20080627,2.8523,3.1236,2.7124,3.0624,19706,0
20080630,3.0624,3.0624,3.0624,3.0624,422,0
20080701,2.7124,2.8435,2.6687,2.7999,3879,0
20080702,2.6248,2.7999,2.5636,2.7911,858,0
20080703,2.6248,2.7561,2.5899,2.7386,13208,0
20080707,2.7473,2.7473,2.5811,2.7124,1485,0
20080708,2.6248,2.6248,2.6248,2.6248,171,0
20080711,2.6248,2.7386,2.5811,2.7124,2368,0
20080714,2.7561,2.7561,2.7561,2.7561,57,0
20080715,2.5023,2.6074,2.3711,2.6074,2654,0
20080716,2.3711,2.5373,2.3711,2.5373,1290,0
20080717,2.5461,2.7298,2.5461,2.7298,148,0
20080718,2.7298,2.7298,2.7298,2.7298,171,0
20080723,2.6248,2.6248,2.6248,2.6248,904,0
20080729,2.5111,2.5111,2.5023,2.5023,324,0
20080730,2.4936,2.6687,2.4936,2.6687,264,0
20080805,2.6161,2.6161,2.4499,2.4499,1808,0
20080806,2.5811,2.5811,2.4936,2.4936,909,0
20080807,2.6511,2.6511,2.6511,2.6511,230,0
20080808,2.5373,2.5373,2.3624,2.5373,810,0
20080811,2.6161,2.6161,2.6161,2.6161,445,0
20080813,2.5811,2.7036,2.5811,2.7036,3426,0
20080814,2.8435,2.8435,2.3274,2.6248,1282,0
20080818,2.6774,2.6774,2.6774,2.6774,1,0
20080819,2.3624,2.6248,2.3624,2.6248,535,0
20080821,2.3886,2.5198,2.3886,2.5198,1579,0
20080822,2.5111,2.5111,2.3624,2.4061,2788,0
20080825,2.6161,2.6161,2.6161,2.6161,1,0
20080826,2.6248,2.6511,2.6248,2.6511,210,0
20080828,2.5373,2.6336,2.3011,2.6336,1430,0
20080901,2.5811,2.5811,2.3449,2.3624,5766,0
20080902,2.3624,2.4061,2.3187,2.4061,2069,0
20080904,2.3973,2.3973,2.3973,2.3973,408,0
