Date,Open,High,Low,Close,Volume,OpenInt
20060803,6.7089,7.0371,5.8338,6.089,1722633,0
20060804,6.1256,6.49,6.1256,6.3808,285954,0
20060807,6.5995,6.5995,6.2349,6.49,154929,0
20060808,6.563,6.563,6.4172,6.49,91415,0
20060809,6.49,6.49,6.3078,6.4172,98783,0
20060810,6.3443,6.3808,6.2349,6.3078,39837,0
20060811,6.3078,6.3443,6.1619,6.1984,70030,0
20060814,6.1984,6.2713,6.0527,6.2349,43144,0
20060816,6.3078,6.3078,6.0161,6.0527,40633,0
20060817,6.089,6.1256,5.8702,5.9797,39241,0
20060818,5.9797,5.9797,5.6879,5.8702,75051,0
20060821,5.8702,5.8702,5.6879,5.7244,54064,0
20060822,5.7609,5.8338,5.6515,5.7244,48316,0
20060823,5.7244,5.7244,5.6515,5.6879,65210,0
20060824,5.6515,5.9797,5.5421,5.9797,69129,0
20060825,6.0161,6.089,5.7244,5.8702,40255,0
20060828,5.9068,5.9068,5.6879,5.8338,25779,0
20060829,5.7609,5.7973,5.6879,5.7609,26545,0
20060830,5.7244,5.8338,5.6879,5.7609,72694,0
20060831,5.7609,5.7973,5.6879,5.7609,14419,0
20060901,5.9141,5.9141,5.7609,5.7681,32016,0
20060904,5.8995,5.8995,5.7681,5.8119,18605,0
20060905,5.7973,6.1546,5.7681,6.0307,135934,0
20060906,6.1182,6.14,6.0307,6.0599,81045,0
20060907,6.0599,6.0599,5.8849,6.0527,18032,0
20060908,5.9797,6.0599,5.9358,6.0307,25268,0
20060911,6.1182,6.1911,6.0307,6.0599,49710,0
20060912,6.0962,6.0962,5.9504,6.0088,43399,0
20060913,6.0744,6.1256,6.0015,6.0161,135540,0
20060914,6.0744,6.1109,6.0161,6.0817,40386,0
20060915,6.089,6.089,5.987,6.0527,72570,0
20060918,6.0962,6.1256,6.0527,6.089,72313,0
20060919,6.0744,6.0744,5.9724,6.0379,54889,0
20060920,5.9943,6.0234,5.8338,5.8922,70644,0
20060921,5.9068,6.0088,5.8338,5.9068,158123,0
20060922,5.8995,6.1693,5.8702,6.1256,144142,0
20060925,6.1765,6.4172,6.1328,6.2713,182476,0
20060926,6.3078,6.49,6.3078,6.388,147795,0
20060927,6.3808,6.388,6.0527,6.213,141180,0
20060928,6.2932,6.3443,6.1911,6.2495,57800,0
20060929,6.1619,6.2349,6.0234,6.1109,69889,0
20061002,6.1256,6.1619,6.0527,6.1256,53083,0
20061003,6.089,6.1182,6.0161,6.0599,68165,0
20061004,6.0527,6.0817,5.9431,6.0527,59515,0
20061005,6.0672,6.1546,6.0527,6.1182,50160,0
20061006,6.1182,6.1765,6.0962,6.1256,32200,0
20061009,6.1984,6.213,6.0527,6.1693,46343,0
20061010,6.1256,6.2349,6.1256,6.2203,148872,0
20061011,6.2277,6.4172,6.0599,6.1256,109172,0
20061012,6.1256,6.2349,6.1109,6.2203,70679,0
20061013,6.2349,6.49,6.2349,6.3005,124711,0
20061016,6.3224,6.4682,6.3224,6.4317,273315,0
20061017,6.49,6.7454,6.4317,6.5849,330708,0
20061018,6.6359,6.7454,6.5703,6.7089,108982,0
20061019,6.7745,6.7745,6.6725,6.7235,114056,0
20061020,6.7162,6.7162,6.5266,6.5849,62523,0
20061023,6.6944,6.6944,6.5557,6.5703,163267,0
20061024,6.5703,6.6578,6.563,6.6359,94691,0
20061025,6.7015,7.0297,6.6797,6.9714,355249,0
20061026,7.0736,7.1975,6.7891,6.8475,161654,0
20061027,6.7672,6.8766,6.6797,6.7015,85418,0
20061030,6.6141,6.6725,6.5266,6.5266,59989,0
20061031,6.5266,6.6214,6.4974,6.6214,30620,0
20061102,6.6214,7.0736,6.5776,6.9277,227452,0
20061103,7.0078,7.2703,6.9277,7.1464,268878,0
20061106,7.2194,7.2194,7.0881,7.1464,70184,0
20061107,7.1391,7.1391,6.811,6.9568,98425,0
20061108,6.8182,6.9204,6.7891,6.8912,58938,0
20061109,6.9641,7.0006,6.8912,6.8912,77082,0
20061110,6.9422,7.0371,6.9422,6.9714,80279,0
20061113,7.0662,7.0662,6.8839,6.8839,43652,0
20061114,6.9277,6.9277,6.563,6.7089,140467,0
20061115,6.7089,6.7089,6.512,6.5266,128401,0
20061116,6.49,6.6871,6.4536,6.5557,94622,0
20061117,6.5922,6.5995,6.4536,6.563,50567,0
20061120,6.5557,6.6725,6.4974,6.6725,39041,0
20061121,6.6432,6.6871,6.5703,6.6725,535440,0
20061122,6.6871,7.1317,6.6871,7.1099,117589,0
20061123,7.1099,7.1829,6.9349,7.0736,89700,0
20061124,7.0736,7.0954,6.9641,7.0225,40823,0
20061127,7.0225,7.0371,6.9277,6.9422,57841,0
20061128,6.9714,6.9714,6.8036,6.9058,23129,0
20061129,6.9277,6.9568,6.8547,6.9568,49011,0
20061130,7.0152,7.1099,6.862,6.9495,54951,0
20061201,6.9568,7.4599,6.8547,7.3142,381688,0
20061204,7.4818,7.7881,7.4745,7.7153,342600,0
20061205,7.6933,7.6933,7.4235,7.5694,58855,0
20061206,7.584,7.6277,7.1611,7.438,212357,0
20061207,7.3142,7.4235,7.2922,7.4016,51988,0
20061208,7.3652,7.4745,7.1464,7.3287,120314,0
20061211,7.2922,7.2922,7.0736,7.1901,95111,0
20061212,7.1537,7.2194,7.0006,7.1245,109839,0
20061213,7.0809,7.5767,7.0736,7.4599,255299,0
20061214,7.5475,7.584,7.1683,7.212,120241,0
20061215,7.1317,7.3652,6.3808,7.2922,291772,0
20061218,7.3652,7.5767,7.2703,7.3287,55925,0
20061219,7.3069,7.3287,6.986,6.986,83285,0
20061220,7.0736,7.0809,6.7454,6.8694,44138,0
20061221,6.9204,6.9641,6.7817,6.8839,48473,0
20061222,6.8839,6.9933,6.7089,6.8036,34722,0
20061227,6.9422,7.1172,6.9277,7.0736,43668,0
20061228,7.1172,7.1172,6.811,6.9349,35066,0
20061229,7.0006,7.0297,6.862,6.8694,38167,0
20070102,7.0006,7.1829,7.0006,7.1756,80467,0
20070103,7.2558,7.2776,7.0736,7.1172,76907,0
