Date,Open,High,Low,Close,Volume,OpenInt
20080911,0.6898,0.6898,0.5691,0.5863,167650,0
20080912,0.5863,0.6036,0.526,0.5691,44769,0
20080915,0.5863,0.5863,0.5346,0.5691,27289,0
20080916,0.5604,0.5604,0.5346,0.5432,14743,0
20080917,0.5432,0.5432,0.526,0.5432,8422,0
20080918,0.526,0.526,0.4742,0.5174,83595,0
20080919,0.5174,0.6208,0.5174,0.6208,49030,0
20080922,0.6036,0.6036,0.5604,0.5691,8081,0
20080923,0.5604,0.6036,0.5604,0.5863,12405,0
20080924,0.5863,0.5863,0.5777,0.5777,1938,0
20080925,0.5777,0.5863,0.5604,0.5863,3383,0
20080926,0.5863,0.5863,0.5863,0.5863,2,0
20080929,0.5949,0.5949,0.5432,0.5518,6298,0
20080930,0.5518,0.5518,0.5432,0.5518,6893,0
20081001,0.5518,0.5691,0.5432,0.5432,7013,0
20081002,0.5432,0.5604,0.5174,0.5174,11250,0
20081003,0.5174,0.5174,0.4828,0.5174,40338,0
20081006,0.5174,0.5432,0.5174,0.5432,9540,0
20081007,0.5087,0.5346,0.5087,0.5346,10149,0
20081008,0.5346,0.5346,0.5087,0.5346,24471,0
20081009,0.5432,0.5432,0.526,0.5346,9278,0
20081010,0.4828,0.5087,0.4484,0.5087,64682,0
20081013,0.457,0.5087,0.4484,0.5087,26578,0
20081014,0.5174,0.5174,0.5001,0.5174,7655,0
20081016,0.4742,0.4742,0.4397,0.4484,15731,0
20081017,0.4742,0.4914,0.388,0.4914,80851,0
20081020,0.4311,0.4657,0.4053,0.4657,13684,0
20081021,0.4311,0.4311,0.4053,0.4311,27024,0
20081022,0.4224,0.4224,0.3535,0.388,88361,0
20081023,0.3794,0.4053,0.3449,0.4053,128159,0
20081024,0.3967,0.3967,0.388,0.388,2,0
20081027,0.4224,0.4914,0.4053,0.4828,25326,0
20081028,0.5001,0.5001,0.4914,0.4914,15632,0
20081029,0.5001,0.5174,0.5001,0.5087,17078,0
20081030,0.5174,0.5174,0.5087,0.5087,2,0
20081031,0.5087,0.5087,0.5087,0.5087,1741,0
20081103,0.5087,0.5087,0.5087,0.5087,117,0
