Date,Open,High,Low,Close,Volume,OpenInt
19961206,13.14,15.621,13.14,15.53,435,0
19961209,18.378,19.297,18.378,19.297,218,0
19961210,19.297,19.297,19.297,19.297,109,0
19961212,19.757,19.757,19.297,19.297,228,0
19961213,18.378,18.378,18.378,18.378,10,0
19961216,19.757,20.216,19.757,20.216,130,0
19961217,20.676,21.594,20.676,21.594,707,0
19961219,20.216,20.216,19.757,19.757,327,0
19970103,19.757,19.757,19.757,19.757,109,0
19970109,19.297,19.297,19.297,19.297,54,0
19970115,19.389,19.389,19.389,19.389,54,0
19970116,19.389,19.389,19.389,19.389,10,0
19970120,18.838,18.838,18.838,18.838,164,0
19970124,19.205,19.205,19.205,19.205,544,0
19970127,18.746,18.746,18.746,18.746,218,0
19970128,18.746,18.746,18.654,18.654,435,0
19970131,18.562,18.562,18.562,18.562,262,0
19970207,18.194,18.194,18.194,18.194,10,0
19970217,17.459,17.459,17.459,17.459,109,0
19970226,17.459,17.459,17.459,17.459,20,0
19970307,17,17,17,17,10,0
19970326,14.519,14.611,14.519,14.611,1197,0
19970327,14.611,14.611,14.611,14.611,218,0
19970404,14.335,14.335,14.335,14.335,54,0
19970407,14.335,14.335,14.335,14.335,54,0
19970409,13.967,13.967,13.967,13.967,44,0
19970414,13.875,13.875,13.875,13.875,54,0
19970416,13.875,13.875,13.875,13.875,218,0
19970417,13.692,13.692,13.6,13.692,544,0
19970418,13.416,13.416,13.416,13.416,272,0
19970421,13.049,13.049,13.049,13.049,109,0
19970425,12.865,12.865,12.865,12.865,109,0
19970428,12.773,12.773,12.773,12.773,164,0
19970430,12.589,12.589,12.589,12.589,218,0
19970512,12.681,12.681,12.681,12.681,327,0
19970513,12.681,12.681,12.681,12.681,109,0
19970515,12.589,12.589,12.589,12.589,109,0
19970522,12.681,12.681,12.681,12.681,109,0
19970530,12.681,12.681,12.681,12.681,109,0
19970605,12.589,12.589,12.589,12.589,109,0
19970609,12.589,12.589,12.589,12.589,164,0
19970612,12.589,12.589,12.589,12.589,225,0
19970613,12.222,12.222,12.222,12.222,109,0
19970616,12.038,12.038,12.038,12.038,218,0
19970625,11.394,11.394,11.394,11.394,174,0
19970707,11.303,11.303,11.303,11.303,370,0
19970710,11.394,11.394,11.394,11.394,109,0
19970714,11.211,11.211,11.211,11.211,218,0
19970721,11.211,11.211,11.211,11.211,10,0
19970722,10.659,10.659,10.659,10.659,10,0
19970820,10.751,10.751,10.751,10.751,218,0
19970826,10.843,10.843,10.751,10.751,20,0
19970827,10.659,10.659,10.476,10.476,218,0
19970829,10.659,10.659,10.659,10.659,10,0
19970905,10.843,10.843,10.843,10.843,10,0
19970908,10.843,10.843,10.843,10.843,262,0
19970909,10.935,10.935,10.935,10.935,10,0
19970910,10.843,11.027,10.843,11.027,327,0
19970911,11.027,11.027,10.935,11.027,1099,0
19970915,11.027,11.027,11.027,11.027,10,0
19970917,11.119,11.119,11.119,11.119,10,0
19970923,10.935,10.935,10.843,10.843,534,0
19971001,10.935,10.935,10.935,10.935,534,0
19971002,10.935,10.935,10.935,10.935,327,0
19971022,11.027,11.027,11.027,11.027,109,0
19971023,11.027,11.027,10.935,10.935,306,0
19971028,10.935,10.935,10.843,10.843,337,0
19971120,11.027,11.211,11.027,11.211,152,0
19971211,10.935,10.935,10.935,10.935,98,0
19971215,10.935,10.935,10.935,10.935,54,0
19980112,10.751,10.751,10.751,10.751,238,0
19980218,10.843,10.843,10.843,10.843,109,0
19980224,10.567,10.567,10.567,10.567,148,0
19980226,10.476,10.476,10.476,10.476,109,0
19980227,10.567,10.567,10.384,10.384,142,0
19980302,10.476,10.567,10.384,10.384,327,0
19980303,10.935,10.935,10.935,10.935,64,0
19980304,10.292,10.292,10.292,10.292,148,0
19980305,10.384,10.384,10.384,10.384,218,0
19980309,10.2,10.2,10.2,10.2,148,0
19980312,8.3621,9.189,8.3621,9.189,293,0
19980313,8.5458,8.5458,8.5458,8.5458,34,0
19980316,8.2702,8.6377,8.2702,8.2702,551,0
19980317,8.2702,8.2702,7.8107,7.9026,474,0
19980318,7.8107,7.9026,7.5349,7.9026,509,0
19980319,7.627,7.627,7.4432,7.5349,1319,0
19980320,7.2593,7.4432,7.2593,7.2593,953,0
19980323,9.0971,9.648,7.3053,7.3053,2171,0
19980324,7.3512,7.581,7.2593,7.5349,1770,0
19980325,7.581,7.8107,7.5349,7.8107,1019,0
19980326,8.454,8.454,7.627,7.627,1026,0
19980327,7.627,7.627,7.2593,7.3972,2231,0
19980330,7.3053,7.3972,7.2593,7.2593,1648,0
19980331,7.2593,7.5349,7.2593,7.5349,1093,0
19980401,7.2593,7.5349,7.2135,7.2593,1662,0
19980402,7.1675,7.2593,7.0756,7.1216,1089,0
19980406,7.1216,7.3053,7.1216,7.1675,2800,0
19980407,7.1675,7.3053,7.1675,7.3053,2565,0
19980408,7.2135,7.2593,7.1675,7.1675,1912,0
19980409,7.2135,7.2135,7.1216,7.1675,1102,0
19980414,7.1675,7.1675,7.0756,7.1216,1229,0
19980415,7.3512,7.3512,7.2135,7.2135,1174,0
19980416,7.1216,7.3972,7.0756,7.1216,1894,0
19980417,7.1216,7.1216,7.0756,7.0756,1551,0
19980420,7.0756,7.0756,7.0756,7.0756,1498,0
19980421,7.0756,7.1216,7.0297,7.0297,2602,0
19980422,7.0297,7.0756,6.9836,7.0297,1965,0
19980423,6.9377,7.0297,6.9377,6.9377,1064,0
19980424,6.8918,6.8918,6.8459,6.8459,1805,0
19980427,6.8459,6.8459,6.7079,6.7079,2082,0
19980428,6.7079,6.7079,6.2945,6.2945,2039,0
19980429,6.1566,6.1566,5.5135,5.6053,2634,0
19980430,5.4216,5.4216,4.5945,4.7324,2285,0
19980504,4.5945,4.7783,4.5487,4.6864,1099,0
19980505,4.6864,4.6864,4.5026,4.5026,2758,0
19980506,4.4567,4.4567,4.1351,4.2269,1865,0
19980507,4.1351,4.5487,4.1351,4.5487,1348,0
19980508,4.3189,5.3757,4.3189,5.3757,952,0
19980511,5.5135,5.5135,4.9161,5.1918,267,0
19980512,4.9161,5.2377,4.3189,4.8701,3137,0
19980513,4.9621,5.0539,4.9621,5.0539,364,0
19980514,4.7783,5.0539,4.6864,5.0539,803,0
19980515,4.5945,4.7783,4.5945,4.7783,694,0
19980518,5.0539,5.0539,4.7783,4.7783,262,0
19980519,5.008,5.008,4.6864,4.7783,391,0
