Date,Open,High,Low,Close,Volume,OpenInt
19970612,510,510,510,510,392,0
19970613,510,510,510,510,1563,0
19970616,480,480,480,480,1314,0
19970617,432,432,432,432,1746,0
19970618,426,426,426,426,937,0
19970619,420,420,420,420,1614,0
19970620,435,435,435,435,2622,0
19970623,441,441,441,441,4008,0
19970624,432,432,432,432,1242,0
19970625,435,435,435,435,1978,0
19970626,432,432,432,432,2539,0
19970627,441,441,441,441,536,0
19970630,432,432,432,432,377,0
19970701,432,444,426,426,1299,0
19970702,423,432,423,432,940,0
19970703,432,438,432,435,1997,0
19970704,444,444,438,438,449,0
19970707,438,441,438,441,276,0
19970708,450,462,450,462,543,0
19970709,456,468,456,468,597,0
19970710,456,456,453,453,1506,0
19970711,456,456,447,447,873,0
19970714,435,435,420,420,2124,0
19970715,426,429,426,429,777,0
19970716,426,426,423,423,1229,0
19970717,432,432,432,432,434,0
19970718,432,432,420,420,1696,0
19970721,420,420,408,408,286,0
19970722,426,426,414,414,1020,0
19970723,414,420,414,417,479,0
19970724,414,414,408,408,810,0
19970725,408,408,402,402,524,0
19970728,408,408,405,405,976,0
19970729,411,426,411,423,296,0
19970730,426,435,426,429,776,0
19970731,432,432,426,432,2561,0
19970801,432,432,432,432,1300,0
19970804,438,438,423,423,672,0
19970805,435,444,435,444,272,0
19970806,444,444,441,441,823,0
19970807,450,465,450,465,567,0
19970808,465,474,465,471,428,0
19970811,468,468,459,459,871,0
19970812,462,468,462,462,1321,0
19970813,462,462,462,462,1312,0
19970814,459,462,453,459,751,0
19970818,456,456,444,444,1595,0
19970819,456,462,456,459,607,0
19970820,462,465,462,462,610,0
19970821,456,456,450,450,506,0
19970822,450,450,447,450,315,0
19970825,453,453,444,444,559,0
19970826,453,453,453,453,292,0
19970827,453,453,453,453,328,0
19970828,456,462,456,462,467,0
19970829,462,462,456,456,1960,0
19970901,456,459,456,459,211,0
19970902,456,465,456,459,454,0
19970903,465,474,465,474,594,0
19970904,474,477,474,477,850,0
19970905,480,501,480,501,380,0
19970908,489,498,489,492,674,0
19970909,498,510,498,510,856,0
19970910,504,513,504,510,1427,0
19970911,510,519,510,510,1233,0
19970912,516,519,513,516,1231,0
19970915,516,516,513,516,1194,0
19970916,522,522,510,516,906,0
19970917,510,510,492,501,505,0
19970918,498,504,498,504,718,0
19970919,498,510,498,510,720,0
19970922,498,516,498,516,1298,0
19970923,522,522,507,510,807,0
19970924,510,519,507,510,579,0
19970925,498,498,486,498,715,0
19970926,492,492,486,489,898,0
19970929,489,489,483,483,1283,0
19970930,483,483,468,468,786,0
19971001,465,477,465,471,448,0
19971002,477,480,474,474,797,0
19971003,477,477,465,465,565,0
19971006,468,468,459,459,553,0
19971007,465,465,462,462,321,0
19971008,471,471,465,465,730,0
19971009,471,471,456,456,675,0
19971010,465,465,456,456,630,0
19971013,456,456,450,453,590,0
19971014,444,456,444,450,493,0
19971015,456,456,453,453,382,0
19971016,456,456,453,456,750,0
19971017,456,462,456,462,638,0
19971020,471,471,465,471,654,0
19971021,450,468,450,468,394,0
19971022,468,480,468,474,521,0
19971023,453,453,447,447,720,0
19971024,426,447,426,444,685,0
19971027,426,426,405,414,1233,0
19971028,384,384,348,348,42,0
19971029,408,411,402,411,1073,0
19971030,369,384,369,384,948,0
19971031,378,396,378,393,632,0
19971103,396,402,393,402,1177,0
19971104,399,399,387,390,522,0
19971105,402,402,393,393,903,0
19971106,408,408,396,396,1396,0
19971107,405,405,396,396,896,0
19971112,402,402,384,393,578,0
19971113,390,390,381,381,949,0
19971114,384,384,384,384,657,0
19971117,396,396,384,384,246,0
19971118,390,390,378,381,204,0
19971119,372,372,366,366,868,0
19971120,372,372,369,369,558,0
19971121,378,384,378,381,560,0
19971124,372,372,357,357,543,0
19971125,378,378,369,375,1410,0
19971126,372,372,363,366,145,0
19971127,366,366,363,363,219,0
19971128,366,366,360,366,196,0
19971201,378,387,378,387,512,0
19971202,396,396,390,390,321,0
19971203,378,387,378,387,614,0
19971204,381,387,381,384,273,0
19971205,381,381,372,375,273,0
19971208,372,372,369,369,201,0
19971209,360,372,360,369,530,0
19971210,357,363,357,363,536,0
19971211,351,351,345,348,289,0
19971212,345,345,342,342,276,0
19971215,339,339,339,339,134,0
19971216,333,336,333,336,325,0
19971217,339,354,339,354,663,0
19971218,336,339,336,339,349,0
19971219,327,327,318,318,284,0
19971222,324,324,318,318,908,0
19971223,321,324,321,324,369,0
19971229,324,345,324,345,531,0
19971230,336,342,336,342,885,0
19971231,342,351,342,351,246,0
19980105,348,351,345,351,359,0
19980106,348,348,339,339,153,0
19980107,333,333,333,333,244,0
19980108,336,336,330,330,443,0
19980109,324,327,324,324,493,0
19980112,294,300,294,300,768,0
19980113,306,306,300,303,422,0
19980114,306,306,303,303,649,0
19980115,303,303,297,297,352,0
19980116,309,312,309,312,619,0
19980119,315,315,312,312,419,0
19980120,303,306,303,306,476,0
19980121,309,309,300,303,193,0
19980122,300,300,300,300,810,0
19980123,300,306,300,306,190,0
19980126,300,300,300,300,134,0
19980127,297,297,297,297,130,0
19980128,300,306,300,306,182,0
19980129,312,318,312,315,769,0
19980130,315,315,309,309,254,0
19980202,312,321,312,321,353,0
19980203,321,321,315,318,378,0
19980204,315,315,312,312,742,0
19980205,312,318,312,318,394,0
19980206,312,324,312,318,994,0
19980209,327,372,327,372,846,0
19980210,357,372,354,360,1154,0
19980211,366,372,360,360,3796,0
19980212,354,354,336,342,687,0
19980213,336,345,336,345,205,0
19980216,342,342,336,336,448,0
19980217,339,342,333,342,1158,0
19980218,342,351,342,348,219,0
19980219,342,348,342,342,471,0
19980220,339,339,339,339,547,0
19980223,333,342,333,339,1373,0
19980224,336,336,330,330,539,0
19980225,333,336,333,336,755,0
19980226,348,369,348,363,1195,0
19980227,372,372,357,360,2106,0
19980302,357,363,357,363,867,0
19980303,357,357,348,351,529,0
19980304,348,348,342,342,534,0
19980305,336,339,330,339,359,0
19980306,336,348,336,345,228,0
19980309,348,357,348,354,345,0
19980310,348,354,348,351,245,0
19980311,360,360,342,345,550,0
19980312,345,354,345,354,203,0
19980313,351,354,348,351,266,0
19980316,348,357,348,357,264,0
19980317,357,357,357,357,261,0
19980318,345,351,345,348,237,0
19980319,351,351,348,351,318,0
19980320,351,354,351,351,187,0
19980323,360,360,354,354,277,0
19980324,357,360,357,360,654,0
19980325,357,360,357,360,1374,0
19980326,360,360,351,351,544,0
19980327,351,351,351,351,348,0
19980330,345,345,336,339,508,0
19980331,345,348,345,345,888,0
19980401,348,348,345,345,432,0
19980402,339,339,339,339,498,0
19980406,339,342,333,339,320,0
19980407,339,342,339,342,333,0
