Date,Open,High,Low,Close,Volume,OpenInt
20070510,7.9447,8.4658,7.5176,7.5602,3783234,0
20070511,7.6458,8.2864,7.0051,7.9875,669597,0
20070514,8.4487,9.2859,8.2437,9.0554,575386,0
20070515,9.1408,10.892,8.9699,10.251,679125,0
20070516,10.337,10.593,9.73,9.91,288921,0
20070517,10.166,10.166,9.576,9.798,205576,0
20070518,9.824,10.063,9.619,9.91,96806,0
20070521,10.337,11.618,10.337,11.148,470327,0
20070522,11.533,11.704,10.721,10.772,232437,0
20070523,11.481,11.49,10.807,11.182,189576,0
20070524,11.106,11.106,10.678,10.807,157285,0
20070525,10.713,10.807,10.337,10.439,129544,0
20070528,10.601,10.755,9.824,10.106,177934,0
20070529,10.063,10.508,9.781,10.431,135807,0
20070530,10.251,10.439,10.08,10.226,50376,0
20070531,10.379,10.593,10.209,10.328,59780,0
20070601,10.405,10.508,10.08,10.251,61852,0
20070604,10.251,10.337,10.004,10.089,79381,0
20070605,10.004,10.012,9.781,9.807,83377,0
20070606,9.867,9.91,9.3543,9.739,83815,0
20070608,9.2774,9.696,9.2774,9.628,70112,0
20070611,9.824,10.166,9.704,10.072,100374,0
20070612,10.123,10.123,9.696,9.696,57752,0
20070613,9.892,9.892,9.568,9.67,48064,0
20070614,9.67,9.961,9.67,9.824,35453,0
20070615,9.824,9.824,9.576,9.688,30911,0
20070618,9.679,9.704,9.508,9.568,92483,0
20070619,9.568,9.568,9.2859,9.3373,78923,0
20070620,9.491,9.696,9.4056,9.568,223791,0
20070621,9.602,10.935,9.602,10.678,466443,0
20070622,10.849,11.106,10.337,10.73,204420,0
20070625,10.653,11.071,10.465,11.063,155346,0
20070626,11.012,11.917,10.994,11.618,240677,0
20070627,11.618,11.874,11.362,11.618,165659,0
20070628,11.661,11.704,11.456,11.533,55157,0
20070629,11.541,11.541,11.208,11.319,77262,0
20070702,11.276,11.276,10.593,10.764,67272,0
20070703,10.977,11.148,10.764,10.832,40178,0
20070704,10.832,10.892,10.687,10.764,66121,0
20070705,10.764,10.892,10.379,10.892,47296,0
20070706,10.866,11.225,10.678,11.14,45683,0
20070709,11.319,11.362,11.054,11.097,52235,0
20070710,10.935,11.106,10.695,11.054,48562,0
20070711,10.977,11.02,10.772,10.926,29274,0
20070712,10.687,10.977,10.601,10.644,42390,0
20070713,11.362,11.362,10.738,10.849,35129,0
20070716,10.713,10.721,10.268,10.337,62908,0
20070717,10.302,10.473,10.166,10.465,47720,0
20070718,10.593,10.67,10.465,10.491,13143,0
20070719,10.508,10.678,10.508,10.678,20666,0
20070720,10.678,10.849,10.559,10.755,12987,0
20070723,10.695,10.807,10.601,10.687,6987,0
20070724,10.764,10.849,10.67,10.772,70620,0
20070725,10.653,10.926,10.431,10.926,99272,0
20070726,10.935,11.003,10.687,10.807,62982,0
20070727,10.584,10.747,10.302,10.593,46334,0
20070730,10.593,10.678,10.508,10.542,18930,0
20070731,10.533,10.747,10.533,10.738,17072,0
20070801,10.593,11.276,10.379,11.106,122688,0
20070802,11.123,11.618,11.123,11.456,62336,0
20070803,11.473,11.618,11.106,11.106,130010,0
20070806,10.661,10.841,10.251,10.593,142721,0
20070807,10.593,10.926,10.593,10.772,25139,0
20070808,10.892,11.089,10.892,11.063,66554,0
20070809,11.071,11.191,10.866,10.866,90981,0
20070810,10.508,10.508,10.089,10.439,109534,0
20070813,10.584,10.764,10.584,10.764,56276,0
20070814,10.721,11.439,10.721,11.362,87717,0
20070816,10.909,10.935,10.439,10.508,187546,0
20070817,10.251,10.636,9.2262,10.209,507706,0
20070820,10.508,10.508,9.867,10.251,140075,0
20070821,10.166,10.67,9.892,9.944,13472,0
20070822,9.995,10.234,9.995,10.234,23346,0
20070823,10.379,10.508,10.012,10.08,18747,0
20070824,10.072,10.294,9.824,10.251,24924,0
20070827,10.251,10.508,10.08,10.08,15189,0
20070828,9.91,10.243,9.867,10.072,11741,0
20070829,9.824,9.995,9.3115,9.995,28236,0
20070830,10.038,10.251,9.739,9.91,41966,0
20070831,9.662,10.302,9.662,10.251,27197,0
20070903,10.174,10.285,10.089,10.268,29963,0
20070904,10.302,10.302,10.038,10.234,51688,0
20070905,10.243,10.294,10.08,10.234,25499,0
20070906,10.157,10.285,10.157,10.251,32544,0
20070907,10.166,10.294,9.927,10.072,28771,0
20070910,9.61,9.824,9.414,9.739,11814,0
20070911,9.986,10.149,9.756,10.115,17102,0
20070912,10.115,10.123,10.055,10.123,13801,0
20070913,10.132,10.2,10.089,10.14,7474,0
20070914,10.2,10.234,10.038,10.038,7587,0
20070917,9.995,10.209,9.995,10.157,8197,0
20070918,9.918,10.251,9.918,10.234,13346,0
20070919,10.456,10.456,10.251,10.337,41291,0
20070920,10.191,10.32,10.191,10.217,11883,0
20070921,10.226,10.251,10.038,10.2,6283,0
20070924,10.191,10.191,10.004,10.004,4009,0
20070925,9.952,10.012,9.773,9.79,25998,0
20070926,10.089,10.089,9.704,9.995,8804,0
20070927,9.773,9.867,9.764,9.764,15650,0
20070928,9.773,9.927,9.628,9.713,14756,0
20071001,9.576,9.653,9.1408,9.3373,15277,0
20071002,9.4483,9.4483,9.0723,9.1578,12958,0
20071003,9.1834,9.2262,9.0554,9.1578,19736,0
20071004,9.3458,9.3458,9.0554,9.3115,7644,0
20071005,9.3287,10.251,9.3287,10.098,58244,0
20071008,10.166,10.243,9.91,9.918,16182,0
20071009,9.935,10.14,9.918,9.952,9321,0
20071010,9.961,9.995,9.756,9.91,21163,0
20071011,9.841,9.867,9.67,9.739,20967,0
20071012,9.662,9.739,9.585,9.739,7943,0
20071015,9.773,9.807,9.4568,9.73,10354,0
20071016,9.764,9.764,9.491,9.73,6938,0
20071017,9.551,9.73,9.551,9.568,36662,0
20071018,9.602,9.756,9.491,9.4995,14253,0
20071019,9.4824,9.696,9.4568,9.61,9306,0
20071022,9.61,9.61,9.3885,9.61,6901,0
20071023,9.61,9.61,9.542,9.593,4402,0
20071024,9.585,9.756,9.585,9.662,15142,0
20071025,9.662,9.67,9.636,9.67,2387,0
20071026,9.696,9.696,9.61,9.61,9895,0
20071029,9.585,9.781,9.585,9.756,8324,0
20071030,9.756,10.029,9.739,9.901,8109,0
20071031,9.995,10.209,9.833,9.986,49884,0
20071102,9.747,9.986,9.747,9.901,10729,0
20071105,9.841,9.841,9.491,9.653,12923,0
20071106,9.653,9.653,9.1834,9.2262,14432,0
20071107,9.2688,9.2688,8.2864,8.4573,70223,0
20071108,7.7312,8.201,7.7312,8.201,35906,0
20071109,8.1925,8.3292,7.7483,7.9532,16469,0
20071112,7.6287,7.902,7.6201,7.8594,70795,0
20071113,7.8679,7.8679,7.6458,7.8594,66638,0
20071114,7.8594,8.0728,7.6886,7.8594,76807,0
20071115,7.6629,7.6629,7.2358,7.2613,24621,0
20071116,7.2272,7.492,6.6463,7.492,43631,0
20071119,7.2698,7.5176,6.8341,6.911,127129,0
20071120,7.0221,7.0221,6.5779,6.706,32891,0
20071121,6.706,6.706,6.0482,6.4155,15423,0
20071122,6.3643,7.5176,5.9799,7.4322,135876,0
20071123,7.5176,7.6886,7.2613,7.5176,24044,0
20071126,7.8508,7.8508,7.1674,7.2613,6199,0
20071127,7.2613,7.2613,6.9367,6.9793,14911,0
20071128,7.1077,7.2272,6.8341,6.988,28886,0
20071129,7.3211,7.4663,7.1845,7.3296,13636,0
20071130,7.3296,7.3381,7.1246,7.2272,15239,0
20071203,7.1674,7.1674,6.8512,6.9281,16883,0
20071204,7.0051,7.1332,6.9623,7.0905,10678,0
20071205,7.2358,7.603,7.176,7.2955,21183,0
20071206,7.3639,7.5176,7.2272,7.5176,27830,0
20071207,7.5176,7.5176,7.3894,7.3894,11742,0
20071210,7.2613,7.5176,7.176,7.509,61837,0
20071211,7.4406,7.4406,7.1845,7.415,74698,0
20071212,7.3381,7.3381,7.1674,7.3296,5992,0
20071213,7.2613,7.3468,7.0478,7.1503,23836,0
20071214,7.193,7.2442,7.0051,7.2442,49406,0
20071217,7.2185,7.2185,7.0051,7.0221,49990,0
20071218,7.0051,7.0051,6.7914,7.0051,40758,0
20071219,6.9964,7.176,6.7659,6.7829,55498,0
20071220,6.8085,6.9793,6.7316,6.7659,128893,0
20071221,6.7744,6.8341,6.706,6.706,90782,0
20071227,6.6633,7.0307,6.6633,7.0051,124880,0
20071228,6.9197,6.9197,6.8341,6.9197,2684,0
20080102,7.0051,7.0734,6.8341,7.0478,18587,0
20080103,6.8427,7.176,6.8427,7.176,13116,0
20080104,7.176,7.176,7.1587,7.1587,2490,0
20080107,6.9281,7.082,6.7487,7.0051,1972,0
20080108,6.7572,6.9197,6.6548,6.6633,34296,0
20080109,6.7487,6.7487,5.9799,6.2533,74698,0
20080110,6.2447,6.2447,5.6637,5.9543,62147,0
20080111,5.9799,6.1081,5.7407,5.9543,9511,0
20080114,5.8774,5.8774,5.3648,5.5528,20970,0
20080115,5.5528,5.5528,4.9549,4.9549,47838,0
20080116,4.4166,4.6984,4.4166,4.6984,83020,0
20080117,4.7412,5.1255,4.7156,5.1255,23291,0
20080118,5.006,5.5357,4.9975,5.5357,29910,0
20080121,5.4759,5.6382,5.1341,5.4588,174580,0
20080122,5.1341,5.7236,4.9975,5.7236,36380,0
20080123,5.8945,5.9799,5.7151,5.7236,20009,0
20080124,6.0654,6.0654,5.7236,5.9885,11369,0
20080125,6.2105,6.3387,6.0227,6.2362,41801,0
20080128,5.8688,6.1338,5.8688,6.0909,26771,0
20080129,6.1422,6.3046,6.1422,6.279,4484,0
20080130,6.3216,6.3216,6.1507,6.2533,133627,0
20080131,6.1594,6.3472,6.0654,6.2276,4959,0
20080201,6.3387,6.407,6.2362,6.3986,9910,0
20080204,6.4498,6.4498,6.279,6.3216,4418,0
20080205,6.3899,6.3899,6.1507,6.3216,1700,0
20080206,5.8945,6.279,5.8945,6.279,7109,0
20080207,6.2703,6.407,6.1678,6.3899,90393,0
20080208,6.4753,6.4839,6.2362,6.2362,731,0
20080211,6.407,6.407,6.1678,6.1935,8845,0
20080212,6.3986,6.3986,5.7322,6.2362,30805,0
20080213,6.2618,6.2618,6.0227,6.2276,6570,0
20080214,6.2873,6.3728,5.9713,5.9885,11351,0
20080215,6.1251,6.1251,5.9115,6.0227,4409,0
20080218,5.9799,6.1507,5.9799,6.0995,2613,0
20080219,6.0909,6.1935,5.9201,6.1678,1523,0
20080220,6.1251,6.1251,5.9799,6.1166,1840,0
20080221,6.2276,6.2362,5.9799,6.1678,2599,0
20080222,6.0227,6.1764,5.9799,6.1764,3983,0
