Date,Open,High,Low,Close,Volume,OpenInt
20031209,13.9,14.25,13.6,13.6,531283,0
20031210,13.8,14.3,13.6,14.2,203449,0
20031211,14.7,15.2,14.6,15,245106,0
20031212,15.8,15.9,15.4,15.8,216529,0
20031215,16.25,17.2,15.9,16,301618,0
20031216,15.7,15.8,15.3,15.7,62287,0
20031217,15.8,16.35,15.7,15.7,53616,0
20031218,15.8,16.55,15.75,16.55,66100,0
20031219,16.75,16.75,15.9,16.1,157670,0
20031222,16.55,16.55,16.2,16.4,76854,0
20031223,16.55,17.5,16.55,17.5,220353,0
20031229,18.15,18.5,18,18.3,75177,0
20031230,18.15,20,18.15,19,156203,0
20031231,19.6,19.6,18.7,18.7,78185,0
20040102,18.7,18.7,17.4,18.2,74847,0
20040105,18.3,18.3,17.15,17.5,165459,0
20040106,17.4,17.4,17,17.15,82424,0
20040107,17.1,17.35,17.05,17.15,34753,0
20040108,17.2,17.5,16.5,16.5,96484,0
20040109,16.3,16.45,15.75,16.05,97469,0
20040112,16,16.95,16,16.3,45836,0
20040113,16.4,16.85,16.35,16.75,41938,0
20040114,16.75,16.8,16.25,16.35,38663,0
20040115,16.25,16.45,16.1,16.35,27979,0
20040116,16.2,16.35,16.1,16.25,69294,0
20040119,16.4,16.5,16.2,16.4,31915,0
20040120,16.4,16.4,16.2,16.2,27740,0
20040121,16.3,16.5,16,16.25,54154,0
20040122,16.1,16.1,15.85,15.9,36621,0
20040123,16,16,15.2,15.7,42519,0
20040126,15.65,15.65,14.8,15.15,157235,0
20040127,15.2,15.85,14.8,15.6,72834,0
20040128,15.7,15.7,15.5,15.6,127649,0
20040129,15.05,15.6,15.05,15.55,26283,0
20040130,15.5,15.5,15.2,15.4,10748,0
20040202,15.5,15.5,15.2,15.45,12870,0
20040203,15.25,15.3,15.05,15.1,22207,0
20040204,15,15,14.85,15,24621,0
20040205,15.05,15.7,15.05,15.6,50720,0
20040206,15.75,15.9,15.7,15.9,40983,0
20040209,16.05,16.7,15,16.2,75413,0
20040210,16.35,16.35,15.8,15.95,43680,0
20040211,15.8,15.95,15.5,15.85,13893,0
20040212,16.1,16.1,15.6,15.85,5782,0
20040213,15.75,15.95,15.6,15.9,9610,0
20040216,15.65,16,15.65,16,14104,0
20040217,15.8,16,15.6,15.8,16151,0
20040218,15.75,15.75,15.45,15.75,10274,0
20040219,15.65,15.65,15.45,15.6,60750,0
20040220,15.45,15.55,15.3,15.55,10288,0
20040223,15.45,15.45,15.2,15.3,25001,0
20040224,15.4,15.5,14.9,15,36597,0
20040225,15.1,15.15,14.95,15,17628,0
20040226,15.1,15.5,15.1,15.3,11154,0
20040227,15.4,15.7,15.25,15.7,26718,0
20040301,15.7,15.95,15.3,15.9,46566,0
20040302,16,16.95,16,16.9,260301,0
20040303,17.3,17.85,17.2,17.4,160106,0
20040304,17.4,17.4,16.7,16.95,68556,0
20040305,16.95,17,16.5,16.75,80014,0
20040308,16.7,17,16.4,16.55,87850,0
20040309,16.6,16.9,16.5,16.7,80553,0
20040310,16.7,16.8,16.5,16.6,63853,0
20040311,16.5,16.5,15.7,16.3,28571,0
20040312,16,16.15,15.8,16.15,28408,0
20040315,16,16.4,15.95,16,71731,0
20040316,15.7,16.1,15.7,16.1,24399,0
20040317,16.45,16.45,16.15,16.45,41011,0
20040318,16.5,16.5,16.35,16.4,52229,0
20040319,16.5,16.6,15.9,16.3,78121,0
20040322,16.3,16.45,16.15,16.45,31582,0
20040323,16.9,17.05,16.7,17,90392,0
20040324,17,17.4,16.8,17.4,118571,0
20040325,17.45,17.9,17.45,17.9,165002,0
20040326,17.95,18.35,17.9,18.3,183773,0
20040329,18.1,18.7,18,18.7,98392,0
20040330,18.65,19.4,18.5,19.3,149542,0
20040331,19.45,19.45,18.4,18.8,61389,0
20040401,18.35,18.65,18.2,18.65,11090,0
20040402,18.65,18.8,18.4,18.75,20748,0
20040405,18.55,18.55,18.15,18.5,20702,0
20040406,18.1,18.5,18,18.2,13603,0
20040407,18.25,18.5,17.85,18.2,15984,0
20040408,18.2,18.45,18.1,18.45,8821,0
20040413,18.45,18.7,18.45,18.7,15547,0
20040414,18.75,19.45,18.75,19.1,63765,0
20040415,19.25,19.25,18.7,19.25,24674,0
20040416,19.2,19.2,18.75,18.95,14748,0
20040419,18.95,18.95,18.25,18.6,20913,0
20040420,18.9,18.9,18.15,18.45,14217,0
20040421,18.4,18.45,17.95,18.3,28342,0
20040422,17.85,18.05,17.75,17.9,15997,0
20040423,17.7,17.85,17.5,17.85,13494,0
20040426,17.75,17.75,17.25,17.7,41463,0
20040427,17.8,18,17.7,18,10986,0
20040428,18.2,18.2,17.75,17.9,6121,0
20040429,17.8,17.8,17.3,17.4,9106,0
20040430,17.4,17.9,17.25,17.9,4923,0
20040504,17.9,18.15,17.7,17.9,15932,0
20040505,17.8,17.8,17.05,17.65,10133,0
20040506,17.35,17.35,16.9,17.2,19326,0
20040507,17.05,17.1,16.6,16.85,8071,0
20040510,16.4,16.7,15.5,16.7,18562,0
20040511,16.4,16.4,16,16.4,9900,0
20040512,16.25,16.55,16.1,16.55,6147,0
20040513,16.2,16.6,16,16.5,9351,0
20040514,16.4,16.7,16.3,16.5,10430,0
20040517,16,16.4,15.9,16.4,10758,0
20040518,16.2,16.5,16.05,16.4,11698,0
20040519,16.4,16.4,16.05,16.35,16331,0
20040520,16.05,16.3,16,16.3,19833,0
20040521,16.05,16.2,15.95,16.2,12662,0
20040524,16.2,16.2,15.85,16.1,9640,0
20040525,16.1,16.15,16,16.15,44397,0
20040526,16.1,17,16,16.75,23914,0
