Date,Open,High,Low,Close,Volume,OpenInt
20070514,21.9,23.78,21.32,21.59,425657,0
20070515,21.4,21.89,19.8,20.6,48196,0
20070516,20.49,20.49,20.1,20.2,21048,0
20070517,20.25,20.84,20.2,20.2,14153,0
20070518,20.35,20.84,18.91,19.45,27933,0
20070521,19.9,19.95,18.86,19.37,30641,0
20070522,19.38,19.6,19.18,19.2,9228,0
20070523,19.04,19.65,19.02,19.2,12993,0
20070524,19.55,19.55,18.96,19.28,9388,0
20070525,19.2,19.28,18.95,19.02,13914,0
20070528,19.28,19.55,19.01,19.2,10372,0
20070529,19.15,20.88,19.15,20.4,23262,0
20070530,20.9,20.99,20.4,20.47,12261,0
20070531,20.49,22.2,20.49,21.5,34441,0
20070601,21.7,21.7,21.1,21.45,5457,0
20070604,21,21.4,20,20.95,5629,0
20070605,20.55,21.19,20.34,20.45,17545,0
20070606,20.89,20.89,20,20.1,12741,0
20070608,19.97,19.99,19.59,19.61,7850,0
20070611,19.61,20,19.2,19.74,14613,0
20070612,20.6,20.6,19.3,19.53,4469,0
20070613,19.53,20,19.3,19.5,3972,0
20070614,19.33,19.5,19,19,14726,0
20070615,19,19.29,19,19,7101,0
20070618,18.9,19,18.3,18.8,3742,0
20070619,18.8,20,18.5,20,12938,0
20070620,20.2,20.2,19.32,20,2130,0
20070621,19.8,19.8,19.32,19.8,1274,0
20070622,19.89,19.89,19.5,19.81,2160,0
20070625,19.31,19.81,19.31,19.4,1340,0
20070626,19.33,19.73,19.31,19.73,3288,0
20070627,19.11,20.01,19.11,20,5410,0
20070628,19.99,20,19.51,20,3870,0
20070629,19.4,20,19.4,20,3449,0
20070702,19.6,20,19.6,20,873,0
20070703,19.6,19.99,19.6,19.6,1730,0
20070704,19.6,19.95,19.6,19.95,1085,0
20070705,19.02,19.98,19.02,19.9,5135,0
20070706,19.6,19.79,19.41,19.64,10009,0
20070709,19.69,19.69,18.7,18.7,1968,0
20070710,19.45,19.78,19.25,19.3,8966,0
20070711,19.3,19.6,18.95,19.3,3669,0
20070712,19.59,19.6,18.95,19.3,868,0
20070713,19.3,19.3,18.91,19,3575,0
20070716,18.8,18.8,18.51,18.6,3722,0
20070717,18.99,18.99,18.01,18.6,15797,0
20070718,18.6,18.6,18.6,18.6,48236,0
20070719,18.6,19,18,19,26881,0
20070720,19.3,19.39,19.28,19.3,2575,0
20070723,19.4,19.49,19,19,334,0
20070724,19,19,18.6,18.9,2532,0
20070725,19,19,18.6,18.9,2540,0
20070726,19,19,18.9,18.9,3487,0
20070727,18.9,18.9,18.59,18.8,2151,0
20070730,19,19,19,19,402,0
20070731,18.8,19,18.75,18.75,1419,0
20070801,19,19,18.3,18.98,6121,0
20070802,18.6,18.6,18.51,18.51,4558,0
20070803,18.5,18.71,18.5,18.62,8163,0
20070806,18.66,18.66,18.35,18.35,7043,0
20070807,18.17,18.8,18.17,18.5,3065,0
20070808,18.48,18.5,18,18.5,1675,0
20070809,18.48,18.48,18,18.29,3780,0
20070810,18.28,18.28,17.06,17.15,4649,0
20070813,16.56,17.99,16.56,17.4,5975,0
20070814,17.6,18,17.6,17.65,4494,0
20070816,14.5,18,14.5,17.38,4005,0
20070817,17.35,17.4,16.3,17,4130,0
20070820,17.15,17.8,17.15,17.15,2281,0
20070821,17,17.3,17,17.25,5007,0
20070822,17.5,17.65,17,17,37320,0
20070823,17.3,17.3,17,17,1232,0
20070824,17.45,17.45,17.45,17.45,20,0
20070827,16.57,17.4,16.57,16.78,5243,0
20070828,16.7,16.7,16.45,16.45,943,0
20070829,16.45,16.45,15.01,16.44,1535,0
20070830,16.2,16.59,16.05,16.45,4268,0
20070831,16.5,17.19,16.5,17,6128,0
20070903,16.99,17,16.5,16.99,10073,0
20070904,16.61,17.2,16.61,17.2,7586,0
20070905,17,17.1,16.6,17,5843,0
20070906,17.23,17.8,16.95,17,4521,0
20070907,17.5,17.5,16.7,17,187,0
20070910,17,17.2,16.99,17,4335,0
20070911,17,17.98,17,17.79,1187,0
20070912,17.75,17.99,17.7,17.79,575,0
20070913,17.78,17.78,17.7,17.7,650,0
20070914,18,18,17.07,17.7,295,0
20070917,17.96,17.96,17.02,17.89,70,0
20070918,17.94,17.94,17.1,17.79,225,0
20070919,18.4,19.78,17.5,18.51,10601,0
20070920,19.01,19.01,18.55,18.6,3241,0
20070921,18.2,19.33,18.2,18.6,13963,0
20070924,19,20.07,18.6,20,26526,0
20070925,20,21.5,20,21.1,54079,0
20070926,21.3,21.79,21.16,21.49,12419,0
20070927,21,21.68,21,21.1,13787,0
20070928,20.8,21.4,19.56,21.4,30972,0
20071001,21.5,21.5,20,21,39017,0
20071002,21,21.4,21,21.3,6206,0
20071003,21.4,21.4,20.2,21.3,14218,0
20071004,21,22.1,20.7,21.8,22967,0
20071005,22,22.4,20.05,21.89,10417,0
20071008,21.89,22.1,20.5,21.78,4989,0
20071009,21,21.91,21,21,68011,0
20071010,20.6,21.6,20.6,20.62,1108,0
20071011,20.65,21.44,20.65,21.2,6223,0
20071012,21.25,21.3,20.75,20.75,5554,0
20071015,20.66,21.19,20.66,21.19,157,0
20071016,20.61,21.3,20.61,21.25,3686,0
20071017,21.39,21.39,21,21.25,2437,0
20071018,21.36,21.36,20.65,21.2,4990,0
20071019,21.2,21.29,21,21.29,1772,0
20071022,20.61,21.2,20.6,21,1310,0
20071023,20.61,20.65,20.61,20.65,805,0
20071024,20.7,20.7,20.6,20.6,526,0
20071025,20.05,20.8,20,20.8,1333,0
20071026,20,20.89,20,20.89,6,0
20071029,20,21.18,20,21.14,2879,0
20071030,21.14,21.2,20.74,21.2,6073,0
20071031,21.2,21.3,20.06,21,1525,0
20071102,21,21.5,20.1,21.21,4648,0
20071105,20.61,21.35,20.6,21.27,1825,0
20071106,21.25,21.25,21.25,21.25,199,0
20071107,21.27,21.29,20,20,2253,0
20071108,20.95,20.95,20.4,20.89,2728,0
20071109,20.89,20.89,20.4,20.89,155,0
20071112,20.75,20.75,18.68,20.45,291,0
20071113,18.45,20,18.45,19.9,1813,0
20071114,18.61,20.3,18.61,19.99,613,0
20071115,18.85,19.89,18.8,19,618,0
20071116,19.5,19.5,17.56,18.5,2414,0
20071119,19.9,19.9,19,19.5,550,0
20071120,19.75,19.75,17.88,18,2507,0
20071121,18.1,18.1,16.4,16.4,2060,0
20071122,15.99,17.9,15.01,17.51,8783,0
20071123,18.5,18.5,18,18.4,2619,0
20071126,19,19,16.65,16.65,887,0
20071127,16.2,16.2,15,16,3186,0
20071128,16.01,17.35,16.01,17.01,161,0
20071129,17.3,17.31,16,16,9329,0
20071130,16.56,17.5,16.5,17.5,5528,0
20071203,17.6,19,17.5,19,4506,0
20071204,18.8,19.49,18.8,19.48,2022,0
20071205,18.1,19.75,18.1,19.75,6449,0
20071206,18.55,19.87,18.55,19.87,1926,0
20071207,19.7,20,19.7,20,10440,0
20071210,20,20,20,20,35,0
20071213,18.45,18.48,18.45,18.48,457,0
20071214,18.21,18.21,18.2,18.2,314,0
20071217,17.25,18.2,17.25,18,2487,0
20071218,18,18,17.21,17.94,2618,0
20071219,17.21,17.6,17.12,17.6,267,0
20071220,16.7,17,16.7,17,1506,0
20071221,17,17.5,16.7,16.7,682,0
20071227,16.8,17.68,16.8,17.68,155,0
20071228,17.4,17.4,17.4,17.4,879,0
20080102,17.99,17.99,17.99,17.99,3,0
20080103,16.4,17.98,16.4,17.98,139,0
20080104,17.99,18,17.99,18,43,0
20080107,17.5,17.5,16.2,16.46,650,0
20080108,17.48,18,17.48,17.9,1001,0
20080109,17.98,18.49,17.5,17.99,1154,0
20080110,18.2,18.29,17.5,18.24,1505,0
20080111,17.3,18.1,17.3,18.1,200,0
20080115,16.36,17.99,16.36,17.9,412,0
20080116,14.51,17.49,14.51,16.9,1954,0
20080117,16.5,17.99,16.5,17.99,404,0
20080118,17.9,17.9,17.9,17.9,3,0
20080121,17.9,18,17.9,18,700,0
20080122,17.5,17.5,17,17.5,111,0
20080123,17.79,17.85,16.3,17.75,209,0
20080124,17.79,17.79,17.79,17.79,10,0
20080125,18,18,18,18,12,0
20080128,16.25,17.95,16.25,17.95,200,0
