Date,Open,High,Low,Close,Volume,OpenInt
19980108,15.845,15.845,13.934,14.731,1825,0
19980109,14.332,14.332,14.332,14.332,251,0
19980113,13.138,13.138,13.138,13.138,126,0
19980119,13.536,13.536,11.148,11.148,276,0
19980120,9.1568,11.148,9.1568,11.148,515,0
19980123,9.555,9.555,9.555,9.555,122,0
19980127,9.555,9.555,9.555,9.555,121,0
19980130,9.1568,9.1568,9.1568,9.1568,33,0
19980203,10.749,10.749,9.635,9.635,502,0
19980204,9.635,9.635,9.635,9.635,77,0
19980205,10.351,10.351,10.351,10.351,1256,0
19980206,9.555,10.67,9.555,10.67,118,0
19980209,9.635,9.953,9.635,9.953,382,0
19980211,10.351,10.909,10.351,10.909,127,0
19980212,10.351,10.431,10.192,10.192,381,0
19980213,10.351,10.351,9.953,9.953,147,0
19980216,10.033,10.033,10.033,10.033,51,0
19980217,10.351,10.351,10.351,10.351,40,0
19980220,10.749,10.749,10.749,10.749,220,0
19980223,11.068,11.546,11.068,11.546,138,0
19980224,11.944,13.934,11.944,13.536,566,0
19980225,13.536,13.536,12.74,13.536,254,0
19980226,12.74,12.82,12.74,12.82,138,0
19980227,12.899,13.775,12.899,13.775,167,0
19980302,14.253,14.332,13.536,13.536,551,0
19980303,14.731,14.731,14.332,14.332,1090,0
19980304,13.934,14.412,13.934,14.412,151,0
19980305,14.332,14.332,14.332,14.332,251,0
19980306,14.332,14.332,14.332,14.332,83,0
19980309,14.094,14.332,13.934,13.934,743,0
19980310,14.332,14.332,14.173,14.173,141,0
19980311,14.332,14.332,13.775,13.775,445,0
19980316,13.536,13.536,13.536,13.536,126,0
19980318,13.536,13.536,12.82,13.536,244,0
19980319,13.536,13.536,13.536,13.536,50,0
19980320,12.899,12.899,12.82,12.82,122,0
19980323,12.899,13.058,12.899,13.058,214,0
19980324,13.138,13.616,13.058,13.616,534,0
19980325,13.138,13.536,13.138,13.536,95,0
19980326,12.899,13.536,12.74,13.536,208,0
19980327,12.74,12.899,12.74,12.899,104,0
19980330,12.82,12.979,12.342,12.899,580,0
19980331,13.536,15.129,13.058,14.332,440,0
19980401,15.129,15.129,14.731,14.731,899,0
19980402,14.332,14.89,12.183,14.492,2235,0
19980406,12.66,12.74,12.66,12.74,166,0
19980407,12.899,12.899,12.74,12.74,112,0
19980408,12.74,12.74,12.66,12.66,265,0
19980409,12.899,12.899,12.899,12.899,87,0
19980414,12.74,12.74,12.74,12.74,105,0
19980415,13.138,13.138,12.82,12.82,200,0
