Date,Open,High,Low,Close,Volume,OpenInt
20071213,30,53,30,37.2,48912,0
20071214,40.5,40.5,31.55,33.9,42874,0
20071217,32,32.5,28.85,29.3,14478,0
20071218,29.3,31.48,27.8,29.69,5382,0
20071219,30.5,36,30,34.9,13464,0
20071220,36.66,37.5,31,31,23613,0
20071221,33.5,33.5,31,32.35,3407,0
20071227,30.61,33,29.5,30.48,5904,0
20071228,30,30,29.23,29.89,3985,0
20080102,32,32,28.3,29,2894,0
20080103,27.8,29.6,27.01,27.99,2352,0
20080104,27.5,27.89,26.05,27,6564,0
20080107,25.52,26.65,25.5,26.65,3130,0
20080108,25.71,27,25.15,27,1092,0
20080109,25.2,26.5,24.51,25.58,2459,0
20080110,24.66,24.66,23.37,24.35,1741,0
20080111,22.31,23.49,22.31,22.75,1766,0
20080114,22.55,22.55,20.5,21,1576,0
20080115,21,21.5,20.8,21.5,1395,0
20080116,18.5,20,18.25,19,2901,0
20080117,19.29,21,19,19.5,2778,0
20080118,19.5,19.8,18.42,19.4,1992,0
20080121,19.29,19.29,17.6,18.09,2239,0
20080122,17.5,18.8,17.5,18.8,4061,0
20080123,17.91,19.24,17.91,19.24,891,0
20080124,20,20.98,19.1,20.19,841,0
20080125,20.47,20.48,20.1,20.2,775,0
20080128,20.46,20.46,19,20.44,300,0
20080129,21.55,21.55,19.01,19.3,292,0
20080130,20.88,20.88,19.21,19.21,742,0
20080131,19.25,19.35,18.41,19,822,0
20080201,19.2,20.39,19.2,19.45,493,0
20080204,20.1,20.58,19.6,19.99,914,0
20080205,19.6,20.2,19.36,19.5,7507,0
20080206,18.75,19.35,18.71,19.1,447,0
20080207,19,19,19,19,2542,0
20080208,19.1,19.5,19.1,19.5,715,0
20080211,19.8,19.8,19.08,19.8,256,0
20080212,19.21,20.2,19.21,20.2,2531,0
20080213,19.5,19.99,19.5,19.5,893,0
20080214,19.5,20.2,19.5,20.1,1488,0
20080215,19.85,19.85,19.7,19.7,75,0
20080218,19.21,20.1,19.21,20.1,260,0
20080219,19.99,20,19.47,20,461,0
20080220,19.5,19.5,19.11,19.5,2691,0
20080221,20,20.5,20,20.5,141,0
20080222,19.55,20,19.55,20,227,0
20080225,20.83,20.83,20.83,20.83,1,0
20080226,20.5,20.5,19.5,19.5,810,0
20080227,19.5,19.5,19.49,19.49,701,0
20080228,20,20,19.06,19.06,26,0
20080229,19.1,19.1,18.7,18.7,140,0
20080303,18.7,18.7,16.26,17,462,0
20080304,17.63,17.9,17.63,17.9,111,0
20080305,18.49,18.49,18.4,18.4,15,0
20080306,18.9,18.9,18,18.5,63,0
20080307,18,18.5,18,18.5,609,0
20080310,20.2,20.2,18.03,18.03,258,0
20080311,19.8,19.8,19.79,19.79,106,0
20080312,20,20,19.3,19.3,66,0
20080313,18.4,18.4,18.4,18.4,50,0
20080314,18.1,19.5,17.1,19.48,302,0
20080317,18.2,19.95,18.05,19.95,206,0
20080318,19.98,19.98,18.6,18.6,31,0
20080319,18.6,19,18.15,19,382,0
20080320,19,19,18.8,19,221,0
20080325,20,20,19.05,19.8,91,0
20080326,19.8,19.9,19.1,19.9,254,0
20080327,18.02,19.8,18.01,19.8,407,0
20080328,18.3,19.7,18.1,18.52,202,0
20080331,18.7,18.95,18.54,18.54,186,0
20080401,18.73,18.86,18.73,18.86,178,0
