Date,Open,High,Low,Close,Volume,OpenInt
19960201,4.3618,4.3618,4.3618,4.3618,444588,0
19960202,4.537,4.537,4.537,4.537,521843,0
19960205,4.5555,4.5555,4.5555,4.5555,343390,0
19960206,4.5646,4.5646,4.5646,4.5646,247043,0
19960207,4.5646,4.5646,4.5646,4.5646,189286,0
19960208,4.7676,4.7676,4.7676,4.7676,186158,0
19960209,5.118,5.118,5.118,5.118,135955,0
19960212,5.6252,5.6252,5.6252,5.6252,280641,0
19960213,5.2195,5.2195,5.2195,5.2195,143085,0
19960214,5.3762,5.3762,5.3762,5.3762,336420,0
19960215,5.4223,5.4223,5.4223,5.4223,228816,0
19960216,5.5237,5.5237,5.5237,5.5237,174214,0
19960219,5.5237,5.5237,5.5237,5.5237,64615,0
19960220,5.3209,5.3209,5.3209,5.3209,65387,0
19960221,5.1733,5.1733,5.1733,5.1733,55026,0
19960222,5.3762,5.3762,5.3762,5.3762,56957,0
19960223,5.3762,5.3762,5.3762,5.3762,73986,0
19960226,5.4776,5.4776,5.4776,5.4776,111983,0
19960227,5.5237,5.5237,5.5237,5.5237,76746,0
19960228,5.3762,5.3762,5.3762,5.3762,37223,0
19960229,5.579,5.579,5.579,5.579,257017,0
19960301,5.6252,5.6252,5.6252,5.6252,90913,0
19960304,5.828,5.828,5.828,5.828,102592,0
19960305,6.1877,6.1877,6.1877,6.1877,193891,0
19960306,6.0309,6.0309,6.0309,6.0309,81494,0
19960307,6.0863,6.0863,6.0863,6.0863,139656,0
19960308,5.8833,5.8833,5.8833,5.8833,64285,0
19960311,5.6805,5.6805,5.6805,5.6805,99965,0
19960312,5.579,5.579,5.579,5.579,34974,0
19960313,5.579,5.579,5.579,5.579,107612,0
19960314,5.5237,5.5237,5.5237,5.5237,29416,0
19960315,5.579,5.579,5.579,5.579,26459,0
19960318,5.7819,5.7819,5.7819,5.7819,79610,0
19960319,5.8833,5.8833,5.8833,5.8833,217607,0
19960320,5.6805,5.6805,5.6805,5.6805,429895,0
19960321,5.7819,5.7819,5.7819,5.7819,138884,0
19960322,5.7819,5.7819,5.7819,5.7819,89123,0
19960325,5.828,5.828,5.828,5.828,106190,0
19960326,5.7819,5.7819,5.7819,5.7819,95876,0
19960327,5.7819,5.7819,5.7819,5.7819,61091,0
19960328,5.6805,5.6805,5.6805,5.6805,109562,0
19960329,5.6805,5.6805,5.6805,5.6805,92032,0
19960401,5.7819,5.7819,5.7819,5.7819,56759,0
19960402,5.7819,5.7819,5.7819,5.7819,14543,0
19960403,5.7266,5.7266,5.7266,5.7266,72810,0
19960404,5.828,5.828,5.828,5.828,23584,0
19960405,6.0863,6.0863,6.0863,6.0863,79902,0
19960409,6.0309,6.0309,6.0309,6.0309,36641,0
19960410,6.0863,6.0863,6.0863,6.0863,66508,0
19960411,6.2892,6.2892,6.2892,6.2892,29755,0
19960412,6.1323,6.1323,6.1323,6.1323,21928,0
