Date,Open,High,Low,Close,Volume,OpenInt
19941123,4.6615,4.6615,4.6615,4.6615,13118,0
19941124,4.2885,4.2885,4.2885,4.2885,46858,0
19941125,4.708,4.708,4.708,4.708,25977,0
19941128,5.1742,5.1742,5.1742,5.1742,0,0
19941129,5.687,5.687,5.687,5.687,0,0
19941130,6.2464,6.2464,6.2464,6.2464,0,0
19941201,6.8523,6.8523,6.8523,6.8523,0,0
19941202,8.1109,8.1109,8.1109,8.1109,68691,0
19941205,8.8567,8.8567,8.8567,8.8567,74531,0
19941206,8.4838,8.4838,8.4838,8.4838,53885,0
19941207,7.6448,7.6448,7.6448,7.6448,35096,0
19941208,6.899,6.899,6.899,6.899,96342,0
19941209,7.5516,7.5516,7.5516,7.5516,36138,0
19941212,7.9245,7.9245,7.9245,7.9245,51499,0
19941213,7.2252,7.2252,7.2252,7.2252,31058,0
19941214,7.2719,7.2719,7.2719,7.2719,19479,0
19941215,7.0854,7.0854,7.0854,7.0854,36477,0
19941216,7.5516,7.5516,7.5516,7.5516,40031,0
19941219,7.4583,7.4583,7.4583,7.4583,33654,0
19941220,7.1786,7.1786,7.1786,7.1786,24079,0
19941221,7.2719,7.2719,7.2719,7.2719,16585,0
19941222,7.4583,7.4583,7.4583,7.4583,23362,0
19941223,7.7846,7.7846,7.7846,7.7846,25602,0
19941227,7.738,7.738,7.738,7.738,19540,0
19941228,7.2719,7.2719,7.2719,7.2719,10871,0
19941229,7.5516,7.5516,7.5516,7.5516,13196,0
19950102,7.9245,7.9245,7.9245,7.9245,17729,0
19950103,8.7169,8.7169,8.7169,8.7169,44569,0
19950104,8.2974,8.2974,8.2974,8.2974,29889,0
19950105,8.4838,8.4838,8.4838,8.4838,29585,0
19950106,8.1576,8.1576,8.1576,8.1576,10910,0
19950109,8.2041,8.2041,8.2041,8.2041,16698,0
19950110,8.1576,8.1576,8.1576,8.1576,15200,0
19950111,8.1109,8.1109,8.1109,8.1109,7706,0
19950112,8.0177,8.0177,8.0177,8.0177,8793,0
19950113,8.2974,8.2974,8.2974,8.2974,9099,0
19950116,8.2974,8.2974,8.2974,8.2974,17475,0
19950117,7.9245,7.9245,7.9245,7.9245,3154,0
19950118,7.7846,7.7846,7.7846,7.7846,10662,0
19950119,7.6914,7.6914,7.6914,7.6914,15407,0
19950120,7.5516,7.5516,7.5516,7.5516,16553,0
19950123,7.1786,7.1786,7.1786,7.1786,9612,0
19950124,6.899,6.899,6.899,6.899,20221,0
19950125,7.0388,7.0388,7.0388,7.0388,21808,0
19950126,6.899,6.899,6.899,6.899,10002,0
19950127,6.8057,6.8057,6.8057,6.8057,7346,0
19950130,6.8523,6.8523,6.8523,6.8523,9048,0
19950131,6.2464,6.2464,6.2464,6.2464,8005,0
19950201,6.6193,6.6193,6.6193,6.6193,9517,0
19950202,5.9666,5.9666,5.9666,5.9666,19693,0
19950203,6.1531,6.1531,6.1531,6.1531,12594,0
19950206,6.7591,6.7591,6.7591,6.7591,8951,0
19950207,7.4117,7.4117,7.4117,7.4117,32111,0
19950208,6.899,6.899,6.899,6.899,13190,0
19950209,7.3651,7.3651,7.3651,7.3651,23218,0
19950210,6.9921,6.9921,6.9921,6.9921,11512,0
19950213,6.899,6.899,6.899,6.899,12828,0
19950214,7.2719,7.2719,7.2719,7.2719,18633,0
19950215,7.3651,7.3651,7.3651,7.3651,19009,0
19950216,7.5516,7.5516,7.5516,7.5516,20063,0
19950217,7.5516,7.5516,7.5516,7.5516,19996,0
19950220,7.5516,7.5516,7.5516,7.5516,25823,0
19950221,6.9921,6.9921,6.9921,6.9921,23026,0
19950222,7.0854,7.0854,7.0854,7.0854,15665,0
19950223,7.3651,7.3651,7.3651,7.3651,18126,0
19950224,8.0643,8.0643,8.0643,8.0643,56918,0
19950227,7.7846,7.7846,7.7846,7.7846,14002,0
19950228,7.5516,7.5516,7.5516,7.5516,10660,0
19950301,7.6914,7.6914,7.6914,7.6914,15472,0
19950302,7.9245,7.9245,7.9245,7.9245,22146,0
19950303,8.0643,8.0643,8.0643,8.0643,24304,0
19950306,8.0177,8.0177,8.0177,8.0177,29684,0
19950307,8.1576,8.1576,8.1576,8.1576,13423,0
19950308,8.0643,8.0643,8.0643,8.0643,10354,0
19950309,8.2041,8.2041,8.2041,8.2041,18344,0
19950310,8.0177,8.0177,8.0177,8.0177,44402,0
19950313,7.9711,7.9711,7.9711,7.9711,22708,0
19950314,7.8779,7.8779,7.8779,7.8779,10346,0
19950315,7.8312,7.8312,7.8312,7.8312,16281,0
19950316,7.6448,7.6448,7.6448,7.6448,15566,0
19950317,7.738,7.738,7.738,7.738,23262,0
19950320,7.6914,7.6914,7.6914,7.6914,5720,0
19950321,7.2719,7.2719,7.2719,7.2719,25028,0
19950322,7.2719,7.2719,7.2719,7.2719,17671,0
19950323,7.1786,7.1786,7.1786,7.1786,9543,0
19950324,7.2719,7.2719,7.2719,7.2719,6189,0
19950327,7.505,7.505,7.505,7.505,5396,0
19950328,7.2719,7.2719,7.2719,7.2719,15058,0
19950329,7.2252,7.2252,7.2252,7.2252,3253,0
19950330,7.3185,7.3185,7.3185,7.3185,18446,0
19950331,7.4583,7.4583,7.4583,7.4583,14816,0
19950403,7.505,7.505,7.505,7.505,12591,0
19950404,7.738,7.738,7.738,7.738,49238,0
19950405,7.738,7.738,7.738,7.738,14410,0
19950406,8.0177,8.0177,8.0177,8.0177,72340,0
19950407,8.2041,8.2041,8.2041,8.2041,45343,0
19950410,8.95,8.95,8.95,8.95,79833,0
19950411,9.2297,9.2297,9.2297,9.2297,59916,0
19950412,9.1365,9.1365,9.1365,9.1365,98507,0
19950413,8.8567,8.8567,8.8567,8.8567,53743,0
19950414,8.95,8.95,8.95,8.95,43687,0
19950418,9.696,9.696,9.696,9.696,69669,0
19950419,10.628,10.628,10.628,10.628,67603,0
19950420,10.628,10.628,10.628,10.628,69908,0
19950421,10.255,10.255,10.255,10.255,72793,0
19950424,11.281,11.281,11.281,11.281,66220,0
19950425,11.654,11.654,11.654,11.654,47668,0
19950426,10.908,10.908,10.908,10.908,37817,0
19950427,10.908,10.908,10.908,10.908,32591,0
19950428,10.908,10.908,10.908,10.908,44326,0
19950504,11.094,11.094,11.094,11.094,38172,0
19950505,10.628,10.628,10.628,10.628,17030,0
19950509,10.815,10.815,10.815,10.815,18124,0
19950510,10.908,10.908,10.908,10.908,34792,0
19950511,11.467,11.467,11.467,11.467,51060,0
19950512,12.306,12.306,12.306,12.306,88735,0
19950515,12.586,12.586,12.586,12.586,74965,0
19950516,12.027,12.027,12.027,12.027,22575,0
19950517,11.56,11.56,11.56,11.56,17646,0
19950518,11.188,11.188,11.188,11.188,28111,0
19950519,10.069,10.069,10.069,10.069,28156,0
19950522,9.4162,9.4162,9.4162,9.4162,34408,0
19950523,8.9034,8.9034,8.9034,8.9034,38356,0
19950524,9.789,9.789,9.789,9.789,57514,0
19950525,10.721,10.721,10.721,10.721,87209,0
19950526,10.628,10.628,10.628,10.628,34248,0
19950529,10.908,10.908,10.908,10.908,17878,0
19950530,9.882,9.882,9.882,9.882,25804,0
19950531,9.882,9.882,9.882,9.882,19075,0
19950601,9.2297,9.2297,9.2297,9.2297,11484,0
19950602,9.603,9.603,9.603,9.603,14996,0
19950605,9.789,9.789,9.789,9.789,16090,0
19950606,10.069,10.069,10.069,10.069,14947,0
19950607,10.255,10.255,10.255,10.255,31058,0
19950608,10.255,10.255,10.255,10.255,30131,0
19950609,10.162,10.162,10.162,10.162,12646,0
19950612,9.976,9.976,9.976,9.976,14235,0
19950613,9.789,9.789,9.789,9.789,6743,0
19950614,9.789,9.789,9.789,9.789,25692,0
19950616,9.509,9.509,9.509,9.509,22188,0
19950619,9.509,9.509,9.509,9.509,9570,0
19950620,9.882,9.882,9.882,9.882,15583,0
19950621,10.255,10.255,10.255,10.255,24573,0
19950622,10.255,10.255,10.255,10.255,29254,0
19950623,10.535,10.535,10.535,10.535,18652,0
19950626,11.56,11.56,11.56,11.56,43424,0
19950627,11.654,11.654,11.654,11.654,43034,0
19950628,11.281,11.281,11.281,11.281,34306,0
19950629,11.747,11.747,11.747,11.747,54866,0
19950630,12.213,12.213,12.213,12.213,51993,0
19950703,12.586,12.586,12.586,12.586,48745,0
19950704,11.747,11.747,11.747,11.747,27284,0
19950705,11.654,11.654,11.654,11.654,38529,0
19950706,11.84,11.84,11.84,11.84,23268,0
19950707,11.467,11.467,11.467,11.467,17527,0
19950710,11.281,11.281,11.281,11.281,8111,0
19950711,10.815,10.815,10.815,10.815,10310,0
19950712,10.442,10.442,10.442,10.442,27822,0
19950713,10.815,10.815,10.815,10.815,40918,0
19950714,10.815,10.815,10.815,10.815,23996,0
19950717,11.747,11.747,11.747,11.747,28263,0
19950718,12.12,12.12,12.12,12.12,69225,0
19950719,12.306,12.306,12.306,12.306,76465,0
19950720,12.213,12.213,12.213,12.213,60796,0
19950721,12.12,12.12,12.12,12.12,30530,0
19950724,11.281,11.281,11.281,11.281,33642,0
19950725,11.094,11.094,11.094,11.094,24202,0
19950726,11.374,11.374,11.374,11.374,38202,0
19950727,12.213,12.213,12.213,12.213,24973,0
19950728,11.654,11.654,11.654,11.654,18792,0
19950731,10.721,10.721,10.721,10.721,21220,0
19950801,11.188,11.188,11.188,11.188,26816,0
19950802,11.374,11.374,11.374,11.374,25278,0
19950803,10.815,10.815,10.815,10.815,14887,0
19950804,11.094,11.094,11.094,11.094,19964,0
19950807,11.188,11.188,11.188,11.188,24223,0
19950808,11.094,11.094,11.094,11.094,12304,0
19950809,11.094,11.094,11.094,11.094,16000,0
19950810,11.654,11.654,11.654,11.654,33337,0
19950811,11.933,11.933,11.933,11.933,37291,0
19950816,11.84,11.84,11.84,11.84,22213,0
19950817,11.84,11.84,11.84,11.84,33741,0
19950818,11.84,11.84,11.84,11.84,22889,0
19950821,10.721,10.721,10.721,10.721,58062,0
19950822,10.628,10.628,10.628,10.628,31521,0
19950823,10.628,10.628,10.628,10.628,36413,0
19950824,10.721,10.721,10.721,10.721,21825,0
19950825,10.628,10.628,10.628,10.628,18771,0
19950828,10.628,10.628,10.628,10.628,14208,0
19950829,10.442,10.442,10.442,10.442,10439,0
19950830,10.069,10.069,10.069,10.069,14551,0
19950831,9.789,9.789,9.789,9.789,18286,0
19950901,9.603,9.603,9.603,9.603,11507,0
19950904,9.789,9.789,9.789,9.789,26561,0
19950905,10.348,10.348,10.348,10.348,44257,0
19950906,10.255,10.255,10.255,10.255,16090,0
19950907,9.789,9.789,9.789,9.789,7866,0
19950908,9.789,9.789,9.789,9.789,19716,0
19950911,10.255,10.255,10.255,10.255,29838,0
19950912,10.348,10.348,10.348,10.348,21260,0
19950913,9.882,9.882,9.882,9.882,12194,0
19950914,10.162,10.162,10.162,10.162,12890,0
19950915,9.976,9.976,9.976,9.976,16189,0
19950918,9.2297,9.2297,9.2297,9.2297,10726,0
19950919,9.509,9.509,9.509,9.509,16404,0
19950920,10.348,10.348,10.348,10.348,36286,0
19950921,10.255,10.255,10.255,10.255,22037,0
19950922,10.162,10.162,10.162,10.162,6151,0
19950925,9.789,9.789,9.789,9.789,9602,0
19950926,9.882,9.882,9.882,9.882,5110,0
19950927,10.069,10.069,10.069,10.069,26021,0
19950928,10.162,10.162,10.162,10.162,24355,0
19950929,9.976,9.976,9.976,9.976,5714,0
19951002,10.255,10.255,10.255,10.255,25840,0
19951003,10.162,10.162,10.162,10.162,14319,0
19951004,10.069,10.069,10.069,10.069,13011,0
19951005,10.069,10.069,10.069,10.069,7697,0
19951006,10.162,10.162,10.162,10.162,7971,0
19951009,10.162,10.162,10.162,10.162,36116,0
19951010,9.882,9.882,9.882,9.882,10473,0
19951011,9.976,9.976,9.976,9.976,14636,0
19951012,9.976,9.976,9.976,9.976,23156,0
19951013,10.069,10.069,10.069,10.069,18027,0
19951016,9.976,9.976,9.976,9.976,36389,0
19951017,10.162,10.162,10.162,10.162,17221,0
19951018,10.255,10.255,10.255,10.255,14188,0
19951019,10.255,10.255,10.255,10.255,23646,0
19951020,9.882,9.882,9.882,9.882,9613,0
19951023,9.882,9.882,9.882,9.882,6123,0
19951024,9.509,9.509,9.509,9.509,4102,0
19951025,9.603,9.603,9.603,9.603,3853,0
19951026,9.696,9.696,9.696,9.696,9231,0
19951027,9.3229,9.3229,9.3229,9.3229,8849,0
19951030,9.509,9.509,9.509,9.509,18088,0
19951031,9.4162,9.4162,9.4162,9.4162,6479,0
19951102,9.603,9.603,9.603,9.603,12548,0
19951103,9.882,9.882,9.882,9.882,22566,0
19951106,10.348,10.348,10.348,10.348,43726,0
19951107,10.348,10.348,10.348,10.348,34691,0
19951108,10.535,10.535,10.535,10.535,57048,0
19951109,10.348,10.348,10.348,10.348,32759,0
19951110,9.976,9.976,9.976,9.976,13783,0
19951113,9.789,9.789,9.789,9.789,4239,0
19951114,9.976,9.976,9.976,9.976,6466,0
19951115,9.976,9.976,9.976,9.976,13033,0
19951116,9.882,9.882,9.882,9.882,6730,0
19951117,9.882,9.882,9.882,9.882,21402,0
19951120,9.509,9.509,9.509,9.509,29918,0
19951121,9.509,9.509,9.509,9.509,10936,0
19951122,10.069,10.069,10.069,10.069,10974,0
19951123,10.162,10.162,10.162,10.162,12841,0
19951124,9.976,9.976,9.976,9.976,7418,0
19951127,9.976,9.976,9.976,9.976,3509,0
19951128,9.976,9.976,9.976,9.976,3760,0
19951129,9.882,9.882,9.882,9.882,12649,0
19951130,9.789,9.789,9.789,9.789,2145,0
19951201,9.882,9.882,9.882,9.882,16747,0
19951204,9.976,9.976,9.976,9.976,10577,0
19951205,10.255,10.255,10.255,10.255,41881,0
19951206,9.976,9.976,9.976,9.976,6666,0
19951207,9.976,9.976,9.976,9.976,11077,0
19951208,9.789,9.789,9.789,9.789,17622,0
19951211,9.882,9.882,9.882,9.882,10573,0
19951212,9.882,9.882,9.882,9.882,13508,0
19951213,9.789,9.789,9.789,9.789,9193,0
19951214,9.603,9.603,9.603,9.603,20515,0
19951215,9.603,9.603,9.603,9.603,8851,0
19951218,9.696,9.696,9.696,9.696,18668,0
19951219,8.95,8.95,8.95,8.95,27598,0
19951220,8.2041,8.2041,8.2041,8.2041,29192,0
19951221,8.4838,8.4838,8.4838,8.4838,14734,0
19951222,8.3907,8.3907,8.3907,8.3907,12633,0
19951227,8.4372,8.4372,8.4372,8.4372,13925,0
19951228,8.5305,8.5305,8.5305,8.5305,40736,0
19951229,8.5305,8.5305,8.5305,8.5305,15885,0
19960102,9.0898,9.0898,9.0898,9.0898,6491,0
19960103,9.509,9.509,9.509,9.509,59047,0
19960104,9.1365,9.1365,9.1365,9.1365,7880,0
19960105,9.4162,9.4162,9.4162,9.4162,39453,0
19960108,9.882,9.882,9.882,9.882,29953,0
19960109,10.628,10.628,10.628,10.628,61818,0
19960110,10.348,10.348,10.348,10.348,35367,0
19960111,10.721,10.721,10.721,10.721,30967,0
19960112,10.348,10.348,10.348,10.348,25511,0
19960115,10.255,10.255,10.255,10.255,11994,0
19960116,9.882,9.882,9.882,9.882,6982,0
19960117,10.255,10.255,10.255,10.255,14237,0
19960118,10.069,10.069,10.069,10.069,18324,0
19960119,10.255,10.255,10.255,10.255,64942,0
19960122,10.348,10.348,10.348,10.348,41069,0
19960123,10.628,10.628,10.628,10.628,47327,0
19960124,11.654,11.654,11.654,11.654,43334,0
19960125,12.12,12.12,12.12,12.12,75703,0
19960126,12.399,12.399,12.399,12.399,73027,0
19960129,11.747,11.747,11.747,11.747,34648,0
19960130,11.747,11.747,11.747,11.747,40436,0
19960131,11.933,11.933,11.933,11.933,25013,0
19960201,11.654,11.654,11.654,11.654,22225,0
19960202,11.654,11.654,11.654,11.654,37328,0
19960205,11.56,11.56,11.56,11.56,17560,0
19960206,11.747,11.747,11.747,11.747,20814,0
19960207,11.374,11.374,11.374,11.374,20792,0
19960208,11.374,11.374,11.374,11.374,17891,0
19960209,11.281,11.281,11.281,11.281,89356,0
19960212,11.281,11.281,11.281,11.281,35547,0
19960213,10.815,10.815,10.815,10.815,43968,0
19960214,10.815,10.815,10.815,10.815,15443,0
19960215,11.001,11.001,11.001,11.001,10135,0
19960216,10.815,10.815,10.815,10.815,23810,0
19960219,10.815,10.815,10.815,10.815,22332,0
19960220,10.815,10.815,10.815,10.815,23256,0
19960221,11.001,11.001,11.001,11.001,32087,0
19960222,11.747,11.747,11.747,11.747,24816,0
19960223,11.56,11.56,11.56,11.56,53155,0
19960226,11.281,11.281,11.281,11.281,51991,0
19960227,11.281,11.281,11.281,11.281,28101,0
19960228,11.001,11.001,11.001,11.001,8272,0
19960229,11.188,11.188,11.188,11.188,18860,0
19960301,10.815,10.815,10.815,10.815,6380,0
19960304,11.188,11.188,11.188,11.188,21230,0
19960305,11.84,11.84,11.84,11.84,56546,0
19960306,12.12,12.12,12.12,12.12,39605,0
19960307,11.933,11.933,11.933,11.933,21075,0
19960308,11.933,11.933,11.933,11.933,45879,0
19960311,11.747,11.747,11.747,11.747,18814,0
19960312,11.84,11.84,11.84,11.84,18538,0
19960313,12.12,12.12,12.12,12.12,20545,0
19960314,12.306,12.306,12.306,12.306,16212,0
19960315,12.772,12.772,12.772,12.772,61539,0
19960318,13.984,13.984,13.984,13.984,0,0
19960319,15.383,15.383,15.383,15.383,97219,0
19960320,13.891,13.891,13.891,13.891,42797,0
19960321,13.891,13.891,13.891,13.891,32935,0
19960322,13.239,13.239,13.239,13.239,12162,0
19960325,13.798,13.798,13.798,13.798,36202,0
19960326,13.611,13.611,13.611,13.611,11020,0
19960327,13.518,13.518,13.518,13.518,6880,0
19960328,13.239,13.239,13.239,13.239,16090,0
19960329,13.518,13.518,13.518,13.518,17384,0
19960401,13.239,13.239,13.239,13.239,5514,0
19960402,13.145,13.145,13.145,13.145,16127,0
19960403,13.052,13.052,13.052,13.052,30302,0
19960404,12.866,12.866,12.866,12.866,2215,0
19960405,12.959,12.959,12.959,12.959,7601,0
19960409,13.145,13.145,13.145,13.145,7113,0
19960410,13.518,13.518,13.518,13.518,11429,0
19960411,13.705,13.705,13.705,13.705,8610,0
19960412,13.705,13.705,13.705,13.705,10799,0
19960415,13.611,13.611,13.611,13.611,8008,0
19960416,13.705,13.705,13.705,13.705,7443,0
19960417,13.891,13.891,13.891,13.891,19365,0
19960418,14.264,14.264,14.264,14.264,15528,0
19960419,13.984,13.984,13.984,13.984,67504,0
19960422,13.984,13.984,13.984,13.984,12156,0
19960423,13.984,13.984,13.984,13.984,17412,0
19960424,14.917,14.917,14.917,14.917,27386,0
19960425,14.73,14.73,14.73,14.73,5465,0
19960426,13.984,13.984,13.984,13.984,4183,0
19960429,14.171,14.171,14.171,14.171,8609,0
19960430,13.984,13.984,13.984,13.984,21096,0
