Date,Open,High,Low,Close,Volume,OpenInt
19971216,18.798,18.798,18.798,18.798,29391,0
19971217,19.644,19.644,19.644,19.644,26719,0
19971218,18.798,18.798,18.798,18.798,19794,0
19971219,18.048,18.048,18.048,18.048,7081,0
19971222,16.261,16.261,16.261,16.261,0,0
19971223,16.07,16.07,16.07,16.07,16737,0
19971229,16.166,16.166,16.166,16.166,6087,0
19971230,16.451,16.451,16.451,16.451,8945,0
19971231,15.976,15.976,15.976,15.976,12836,0
19980105,16.355,16.355,16.355,16.355,6174,0
19980106,16.355,16.355,16.355,16.355,5178,0
19980107,15.976,15.976,15.976,15.976,4740,0
19980108,15.785,15.785,15.785,15.785,5205,0
19980109,15.785,15.785,15.785,15.785,3183,0
19980112,14.283,14.283,14.283,14.283,1065,0
19980113,14.569,14.569,14.569,14.569,6093,0
19980114,14.569,14.569,14.569,14.569,5256,0
19980115,14.664,14.664,14.664,14.664,6705,0
19980116,14.094,14.094,14.094,14.094,3588,0
19980119,14.283,14.283,14.283,14.283,2482,0
19980120,14.094,14.094,14.094,14.094,9262,0
19980121,13.818,13.818,13.818,13.818,1712,0
19980122,13.628,13.628,13.628,13.628,7461,0
19980123,13.153,13.153,13.153,13.153,2991,0
19980126,13.914,13.914,13.914,13.914,7182,0
19980127,13.628,13.628,13.628,13.628,2941,0
19980128,13.628,13.628,13.628,13.628,859,0
19980129,14.939,14.939,14.939,14.939,5035,0
19980130,14.845,14.845,14.845,14.845,4708,0
19980202,15.51,15.51,15.51,15.51,2531,0
19980203,16.166,16.166,16.166,16.166,5512,0
19980204,16.451,16.451,16.451,16.451,9104,0
19980205,15.691,15.691,15.691,15.691,2976,0
19980206,15.976,15.976,15.976,15.976,4326,0
19980209,16.261,16.261,16.261,16.261,4724,0
19980210,17.857,17.857,17.857,17.857,18674,0
19980211,17.382,17.382,17.382,17.382,4711,0
19980212,17.382,17.382,17.382,17.382,4256,0
19980213,16.536,16.536,16.536,16.536,2350,0
19980216,16.355,16.355,16.355,16.355,3028,0
19980217,16.261,16.261,16.261,16.261,1138,0
19980218,17.382,17.382,17.382,17.382,7204,0
19980219,18.513,18.513,18.513,18.513,15806,0
19980220,17.382,17.382,17.382,17.382,12710,0
19980223,17.667,17.667,17.667,17.667,14909,0
19980224,17.857,17.857,17.857,17.857,7288,0
19980225,17.296,17.296,17.296,17.296,10873,0
19980226,17.382,17.382,17.382,17.382,7241,0
19980227,17.382,17.382,17.382,17.382,5722,0
19980302,17.107,17.107,17.107,17.107,4595,0
19980303,17.382,17.382,17.382,17.382,5336,0
19980304,16.916,16.916,16.916,16.916,5395,0
19980305,16.821,16.821,16.821,16.821,2193,0
19980306,16.536,16.536,16.536,16.536,4078,0
19980309,16.821,16.821,16.821,16.821,7584,0
19980310,16.916,16.916,16.916,16.916,4671,0
19980311,17.477,17.477,17.477,17.477,9984,0
19980312,16.726,16.726,16.726,16.726,3660,0
19980313,17.572,17.572,17.572,17.572,3459,0
19980316,17.572,17.572,17.572,17.572,4963,0
19980317,17.857,17.857,17.857,17.857,3097,0
19980318,18.513,18.513,18.513,18.513,12490,0
19980319,18.798,18.798,18.798,18.798,23397,0
19980320,18.703,18.703,18.703,18.703,9243,0
19980323,18.798,18.798,18.798,18.798,13919,0
19980324,18.798,18.798,18.798,18.798,22214,0
19980325,18.418,18.418,18.418,18.418,16076,0
19980326,16.632,16.632,16.632,16.632,8539,0
19980327,17.201,17.201,17.201,17.201,8195,0
19980330,17.201,17.201,17.201,17.201,7820,0
19980331,17.107,17.107,17.107,17.107,6411,0
19980401,17.011,17.011,17.011,17.011,3529,0
19980402,16.916,16.916,16.916,16.916,7571,0
19980406,17.107,17.107,17.107,17.107,7889,0
19980407,17.572,17.572,17.572,17.572,1991,0
19980408,17.477,17.477,17.477,17.477,2191,0
19980409,16.916,16.916,16.916,16.916,15788,0
19980414,16.916,16.916,16.916,16.916,4461,0
19980415,17.107,17.107,17.107,17.107,4757,0
19980416,17.382,17.382,17.382,17.382,4741,0
19980417,17.382,17.382,17.382,17.382,2222,0
19980420,16.916,16.916,16.916,16.916,4769,0
19980421,15.51,15.51,15.51,15.51,1613,0
19980422,15.976,15.976,15.976,15.976,6510,0
19980423,16.07,16.07,16.07,16.07,2376,0
19980424,16.451,16.451,16.451,16.451,6430,0
19980427,16.821,16.821,16.821,16.821,8245,0
19980428,15.976,15.976,15.976,15.976,4110,0
19980429,15.13,15.13,15.13,15.13,3108,0
19980430,15.51,15.51,15.51,15.51,5864,0
