Date,Open,High,Low,Close,Volume,OpenInt
19980525,0.9691,0.9691,0.9691,0.9691,761468,0
19980526,0.9691,0.9691,0.9691,0.9691,930708,0
19980527,0.9321,0.9321,0.9321,0.9321,269787,0
19980528,0.9321,0.9321,0.9321,0.9321,611299,0
19980529,0.8953,0.8953,0.8953,0.8953,114414,0
19980601,0.8722,0.8722,0.8722,0.8722,27086,0
19980602,0.8999,0.8999,0.8999,0.8999,58508,0
19980603,0.9137,0.9137,0.9137,0.9137,63492,0
19980604,0.8999,0.8999,0.8999,0.8999,83428,0
19980605,0.8676,0.8676,0.8676,0.8676,148653,0
19980608,0.8676,0.8676,0.8676,0.8676,76494,0
19980609,0.8907,0.8907,0.8907,0.8907,78010,0
19980610,0.8768,0.8768,0.8768,0.8768,76926,0
19980615,0.8999,0.8999,0.8999,0.8999,78010,0
19980616,0.8953,0.8953,0.8953,0.8953,148869,0
19980617,0.9507,0.9507,0.9507,0.9507,239448,0
19980618,0.9599,0.9599,0.9599,0.9599,130883,0
19980619,0.9507,0.9507,0.9507,0.9507,2168,0
19980622,0.9599,0.9599,0.9599,0.9599,113549,0
19980623,0.9552,0.9552,0.9552,0.9552,66742,0
19980624,0.9507,0.9507,0.9507,0.9507,105530,0
19980625,0.9599,0.9599,0.9599,0.9599,120699,0
19980626,0.9507,0.9507,0.9507,0.9507,21670,0
19980629,0.9829,0.9829,0.9829,0.9829,46807,0
19980630,0.9783,0.9783,0.9783,0.9783,219946,0
19980701,0.9507,0.9507,0.9507,0.9507,28170,0
19980702,0.9507,0.9507,0.9507,0.9507,182891,0
19980703,0.9507,0.9507,0.9507,0.9507,845763,0
19980706,1.0383,1.0383,1.0383,1.0383,245949,0
19980707,1.0152,1.0152,1.0152,1.0152,509235,0
19980708,1.0152,1.0152,1.0152,1.0152,30121,0
19980709,1.0152,1.0152,1.0152,1.0152,24920,0
19980710,1.0383,1.0383,1.0383,1.0383,727014,0
19980713,1.0291,1.0291,1.0291,1.0291,104231,0
19980714,1.0383,1.0383,1.0383,1.0383,112899,0
19980715,1.0614,1.0614,1.0614,1.0614,865917,0
19980716,1.0844,1.0844,1.0844,1.0844,45507,0
19980717,1.1491,1.1491,1.1491,1.1491,295789,0
19980720,1.0844,1.0844,1.0844,1.0844,188524,0
19980721,1.1214,1.1214,1.1214,1.1214,43340,0
19980722,1.1075,1.1075,1.1075,1.1075,122650,0
19980723,1.1352,1.1352,1.1352,1.1352,137168,0
19980724,1.1075,1.1075,1.1075,1.1075,35322,0
19980727,1.1168,1.1168,1.1168,1.1168,190475,0
19980728,1.1075,1.1075,1.1075,1.1075,140420,0
19980729,1.0983,1.0983,1.0983,1.0983,26219,0
19980730,1.1075,1.1075,1.1075,1.1075,45507,0
19980731,1.103,1.103,1.103,1.103,80178,0
19980803,1.0983,1.0983,1.0983,1.0983,141936,0
19980804,1.0752,1.0752,1.0752,1.0752,50489,0
19980805,1.0383,1.0383,1.0383,1.0383,79311,0
19980806,0.9415,0.9415,0.9415,0.9415,237065,0
19980807,0.946,0.946,0.946,0.946,355381,0
19980810,0.946,0.946,0.946,0.946,102064,0
19980811,0.9415,0.9415,0.9415,0.9415,34672,0
19980812,0.8999,0.8999,0.8999,0.8999,98164,0
19980813,0.8999,0.8999,0.8999,0.8999,54824,0
19980814,0.946,0.946,0.946,0.946,17075,0
19980817,0.9229,0.9229,0.9229,0.9229,66959,0
19980818,0.9229,0.9229,0.9229,0.9229,75453,0
19980819,0.9276,0.9276,0.9276,0.9276,114133,0
19980820,0.9229,0.9229,0.9229,0.9229,35754,0
19980821,0.9091,0.9091,0.9091,0.9091,37055,0
19980824,0.8214,0.8214,0.8214,0.8214,31422,0
19980825,0.8307,0.8307,0.8307,0.8307,99897,0
19980826,0.826,0.826,0.826,0.826,33588,0
19980827,0.8076,0.8076,0.8076,0.8076,28494,0
19980828,0.7291,0.7291,0.7291,0.7291,50207,0
19980831,0.7153,0.7153,0.7153,0.7153,31334,0
19980901,0.6461,0.6461,0.6461,0.6461,9534,0
19980902,0.7014,0.7014,0.7014,0.7014,47867,0
19980903,0.6922,0.6922,0.6922,0.6922,38246,0
19980904,0.6922,0.6922,0.6922,0.6922,21129,0
19980907,0.6737,0.6737,0.6737,0.6737,3012,0
19980908,0.6737,0.6737,0.6737,0.6737,14129,0
19980909,0.6692,0.6692,0.6692,0.6692,16252,0
19980910,0.6737,0.6737,0.6737,0.6737,24313,0
19980911,0.6091,0.6091,0.6091,0.6091,4334,0
19980914,0.6184,0.6184,0.6184,0.6184,10617,0
19980915,0.6091,0.6091,0.6091,0.6091,10879,0
19980916,0.5814,0.5814,0.5814,0.5814,38031,0
19980917,0.5814,0.5814,0.5814,0.5814,38053,0
19980918,0.5999,0.5999,0.5999,0.5999,131100,0
19980921,0.6184,0.6184,0.6184,0.6184,198190,0
19980922,0.6091,0.6091,0.6091,0.6091,48346,0
19980923,0.5999,0.5999,0.5999,0.5999,122953,0
19980924,0.6138,0.6138,0.6138,0.6138,78594,0
19980925,0.5953,0.5953,0.5953,0.5953,19633,0
19980928,0.6045,0.6045,0.6045,0.6045,43340,0
19980929,0.5814,0.5814,0.5814,0.5814,20131,0
19980930,0.5814,0.5814,0.5814,0.5814,40045,0
19981001,0.5769,0.5769,0.5769,0.5769,19307,0
19981002,0.5814,0.5814,0.5814,0.5814,62387,0
19981005,0.5722,0.5722,0.5722,0.5722,18311,0
19981006,0.5168,0.5168,0.5168,0.5168,21670,0
19981007,0.5168,0.5168,0.5168,0.5168,26002,0
19981008,0.4661,0.4661,0.4661,0.4661,1235,0
19981009,0.48,0.48,0.48,0.48,31422,0
19981012,0.48,0.48,0.48,0.48,21670,0
19981013,0.4707,0.4707,0.4707,0.4707,29449,0
19981014,0.4661,0.4661,0.4661,0.4661,25029,0
19981015,0.4615,0.4615,0.4615,0.4615,64707,0
19981016,0.4615,0.4615,0.4615,0.4615,32092,0
19981019,0.4523,0.4523,0.4523,0.4523,14193,0
19981020,0.4245,0.4245,0.4245,0.4245,69342,0
19981021,0.4154,0.4154,0.4154,0.4154,9490,0
19981022,0.3738,0.3738,0.3738,0.3738,148977,0
19981023,0.3691,0.3691,0.3691,0.3691,160332,0
19981026,0.3738,0.3738,0.3738,0.3738,245039,0
19981027,0.3968,0.3968,0.3968,0.3968,380647,0
19981028,0.4199,0.4199,0.4199,0.4199,168762,0
19981029,0.3922,0.3922,0.3922,0.3922,105076,0
19981030,0.4338,0.4338,0.4338,0.4338,142131,0
19981102,0.4707,0.4707,0.4707,0.4707,139725,0
19981103,0.5168,0.5168,0.5168,0.5168,212795,0
19981104,0.5307,0.5307,0.5307,0.5307,145922,0
19981105,0.4846,0.4846,0.4846,0.4846,129953,0
19981106,0.5077,0.5077,0.5077,0.5077,178297,0
19981109,0.5445,0.5445,0.5445,0.5445,117861,0
19981110,0.5215,0.5215,0.5215,0.5215,58096,0
19981112,0.5077,0.5077,0.5077,0.5077,191061,0
19981113,0.4984,0.4984,0.4984,0.4984,498682,0
19981116,0.5445,0.5445,0.5445,0.5445,450034,0
19981117,0.5445,0.5445,0.5445,0.5445,179791,0
19981118,0.5538,0.5538,0.5538,0.5538,327233,0
19981119,0.5077,0.5077,0.5077,0.5077,408557,0
19981120,0.5077,0.5077,0.5077,0.5077,77078,0
19981123,0.5215,0.5215,0.5215,0.5215,183932,0
19981124,0.5353,0.5353,0.5353,0.5353,205016,0
19981125,0.5077,0.5077,0.5077,0.5077,97231,0
19981126,0.5077,0.5077,0.5077,0.5077,41996,0
19981127,0.4984,0.4984,0.4984,0.4984,7996,0
19981130,0.4569,0.4569,0.4569,0.4569,53826,0
19981201,0.4385,0.4385,0.4385,0.4385,29428,0
19981202,0.4338,0.4338,0.4338,0.4338,51270,0
19981203,0.4338,0.4338,0.4338,0.4338,39266,0
19981204,0.4338,0.4338,0.4338,0.4338,34932,0
19981207,0.4615,0.4615,0.4615,0.4615,306190,0
19981208,0.4615,0.4615,0.4615,0.4615,118988,0
19981209,0.4615,0.4615,0.4615,0.4615,148783,0
19981210,0.4615,0.4615,0.4615,0.4615,39678,0
19981211,0.4292,0.4292,0.4292,0.4292,8299,0
19981214,0.4385,0.4385,0.4385,0.4385,25051,0
19981215,0.4385,0.4385,0.4385,0.4385,17877,0
19981216,0.443,0.443,0.443,0.443,56340,0
19981217,0.4338,0.4338,0.4338,0.4338,13002,0
19981218,0.4338,0.4338,0.4338,0.4338,26002,0
19981221,0.4199,0.4199,0.4199,0.4199,71510,0
19981222,0.4154,0.4154,0.4154,0.4154,88737,0
19981223,0.4107,0.4107,0.4107,0.4107,66785,0
19981228,0.4292,0.4292,0.4292,0.4292,70967,0
19981229,0.4338,0.4338,0.4338,0.4338,72334,0
19981230,0.4385,0.4385,0.4385,0.4385,132358,0
19981231,0.4707,0.4707,0.4707,0.4707,62690,0
19990104,0.4984,0.4984,0.4984,0.4984,115000,0
19990105,0.5445,0.5445,0.5445,0.5445,187594,0
19990106,0.5168,0.5168,0.5168,0.5168,281574,0
19990107,0.5445,0.5445,0.5445,0.5445,221852,0
19990108,0.5445,0.5445,0.5445,0.5445,193660,0
19990111,0.5492,0.5492,0.5492,0.5492,255028,0
19990112,0.5538,0.5538,0.5538,0.5538,156824,0
19990113,0.5307,0.5307,0.5307,0.5307,135283,0
19990114,0.48,0.48,0.48,0.48,789313,0
19990115,0.443,0.443,0.443,0.443,525813,0
19990118,0.4661,0.4661,0.4661,0.4661,577212,0
19990119,0.4891,0.4891,0.4891,0.4891,294510,0
19990120,0.4846,0.4846,0.4846,0.4846,54717,0
19990121,0.503,0.503,0.503,0.503,169674,0
19990122,0.4615,0.4615,0.4615,0.4615,718780,0
19990125,0.4292,0.4292,0.4292,0.4292,104967,0
19990126,0.4338,0.4338,0.4338,0.4338,221592,0
19990127,0.4707,0.4707,0.4707,0.4707,65334,0
19990128,0.4523,0.4523,0.4523,0.4523,74110,0
19990129,0.4707,0.4707,0.4707,0.4707,280664,0
19990201,0.4707,0.4707,0.4707,0.4707,187897,0
