Date,Open,High,Low,Close,Volume,OpenInt
20071114,4.6315,4.6315,4.3763,4.4425,63312,0
20071115,4.4425,4.4425,3.9604,4.0927,16326,0
20071116,3.8942,3.8942,3.7808,3.8942,25877,0
20071119,3.8942,4.0644,3.8942,4.0171,24407,0
20071120,3.7808,4.0171,3.7808,4.0171,11549,0
20071121,4.0644,4.0644,4.0549,4.0549,1587,0
20071122,3.7808,4.1116,3.7808,4.1116,29306,0
20071123,4.1022,4.1022,4.1022,4.1022,106,0
20071126,4.1022,4.1022,4.1022,4.1022,1,0
20071127,3.9699,3.9699,3.8186,3.9699,9760,0
20071128,4.0644,4.0644,3.8753,4.0644,12569,0
20071129,4.0644,4.0644,3.8753,3.8753,2384,0
20071130,3.8659,3.8942,3.8659,3.8942,10419,0
20071203,4.036,4.036,4.0171,4.0171,3824,0
20071205,3.9982,4.0171,3.9699,3.9888,17118,0
20071206,3.9982,4.0077,3.8753,3.9982,3470,0
20071207,3.8281,3.9982,3.8092,3.9604,7431,0
20071210,3.8942,3.9132,3.7903,3.9132,8486,0
20071211,3.9037,3.9037,3.9037,3.9037,529,0
20071212,3.9037,3.9037,3.7808,3.7997,6334,0
20071213,3.9793,3.9793,3.7808,3.8281,4161,0
20071214,3.6863,3.7808,3.6485,3.6863,7486,0
20071217,3.6485,3.6485,3.4689,3.639,12013,0
20071218,3.4311,3.6674,3.4216,3.6674,146838,0
20071219,3.5634,3.6674,3.5634,3.6012,9745,0
20071220,3.5162,3.5162,3.3555,3.3555,29468,0
20071221,3.3744,3.3838,3.0719,3.1192,47802,0
20071227,3.2137,3.2137,3.0247,3.0719,8375,0
20071228,3.0719,3.2799,3.0719,3.1097,11104,0
20080102,3.7241,3.7336,3.1192,3.6768,13127,0
20080103,3.6768,3.9226,3.6674,3.8659,26246,0
20080104,3.8659,3.8659,3.6107,3.6674,7733,0
20080107,3.3082,3.6201,3.2137,3.5445,12434,0
20080108,3.4973,3.4973,3.261,3.261,4052,0
20080109,3.3082,3.3082,3.1192,3.261,963,0
20080110,3.3082,3.3082,3.3082,3.3082,1058,0
20080111,3.3555,3.3555,3.3555,3.3555,11,0
20080114,3.2326,3.2326,2.8451,2.949,2099,0
20080115,3.0247,3.261,3.0247,3.2042,4021,0
20080116,2.9018,3.0719,2.8923,3.0719,4238,0
20080117,3.1948,3.1948,3.1948,3.1948,518,0
20080118,3.2515,3.2515,3.2137,3.2137,286,0
20080121,3.2988,3.2988,3.0247,3.2137,6581,0
20080122,3.0247,3.1097,2.9301,3.1097,803,0
20080123,3.0719,3.0719,3.0719,3.0719,1164,0
20080124,2.949,3.1097,2.9301,3.1003,15423,0
20080125,3.1003,3.1003,2.8356,3.1003,21744,0
20080128,2.8451,2.8829,2.8451,2.8829,4818,0
20080129,2.864,2.8829,2.864,2.864,2821,0
20080130,2.9963,3.0719,2.8734,2.9585,4867,0
20080131,2.9679,2.9963,2.9679,2.9774,1164,0
20080201,3.0814,3.0814,2.9868,3.0247,4401,0
20080204,3.0247,3.0247,3.0247,3.0247,1079,0
20080205,2.9018,2.9301,2.8451,2.9301,3525,0
20080206,2.8451,2.9301,2.8356,2.9301,730,0
20080207,2.8356,2.9207,2.8356,2.9207,2319,0
20080208,2.9301,2.9301,2.9301,2.9301,3313,0
20080211,2.9774,3.0247,2.9301,3.0247,2221,0
20080212,3.0247,3.1192,3.0247,3.1192,7138,0
20080213,3.2042,3.2042,3.0247,3.1475,2121,0
20080214,3.2042,3.2042,3.0247,3.1475,1788,0
20080215,3.1948,3.3082,3.0341,3.3082,36082,0
20080218,3.4689,3.7147,3.3082,3.5445,43500,0
20080219,3.6201,3.6201,3.554,3.5918,12907,0
20080220,3.554,3.554,3.2988,3.2988,26872,0
20080221,3.4784,3.4784,3.1853,3.2137,32252,0
20080222,3.2421,3.346,2.949,2.9963,73527,0
20080225,3.0436,3.1948,2.949,2.949,18552,0
20080226,2.9396,3.1664,2.9396,3.1664,8237,0
20080227,3.1475,3.1475,3.0436,3.0436,3227,0
20080228,3.0436,3.1097,2.9679,2.9679,4618,0
20080229,3.0247,3.0247,2.949,3.0247,9476,0
20080303,2.8262,2.9301,2.8262,2.8829,6136,0
20080304,2.8356,2.8734,2.8356,2.8356,1525,0
20080305,2.8356,2.9301,2.8356,2.9301,4521,0
20080306,2.949,3.1381,2.949,3.1192,24027,0
20080307,3.0908,3.0908,3.0247,3.0247,36245,0
20080310,2.9207,3.1097,2.8451,3.1097,2312,0
20080311,3.1003,3.1097,2.9774,3.1097,11860,0
20080312,3.0908,3.0908,3.0908,3.0908,5441,0
20080313,3.0908,3.0908,3.0247,3.0341,14187,0
20080314,3.0341,3.1097,3.0341,3.0341,4344,0
20080317,2.9112,3.0247,2.9112,3.0247,1587,0
20080318,3.0247,3.0247,3.0247,3.0247,7606,0
20080319,3.0247,3.0247,3.0247,3.0247,159,0
20080320,3.0814,3.0814,2.8734,3.053,1680,0
20080325,3.0247,3.0436,2.8545,3.0436,137752,0
20080326,3.0247,3.0247,2.9112,3.0247,5709,0
20080327,3.0247,3.0247,3.0247,3.0247,15341,0
20080328,3.0247,3.0247,3.0247,3.0247,10851,0
20080331,3.0152,3.1192,3.0152,3.1192,8677,0
20080401,3.0719,3.0719,3.0247,3.053,7384,0
20080402,3.0625,3.2137,3.0625,3.1192,37083,0
20080403,3.1192,3.261,3.1192,3.1664,9486,0
20080404,3.0625,3.1097,3.0625,3.1097,741,0
20080407,3.2042,3.2137,3.2042,3.2137,1770,0
20080408,3.1192,3.1853,3.1192,3.1853,125,0
20080409,3.2515,3.2515,3.0436,3.1192,4187,0
20080410,3.0341,3.0625,2.9774,3.0436,1746,0
20080411,3.2042,3.2042,3.0058,3.0436,1375,0
20080414,3.0719,3.0719,2.9679,3.0719,21815,0
20080415,3.1192,3.1664,3.0247,3.0247,513759,0
20080416,3.157,3.157,3.157,3.157,16,0
20080417,3.1948,3.1948,3.0341,3.0341,863,0
20080418,2.9774,2.9774,2.9774,2.9774,476,0
20080421,2.9963,2.9963,2.9774,2.9774,2102,0
20080422,3.0247,3.0247,2.8829,2.9301,14621,0
20080423,2.8545,2.9774,2.8451,2.9774,3834,0
20080425,2.8829,2.8829,2.8829,2.8829,423,0
20080428,2.9585,2.9585,2.8829,2.8923,13647,0
20080429,2.9679,2.9774,2.9585,2.9774,26510,0
20080505,2.8923,2.8923,2.8923,2.8923,48,0
20080506,2.8545,2.9774,2.8545,2.9679,4178,0
20080507,2.9679,2.9868,2.8829,2.9868,24899,0
20080508,2.9868,2.9868,2.9774,2.9774,1603,0
20080509,2.9679,2.9679,2.9585,2.9585,741,0
20080512,2.8734,2.9774,2.8734,2.9774,2343,0
20080513,2.9774,2.9774,2.9774,2.9774,212,0
20080514,2.9585,2.9868,2.9585,2.9774,35826,0
20080515,2.9679,2.9679,2.9679,2.9679,212,0
20080516,2.9679,3.0814,2.8734,3.0814,44629,0
20080519,3.0908,3.0908,2.9868,3.0814,1133,0
20080520,2.9963,3.0625,2.9963,3.0625,3110,0
20080521,3.0152,3.0152,2.9963,2.9963,3174,0
20080526,3.0152,3.0152,2.9301,3.0058,2395,0
20080527,3.0058,3.0058,3.0058,3.0058,53,0
20080528,3.0058,3.1003,3.0058,3.1003,11166,0
20080529,3.0719,3.0719,3.0719,3.0719,582,0
20080530,3.1003,3.1003,3.0908,3.0908,212,0
20080602,2.949,3.0247,2.949,3.0247,1111,0
20080603,3.0719,3.0719,3.0247,3.0247,108,0
20080604,3.0058,3.0058,3.0058,3.0058,159,0
20080605,2.949,2.9963,2.949,2.9963,4111,0
20080606,2.9301,2.9301,2.8923,2.8923,1410,0
20080609,2.8829,2.8829,2.8356,2.8356,7438,0
20080610,2.9585,2.9585,2.949,2.949,116,0
20080611,2.949,2.949,2.8356,2.9301,394,0
20080612,2.9301,2.9301,2.9207,2.9207,37,0
20080613,2.8734,2.8734,2.8734,2.8734,116,0
20080616,2.9207,2.9301,2.7411,2.9301,1074,0
20080617,2.8356,2.8356,2.8356,2.8356,5501,0
20080618,2.8356,2.8356,2.7411,2.8356,15353,0
20080619,2.8262,2.8262,2.8262,2.8262,11,0
20080620,2.8262,2.8262,2.8167,2.8167,111,0
20080623,2.8262,2.8262,2.8262,2.8262,1164,0
20080624,2.7978,2.7978,2.7884,2.7884,116,0
20080625,2.7695,2.7789,2.6938,2.7789,17640,0
20080626,2.7695,2.7695,2.656,2.7411,1613,0
20080627,2.7222,2.76,2.6466,2.76,3319,0
20080630,2.7411,2.7411,2.5993,2.6466,10812,0
20080701,2.5993,2.5993,2.4575,2.5993,10097,0
20080702,2.5804,2.5993,2.5804,2.5993,21,0
20080703,2.5521,2.5993,2.5521,2.5993,44,0
20080704,2.3819,2.5426,2.2212,2.5426,7522,0
20080707,2.4575,2.4575,2.2496,2.4386,4458,0
20080708,2.363,2.363,2.2685,2.3158,2041,0
20080709,2.3063,2.5048,2.3063,2.363,10428,0
20080710,2.2779,2.2779,2.2685,2.2685,2338,0
