Date,Open,High,Low,Close,Volume,OpenInt
20041130,11.648,11.648,10.726,11.017,126276,0
20041201,11.114,12.085,11.114,11.89,24852,0
20041202,12.182,12.182,11.551,11.648,21971,0
20041203,11.551,11.842,11.454,11.551,14794,0
20041206,11.939,11.939,11.454,11.599,1278,0
20041207,11.454,11.648,11.454,11.454,4324,0
20041208,11.454,11.648,11.454,11.648,1615,0
20041209,11.745,11.745,11.211,11.357,3582,0
20041210,11.357,11.357,11.357,11.357,2246,0
20041213,11.065,11.065,11.065,11.065,62,0
20041214,11.065,11.065,11.065,11.065,237,0
20041215,11.017,11.017,11.017,11.017,490,0
20041216,11.017,11.162,10.823,11.162,901,0
20041217,11.357,11.357,11.259,11.357,1513,0
20041220,11.357,11.405,11.357,11.405,745,0
20041221,11.357,11.745,11.357,11.745,11317,0
20041222,11.696,11.696,11.454,11.454,531,0
20041223,11.648,11.648,11.648,11.648,1589,0
20041227,11.648,11.745,11.551,11.551,16135,0
20041228,11.648,11.696,11.599,11.696,10609,0
20041229,11.648,11.745,11.648,11.648,13606,0
20041230,11.696,11.745,11.551,11.599,14157,0
20041231,11.599,11.696,11.599,11.696,5512,0
20050103,11.648,11.696,11.648,11.648,5530,0
20050104,11.648,11.696,11.648,11.696,8224,0
20050105,11.696,12.521,11.648,12.23,72607,0
20050106,12.279,12.327,11.89,12.279,12714,0
20050107,12.23,12.327,12.133,12.279,7234,0
20050110,12.23,12.23,12.133,12.23,9596,0
20050111,12.133,12.279,12.133,12.279,5299,0
20050112,12.23,12.279,12.182,12.279,3646,0
20050113,12.23,12.279,12.182,12.23,11615,0
20050114,12.036,12.279,11.987,12.279,2589,0
20050117,12.23,12.327,12.23,12.279,2837,0
20050118,12.23,12.279,12.182,12.279,4905,0
20050119,12.182,12.23,12.182,12.23,7615,0
20050120,12.23,12.23,12.133,12.133,8703,0
20050121,12.23,12.327,12.036,12.23,14377,0
20050124,12.23,12.23,12.182,12.23,27074,0
20050125,12.23,12.279,12.182,12.23,56137,0
20050126,12.327,12.327,12.23,12.327,17271,0
20050127,12.327,12.327,12.279,12.327,6334,0
20050128,12.23,12.23,12.23,12.23,1902,0
20050131,12.327,12.91,12.327,12.618,5861,0
20050201,12.813,12.91,12.618,12.618,8412,0
20050202,12.715,12.764,12.715,12.764,2654,0
20050203,12.958,12.958,12.813,12.813,752,0
20050204,13.007,13.007,12.813,12.813,28959,0
20050207,12.813,12.861,12.715,12.715,18920,0
20050208,12.91,12.958,12.667,12.813,7467,0
20050209,12.618,12.813,12.618,12.813,57932,0
20050210,12.667,12.715,12.618,12.618,2857,0
20050211,12.667,12.764,12.618,12.715,4464,0
20050214,12.813,12.91,12.813,12.91,2751,0
20050215,12.958,13.007,12.813,12.861,2988,0
20050216,12.91,13.104,12.91,13.007,552,0
20050217,13.055,13.492,13.055,13.443,18538,0
20050218,13.492,13.977,13.492,13.589,6663,0
20050221,13.977,13.977,13.589,13.88,137357,0
20050222,14.074,14.754,13.88,14.026,10137,0
20050223,14.074,15.336,14.074,14.996,22842,0
