Date,Open,High,Low,Close,Volume,OpenInt
20070315,15.014,15.082,14.155,14.526,248584,0
20070316,14.877,15.199,14.74,14.877,93875,0
20070319,15.18,15.219,14.936,15.033,14271,0
20070320,15.033,15.033,14.545,14.838,16491,0
20070321,15.033,15.033,14.789,14.838,9548,0
20070322,14.692,14.926,14.692,14.838,13667,0
20070323,14.838,14.858,14.643,14.799,17413,0
20070326,14.799,14.799,14.633,14.711,30770,0
20070327,14.643,14.643,14.477,14.545,21494,0
20070328,14.496,14.643,14.272,14.594,8612,0
20070329,14.643,14.643,14.252,14.575,7189,0
20070330,14.643,14.692,14.448,14.643,8486,0
20070402,14.633,14.633,14.35,14.496,8357,0
20070403,14.457,14.457,14.252,14.35,16420,0
20070404,14.35,14.35,14.057,14.35,27106,0
20070405,14.36,14.448,14.155,14.409,18848,0
20070410,14.633,14.838,14.496,14.643,25497,0
20070411,14.828,14.936,14.692,14.926,27602,0
20070412,14.926,15.19,14.858,15.121,42481,0
20070413,15.131,15.521,15.121,15.521,33155,0
20070416,15.521,16.146,15.473,16.107,103055,0
20070417,16.273,16.302,15.912,16.175,24960,0
20070418,16.205,16.205,15.424,15.619,31589,0
20070419,15.082,15.619,14.838,15.229,15658,0
20070420,15.619,15.619,15.131,15.229,4790,0
20070423,15.131,15.229,14.643,14.643,14690,0
20070424,14.643,14.838,14.643,14.838,6042,0
20070425,15.082,15.131,14.692,15.082,7827,0
20070426,15.082,15.082,14.985,14.985,3303,0
20070427,15.082,15.082,14.906,14.936,2738,0
20070430,14.838,14.858,14.633,14.819,2777,0
20070502,14.838,14.838,14.653,14.682,5627,0
20070504,14.74,14.74,14.565,14.643,8982,0
20070507,15.297,15.375,15.024,15.16,21603,0
20070508,15.209,15.521,15.043,15.043,18351,0
20070509,15.033,15.033,14.643,14.838,5605,0
20070510,14.838,14.887,14.467,14.887,3763,0
20070511,14.457,14.731,14.457,14.555,4444,0
20070514,14.731,14.74,14.653,14.711,4456,0
20070515,14.74,14.78,14.653,14.653,3467,0
20070516,14.653,14.653,14.457,14.457,6452,0
20070517,14.643,14.643,14.155,14.428,3555,0
20070518,14.428,14.428,14.223,14.252,3626,0
20070521,14.526,14.526,14.252,14.506,4645,0
20070522,14.545,14.545,14.448,14.516,2479,0
20070523,14.623,14.623,14.35,14.35,5291,0
20070524,14.594,14.594,14.409,14.584,4823,0
20070525,14.428,14.594,14.301,14.594,7400,0
20070528,14.584,15.014,14.36,14.789,26292,0
20070529,15.004,15.326,14.838,15.277,32314,0
20070530,15.131,15.346,14.897,15.229,21602,0
20070531,14.994,15.375,14.994,15.268,16429,0
20070601,15.131,15.229,15.024,15.229,18861,0
20070604,15.219,15.229,15.043,15.229,16128,0
20070605,15.043,15.258,14.74,15.229,12118,0
20070606,14.75,14.75,14.74,14.74,3644,0
20070608,14.985,15.131,14.643,14.74,7128,0
20070611,15.131,15.219,14.75,15.219,9885,0
20070612,15.131,15.131,14.838,15.033,8393,0
20070613,14.838,15.131,14.789,15.131,5003,0
20070614,14.643,15.111,14.643,15.111,1327,0
20070615,15.082,15.326,15.072,15.277,22443,0
20070618,15.316,16.107,15.229,15.746,62412,0
20070619,15.814,16.107,15.619,15.717,59863,0
20070620,15.717,15.717,15.521,15.521,14781,0
20070621,15.521,16.107,15.521,16.01,95468,0
20070622,16.107,16.205,15.736,15.805,47351,0
20070625,15.717,15.805,15.277,15.521,28510,0
20070626,15.229,15.434,14.867,15.434,67560,0
20070627,15.434,15.434,14.887,15.375,67252,0
20070628,15.473,15.473,14.887,15.131,36607,0
20070629,14.858,15.102,14.838,15.033,9481,0
20070702,15.102,15.102,14.643,15.024,17520,0
20070703,14.496,15.024,14.496,14.975,17200,0
20070704,14.643,14.897,14.565,14.897,7304,0
20070705,14.594,14.887,14.594,14.887,1165,0
20070706,14.838,15.619,14.838,15.131,35173,0
20070709,15.375,15.473,15.131,15.473,7018,0
20070710,15.512,16.01,15.512,15.922,43906,0
20070711,15.912,15.912,15.609,15.619,13972,0
20070712,15.59,15.814,15.033,15.424,10742,0
20070713,15.453,15.609,15.141,15.57,1513,0
20070716,15.609,15.853,15.18,15.18,24606,0
20070717,15.15,15.609,15.033,15.609,5621,0
20070718,15.277,15.609,15.277,15.609,618,0
20070719,15.307,15.814,15.297,15.726,22688,0
20070720,15.863,16.888,15.863,16.888,173194,0
20070723,17.288,18.352,17.288,17.952,147229,0
20070724,17.952,19.28,17.054,18.352,118071,0
20070725,18.06,18.538,17.601,18.343,52887,0
20070726,18.548,19.036,17.767,17.767,30225,0
20070727,17.074,17.698,16.839,17.279,26405,0
20070730,17.552,17.552,16.693,17.269,22641,0
20070731,17.571,18.06,17.562,17.991,21831,0
20070801,17.083,18.538,17.083,18.352,17875,0
20070802,18.45,18.45,18.06,18.343,16822,0
20070803,18.06,18.333,17.767,18.274,3907,0
20070806,17.093,17.571,16.937,17.269,13697,0
20070807,17.513,17.513,16.254,16.254,21989,0
20070808,16.107,16.693,16.107,16.693,7652,0
20070809,16.693,16.693,16.127,16.585,3074,0
20070810,15.629,16.439,15.619,16.439,4294,0
20070813,16.585,16.644,16.585,16.644,625,0
