Date,Open,High,Low,Close,Volume,OpenInt
20080418,30.223,30.795,29.127,30.747,280211,0
20080421,30.652,30.652,30.032,30.509,70535,0
20080422,30.48,30.7,29.937,30.223,124878,0
20080423,30.223,30.585,30.223,30.233,109644,0
20080424,30.042,30.461,30.042,30.366,48731,0
20080425,30.032,30.452,30.032,30.376,2803,0
20080428,30.414,30.509,30.089,30.318,11599,0
20080429,30.128,30.681,30.109,30.633,66570,0
20080430,30.509,30.509,30.032,30.042,892,0
20080505,30.061,30.299,30.032,30.271,206,0
20080506,30.032,30.109,29.556,30.032,47160,0
20080507,30.109,30.156,28.698,30.023,829,0
20080508,30.013,30.023,28.841,29.994,368,0
20080509,30.013,30.128,29.746,30.032,4582,0
20080512,27.649,30.118,27.649,30.118,1274,0
20080513,30.109,30.109,29.556,29.556,432,0
20080514,28.602,30.032,28.602,30.032,4524,0
20080515,30.032,30.69,30.032,30.623,23917,0
20080516,28.621,28.621,24.884,25.885,13199,0
20080519,23.931,24.312,22.882,23.54,8392,0
20080520,24.121,26.409,24.102,25.742,1421,0
20080521,25.742,28.316,24.789,27.544,1479,0
20080523,27.363,27.363,24.979,27.363,177,0
20080526,24.884,27.353,24.846,24.912,334,0
20080527,27.277,27.277,24.979,27.01,194,0
20080528,25.084,26.676,25.084,25.265,219,0
20080529,26.934,26.981,24.893,25.704,1032,0
20080530,25.427,25.427,24.646,25.399,184,0
20080602,25.218,25.218,23.358,25.132,271,0
20080603,25.313,25.313,25.313,25.313,1,0
20080604,25.361,25.361,24.026,24.789,1288,0
20080605,25.361,25.361,22.825,24.779,813,0
20080606,24.588,24.693,23.12,24.674,202,0
20080609,23.73,23.73,22.405,23.644,172,0
20080610,25.551,25.551,23.358,24.169,1256,0
20080611,24.293,24.293,22.415,22.415,209,0
20080612,22.882,24.979,22.443,22.453,784,0
20080613,24.674,24.674,22.405,23.692,159,0
20080616,24.646,24.646,24.646,24.646,1,0
20080617,24.579,24.579,22.5,24.398,3135,0
20080618,24.665,24.665,22.643,24.588,23,0
20080619,24.636,24.636,22.5,23.635,178,0
20080620,24.598,24.598,22.5,24.074,429,0
20080623,24.503,24.503,21.356,22.119,1013,0
20080624,23.787,23.787,19.64,19.64,350,0
20080625,23.692,23.74,20.079,21.69,533,0
20080626,21.928,21.928,19.125,20.022,6930,0
20080627,21.442,21.442,19.068,19.211,11658,0
20080630,21.356,21.356,18.496,20.212,701,0
20080701,20.022,20.022,18.811,18.877,786,0
20080702,18.401,19.163,18.019,18.019,3838,0
20080703,18.067,19.821,16.589,17.533,562,0
20080704,17.638,17.638,16.589,16.875,616,0
20080707,17.161,17.161,15.455,15.455,1200,0
20080708,15.588,15.588,14.034,14.301,2580,0
20080709,14.587,15.302,14.301,15.302,5147,0
20080710,14.635,15.207,13.824,15.159,2743,0
20080711,15.35,15.35,14.682,14.778,1222,0
20080714,15.35,15.731,14.682,15.35,2194,0
20080715,14.301,14.301,14.244,14.301,105422,0
20080716,14.396,14.396,13.824,13.824,474,0
20080717,13.91,14.778,13.824,14.778,1032,0
20080718,14.968,14.968,14.301,14.768,527,0
20080721,14.33,14.778,14.11,14.778,531,0
20080722,14.968,14.968,14.301,14.778,685,0
20080723,14.301,14.768,14.301,14.301,669,0
20080724,14.292,14.539,13.872,14.301,984,0
20080725,13.634,14.301,13.634,13.643,145,0
20080728,14.015,14.015,13.538,13.538,859,0
20080729,13.348,13.538,13.348,13.538,285,0
20080730,13.824,14.682,13.824,14.015,4732,0
20080731,14.301,14.587,13.967,14.587,809,0
20080801,14.873,14.873,14.301,14.301,526,0
20080804,17.638,17.638,14.006,14.006,9762,0
20080805,14.025,14.301,13.348,13.348,43619,0
20080806,13.262,13.967,13.109,13.157,3231,0
20080807,13.634,13.634,12.823,12.823,1655,0
20080808,12.633,13.548,12.633,13.548,1941,0
20080811,13.824,13.824,13.548,13.548,1242,0
20080812,13.548,13.548,13.348,13.348,876,0
20080813,13.348,13.414,13.252,13.414,36975,0
20080814,13.224,13.605,13.214,13.214,867,0
20080818,13.205,13.538,12.432,12.966,27889,0
20080819,12.776,12.776,12.499,12.499,742,0
20080820,12.499,12.909,12.318,12.909,852,0
20080821,13.014,13.014,12.49,13.014,154,0
20080822,13.109,13.109,12.394,12.566,1528,0
20080825,12.442,12.442,11.784,12.204,28384,0
20080826,12.184,12.184,11.813,11.813,790,0
20080827,12.013,12.013,11.584,11.593,420,0
20080828,11.46,12.013,11.46,12.003,81224,0
20080829,12.013,12.013,11.441,11.45,11956,0
20080901,12.013,12.013,11.45,12.013,1322,0
20080902,11.45,12.013,11.45,12.013,96,0
20080903,12.003,12.871,12.003,12.013,7666,0
20080904,12.337,12.823,12.013,12.013,2502,0
20080905,12.337,12.337,11.632,12.337,96,0
20080908,12.299,12.671,12.27,12.671,5537,0
20080909,12.404,12.966,12.394,12.871,2575,0
20080910,12.223,12.585,12.223,12.585,97,0
20080911,12.776,12.776,12.108,12.108,1494,0
20080912,11.908,12.108,11.908,12.108,437,0
20080915,11.584,11.584,11.441,11.441,12576,0
20080916,10.964,11.326,10.869,11.326,1523,0
20080917,10.964,10.964,10.507,10.964,6215,0
20080918,11.012,11.012,10.964,11.012,421,0
20080919,11.203,11.203,11.183,11.183,694,0
20080922,11.441,11.441,10.869,11.441,399,0
20080923,10.869,10.869,10.688,10.869,840,0
20080924,10.688,11.059,10.688,11.012,6397,0
20080925,10.678,11.059,10.678,11.059,409,0
20080926,10.783,11.155,10.783,11.059,2324,0
20080929,10.773,10.773,9.944,9.954,90308,0
20080930,9.563,9.915,9.534,9.753,2082,0
20081001,10.201,10.201,9.534,10.201,7576,0
20081002,10.44,10.44,10.011,10.011,759,0
20081003,10.392,10.392,9.725,10.344,51,0
20081006,9.82,10.43,9.82,10.344,10528,0
20081007,10.011,10.43,9.544,9.725,997,0
20081008,9.915,9.915,8.9239,9.3433,1362,0
20081009,10.201,10.201,9.0574,9.2576,483,0
20081010,9.3433,9.3433,7.6272,7.6272,21874,0
20081013,8.0086,8.3804,7.7226,7.7321,1412,0
20081014,8.0563,8.8571,8.0563,8.3804,4954,0
20081015,8.2947,8.5711,8.0563,8.5234,794,0
20081016,8.5425,8.5425,8.104,8.533,619,0
20081017,8.5234,8.5234,7.818,8.3614,2021,0
20081020,8.5711,9.1527,8.5711,8.7618,14148,0
20081021,8.9525,8.9525,8.1993,8.9334,1518,0
20081022,8.1898,8.552,8.104,8.3995,1083,0
20081023,8.9525,8.9525,7.6368,8.0086,2119,0
20081024,7.6368,8.104,7.5891,8.104,990,0
20081027,7.5415,7.9896,6.6738,6.6738,2258,0
20081028,7.2459,7.5319,6.5213,7.5224,24086,0
20081029,8.1993,8.1993,6.8264,7.57,2486,0
20081030,8.2947,8.2947,7.1601,7.7226,2597,0
20081031,7.9037,7.9037,6.9599,7.3413,2560,0
20081103,7.9991,7.9991,7.1887,7.3413,475,0
20081104,6.9599,7.5224,6.9599,7.2459,3662,0
20081105,7.3222,7.3413,6.9694,7.0076,2655,0
20081106,7.3889,7.3889,6.9599,7.2364,23621,0
20081107,7.2459,7.2459,6.7025,7.2268,1132,0
20081110,7.6272,7.6272,7.0552,7.5319,435,0
