Date,Open,High,Low,Close,Volume,OpenInt
20100525,17.7,19.1,17.4,18.3,466864,0
20100526,18,20.4,18,19.5,533186,0
20100527,19.2,20,18.9,19.3,359344,0
20100528,19.4,19.4,18.7,19.3,219881,0
20100531,18.6,19,18.6,18.9,88816,0
20100601,18.8,18.8,18.5,18.6,29804,0
20100602,19.5,23.5,19.5,22.7,1381142,0
20100604,23.1,24,21.1,22,745310,0
20100607,21.2,22.1,20.5,21.8,352532,0
20100608,22.1,22.1,21,21.4,154555,0
20100609,21.6,22,21,21,241434,0
20100610,21.2,21.2,20.2,20.6,234323,0
20100611,20.4,21,19.8,19.8,224280,0
20100614,20.8,21,19.8,19.8,377139,0
20100615,19.9,19.9,18.9,19.2,284636,0
20100616,19.3,19.6,18.9,19.1,152661,0
20100617,19.1,19.2,18.8,19,99235,0
20100618,19,19.4,18.7,18.9,101544,0
20100621,19.1,19.3,18.7,18.9,69373,0
20100622,18.9,19,17.9,18.1,250595,0
20100623,17.8,17.8,17.2,17.2,145065,0
20100624,17.2,18,15.6,17.3,197469,0
20100625,18,18.2,17.6,17.8,123661,0
20100628,18,18,17.2,17.3,74771,0
20100629,17.2,17.2,16.4,16.6,93963,0
20100630,16.4,16.7,16.1,16.3,44265,0
20100701,16.2,17,16.1,16.6,66814,0
20100702,16.9,17.4,16.7,17,31378,0
20100705,17.2,17.3,16.7,16.9,17082,0
20100706,17,17.5,16.8,17.3,55428,0
20100707,17.2,17.2,16.8,17,12325,0
20100708,17.3,17.4,17,17,27418,0
20100709,17.2,17.3,17,17.2,17942,0
20100712,17.2,17.3,17,17.1,24669,0
20100713,17,17,16.7,16.7,60366,0
20100714,16.8,16.8,16.6,16.8,39155,0
20100715,16.8,17.5,16.6,16.7,87863,0
20100716,16.8,17.3,16.8,17,63176,0
20100719,16.9,17.2,16.8,17.2,26428,0
20100720,17.1,17.6,17,17,51598,0
20100721,17.2,17.3,17,17.1,33183,0
20100722,17.1,18.1,16.9,17.9,269437,0
20100723,18,18.7,17.6,18.3,206029,0
20100726,18.3,19.5,18,19.3,226448,0
20100727,19.3,19.6,18.7,18.8,108946,0
20100728,18.8,19,18,18.4,116696,0
20100729,18.3,19,18.1,18.5,56934,0
20100730,18.4,18.7,18,18.1,61092,0
20100802,18.2,18.8,18.1,18.5,46554,0
20100803,18.5,19,18.4,18.5,43709,0
20100804,18.5,18.5,18.2,18.3,18615,0
20100805,18.2,18.7,18.2,18.5,30605,0
20100806,18.5,18.5,18.1,18.1,30999,0
20100809,18.2,18.6,18,18,41458,0
20100810,17.9,17.9,17.5,17.6,38463,0
20100811,17.5,17.5,17.2,17.4,25881,0
20100812,17.2,17.6,17.2,17.6,24946,0
20100813,17.5,17.6,17.4,17.5,23555,0
20100816,17.4,17.6,17.1,17.3,53606,0
20100817,17.3,17.7,16.7,17.1,172878,0
20100818,17.2,17.2,16.8,16.9,49726,0
20100819,17,17.2,16.3,16.3,81633,0
20100820,16.5,16.7,15.9,16.2,119553,0
20100823,16.1,16.5,16,16.5,63336,0
20100824,16.4,16.5,16,16.1,52227,0
20100825,16,16,15.7,16,45941,0
20100826,16.1,16.2,15.9,16,71837,0
20100827,16.2,17.2,16.1,16.1,300061,0
20100830,16.4,16.5,15.8,16,109469,0
20100831,15.8,15.9,15.5,15.8,89397,0
20100901,15.9,16,15.4,16,154157,0
20100902,16,16.1,15.5,15.7,115120,0
20100903,15.7,15.9,15.4,15.9,57940,0
20100906,15.7,16.8,15.7,16.8,183772,0
