Date,Open,High,Low,Close,Volume,OpenInt
19991001,1.1276,1.1276,1.0679,1.0679,53849,0
19991007,0.9226,0.9226,0.9226,0.9226,118,0
19991008,0.9226,0.9226,0.9226,0.9226,190,0
19991018,0.9397,0.9397,0.9397,0.9397,585,0
19991026,0.9397,0.9397,0.9397,0.9397,486,0
19991028,0.8799,0.8799,0.8799,0.8799,1283,0
19991029,0.8799,0.8799,0.8799,0.8799,1343,0
19991101,0.8799,0.8799,0.8799,0.8799,206,0
19991102,0.8799,0.9738,0.8799,0.9738,8194,0
19991105,0.8799,0.8799,0.8799,0.8799,585,0
19991111,0.8116,0.8116,0.8116,0.8116,107,0
19991115,0.8201,0.8201,0.8201,0.8201,2926,0
19991116,0.8201,0.8287,0.8201,0.8287,18631,0
19991117,0.9226,0.9226,0.9226,0.9226,1756,0
19991118,0.9226,0.9312,0.9226,0.9312,22008,0
19991119,0.9226,0.9226,0.9226,0.9226,122563,0
19991125,0.8799,0.8799,0.8799,0.8799,1845,0
19991129,0.8543,0.8543,0.8543,0.8543,4616,0
19991130,0.8799,0.8799,0.8799,0.8799,3513,0
19991202,0.8628,0.8628,0.8628,0.8628,6203,0
19991203,0.8201,0.8201,0.8201,0.8201,11707,0
19991206,0.8201,0.9226,0.7774,0.9226,1025,0
19991207,0.7774,0.7774,0.7774,0.7774,601,0
19991208,0.9226,0.9226,0.9226,0.9226,9185,0
19991209,0.9226,0.9226,0.7604,0.9226,613,0
19991210,0.7774,0.7774,0.7774,0.7774,585,0
19991214,0.786,0.786,0.786,0.786,5853,0
19991215,0.7774,0.7774,0.7774,0.7774,596,0
19991216,0.7774,0.7774,0.7774,0.7774,17560,0
19991217,0.7774,0.8031,0.7604,0.7604,6853,0
19991222,0.7604,0.7604,0.7604,0.7604,369,0
19991227,0.7604,0.7604,0.7604,0.7604,412,0
19991229,0.7604,0.7604,0.7604,0.7604,2627,0
19991230,0.786,0.786,0.786,0.786,5853,0
20000103,0.786,0.8799,0.7774,0.8799,9365,0
20000104,0.786,0.786,0.786,0.786,557,0
20000107,0.8031,0.9142,0.8031,0.9142,11004,0
20000110,0.9142,0.9226,0.8116,0.8116,4740,0
20000111,0.9312,0.9312,0.9312,0.9312,1171,0
20000112,0.8116,0.8116,0.8116,0.8116,570,0
20000117,0.8116,0.9226,0.8116,0.9226,4512,0
20000118,0.8372,0.8372,0.8372,0.8372,4554,0
20000119,0.8287,0.8287,0.8287,0.8287,5853,0
20000120,0.8287,0.8287,0.8287,0.8287,5853,0
20000121,0.8287,0.8287,0.8287,0.8287,5853,0
20000124,0.9397,1.1447,0.9397,1.1447,16974,0
20000125,1.008,1.008,0.8884,0.8884,6070,0
20000127,1.213,1.213,1.213,1.213,5853,0
20000128,1.2301,1.2984,1.2301,1.2301,11707,0
20000202,1.0849,1.0849,1.0849,1.0849,939,0
20000203,1.0849,1.0849,1.0849,1.0849,379,0
20000204,1.2301,1.2301,1.2301,1.2301,11707,0
20000207,1.2301,1.3924,1.1106,1.3924,1184,0
20000208,1.1276,1.1276,1.1276,1.1276,29,0
20000209,1.1618,1.3924,1.1618,1.3924,8267,0
20000210,1.2301,1.2301,1.1703,1.2301,7732,0
20000211,1.2729,1.3326,1.2729,1.3326,11823,0
20000215,1.3924,1.4351,1.3924,1.4351,11707,0
20000216,1.4351,1.4778,1.2301,1.3326,11940,0
20000217,1.3155,1.3155,1.3155,1.3155,4098,0
20000218,1.5376,1.5376,1.5376,1.5376,1756,0
20000223,1.2301,1.2301,1.2301,1.2301,10484,0
20000225,1.2301,1.4181,1.2301,1.2301,14679,0
20000228,1.2301,1.3754,1.2301,1.3754,2998,0
20000229,1.3754,1.401,1.2301,1.2301,6134,0
20000301,1.1874,1.1874,1.1874,1.1874,235,0
20000302,1.1874,1.1874,1.1874,1.1874,2341,0
20000303,1.4181,1.4181,1.4181,1.4181,467,0
20000306,1.401,1.401,1.2301,1.2301,7530,0
20000307,1.2301,1.401,1.2301,1.401,225,0
20000309,1.3326,1.3326,1.3326,1.3326,1171,0
20000310,1.1874,1.1874,1.1874,1.1874,1154,0
20000314,1.213,1.2301,1.213,1.213,6205,0
20000317,1.2472,1.3326,1.2472,1.2472,7214,0
20000320,1.2729,1.2729,1.2729,1.2729,585,0
20000323,1.2729,1.3924,1.2729,1.3924,280,0
20000324,1.3924,1.3924,1.2729,1.3924,16182,0
20000328,1.29,1.29,1.29,1.29,378,0
20000330,1.29,1.29,1.29,1.29,190,0
20000331,1.29,1.29,1.29,1.29,3527,0
20000404,1.29,1.29,1.29,1.29,215,0
20000405,1.29,1.29,1.29,1.29,234,0
20000406,1.29,1.29,1.29,1.29,379,0
20000410,1.3924,1.3924,1.3924,1.3924,1171,0
20000411,1.29,1.29,1.29,1.29,235,0
20000417,1.1874,1.1874,1.1874,1.1874,3160,0
20000419,1.2301,1.2301,1.2301,1.2301,820,0
20000424,1.2301,1.3497,1.2301,1.3497,500,0
20000425,1.2301,1.2301,1.2301,1.2301,678,0
20000427,1.2301,1.2301,1.2301,1.2301,369,0
20000428,1.2301,1.2301,1.2301,1.2301,1756,0
20000502,1.2301,1.2301,1.2301,1.2301,1800,0
20000504,1.1789,1.1789,1.1789,1.1789,759,0
20000505,1.1874,1.1874,1.1874,1.1874,1171,0
20000509,1.1874,1.1874,1.1874,1.1874,4676,0
20000510,1.1874,1.1874,1.1874,1.1874,447,0
20000512,1.1874,1.29,1.1874,1.1874,2880,0
20000515,1.1874,1.1874,1.0849,1.0849,12553,0
20000517,1.0422,1.0422,1.0422,1.0422,2354,0
20000523,1.0422,1.0422,1.0422,1.0422,1873,0
20000524,1.0679,1.0679,1.0679,1.0679,41837,0
20000525,1.0422,1.0422,1.0422,1.0422,2341,0
20000526,1.0422,1.0422,0.9226,0.9226,6274,0
20000530,0.9312,0.9312,0.9312,0.9312,11707,0
20000609,1.1276,1.1276,1.1276,1.1276,3160,0
20000612,0.9226,0.9226,0.9226,0.9226,703,0
20000613,0.9654,0.9654,0.9654,0.9654,118,0
20000615,1.0764,1.0764,1.0764,1.0764,5853,0
20000616,1.0764,1.0764,0.9654,0.9654,21072,0
20000704,0.9226,0.9226,0.9226,0.9226,206,0
20000705,0.9312,0.9312,0.9312,0.9312,107,0
20000706,0.9226,0.9226,0.9226,0.9226,11121,0
20000707,0.9654,0.9654,0.9654,0.9654,5853,0
20000717,0.9226,0.9226,0.9226,0.9226,190,0
20000718,0.9226,0.9226,0.9226,0.9226,585,0
20000720,0.9226,0.9226,0.9226,0.9226,633,0
20000721,0.9226,0.9226,0.9226,0.9226,190,0
20000724,1.0679,1.0679,1.0679,1.0679,1171,0
20000731,1.0679,1.0679,1.0679,1.0679,351,0
20000801,0.9226,0.9226,0.9226,0.9226,1928,0
20000802,0.9226,1.0764,0.9226,1.0764,691,0
20000803,0.9226,0.9226,0.9226,0.9226,118,0
20000808,0.9397,0.9397,0.9397,0.9397,2531,0
20000809,0.9397,0.9397,0.9397,0.9397,5853,0
20000814,0.9397,0.9397,0.9397,0.9397,107,0
20000815,0.9397,0.9397,0.9397,0.9397,758,0
20000816,0.9312,0.9312,0.9312,0.9312,2483,0
20000821,0.9226,0.9226,0.9226,0.9226,23411,0
20000822,0.9226,0.9226,0.9226,0.9226,5853,0
20000828,0.9055,0.9055,0.8799,0.9055,8194,0
20000831,0.8628,0.8628,0.8628,0.8628,820,0
20000905,0.8628,0.8628,0.8628,0.8628,107,0
20000921,0.8628,0.8628,0.8628,0.8628,968,0
20000922,0.8628,0.8628,0.8628,0.8628,206,0
20000928,0.9654,0.9654,0.9654,0.9654,4682,0
20001002,0.9654,0.9654,0.8628,0.8628,527,0
20001003,0.8628,0.8628,0.8628,0.8628,212,0
20001006,0.8628,0.9654,0.8628,0.8628,996,0
20001009,0.8628,0.8628,0.8628,0.8628,216,0
20001010,0.8628,0.8628,0.8628,0.8628,937,0
20001012,0.8628,0.8628,0.8628,0.8628,746,0
20001020,0.8372,0.8372,0.8372,0.8372,2224,0
20001023,0.8628,0.8799,0.8628,0.8799,2557,0
20001101,0.9226,0.9226,0.9226,0.9226,1171,0
20001107,0.9226,0.9226,0.9226,0.9226,234,0
20001108,0.9226,0.9226,0.9226,0.9226,1334,0
20001109,0.9397,0.9397,0.9397,0.9397,5853,0
20001110,1.0251,1.0251,1.0251,1.0251,5502,0
20001113,0.9397,0.9397,0.9397,0.9397,1113,0
20001114,0.9397,0.9654,0.9397,0.9654,6028,0
20001117,1.0251,1.0849,1.0251,1.0251,39216,0
20001120,1.0593,1.0593,1.0593,1.0593,2225,0
20001121,0.9825,0.9825,0.9825,0.9825,219,0
20001122,0.9825,0.9825,0.9825,0.9825,8194,0
20001123,0.9825,1.0764,0.9825,0.9825,7580,0
20001124,0.9825,1.0251,0.9825,1.0251,6871,0
20001127,1.1362,1.1362,1.1362,1.1362,4682,0
20001201,1.0764,1.0764,1.0764,1.0764,877,0
20001204,1.0849,1.0849,1.0849,1.0849,570,0
20001207,1.2729,1.2729,1.2729,1.2729,2576,0
20001208,1.2813,1.4522,1.2813,1.4522,27228,0
20001211,1.4522,1.5376,1.3754,1.5376,20648,0
20001212,1.5376,1.5804,1.3326,1.3326,14628,0
20001213,1.4351,1.6401,1.4351,1.6401,9599,0
20001214,1.4351,1.4351,1.4351,1.4351,234,0
20001215,1.4351,1.4351,1.4351,1.4351,2341,0
20001219,1.29,1.4351,1.29,1.4351,216,0
20001220,1.3326,1.3326,1.3326,1.3326,433,0
20001221,1.5804,1.5804,1.3326,1.3326,585,0
20001222,1.4351,1.5376,1.4351,1.4351,6102,0
20001227,1.4351,1.4437,1.3326,1.4437,4230,0
20001228,1.4437,1.6401,1.3326,1.4351,10976,0
20001229,1.5804,1.5804,1.5804,1.5804,3535,0
20010102,1.3326,1.3326,1.3326,1.3326,314,0
20010103,1.4351,1.4351,1.4351,1.4351,107,0
20010104,1.4351,1.5975,1.4351,1.5975,1756,0
20010108,1.4351,1.4351,1.4351,1.4351,3564,0
20010110,1.4522,1.5975,1.4522,1.4522,3814,0
20010112,1.5975,1.6401,1.5975,1.6401,6350,0
20010115,1.5975,1.5975,1.5975,1.5975,2341,0
20010119,1.5205,1.5205,1.4778,1.5205,1581,0
20010122,1.4864,1.4864,1.4351,1.4864,2212,0
20010124,1.4864,1.4864,1.4864,1.4864,1223,0
20010126,1.4351,1.4351,1.4351,1.4351,59,0
20010130,1.4351,1.4351,1.4351,1.4351,1106,0
20010202,1.4351,1.6999,1.4351,1.4351,2926,0
20010206,1.4351,1.4351,1.4351,1.4351,6409,0
20010208,1.4351,1.5975,1.4351,1.5975,1935,0
20010212,1.5975,1.5975,1.4351,1.5975,1668,0
20010213,1.5975,1.5975,1.5975,1.5975,1171,0
20010214,1.4351,1.4351,1.4351,1.4351,1171,0
20010215,1.6401,1.6401,1.6401,1.6401,1171,0
20010216,1.4351,1.4351,1.4351,1.4351,1171,0
20010221,1.5718,1.5718,1.5718,1.5718,1176,0
20010222,1.4181,1.4181,1.3839,1.3839,14047,0
20010223,1.5804,1.5804,1.5804,1.5804,176,0
20010226,1.4351,1.4351,1.4351,1.4351,10363,0
20010228,1.5376,1.5376,1.5376,1.5376,10537,0
20010301,1.5376,1.5376,1.5376,1.5376,877,0
20010302,1.4351,1.4351,1.4351,1.4351,1171,0
20010305,1.4351,1.5547,1.4181,1.4181,2364,0
20010306,1.4181,1.4181,1.4181,1.4181,4633,0
20010308,1.4351,1.4351,1.4351,1.4351,585,0
20010309,1.4181,1.4181,1.4181,1.4181,2926,0
20010312,1.4181,1.5205,1.3497,1.5205,703,0
20010313,1.4351,1.4351,1.3326,1.3326,3497,0
20010314,1.3754,1.3754,1.3754,1.3754,1171,0
20010316,1.3497,1.3497,1.3497,1.3497,227,0
20010320,1.3326,1.3326,1.3326,1.3326,2142,0
20010321,1.3326,1.3326,1.3326,1.3326,570,0
20010323,1.3326,1.5376,1.3326,1.3326,7319,0
20010326,1.3326,1.3326,1.3326,1.3326,592,0
20010327,1.3326,1.3326,1.3326,1.3326,8194,0
20010328,1.4351,1.4351,1.4351,1.4351,515,0
20010402,1.4351,1.4351,1.4351,1.4351,552,0
20010403,1.4266,1.4266,1.2301,1.4266,5960,0
20010406,1.2301,1.2301,1.2301,1.2301,118,0
20010419,1.2301,1.2301,1.2301,1.2301,3407,0
20010420,1.2301,1.3497,1.0679,1.3497,5340,0
20010426,1.1276,1.1276,1.1276,1.1276,234,0
20010430,1.1276,1.1276,1.1276,1.1276,467,0
20010508,1.1447,1.1447,1.1276,1.1276,4682,0
20010510,1.1276,1.1276,1.1276,1.1276,304,0
20010517,1.2301,1.2301,1.2301,1.2301,2341,0
20010518,1.1276,1.1276,1.1276,1.1276,1054,0
20010521,1.0422,1.1276,1.0422,1.1276,1756,0
20010522,1.1276,1.1276,1.0422,1.0422,2926,0
20010525,1.0422,1.0422,1.0251,1.0422,1843,0
20010528,1.0251,1.0251,1.0251,1.0251,585,0
20010601,1.0251,1.0764,1.0251,1.0764,2557,0
20010607,1.1276,1.1276,1.1276,1.1276,678,0
20010612,1.0251,1.0251,1.0251,1.0251,190,0
20010613,1.0251,1.0251,1.0251,1.0251,447,0
20010615,1.0251,1.0251,1.0251,1.0251,26,0
20010618,1.0251,1.0337,1.0251,1.0337,5853,0
20010619,1.0337,1.0337,1.0337,1.0337,2341,0
20010620,1.0251,1.0251,1.0251,1.0251,979,0
20010625,1.0251,1.0251,1.0251,1.0251,298,0
20010626,1.1276,1.1276,1.1276,1.1276,937,0
20010628,1.1276,1.1276,1.1276,1.1276,585,0
20010629,1.0337,1.0337,1.0337,1.0337,4682,0
20010704,1.0422,1.0422,1.0422,1.0422,923,0
20010705,1.0251,1.0251,1.0251,1.0251,379,0
20010706,1.0251,1.0251,1.0251,1.0251,351,0
20010709,1.0422,1.1276,1.0422,1.0422,1182,0
20010710,1.0422,1.0422,1.0422,1.0422,2341,0
20010716,1.0251,1.0251,1.0251,1.0251,1171,0
20010717,1.0935,1.1106,1.0935,1.1106,2926,0
20010719,1.1191,1.1191,1.1191,1.1191,2576,0
20010720,1.1191,1.1191,1.1191,1.1191,1171,0
20010723,1.1191,1.1276,1.0251,1.0251,964,0
20010724,1.0251,1.0251,1.0251,1.0251,118,0
20010730,1.0251,1.0251,1.0251,1.0251,118,0
20010803,1.1191,1.1191,1.1191,1.1191,4682,0
20010808,1.1276,1.1276,1.1276,1.1276,1171,0
20010810,1.1447,1.1789,1.1447,1.1789,2767,0
20010813,1.1362,1.1362,1.1362,1.1362,737,0
20010816,1.1276,1.1276,1.1276,1.1276,3875,0
20010817,1.1276,1.1276,1.1276,1.1276,351,0
20010822,1.1276,1.1276,1.1276,1.1276,570,0
20010823,1.1276,1.2301,1.1276,1.1276,14399,0
20010824,1.1276,1.1276,1.1276,1.1276,3513,0
20010827,1.1276,1.1276,1.1276,1.1276,526,0
20010829,1.1362,1.1362,1.1362,1.1362,1340,0
20010830,1.2729,1.2729,1.2729,1.2729,3,0
20010831,1.2729,1.2729,1.2729,1.2729,2341,0
20010906,1.1362,1.1362,1.1362,1.1362,1844,0
20010907,1.2301,1.2301,1.2301,1.2301,10663,0
20010910,1.1362,1.1362,1.1362,1.1362,351,0
20010914,1.1191,1.1191,1.1191,1.1191,2341,0
20010917,1.1191,1.2643,1.1106,1.2643,4435,0
20010918,1.1276,1.1276,1.1276,1.1276,1019,0
20010919,1.1276,1.2643,1.1276,1.2643,1756,0
20010921,1.1191,1.1191,1.1191,1.1191,379,0
20010924,1.1191,1.1191,1.1191,1.1191,2341,0
20010925,1.1191,1.1191,1.0337,1.1191,6378,0
20010926,1.1191,1.1191,1.1191,1.1191,7023,0
20010927,1.0337,1.0337,1.0337,1.0337,1171,0
20010928,1.0337,1.0337,1.0337,1.0337,2908,0
20011001,1.0764,1.0764,1.0764,1.0764,762,0
20011008,1.0337,1.0337,1.0337,1.0337,197,0
20011009,1.0679,1.0764,1.0679,1.0679,2529,0
20011010,1.0764,1.0764,1.0764,1.0764,211,0
20011011,1.1276,1.1276,1.1276,1.1276,1171,0
20011012,1.0679,1.0679,1.0593,1.0679,1741,0
20011015,1.0593,1.0593,1.0593,1.0593,242,0
20011017,1.0593,1.0593,1.0593,1.0593,216,0
20011018,1.0593,1.0679,1.0422,1.0679,1182,0
20011022,1.0679,1.0679,1.0679,1.0679,1521,0
20011023,1.0679,1.1106,1.0593,1.0593,11472,0
20011026,1.0764,1.1106,1.0764,1.0764,685,0
20011029,1.1106,1.1106,1.1106,1.1106,118,0
20011030,1.1191,1.1703,1.1191,1.1276,27861,0
20011101,1.1276,1.1789,1.1276,1.1362,6279,0
20011102,1.1447,1.1703,1.1447,1.1447,8199,0
20011105,1.1276,1.1276,1.1276,1.1276,5783,0
20011106,1.1447,1.1618,1.1447,1.1618,5561,0
20011107,1.1618,1.1789,1.1276,1.1447,9061,0
20011109,1.1362,1.1362,1.1362,1.1362,2301,0
20011112,1.1362,1.1362,1.1276,1.1362,561,0
20011113,1.1362,1.1362,1.1362,1.1362,292,0
20011114,1.1447,1.1447,1.1447,1.1447,8194,0
