Date,Open,High,Low,Close,Volume,OpenInt
20060608,28,29.2,28,28.1,743881,0
20060609,28.6,29.1,27.9,28,313743,0
20060612,28,28,26.5,27.1,126761,0
20060613,26,26.6,26,26.4,123850,0
20060614,26.5,27.1,26.5,27,14665,0
20060616,27.6,28.3,27.6,28,56367,0
20060619,28.3,28.3,27.5,27.9,6996,0
20060620,27.8,28.1,27.5,28,14260,0
20060621,28,28.1,27.9,28,14537,0
20060622,28.1,28.2,27.9,27.9,39794,0
20060623,28,28,27.8,28,21602,0
20060626,28.1,28.1,27.9,28,11441,0
20060627,27.2,28.2,27.2,28.1,19896,0
20060628,28.1,28.1,27.5,28,21626,0
20060629,28,28,28,28,7816,0
20060630,28,28.1,28,28,6635,0
20060703,28,28,27.5,28,1655,0
20060704,28,28.1,27.6,28,8037,0
20060705,28,28,27.8,28,31018,0
20060706,28,28,27.5,27.9,9611,0
20060707,27.9,28,27.7,28,1091,0
20060710,27.8,27.8,27.6,27.8,2087,0
20060711,27.6,27.6,27.5,27.5,501,0
20060712,27.6,28,27.6,27.6,1168,0
20060713,27.6,27.8,27.5,27.6,342,0
20060714,27.2,27.9,27.2,27.8,5011,0
20060717,27.8,28.2,27.7,28,107212,0
20060718,28,28.1,27.9,27.9,33582,0
20060719,27.9,28,27.2,28,7011,0
20060720,28,28,27.7,27.8,5020,0
20060721,27.4,28,27.4,28,1530,0
20060724,27.9,28.2,27.9,28.1,29030,0
20060725,28,28.3,28,28.3,23177,0
20060726,28.3,29,28.2,29,16808,0
20060727,29.1,31.2,29.1,30,40041,0
20060728,30.4,30.4,29.1,30.2,9717,0
20060731,30,30.5,29.8,30.1,19729,0
20060801,30,30.1,29,30,61385,0
20060802,30.1,30.2,29.5,30,24275,0
20060803,30.5,31.4,29.6,29.8,42729,0
20060804,30.2,31,30.2,31,34191,0
20060807,31.4,31.9,31,31.8,27334,0
20060808,31.9,32,31.5,31.8,10564,0
20060809,31.5,32.5,31.5,32.3,17703,0
20060810,32.1,32.4,31.4,31.8,6466,0
20060811,31.5,31.9,31.4,31.6,8640,0
20060814,31.6,32.1,30.1,31.8,4244,0
20060816,32,32,31.3,31.9,9566,0
20060817,31.5,31.5,31,31.2,4330,0
20060818,31.8,31.8,31,31.3,10436,0
20060821,30.6,31.2,30.2,31,19170,0
20060822,30.7,31.7,30.7,31.7,10376,0
20060823,30.8,31.3,30.7,31.3,17356,0
20060824,31,31,30.7,31,15365,0
20060825,30.6,31.3,30.6,30.8,12918,0
20060828,31,31,30.4,31,5359,0
20060829,31,31.3,30.6,31,4198,0
20060830,31,31.1,31,31.1,8037,0
20060831,31.3,31.3,31,31.2,4486,0
20060901,31,31,30.6,31,6851,0
20060904,31.15,31.15,30.21,30.75,4235,0
20060905,30.3,31,30.3,31,2232,0
20060906,30.99,31,30.55,31,3419,0
