Date,Open,High,Low,Close,Volume,OpenInt
19951027,11.74,11.74,11.74,11.74,161380,0
19951030,11.11,11.11,11.11,11.11,48290,0
19951031,10.62,10.62,10.62,10.62,42276,0
19951102,11.06,11.06,11.06,11.06,30666,0
19951103,12.23,12.23,12.23,12.23,105177,0
19951106,13.06,13.06,13.06,13.06,50203,0
19951107,12.87,12.87,12.87,12.87,98331,0
19951108,13.55,13.55,13.55,13.55,56910,0
19951109,13.36,13.36,13.36,13.36,32559,0
19951110,12.97,12.97,12.97,12.97,58169,0
19951113,12.77,12.77,12.77,12.77,24084,0
19951114,13.16,13.16,13.16,13.16,62051,0
19951115,13.21,13.21,13.21,13.21,23959,0
19951116,13.21,13.21,13.21,13.21,27175,0
19951117,13.21,13.21,13.21,13.21,85235,0
19951120,11.89,11.89,11.89,11.89,69536,0
19951121,12.28,12.28,12.28,12.28,31441,0
19951122,12.72,12.72,12.72,12.72,31130,0
19951123,13.01,13.01,13.01,13.01,27699,0
19951124,12.92,12.92,12.92,12.92,22917,0
19951127,12.92,12.92,12.92,12.92,21988,0
19951128,12.77,12.77,12.77,12.77,10692,0
19951129,12.77,12.77,12.77,12.77,13513,0
19951130,12.77,12.77,12.77,12.77,11202,0
19951201,12.72,12.72,12.72,12.72,23778,0
19951204,12.82,12.82,12.82,12.82,15562,0
19951205,13.16,13.16,13.16,13.16,44572,0
19951206,12.97,12.97,12.97,12.97,13919,0
19951207,13.06,13.06,13.06,13.06,11749,0
19951208,12.92,12.92,12.92,12.92,9909,0
19951211,13.31,13.31,13.31,13.31,12211,0
19951212,13.46,13.46,13.46,13.46,27193,0
19951213,13.46,13.46,13.46,13.46,37245,0
19951214,13.7,13.7,13.7,13.7,38724,0
19951215,14.63,14.63,14.63,14.63,39673,0
19951218,14.43,14.43,14.43,14.43,19991,0
19951219,13.85,13.85,13.85,13.85,28318,0
19951220,12.48,12.48,12.48,12.48,43893,0
19951221,12.87,12.87,12.87,12.87,28527,0
19951222,13.21,13.21,13.21,13.21,29937,0
19951227,13.75,13.75,13.75,13.75,42998,0
19951228,13.65,13.65,13.65,13.65,15023,0
19951229,13.65,13.65,13.65,13.65,17147,0
19960102,14.04,14.04,14.04,14.04,5661,0
19960103,14.19,14.19,14.19,14.19,34147,0
19960104,14.53,14.53,14.53,14.53,24768,0
19960105,15.27,15.27,15.27,15.27,26792,0
19960108,15.07,15.07,15.07,15.07,29398,0
19960109,15.2,15.2,15.2,15.2,26448,0
19960110,15.02,15.02,15.02,15.02,26291,0
19960111,14.92,14.92,14.92,14.92,47118,0
19960112,14.63,14.63,14.63,14.63,46779,0
19960115,14.53,14.53,14.53,14.53,26556,0
19960116,14.53,14.53,14.53,14.53,13863,0
19960117,14.53,14.53,14.53,14.53,62231,0
19960118,14.34,14.34,14.34,14.34,79890,0
19960119,14.04,14.04,14.04,14.04,30486,0
19960122,14.73,14.73,14.73,14.73,35349,0
19960123,15.02,15.02,15.02,15.02,23572,0
19960124,15.36,15.36,15.36,15.36,28543,0
19960125,16.15,16.15,16.15,16.15,44469,0
19960126,15.95,15.95,15.95,15.95,43353,0
19960129,16.1,16.1,16.1,16.1,51179,0
19960130,16.1,16.1,16.1,16.1,55209,0
19960131,17.27,17.27,17.27,17.27,36512,0
19960201,16.64,16.64,16.64,16.64,22181,0
19960202,17.27,17.27,17.27,17.27,49338,0
19960205,17.27,17.27,17.27,17.27,35877,0
19960206,17.61,17.61,17.61,17.61,50870,0
19960207,17.61,17.61,17.61,17.61,25265,0
19960208,18.25,18.25,18.25,18.25,30663,0
19960209,19.23,19.23,19.23,19.23,17790,0
19960212,21.04,21.04,21.04,21.04,90857,0
19960213,20.84,20.84,20.84,20.84,44038,0
19960214,20.55,20.55,20.55,20.55,42359,0
