Date,Open,High,Low,Close,Volume,OpenInt
20101230,10,10.49,9.61,10.44,1327813,0
20101231,10.74,11.47,10.65,11,592015,0
20110103,11.39,12.44,11.2,11.8,817518,0
20110104,12.16,12.89,11.82,12.87,763488,0
20110105,13.11,14.39,13.07,13.08,1151384,0
20110107,13.21,13.95,12.12,13.59,360815,0
20110110,13.99,13.99,12.75,13.22,287111,0
20110111,13.22,13.58,12.6,13.4,157526,0
20110112,13.59,13.9,13.42,13.7,151597,0
20110113,13.89,13.89,13.42,13.48,87712,0
20110114,13.45,13.45,12.93,13.12,128584,0
20110117,13.2,13.2,12.31,12.34,160036,0
20110118,12.3,12.89,12,12.63,153458,0
20110119,12.77,12.88,12.63,12.76,50530,0
20110120,12.76,12.76,12.34,12.6,105459,0
20110121,12.67,12.69,12.2,12.2,66566,0
20110124,12.49,12.49,11.8,11.85,87009,0
20110125,11.9,12.1,11.57,12,57517,0
20110126,12.3,12.79,12.15,12.79,97804,0
20110127,12.85,12.9,12.6,12.8,40403,0
20110128,12.81,12.81,12.41,12.47,42004,0
20110131,12.4,12.4,11.9,12.06,40463,0
20110201,12.34,12.34,11.92,12,94189,0
20110202,12.34,12.34,11.7,12,79477,0
20110203,12.19,12.64,12.18,12.3,88864,0
20110204,12.3,12.35,12,12.1,26702,0
20110207,12.06,12.2,11.92,12.2,51785,0
20110208,12.25,12.25,12,12.1,12091,0
20110209,12.02,12.02,11.92,11.95,16304,0
20110210,11.95,12.15,11.15,11.2,178337,0
20110211,11.17,11.29,10.63,11.2,188723,0
20110214,11.5,11.64,11.2,11.21,32650,0
20110215,11.35,11.35,10.85,10.95,46406,0
20110216,11,11,10.2,10.42,138596,0
20110217,10.35,11.35,9.7,10.9,467447,0
20110218,11.07,11.89,10.79,10.8,339810,0
20110221,10.95,11,10.35,10.55,106263,0
20110222,10.4,10.4,10.08,10.25,68839,0
20110223,10.17,10.29,10.07,10.18,67064,0
20110224,10.22,10.99,10.16,10.75,257037,0
20110225,10.9,11.16,10.8,10.92,89867,0
20110228,10.92,11.1,10.74,10.9,37624,0
20110301,10.98,10.98,10.6,10.7,68032,0
20110302,10.65,10.8,10.5,10.8,16091,0
20110303,10.92,10.92,10.51,10.76,33604,0
20110304,10.57,10.79,10.57,10.7,30790,0
20110307,10.75,10.75,10.42,10.48,31932,0
20110308,10.45,10.55,10.34,10.45,17491,0
20110309,10.58,10.58,10.2,10.3,34930,0
20110310,10.3,10.35,10.1,10.23,30556,0
20110311,10.3,10.3,10,10.15,35593,0
20110314,10.14,10.7,10,10.58,60289,0
20110315,10.6,10.6,10.1,10.36,35738,0
20110316,10.42,10.96,10.4,10.5,91546,0
20110317,10.79,11.55,10.73,11.4,228513,0
20110318,11.7,11.7,10.95,11,190071,0
20110321,11.26,11.33,11,11.21,26205,0
20110322,11.32,11.36,11.2,11.34,62040,0
20110323,11.5,11.7,11.3,11.4,101748,0
20110324,11.5,11.5,10.85,11.29,41306,0
20110325,11.5,11.9,11.3,11.5,220606,0
20110328,11.78,12.9,11.35,12.7,591371,0
20110329,12.9,13.48,12.6,12.7,666102,0
20110330,12.89,13.17,12.72,12.8,178741,0
20110331,12.8,12.8,12.41,12.5,97078,0
20110401,12.5,12.8,12.3,12.65,98552,0
20110404,12.78,12.78,12.51,12.6,69520,0
20110405,12.6,12.8,12.41,12.58,77524,0
20110406,12.7,13.25,12.52,13.12,220035,0
20110407,13.26,13.26,12.95,12.97,98693,0
20110408,13.07,13.09,12.75,12.77,69211,0
20110411,12.88,13.08,12.88,13.07,25975,0
20110412,12.95,13.19,12.92,12.97,42879,0
20110413,12.98,13.68,12.98,13.42,224189,0
20110414,13.56,13.56,13.16,13.2,89344,0
20110415,13.21,13.4,12.93,13.16,43481,0
20110418,13.19,13.4,12.55,12.87,165764,0
20110419,13,13.19,12.9,13.04,34191,0
20110420,13.01,13.1,12.8,12.98,63926,0
20110421,13,13,12.7,12.9,44576,0
20110426,12.9,12.96,12.8,12.96,33159,0
20110427,13,13,12.84,12.99,27028,0
20110428,12.99,12.99,12.8,12.95,24325,0
20110429,12.95,12.95,12.6,12.94,44126,0
20110502,12.88,12.99,12.63,12.95,23338,0
20110504,12.9,12.9,12.7,12.8,46170,0
20110505,12.65,12.85,12.4,12.49,79813,0
20110506,12.31,12.31,11.66,12.07,79644,0
20110509,12.07,12.11,11.65,11.71,39601,0
20110510,11.65,12.23,11.64,11.94,54555,0
20110511,12.1,12.4,12.03,12.38,26468,0
20110512,12.16,12.16,11.83,12.08,42568,0
20110513,12.09,12.39,11.99,12.24,19429,0
20110516,12.3,12.45,11.81,12.09,29819,0
20110517,12.05,12.05,11.7,11.88,44734,0
20110518,11.9,11.9,11.28,11.5,54684,0
20110519,11.5,11.79,11.36,11.65,26069,0
20110520,11.65,11.65,11.4,11.63,13512,0
20110523,11.25,11.3,11.06,11.08,128418,0
20110524,11.07,11.27,11.06,11.2,18853,0
20110525,11.71,12.4,11.71,12.3,199418,0
20110526,12.45,12.9,12.3,12.9,188668,0
20110527,12.9,12.9,12.5,12.5,108535,0
20110530,12.5,12.65,12.24,12.54,57517,0
20110531,12.62,12.67,12.5,12.53,29212,0
20110601,12.6,12.64,12.2,12.2,46099,0
20110602,12.17,12.3,11.83,12.15,41208,0
20110603,12.1,12.18,11.95,12,25717,0
20110606,11.9,12.03,11.75,12,68883,0
20110607,11.92,12,11.87,11.98,22801,0
20110608,11.98,11.98,11.72,11.75,29102,0
20110609,11.69,11.69,11.5,11.56,53297,0
20110610,11.7,11.7,11.41,11.5,37008,0
20110613,11.55,11.67,11.45,11.67,9801,0
20110614,11.67,11.99,11.6,11.78,27594,0
20110615,11.76,11.76,11.4,11.48,44097,0
20110616,11.48,11.5,11.39,11.4,16218,0
20110617,11.4,11.5,11.37,11.48,6304,0
20110620,11.6,11.6,11.2,11.35,22234,0
20110621,11.38,11.39,11.17,11.24,24606,0
20110622,11.24,11.31,11.09,11.25,27543,0
20110624,11.33,11.33,11.05,11.1,10441,0
20110627,11.4,11.69,10.6,10.81,124526,0
20110628,10.85,10.98,10.6,10.77,38508,0
20110629,10.92,11.28,10.88,11.23,33325,0
20110630,11.3,11.33,11.15,11.2,33905,0
20110701,11.2,11.2,10.89,11.03,34449,0
20110704,11.03,11.13,11.02,11.04,9792,0
20110705,10.99,11.2,10.95,10.98,20888,0
20110706,11,11,10.9,10.94,19724,0
20110707,10.95,11.39,10.69,11.16,32334,0
20110708,11.2,11.21,10.9,11,8090,0
20110711,11,11,10.75,10.76,15624,0
20110712,10.62,10.64,10.2,10.35,74276,0
20110713,10.35,10.5,10.35,10.47,25636,0
20110714,10.47,10.47,10.3,10.35,12857,0
20110715,10.35,10.4,10.25,10.27,18154,0
20110718,10.3,10.43,10.2,10.2,35966,0
20110719,10.25,10.51,10.25,10.51,17712,0
20110720,10.53,10.55,10.2,10.3,20850,0
20110721,10.3,10.35,9.8,10.21,90771,0
20110722,10.18,10.23,10,10.2,22371,0
20110725,10.2,10.21,10.1,10.11,7558,0
20110726,10.1,10.2,9.96,10.13,24274,0
20110727,10,10.15,9.96,10,8786,0
20110728,10,10.19,9.86,10.15,42557,0
20110729,10.13,10.15,9.8,10,21112,0
20110801,10,10.2,9.99,10.2,41802,0
20110802,10.34,10.34,9.96,10.01,24101,0
20110803,9.66,10.1,9.6,10,182772,0
20110804,10,10.08,9.85,10,424745,0
20110805,9.5,9.75,8.78,9.7,198569,0
20110808,9,9.7,8.8,8.85,142100,0
20110809,8.5,8.85,8.21,8.5,212514,0
20110810,9,9.05,7.71,8.2,95602,0
20110811,8.25,8.5,7.5,8.5,95766,0
20110812,8.6,8.75,8.23,8.65,37954,0
20110816,8.7,8.87,8.65,8.87,36774,0
20110817,8.8,9.3,8.7,9.16,19417,0
20110818,9.25,9.25,8,8.24,281535,0
20110819,7.82,8.24,7.77,8.15,60932,0
20110822,7.99,8.25,7.86,7.95,147585,0
20110823,7.95,8.29,7.88,8.19,135524,0
20110824,8.19,8.2,8,8.18,7871,0
20110825,8.2,8.2,8.01,8.16,14524,0
20110826,8.15,8.15,7.9,7.94,7674,0
20110829,7.91,8.4,7.91,8.25,16138,0
20110830,8.42,8.8,8.42,8.8,30914,0
20110831,8.95,9.57,8.95,9.39,33581,0
20110901,9.75,9.75,8.95,9.27,47435,0
20110902,9.19,9.19,8.86,9.13,47582,0
20110905,9.04,9.04,8.36,8.36,34658,0
20110906,8.58,8.84,8.5,8.7,18620,0
20110907,8.75,9.2,8.75,9.19,33790,0
20110908,9.02,9.24,8.9,9.14,14873,0
20110909,9.12,9.12,8.9,9.05,21005,0
20110912,9.05,9.05,8.65,8.95,28471,0
20110913,8.97,9.17,8.8,9.03,100980,0
20110914,9.1,9.18,9,9.1,18413,0
20110915,9.07,9.4,9.07,9.2,17997,0
20110916,9.39,9.4,9.13,9.2,42883,0
20110919,9.16,9.18,8.81,9,30109,0
20110920,9,9.17,8.82,9.15,14786,0
20110921,9.2,9.22,9.01,9.22,21412,0
20110922,9.05,9.15,8.85,8.97,16535,0
20110923,8.98,9,8.7,8.95,70604,0
20110926,9,9.1,8.82,9.1,78668,0
20110927,9.2,9.22,9.1,9.22,26623,0
20110928,9.2,9.24,9.12,9.15,33405,0
20110929,9.15,9.25,9.11,9.24,7924,0
20110930,9.25,9.3,8.97,9.25,20010,0
20111003,9.15,9.17,9.02,9.17,11594,0
20111004,9.23,9.23,9,9.13,17152,0
20111005,9.15,9.15,8.92,9.15,38146,0
20111006,9.15,9.16,9,9.15,2921,0
20111007,9.15,9.15,9.05,9.15,2411,0
20111010,9.15,9.15,9,9.14,9983,0
20111011,9.12,9.12,9,9.07,7268,0
20111012,9.07,9.11,8.96,9,10836,0
20111013,8.86,9.1,8.86,9.03,5258,0
20111014,9,9.02,8.92,9,6275,0
20111017,9,9,8.77,8.8,11763,0
20111018,8.75,8.8,8.6,8.78,4630,0
20111019,8.8,8.8,8.8,8.8,932,0
20111020,8.8,8.8,8.57,8.8,5966,0
20111021,8.79,8.8,8.61,8.74,1951,0
20111024,8.7,8.8,8.61,8.66,7805,0
20111025,8.62,8.75,8.58,8.75,15349,0
20111026,8.6,8.7,8.21,8.43,11485,0
20111027,8.61,8.89,8.61,8.85,15690,0
20111028,8.88,9,8.6,8.82,5021,0
20111031,8.94,9.7,8.82,9.5,97790,0
20111102,9,9.39,8.8,9.34,34597,0
20111103,9.29,9.69,9.1,9.53,32904,0
20111104,9.69,9.69,9.35,9.36,9907,0
20111107,9.49,9.54,9.32,9.42,5013,0
20111108,9.54,9.54,9.38,9.41,7336,0
20111109,9.41,9.5,9,9.13,19069,0
20111110,9.09,9.09,8.88,9.06,8904,0
20111114,9.13,9.49,9.1,9.1,9320,0
20111115,8.85,8.85,8.63,8.7,20699,0
20111116,8.78,8.9,8.65,8.9,9665,0
20111117,8.88,8.96,8.69,8.77,12291,0
20111118,8.8,8.8,8.6,8.61,6935,0
20111121,8.43,8.5,8.18,8.18,9370,0
20111122,8,8,7.9,7.9,20359,0
20111123,8,8.42,7.91,8.1,18655,0
20111124,8.11,8.14,7.78,8,6603,0
20111125,8.12,8.12,7.9,8.1,1981,0
20111128,8.12,8.12,7.97,8.12,3719,0
20111129,8.1,8.1,7.96,8.07,2049,0
20111130,8.09,8.09,7.75,8,8609,0
20111201,7.99,8,7.77,7.95,12533,0
20111202,8.08,8.08,7.91,8,5788,0
20111205,8,8,7.9,7.96,3510,0
20111206,8.45,8.7,8.36,8.69,82530,0
20111207,8.75,9.27,8.75,9.22,96155,0
20111208,9.39,9.39,8.6,8.87,69117,0
20111209,8.36,8.76,8.36,8.65,24893,0
20111212,8.79,8.79,8.42,8.64,10553,0
20111213,8.65,8.65,8.5,8.6,7022,0
20111214,8.64,8.74,8.5,8.59,5324,0
20111215,8.62,8.79,8.53,8.59,12562,0
20111216,8.59,8.59,8.5,8.55,7044,0
20111219,8.55,8.55,8.2,8.22,20156,0
20111220,8.33,8.33,7.9,8.09,39196,0
20111221,8.1,8.2,8.02,8.09,5745,0
20111222,8.14,8.14,8,8.05,7948,0
20111223,8.05,8.05,7.95,8.05,8223,0
20111227,8.08,8.08,7.89,7.98,156593,0
20111228,7.93,8.05,7.93,8.04,3668,0
20111229,8.05,8.2,8,8.2,4815,0
20111230,8.2,8.31,8.2,8.26,3436,0
20120102,8.2,8.3,8.03,8.3,5016,0
20120103,8.33,8.33,8.05,8.17,4185,0
20120104,8.15,8.3,8.12,8.14,7298,0
20120105,8.3,8.3,8.05,8.22,1465,0
20120109,8.12,8.13,8.12,8.13,742,0
20120110,8.2,8.55,8.12,8.3,152554,0
20120111,8.3,8.3,8.15,8.3,11423,0
20120112,8.4,8.4,8.25,8.4,6978,0
20120113,8.4,8.5,8.3,8.4,212785,0
20120116,8.4,8.5,8.4,8.5,2741,0
20120117,8.61,8.8,8.53,8.58,77197,0
20120118,8.84,8.9,8.58,8.75,122649,0
20120119,8.8,9.68,8.64,9.5,949154,0
20120120,9.59,9.6,8.87,9,35802,0
20120123,8.95,9,8.75,8.85,11774,0
20120124,8.85,9.13,8.78,8.95,34024,0
20120125,8.95,9.23,8.85,8.95,141556,0
20120126,9,9.15,8.91,8.95,339428,0
20120127,9.01,9.2,8.95,8.95,29764,0
