Date,Open,High,Low,Close,Volume,OpenInt
20031229,18.168,19.45,18.168,19.169,171673,0
20031230,19.45,20.812,19.45,20.812,176905,0
20031231,21.099,21.74,20.171,20.311,210207,0
20040102,20.024,20.385,19.31,20.385,87334,0
20040105,20.024,20.171,19.31,20.024,124608,0
20040106,19.671,20.451,19.523,20.024,105106,0
20040107,20.024,20.451,19.95,20.098,60151,0
20040108,20.098,20.311,19.737,19.737,93231,0
20040109,19.597,19.671,19.169,19.45,103465,0
20040112,19.31,19.523,19.169,19.31,45691,0
20040113,19.383,19.597,19.31,19.31,44276,0
20040114,19.383,19.383,19.096,19.096,30679,0
20040115,18.956,18.956,18.521,18.809,50254,0
20040116,18.669,18.669,18.381,18.381,61598,0
20040119,18.168,18.669,18.168,18.521,28886,0
20040120,18.456,19.096,18.456,19.096,30622,0
20040121,19.169,19.236,18.956,19.023,14903,0
20040122,19.169,19.31,19.023,19.31,27634,0
20040123,19.31,19.597,19.169,19.383,50153,0
20040126,19.31,19.811,19.096,19.737,86690,0
20040127,19.737,19.737,19.523,19.671,32943,0
20040128,19.597,19.597,19.023,19.236,63875,0
20040129,18.956,19.169,18.809,19.096,44008,0
20040130,19.236,19.31,19.023,19.236,9415,0
20040202,19.096,19.737,19.096,19.671,46452,0
20040203,19.383,19.737,19.31,19.31,12556,0
20040204,19.31,19.523,19.236,19.45,13113,0
20040205,19.383,19.523,19.31,19.523,13976,0
20040206,19.671,20.171,19.597,20.024,132989,0
20040209,20.098,20.385,20.098,20.311,67922,0
20040210,20.525,20.525,20.024,20.171,52379,0
20040211,20.098,20.238,19.884,20.098,18650,0
20040212,20.024,20.171,19.95,20.171,13736,0
20040213,20.098,20.171,19.95,19.95,18487,0
20040216,20.024,20.098,19.811,20.098,16293,0
20040217,20.171,20.238,20.024,20.238,37808,0
20040218,20.238,20.311,19.884,20.171,20556,0
20040219,20.024,20.171,19.884,20.024,17752,0
20040220,19.884,20.024,19.737,20.024,7188,0
20040223,20.024,20.098,19.811,20.024,19320,0
20040224,20.024,20.024,19.671,19.737,13308,0
20040225,19.671,19.811,19.45,19.523,9326,0
20040226,19.523,19.95,19.523,19.884,9911,0
20040227,19.95,20.098,19.737,20.098,46977,0
20040301,20.024,20.451,19.95,20.385,67940,0
20040302,20.385,20.525,20.171,20.238,19125,0
20040303,20.385,20.598,20.098,20.451,21898,0
20040304,20.451,20.525,20.385,20.451,20982,0
20040305,20.451,20.451,20.171,20.311,32080,0
20040308,20.311,20.311,19.671,20.098,49344,0
20040309,20.171,20.385,20.171,20.238,44250,0
20040310,20.238,20.525,20.238,20.385,18993,0
20040311,20.238,20.311,19.884,20.098,42459,0
20040312,20.024,20.385,20.024,20.385,56780,0
20040315,20.385,20.451,20.098,20.098,23651,0
20040316,19.95,20.238,19.95,20.024,15649,0
20040317,20.385,21.099,20.098,21.099,61186,0
20040318,21.453,22.388,21.239,21.386,180933,0
20040319,21.526,21.6,20.238,20.738,56699,0
20040322,20.451,21.026,20.385,20.886,25828,0
20040323,20.886,21.313,20.886,21.239,13658,0
20040324,21.453,21.814,21.099,21.6,31941,0
20040325,21.814,21.814,21.239,21.526,6489,0
20040326,21.453,22.028,21.453,21.674,24831,0
20040329,21.74,22.388,21.74,22.388,32102,0
20040330,22.528,22.815,22.241,22.741,37272,0
20040331,22.741,22.741,22.101,22.528,50042,0
20040401,22.174,22.741,22.174,22.668,10887,0
20040402,22.815,23.389,22.601,23.102,38461,0
20040405,23.243,23.603,23.029,23.603,21431,0
20040406,23.603,24.892,23.456,24.391,87615,0
20040407,24.531,24.531,24.17,24.391,46000,0
20040408,24.391,25.032,24.318,24.958,28044,0
