Date,Open,High,Low,Close,Volume,OpenInt
19970612,2.14,2.14,2.14,2.14,471138,0
19970613,2.31,2.31,2.31,2.31,1270992,0
19970616,2.29,2.29,2.29,2.29,848421,0
19970617,2.14,2.14,2.14,2.14,894461,0
19970618,2.07,2.07,2.07,2.07,746512,0
19970619,2,2,2,2,565239,0
19970620,2.06,2.06,2.06,2.06,388484,0
19970623,1.86,1.86,1.86,1.86,709588,0
19970624,1.73,1.73,1.73,1.73,192942,0
19970625,1.73,1.73,1.73,1.73,301667,0
19970626,1.67,1.67,1.67,1.67,424890,0
19970627,1.68,1.68,1.68,1.68,310106,0
19970630,1.73,1.73,1.73,1.73,249322,0
19970701,1.72,1.72,1.69,1.69,279076,0
19970702,1.68,1.68,1.67,1.67,131402,0
19970703,1.68,1.71,1.68,1.7,534869,0
19970704,1.7,1.7,1.68,1.68,65080,0
19970707,1.68,1.68,1.68,1.68,242545,0
19970708,1.65,1.66,1.64,1.64,290636,0
19970709,1.65,1.67,1.65,1.67,218352,0
19970710,1.66,1.67,1.65,1.65,421188,0
19970711,1.66,1.66,1.63,1.63,455506,0
19970714,1.5,1.5,1.47,1.48,69670,0
19970715,1.45,1.45,1.45,1.45,247286,0
19970716,1.45,1.47,1.45,1.47,591649,0
19970717,1.45,1.47,1.45,1.47,88876,0
19970718,1.43,1.43,1.43,1.43,207714,0
19970721,1.45,1.45,1.41,1.41,294387,0
19970722,1.41,1.42,1.39,1.39,64237,0
19970723,1.41,1.41,1.39,1.39,120258,0
19970724,1.43,1.43,1.4,1.4,332199,0
19970725,1.43,1.43,1.38,1.39,325558,0
19970728,1.44,1.44,1.41,1.43,175565,0
19970729,1.43,1.47,1.43,1.46,179036,0
19970730,1.48,1.53,1.48,1.53,246077,0
19970731,1.52,1.52,1.47,1.48,634863,0
19970801,1.5,1.52,1.49,1.5,367000,0
19970804,1.52,1.52,1.47,1.47,235809,0
19970805,1.52,1.55,1.52,1.55,209973,0
19970806,1.53,1.55,1.53,1.55,182618,0
19970807,1.56,1.6,1.56,1.6,303968,0
19970808,1.61,1.68,1.61,1.66,327303,0
19970811,1.69,1.69,1.65,1.69,544680,0
19970812,1.7,1.74,1.7,1.73,496865,0
19970813,1.75,1.75,1.75,1.75,558639,0
19970814,1.68,1.72,1.68,1.71,183143,0
19970818,1.68,1.68,1.65,1.65,329860,0
19970819,1.73,1.76,1.7,1.71,423368,0
19970820,1.77,1.77,1.74,1.75,440757,0
19970821,1.77,1.77,1.71,1.72,327416,0
19970822,1.73,1.73,1.72,1.72,169437,0
