Date,Open,High,Low,Close,Volume,OpenInt
20080318,8.39,8.75,7.6,8.55,109481,0
20080319,8.7,8.75,8.17,8.18,25266,0
20080320,8.54,8.54,8.07,8.3,9913,0
20080325,8.31,8.43,8.15,8.3,4164,0
20080326,8.3,8.3,8.12,8.28,10204,0
20080327,8.3,8.3,8.16,8.29,5324,0
20080328,8.29,8.29,8.18,8.29,2227,0
20080331,8.38,8.38,8.17,8.35,3218,0
20080401,8.34,8.36,8.34,8.36,190,0
20080402,8.36,8.99,8.36,8.79,65369,0
20080403,8.97,8.97,8.75,8.9,31328,0
20080404,9,9,8.75,8.92,86794,0
20080407,9,9,8.51,8.9,12885,0
20080408,8.97,8.97,8.7,8.89,8141,0
20080409,8.88,8.9,8.8,8.85,10145,0
20080410,8.89,8.89,8.8,8.86,1499,0
20080411,8.89,8.9,8.66,8.8,5097,0
20080414,9.05,9.1,8.8,9.04,4742,0
20080415,8.99,8.99,8.67,8.97,4816,0
20080416,8.94,8.94,8.42,8.88,1258,0
20080417,8.8,8.9,8.52,8.8,7989,0
20080418,8.79,8.79,8.33,8.54,14696,0
20080421,8.54,8.54,7.8,8,11864,0
20080422,8,8.1,7.56,7.98,16368,0
20080423,7.98,7.98,7.74,7.9,2660,0
20080424,7.56,8.1,7.03,7.67,62243,0
20080425,7.89,8.17,7.74,7.9,7128,0
20080428,7.94,7.95,7.76,7.95,3735,0
20080429,7.95,7.95,7.4,7.8,1550,0
20080430,7.8,7.8,7.79,7.8,814,0
20080505,7.94,7.94,7.6,7.93,538,0
20080506,7.94,7.94,7.74,7.94,67273,0
20080507,7.93,7.95,7.8,7.95,1173,0
20080508,7.94,8,7.74,8,4374,0
20080509,7.94,7.94,7.65,7.94,1174,0
20080512,7.94,7.94,7.74,7.9,2298,0
20080513,7.9,7.94,7.79,7.8,4596,0
20080514,7.94,7.94,7.46,7.46,4649,0
20080515,7.89,7.94,7.51,7.79,4708,0
20080516,7.78,7.79,7.06,7.79,10878,0
20080519,7.89,7.9,7.28,7.79,3211,0
20080520,7.79,7.79,7.65,7.7,5584,0
20080521,7.74,7.74,7.38,7.7,4828,0
20080523,7.7,7.71,7.4,7.71,6365,0
20080526,7.73,7.74,7.62,7.7,13611,0
20080527,7.68,7.68,7.4,7.65,1438,0
20080528,7.68,7.68,7.64,7.67,1761,0
20080529,7.68,7.68,7.4,7.66,3494,0
20080530,7.66,7.68,7.4,7.66,2801,0
20080602,8.35,8.35,7.68,7.86,1732,0
20080603,8.09,8.09,7.85,7.96,2801,0
20080604,7.96,7.96,7.69,7.69,1110,0
20080605,7.89,7.89,7.61,7.88,662,0
20080606,7.92,7.99,7.8,7.97,1709,0
20080609,7.65,7.91,7.32,7.79,10254,0
20080610,7.85,7.9,7.56,7.65,4060,0
20080611,7.84,7.84,7.48,7.8,1787,0
20080612,7.79,7.79,7.03,7.74,1287,0
20080613,7.77,7.77,7.7,7.74,686,0
20080616,7.83,7.83,7.49,7.8,862,0
20080617,7.84,7.84,7.43,7.8,1733,0
20080618,7.8,7.8,7.43,7.78,1149,0
20080619,7.7,7.7,7.27,7.7,889,0
20080620,7.79,7.79,7.51,7.75,1309,0
20080623,7.74,7.74,7.39,7.63,2053,0
20080624,7.71,7.71,7.3,7.69,1413,0
20080625,7.69,7.69,7.33,7.64,3129,0
20080626,7.68,7.68,7.05,7.4,3106,0
20080627,7.45,7.67,7.06,7.2,2018,0
20080630,7.2,7.2,7.2,7.2,270,0
20080701,7.2,7.2,7.1,7.1,310,0
20080702,7.14,7.19,6.71,7.19,575,0
20080703,7.19,7.19,6.62,7.13,1628,0
20080704,7.13,7.13,6.55,6.55,2215,0
20080707,6.55,6.55,6.11,6.36,2266,0
20080708,6.38,7,6.01,6.36,1822,0
20080709,6.8,7,6.58,6.93,7344,0
20080710,7.09,7.09,6.71,6.93,6758,0
20080711,7,7,6.89,6.94,3301,0
20080714,7.03,7.03,6.9,7,1033,0
20080715,7.04,7.04,6.55,6.99,2203,0
20080716,7.05,7.05,6.75,6.99,1990,0
