Date,Open,High,Low,Close,Volume,OpenInt
20080509,2.2973,2.5202,2.1907,2.2295,194251,0
20080512,2.2295,2.2295,2.1811,2.1811,16281,0
20080513,2.2004,2.21,2.1423,2.1423,16176,0
20080514,2.1713,2.2295,2.1713,2.2295,20336,0
20080515,2.2295,2.2973,2.2295,2.2682,21794,0
20080516,2.3069,2.3167,2.2877,2.2877,3343,0
20080519,2.2779,2.2779,2.2779,2.2779,8215,0
20080520,2.2779,2.2779,2.2779,2.2779,3507,0
20080521,2.2779,2.2779,2.2779,2.2779,9056,0
20080523,2.2779,2.2779,2.2488,2.2488,3146,0
20080526,2.3167,2.3167,2.2682,2.2779,3973,0
20080527,2.2779,2.2779,2.2779,2.2779,8253,0
20080528,2.2779,2.2973,2.2779,2.2877,6020,0
20080529,2.2877,2.2973,2.2877,2.2877,11631,0
20080530,2.2779,2.2877,2.2779,2.2877,10562,0
20080602,2.2877,2.2877,2.2877,2.2877,515,0
20080603,2.2877,2.3069,2.2877,2.2877,3935,0
20080604,2.2877,2.2877,2.2779,2.2779,18610,0
20080605,2.2973,2.2973,2.2779,2.2973,7737,0
20080606,2.2973,2.3069,2.2295,2.3069,6123,0
20080609,2.3264,2.3264,2.3264,2.3264,19,0
20080610,2.3361,2.3361,2.3361,2.3361,193,0
20080611,2.3361,2.3361,2.2973,2.3069,1179,0
20080612,2.3069,2.3069,2.3069,2.3069,41,0
20080613,2.3167,2.3167,2.3167,2.3167,475,0
20080616,2.3167,2.3361,2.3167,2.3264,609,0
20080617,2.3264,2.3264,2.3167,2.3167,873,0
20080618,2.3167,2.3167,2.3167,2.3167,994,0
20080619,2.2973,2.2973,2.2973,2.2973,5681,0
20080620,2.2973,2.2973,2.2973,2.2973,10,0
20080623,2.2973,2.2973,2.2973,2.2973,4233,0
20080624,2.2973,2.2973,2.2973,2.2973,217,0
20080625,2.2973,2.2973,2.2973,2.2973,10,0
20080626,2.2973,2.2973,2.2973,2.2973,1032,0
20080627,2.2973,2.2973,2.2973,2.2973,114,0
20080630,2.2973,2.3361,2.2973,2.3361,3388,0
20080701,2.3361,2.3458,2.3361,2.3458,4372,0
20080702,2.3652,2.433,2.3652,2.433,12041,0
20080703,2.433,2.433,2.3748,2.3748,1134,0
20080704,2.3748,2.3748,2.3069,2.3069,3611,0
20080708,2.3167,2.3167,2.2973,2.2973,4297,0
20080709,2.3554,2.3554,2.3554,2.3554,515,0
20080710,2.4233,2.4233,2.2973,2.2973,1134,0
20080715,2.4717,2.4717,2.4717,2.4717,104,0
20080717,2.4525,2.4525,2.4525,2.4525,61,0
20080718,2.4525,2.4525,2.4525,2.4525,670,0
20080721,2.4427,2.4427,2.3264,2.3264,854,0
20080723,2.3264,2.4136,2.3264,2.4136,6135,0
20080724,2.4621,2.4717,2.4525,2.4525,2808,0
20080725,2.4233,2.4525,2.3748,2.4525,4005,0
20080728,2.4621,2.4621,2.3652,2.3652,7221,0
