Date,Open,High,Low,Close,Volume,OpenInt
19990111,0.39,0.39,0.39,0.39,325875,0
19990112,0.38,0.38,0.38,0.38,266651,0
19990113,0.34,0.34,0.34,0.34,25402,0
19990114,0.31,0.31,0.31,0.31,33446,0
19990115,0.28,0.28,0.28,0.28,31753,0
19990118,0.31,0.31,0.31,0.31,30130,0
19990119,0.31,0.31,0.31,0.31,28295,0
19990120,0.3,0.3,0.3,0.3,14112,0
19990121,0.29,0.29,0.29,0.29,76724,0
19990122,0.28,0.28,0.28,0.28,24485,0
19990125,0.28,0.28,0.28,0.28,11031,0
19990126,0.29,0.29,0.29,0.29,28436,0
19990127,0.3,0.3,0.3,0.3,23638,0
19990128,0.3,0.3,0.3,0.3,3528,0
19990129,0.3,0.3,0.3,0.3,7056,0
19990201,0.27,0.27,0.27,0.27,17923,0
19990202,0.29,0.29,0.29,0.29,16535,0
19990203,0.29,0.29,0.29,0.29,31118,0
19990204,0.28,0.28,0.28,0.28,5574,0
19990205,0.26,0.26,0.26,0.26,17687,0
19990208,0.26,0.26,0.26,0.26,35422,0
19990209,0.27,0.27,0.27,0.27,7338,0
19990210,0.27,0.27,0.27,0.27,7056,0
19990211,0.28,0.28,0.28,0.28,4163,0
19990212,0.27,0.27,0.27,0.27,7668,0
19990215,0.27,0.27,0.27,0.27,19451,0
19990216,0.27,0.27,0.27,0.27,13595,0
19990217,0.27,0.27,0.27,0.27,25120,0
19990218,0.27,0.27,0.27,0.27,2752,0
19990219,0.27,0.27,0.27,0.27,62259,0
19990222,0.27,0.27,0.27,0.27,127951,0
19990223,0.27,0.27,0.27,0.27,61012,0
19990224,0.27,0.27,0.27,0.27,24979,0
19990225,0.27,0.27,0.27,0.27,14559,0
19990226,0.27,0.27,0.27,0.27,6986,0
19990301,0.27,0.27,0.27,0.27,42454,0
19990302,0.26,0.26,0.26,0.26,41561,0
19990303,0.27,0.27,0.27,0.27,27942,0
19990304,0.27,0.27,0.27,0.27,17593,0
19990305,0.28,0.28,0.28,0.28,176403,0
19990308,0.29,0.29,0.29,0.29,49017,0
19990309,0.3,0.3,0.3,0.3,208508,0
19990310,0.3,0.3,0.3,0.3,162879,0
19990311,0.31,0.31,0.31,0.31,112216,0
19990312,0.34,0.34,0.34,0.34,145027,0
19990315,0.37,0.37,0.37,0.37,219728,0
19990316,0.35,0.35,0.35,0.35,349419,0
19990317,0.36,0.36,0.36,0.36,238568,0
