Date,Open,High,Low,Close,Volume,OpenInt
19981104,3.1823,3.1823,2.0295,2.0295,15613,0
19981105,2.6085,2.6085,2.6085,2.6085,36142,0
19981106,2.7129,2.7129,2.259,2.5512,8109,0
19981109,2.0868,2.0868,2.0868,2.0868,6729,0
19981110,2.0868,2.5773,2.0868,2.1755,6210,0
19981112,2.0868,2.1442,2.0868,2.1442,2588,0
19981116,2.259,2.259,2.0868,2.0868,6088,0
19981117,2.0868,2.0868,2.0868,2.0868,2537,0
19981119,2.1755,2.2328,2.0295,2.0295,15973,0
19981120,1.7373,1.7373,1.7373,1.7373,516,0
19981123,1.7373,1.7373,1.7373,1.7373,864,0
19981124,1.7373,1.7373,1.7373,1.7373,259,0
19981126,1.7112,1.7112,1.6799,1.6799,1001,0
19981127,1.7373,1.7373,1.6799,1.7373,6815,0
19981130,1.6538,1.6538,1.6538,1.6538,345,0
19981203,1.6538,1.6538,1.6538,1.6538,864,0
19981208,1.6277,1.6277,1.4816,1.5651,16389,0
19981209,2.1442,2.1442,2.1442,2.1442,172,0
19981210,1.4503,1.4503,1.3356,1.3356,4140,0
19981211,1.1895,1.3356,1.1582,1.3356,11265,0
19981217,1.4503,1.4503,1.4503,1.4503,259,0
19981218,1.4503,1.4503,1.4503,1.4503,1415,0
19981222,1.5077,1.5077,1.5077,1.5077,3449,0
19981223,1.5651,1.6226,1.4816,1.4816,5537,0
19981229,1.5077,1.5077,1.5077,1.5077,778,0
19981231,1.5651,1.5651,1.5651,1.5651,551,0
19990105,1.393,1.393,1.393,1.393,172,0
19990107,1.4503,1.4503,1.4503,1.4503,864,0
19990108,1.2886,1.732,1.2886,1.732,31829,0
19990111,1.7373,1.7373,1.5703,1.5703,42265,0
19990112,1.8573,1.8834,1.7373,1.8834,7555,0
19990115,2.0242,2.0295,1.8573,1.9147,21564,0
19990118,1.8939,1.9824,1.8939,1.9513,9487,0
19990119,2.0242,2.0242,2.0242,2.0242,688,0
19990120,2.2017,2.2017,2.2017,2.2017,1725,0
19990121,2.3164,2.3164,2.3164,2.3164,864,0
19990125,2.2017,2.2017,2.2017,2.2017,34675,0
19990126,2.2017,2.259,2.2017,2.259,1036,0
19990129,2.0295,2.0295,1.9773,1.9773,31829,0
19990202,2.3164,2.3164,2.259,2.259,1552,0
19990204,2.2017,2.2852,2.2017,2.2328,8090,0
19990208,2.2017,2.2017,2.2017,2.2017,1725,0
19990210,2.2017,2.2017,2.2017,2.2017,172,0
19990211,2.2017,2.2017,2.2017,2.2017,864,0
19990212,2.2328,2.259,2.2328,2.2328,2244,0
19990216,2.2328,2.2328,2.2017,2.2017,1173,0
19990217,2.2328,2.2328,2.2017,2.2017,3449,0
19990218,2.2068,2.2068,2.0033,2.0033,950,0
19990222,2.2225,2.2225,2.212,2.212,2069,0
19990226,2.2225,2.2225,2.2225,2.2225,516,0
19990301,2.2328,2.2328,2.2328,2.2328,1536,0
19990302,2.2902,2.2902,2.2328,2.2328,1915,0
19990303,2.2328,2.2328,2.2328,2.2328,811,0
19990304,2.2068,2.2068,2.2068,2.2068,1725,0
19990310,2.2328,2.2328,2.2328,2.2328,1725,0
19990311,2.1442,2.1442,2.1182,2.1442,7762,0
19990312,2.1442,2.1442,2.1442,2.1442,1725,0
19990315,2.1442,2.2902,2.1442,2.2276,104799,0
19990316,2.1442,2.1442,2.1182,2.1182,12594,0
19990319,2.1233,2.1233,2.1233,2.1233,864,0
19990322,2.1442,2.1442,2.1442,2.1442,3449,0
19990323,2.1442,2.1442,2.1442,2.1442,5520,0
19990324,2.1182,2.1442,2.1182,2.1442,31829,0
19990330,2.0295,2.0295,2.0295,2.0295,1380,0
19990331,2.0295,2.0295,2.0295,2.0295,864,0
19990401,2.0295,2.0295,2.0295,2.0295,6037,0
19990407,1.9981,1.9981,1.9981,1.9981,1552,0
19990412,2.0295,2.1442,2.0295,2.1442,10350,0
19990413,2.0295,2.1442,2.0295,2.1442,18632,0
19990414,2.1442,2.2017,2.1338,2.2017,16561,0
19990415,2.1964,2.2017,2.1964,2.2017,4399,0
19990416,2.259,2.3164,2.259,2.3164,3969,0
19990419,2.3686,2.379,2.3686,2.3686,7935,0
19990420,2.3164,2.3686,2.3164,2.3164,6416,0
19990421,2.379,2.379,2.3686,2.3686,3449,0
19990422,2.379,2.379,2.379,2.379,2656,0
19990423,2.379,2.4051,2.3164,2.4051,11093,0
19990426,2.379,2.4051,2.332,2.4051,9316,0
19990427,2.4051,2.4364,2.4051,2.4364,4209,0
19990428,2.4364,2.4364,2.4364,2.4364,3312,0
19990429,2.4364,2.4939,2.4364,2.4364,12731,0
19990430,2.4939,2.6085,2.4939,2.6085,2416,0
19990504,2.6085,3.7564,2.6085,3.7564,21923,0
19990505,3.8867,6.4432,3.8867,6.3126,54338,0
19990506,6.9648,6.9648,5.7909,6.0779,41928,0
19990507,6.2605,6.2605,5.7388,6.0519,14211,0
19990510,6.0257,6.0257,5.4258,5.4258,8546,0
19990511,5.3214,5.7388,4.6954,5.3996,7940,0
19990512,5.2953,5.4258,5.2171,5.3214,10112,0
19990513,5.4519,5.765,5.4258,5.5562,20578,0
19990514,5.5823,5.9736,5.5562,5.7388,23806,0
19990517,5.765,6.2866,5.765,5.9214,16380,0
19990518,6.3649,6.9648,6.3387,6.8345,17974,0
19990519,6.2084,8.5821,6.2084,8.556,32412,0
19990520,7.5387,10.147,7.5387,9.2864,45314,0
19990521,9.573,9.912,8.3995,9.13,23151,0
19990524,9.156,9.3907,9.0517,9.0517,13166,0
19990525,8.9735,8.9735,8.243,8.4517,22767,0
19990526,8.7647,8.7647,8.1126,8.3995,12082,0
19990527,8.5821,9.156,8.5821,8.6343,9993,0
19990528,8.4517,8.9735,8.4517,8.7647,8580,0
19990531,8.8169,8.8691,8.7647,8.8691,3449,0
19990601,8.9212,9.0517,8.8691,9.0517,15717,0
19990602,9.0517,9.573,9.0517,9.573,12393,0
19990607,9.86,10.486,9.86,9.965,19108,0
19990608,10.095,10.382,9.2864,9.86,24051,0
19990609,10.017,10.147,9.73,10.147,7830,0
19990610,10.199,10.252,10.017,10.147,8020,0
19990611,10.147,10.147,10.147,10.147,8780,0
19990614,9.86,10.147,9.86,9.86,7501,0
19990615,10.121,10.121,9.443,9.443,14501,0
19990616,9.4951,9.4951,8.8691,9.0255,11803,0
19990617,8.9735,9.3907,8.9735,9.3907,3504,0
19990618,9.3907,9.756,9.3907,9.73,13673,0
19990621,9.86,9.86,9.834,9.834,3273,0
19990622,9.86,9.86,9.469,9.469,5007,0
19990623,9.3907,9.3907,8.9735,8.9735,6046,0
19990624,8.9735,9.3386,8.9735,9.2864,4911,0
19990625,9.2864,9.2864,9.2864,9.2864,3273,0
19990628,9.0517,9.2864,9.0517,9.156,4831,0
19990629,8.6864,9.2864,8.6864,9.1038,24248,0
19990630,9.1038,9.1038,8.6343,8.6343,7643,0
19990701,8.7647,8.8429,8.4517,8.5821,6208,0
19990702,8.6864,8.6864,8.3995,8.3995,5954,0
19990705,8.4517,8.7907,8.4517,8.6864,1745,0
19990706,8.6864,8.8169,8.6343,8.6864,6388,0
