Date,Open,High,Low,Close,Volume,OpenInt
20071009,3.7,3.7,3.25,3.6,32068,0
20071010,3.59,3.59,3.42,3.5,26087,0
20071011,3.42,3.65,3.42,3.65,8509,0
20071012,3.65,3.7,3.5,3.65,19469,0
20071015,3.55,3.73,3.55,3.7,18820,0
20071016,3.72,3.73,3.61,3.7,46250,0
20071017,3.66,3.7,3.6,3.6,25660,0
20071018,3.51,3.68,3.51,3.65,1623,0
20071019,3.53,3.7,3.53,3.65,4180,0
20071022,3.51,3.65,3.51,3.6,5160,0
20071023,3.56,3.6,3.55,3.6,4500,0
20071024,3.55,3.68,3.55,3.67,3600,0
20071025,3.52,3.79,3.52,3.79,22477,0
20071026,3.77,3.78,3.65,3.7,1350,0
20071029,3.65,3.74,3.65,3.74,1300,0
20071030,3.65,3.7,3.65,3.7,5300,0
20071031,3.65,3.75,3.6,3.75,3242,0
20071102,3.6,4,3.6,3.96,1319,0
20071105,3.95,3.95,3.85,3.85,542,0
20071106,3.66,3.85,3.66,3.85,1238,0
20071107,3.65,3.65,3.6,3.6,2163,0
20071108,3.6,3.75,3.6,3.75,442,0
20071109,3.65,3.65,3.65,3.65,100,0
20071112,3.63,3.63,3.63,3.63,1515,0
20071113,3.63,3.7,3.5,3.5,9440,0
20071114,3.51,3.51,3.51,3.51,100,0
20071115,3.55,3.65,3.45,3.45,6110,0
20071116,3.55,3.7,3.55,3.7,300,0
20071119,3.55,3.7,3.55,3.7,2902,0
20071120,3.61,3.61,3.6,3.6,4200,0
20071121,3.56,3.6,3.55,3.6,2000,0
20071122,3.78,3.78,3.78,3.78,100,0
20071123,3.65,3.65,3.65,3.65,200,0
20071126,3.65,3.65,3.65,3.65,100,0
20071127,3.69,3.69,3.69,3.69,50,0
20071128,3.65,3.7,3.65,3.7,856,0
20071129,3.65,3.65,3.65,3.65,200,0
20071130,3.6,3.65,3.6,3.65,2425,0
20071203,3.7,3.7,3.65,3.65,3502,0
20071204,3.79,3.79,3.79,3.79,100,0
20071205,3.96,3.96,3.96,3.96,100,0
20071206,3.7,4,3.7,4,6325,0
20071207,4.19,4.5,4.19,4.45,7480,0
20071210,4,4,4,4,11950,0
20071211,4.07,4.37,3.73,4.19,3370,0
20071212,4.1,4.1,4.1,4.1,231,0
20071213,4.08,4.08,4.08,4.08,122,0
20071214,3.9,4.03,3.7,4.03,948,0
20071217,4.06,4.06,3.62,3.62,110,0
20071218,3.7,3.7,3.7,3.7,130,0
20071219,3.98,3.98,3.98,3.98,90,0
20071220,4.1,4.1,4.1,4.1,100,0
20071221,4.08,4.08,4.07,4.07,500,0
20071227,4.1,4.1,4,4,134,0
20071228,4.09,4.09,3.61,4.04,648,0
20080102,4.03,4.03,4.03,4.03,217,0
20080103,3.91,3.91,3.9,3.9,280,0
20080104,3.99,3.99,3.99,3.99,100,0
20080107,3.9,3.9,3.56,3.56,1574,0
20080108,3.9,3.9,3.9,3.9,200,0
20080109,3.85,3.85,3.85,3.85,100,0
20080110,3.85,3.85,3.85,3.85,100,0
20080111,3.8,3.8,3.8,3.8,100,0
20080114,3.8,3.8,3.8,3.8,800,0
20080115,3.8,3.8,3.8,3.8,100,0
20080116,3.55,3.55,3.55,3.55,420,0
20080117,3.55,3.55,3.55,3.55,509,0
20080118,3.55,3.88,3.4,3.88,240,0
20080121,3.87,3.95,3.87,3.95,370,0
20080123,3.8,3.8,3.8,3.8,100,0
20080124,3.88,3.88,3.88,3.88,100,0
20080125,4.09,4.47,3.51,3.51,4174,0
20080128,3.6,3.6,3.3,3.6,2324,0
20080129,3.79,3.79,3.79,3.79,125,0
20080130,3.79,3.79,3.79,3.79,100,0
20080131,3.68,3.68,3.68,3.68,100,0
20080201,3.68,3.68,3.68,3.68,50,0
20080204,3.68,3.68,3.68,3.68,74,0
20080205,3.68,3.8,3.68,3.8,3250,0
20080206,3.9,3.9,3.9,3.9,100,0
20080208,3.51,3.51,3.51,3.51,774,0
20080211,3.7,3.7,3.7,3.7,50,0
20080212,3.7,3.7,3.69,3.69,130,0
20080213,3.69,3.69,3.69,3.69,300,0
20080214,3.84,3.84,3.84,3.84,50,0
20080218,3.84,3.84,3.84,3.84,50,0
20080219,3.84,3.84,3.84,3.84,584,0
20080220,3.4,3.84,3.4,3.84,15327,0
20080221,3.8,3.94,3.8,3.94,1052,0
20080222,3.94,3.94,3.42,3.42,26,0
20080225,3.42,3.89,3.42,3.8,1124,0
