Date,Open,High,Low,Close,Volume,OpenInt
19970116,3.9715,3.9715,3.9715,3.9715,2008395,0
19970117,4.3325,4.3325,4.3325,4.3325,1669186,0
19970120,4.116,4.116,4.116,4.116,949031,0
19970121,3.9715,3.9715,3.9715,3.9715,605206,0
19970122,4.0074,4.0074,4.0074,4.0074,462629,0
19970123,4.116,4.116,4.116,4.116,476085,0
19970124,4.116,4.116,4.116,4.116,404168,0
19970127,4.116,4.116,4.116,4.116,763278,0
19970128,4.0434,4.0434,4.0434,4.0434,480883,0
19970129,3.8989,3.8989,3.8989,3.8989,232485,0
19970130,3.8629,3.8629,3.8629,3.8629,263645,0
19970131,3.8269,3.8269,3.8269,3.8269,269137,0
19970203,3.9715,3.9715,3.9715,3.9715,381613,0
19970204,4.0434,4.0434,4.0434,4.0434,437223,0
19970205,3.9715,3.9715,3.9715,3.9715,222587,0
19970206,4.0793,4.0793,4.0793,4.0793,161157,0
19970207,4.152,4.152,4.152,4.152,280826,0
19970210,4.1879,4.1879,4.1879,4.1879,309095,0
19970211,4.1879,4.1879,4.1879,4.1879,197350,0
19970212,4.2966,4.2966,4.2966,4.2966,748084,0
19970213,4.3684,4.3684,4.3684,4.3684,434478,0
19970214,4.585,4.585,4.585,4.585,473039,0
19970217,4.6208,4.6208,4.6208,4.6208,429429,0
19970218,4.9459,4.9459,4.9459,4.9459,508067,0
19970219,4.9824,4.9824,4.9824,4.9824,712832,0
19970220,4.6935,4.6935,4.6935,4.6935,257066,0
19970221,4.7295,4.7295,4.7295,4.7295,501948,0
19970224,4.585,4.585,4.585,4.585,216677,0
19970225,4.5129,4.5129,4.5129,4.5129,282852,0
19970226,4.585,4.585,4.585,4.585,524098,0
19970227,4.4044,4.4044,4.4044,4.4044,449071,0
19970228,4.4771,4.4771,4.4771,4.4771,522032,0
19970303,4.4771,4.4771,4.4771,4.4771,167080,0
19970304,4.4771,4.4771,4.4771,4.4771,144853,0
19970305,4.5129,4.5129,4.5129,4.5129,162975,0
19970306,4.6576,4.6576,4.6576,4.6576,160491,0
19970307,4.7653,4.7653,4.7653,4.7653,244671,0
19970310,4.6208,4.6208,4.6208,4.6208,118911,0
19970311,4.5129,4.5129,4.5129,4.5129,429771,0
19970312,4.4403,4.4403,4.4403,4.4403,248385,0
19970313,4.4044,4.4044,4.4044,4.4044,195024,0
19970314,4.2966,4.2966,4.2966,4.2966,313867,0
19970317,4.2599,4.2599,4.2599,4.2599,76400,0
19970318,4.3684,4.3684,4.3684,4.3684,181751,0
19970319,4.4403,4.4403,4.4403,4.4403,258402,0
19970320,4.4771,4.4771,4.4771,4.4771,398597,0
19970321,4.4771,4.4771,4.4771,4.4771,98500,0
19970324,4.5489,4.5489,4.5489,4.5489,199822,0
19970325,4.6576,4.6576,4.6576,4.6576,172625,0
19970326,4.7653,4.7653,4.7653,4.7653,478844,0
19970327,4.7653,4.7653,4.7653,4.7653,433196,0
19970401,4.5129,4.5129,4.5129,4.5129,718495,0
19970402,4.585,4.585,4.585,4.585,312535,0
19970403,4.585,4.585,4.585,4.585,204019,0
19970404,4.6208,4.6208,4.6208,4.6208,121721,0
19970407,4.7653,4.7653,4.7653,4.7653,216009,0
19970408,4.874,4.874,4.874,4.874,206190,0
19970409,5.0184,5.0184,5.0184,5.0184,479942,0
19970410,5.1264,5.1264,5.1264,5.1264,508420,0
19970411,5.0184,5.0184,5.0184,5.0184,89568,0
19970414,4.8021,4.8021,4.8021,4.8021,204189,0
19970415,4.9459,4.9459,4.9459,4.9459,116543,0
19970416,5.0544,5.0544,5.0544,5.0544,138681,0
19970417,5.0544,5.0544,5.0544,5.0544,238108,0
19970418,4.9099,4.9099,4.9099,4.9099,162819,0
19970421,5.0903,5.0903,5.0903,5.0903,66791,0
19970422,5.0544,5.0544,5.0544,5.0544,97923,0
19970423,5.199,5.199,5.199,5.199,217933,0
19970424,5.199,5.199,5.199,5.199,139726,0
19970425,4.9099,4.9099,4.9099,4.9099,64044,0
19970428,4.7653,4.7653,4.7653,4.7653,49308,0
19970429,4.838,4.838,4.838,4.838,46287,0
