Date,Open,High,Low,Close,Volume,OpenInt
20041220,0.43473,0.43473,0.4101,0.41837,116152865,0
20041221,0.41837,0.41837,0.41837,0.41837,10800000,0
20041222,0.42655,0.43473,0.42655,0.43473,32707991,0
20041223,0.43473,0.45118,0.43473,0.45118,39940942,0
20041224,0.45118,0.45118,0.45118,0.45118,4567454,0
20041227,0.45118,0.46754,0.45118,0.45936,37510869,0
20041228,0.45936,0.45936,0.45936,0.45936,13009407,0
20041229,0.45936,0.46754,0.45936,0.45936,8973666,0
20041230,0.45936,0.45936,0.45118,0.45118,9024983,0
20041231,0.45118,0.45118,0.45118,0.45118,1832366,0
20050103,0.45118,0.45936,0.45118,0.45936,16635967,0
20050104,0.45936,0.45936,0.45118,0.45118,11441279,0
20050105,0.45118,0.45118,0.43473,0.45118,17883862,0
20050106,0.44291,0.45118,0.44291,0.44291,15478009,0
20050107,0.44291,0.45118,0.44291,0.44291,6835651,0
20050110,0.44291,0.44291,0.4101,0.43473,17734415,0
20050111,0.43473,0.43473,0.42655,0.43473,6149898,0
20050112,0.42655,0.43473,0.41837,0.42655,5407698,0
20050113,0.42655,0.43473,0.42655,0.42655,5817330,0
20050114,0.42655,0.42655,0.41837,0.42655,3380688,0
20050117,0.41837,0.42655,0.41837,0.41837,3199640,0
20050118,0.41837,0.41837,0.4101,0.4101,5039299,0
20050119,0.40192,0.41837,0.40192,0.41837,4378034,0
20050120,0.41837,0.41837,0.4101,0.4101,2421787,0
20050121,0.4101,0.41837,0.4101,0.41837,2077425,0
20050124,0.4101,0.41837,0.4101,0.41837,4891651,0
20050125,0.41837,0.42655,0.41837,0.42655,7330003,0
20050126,0.42655,0.42655,0.41837,0.41837,4320865,0
20050127,0.41837,0.42655,0.41837,0.41837,14337610,0
20050128,0.41837,0.42655,0.41837,0.42655,16799370,0
20050131,0.42655,0.43473,0.41837,0.43473,13241233,0
20050201,0.43473,0.43473,0.42655,0.43473,5316949,0
20050202,0.43473,0.44291,0.43473,0.44291,12730498,0
20050203,0.44291,0.44291,0.43473,0.44291,7135629,0
20050204,0.43473,0.43473,0.43473,0.43473,6298807,0
20050207,0.43473,0.44291,0.43473,0.43473,5133559,0
20050208,0.43473,0.43473,0.43473,0.43473,16174116,0
20050209,0.43473,0.44291,0.43473,0.43473,9737295,0
20050210,0.43473,0.44291,0.43473,0.44291,8730227,0
20050211,0.44291,0.44291,0.44291,0.44291,9325591,0
