Date,Open,High,Low,Close,Volume,OpenInt
20051124,6.7216,6.7404,6.7122,6.7216,31053,0
20051125,6.731,6.7404,6.731,6.731,8723,0
20051128,6.6558,6.7592,6.6465,6.6558,11387,0
20051129,6.684,6.731,6.684,6.684,362,0
20051130,6.6652,6.6934,6.6652,6.6652,6395,0
20051201,6.637,6.7028,6.637,6.637,2879,0
20051202,6.6088,6.6088,6.5618,6.6088,2715,0
20051205,6.5618,6.5618,6.543,6.5618,744,0
20051206,6.5054,6.5806,6.5054,6.5054,1702,0
20051207,6.496,6.5524,6.496,6.496,5984,0
20051208,6.5147,6.543,6.5054,6.5147,6840,0
20051209,6.543,6.5618,6.402,6.543,13533,0
20051212,6.3644,6.4302,6.3268,6.3644,7265,0
20051213,6.3268,6.3926,6.3268,6.3268,4893,0
20051214,6.1763,6.2986,5.979,6.1763,9499,0
20051215,6.2045,6.3456,6.2045,6.2045,12109,0
20051216,6.2045,6.2515,6.2045,6.2045,5051,0
20051219,6.4396,6.5147,6.2704,6.4396,200599,0
20051220,6.3456,6.4396,6.3362,6.3456,1904,0
20051221,6.4302,6.5054,6.3926,6.4302,306566,0
20051222,6.3644,6.4584,6.3456,6.3644,2212,0
20051223,6.3362,6.3738,6.3174,6.3362,5659,0
20051227,6.3831,6.3831,6.3738,6.3831,426,0
20051228,6.449,6.449,6.449,6.449,531,0
20060103,6.4113,6.449,6.4113,6.4113,255,0
20060104,6.3644,6.402,6.3644,6.3644,50867,0
20060105,6.3079,6.3926,6.3079,6.3079,24411,0
20060106,6.3738,6.3738,6.3268,6.3738,2638,0
20060109,6.355,6.355,6.261,6.355,77399,0
20060110,6.3831,6.3831,6.3174,6.3831,3728,0
20060111,6.4584,6.4866,6.3738,6.4584,24874,0
20060112,6.543,6.5618,6.5054,6.543,225575,0
20060113,6.5242,6.5242,6.5242,6.5242,4297,0
20060116,6.543,6.5618,6.5242,6.543,7468,0
20060117,6.637,6.6465,6.5994,6.637,12475,0
20060118,6.6652,6.6746,6.637,6.6652,14711,0
20060119,6.6558,6.6746,6.6276,6.6558,96938,0
20060120,6.6276,6.6465,6.6182,6.6276,51746,0
20060123,6.6465,6.6465,6.6088,6.6465,52385,0
20060124,6.637,6.6558,6.6088,6.637,16915,0
20060125,6.6276,6.6276,6.6088,6.6276,7569,0
20060126,6.6465,6.6652,6.6276,6.6465,7363,0
20060127,6.6746,6.684,6.6558,6.6746,17560,0
20060130,6.6746,6.7686,6.6746,6.6746,23339,0
20060131,6.7968,6.7968,6.7028,6.7968,94429,0
20060201,6.825,6.9002,6.7874,6.825,137947,0
20060202,6.919,6.919,6.8533,6.919,17526,0
20060203,6.9284,6.9284,6.8533,6.9284,15081,0
20060206,6.8626,6.9567,6.825,6.8626,45277,0
20060207,6.9378,6.966,6.9002,6.9378,48263,0
20060208,6.9754,6.9849,6.9754,6.9754,3298,0
20060209,6.919,6.919,6.9002,6.919,46375,0
20060210,6.919,6.919,6.8815,6.919,60734,0
20060213,7.0036,7.0224,6.9378,7.0036,63300,0
20060214,7.0131,7.0131,6.9284,7.0131,19307,0
20060215,7.0131,7.0413,6.9942,7.0131,26945,0
20060216,7.0695,7.1165,6.9378,7.0695,1083153,0
20060217,7.0788,7.0976,6.9942,7.0788,12775,0
20060220,7.154,7.1917,7.1353,7.154,43828,0
20060221,7.2481,7.2481,7.1917,7.2481,94795,0
20060222,7.3515,7.3515,7.2292,7.3515,9246,0
20060223,7.2387,7.3233,7.1917,7.2387,22738,0
20060224,7.2481,7.2856,7.154,7.2481,183313,0
20060227,7.2951,7.2951,7.1447,7.2951,33560,0
20060228,7.2951,7.3421,7.2951,7.2951,58299,0
20060301,7.3138,7.3233,7.2574,7.3138,32008,0
20060302,7.2856,7.3138,7.2763,7.2856,6505,0
20060306,7.4831,7.5489,7.4079,7.4831,48458,0
20060307,7.6429,7.6523,7.5206,7.6429,136933,0
20060308,7.8215,7.8215,7.6899,7.8215,62610,0
20060309,7.6241,7.7651,7.6241,7.6241,14962,0
20060310,7.6523,7.7275,7.5959,7.6523,39836,0
20060313,7.7181,7.7181,7.6805,7.7181,62900,0
20060314,7.6147,7.6523,7.5771,7.6147,8548,0
20060315,7.5865,7.6711,7.5771,7.5865,56648,0
20060316,7.6053,7.6053,7.5771,7.6053,4713,0
20060317,7.5865,7.6053,7.5771,7.5865,664,0
20060320,7.6053,7.6617,7.5959,7.6053,27276,0
20060321,7.6429,7.6523,7.6147,7.6429,88915,0
20060322,7.5865,7.6523,7.5865,7.5865,18067,0
20060323,7.5489,7.5865,7.5489,7.5489,11297,0
20060324,7.5301,7.5583,7.4455,7.5301,20987,0
20060327,7.6617,7.6711,7.6241,7.6617,1526,0
20060328,7.6241,7.6523,7.6241,7.6241,751,0
20060329,7.6899,7.7275,7.6523,7.6899,44079,0
20060330,7.6899,7.6993,7.6523,7.6899,45677,0
20060331,7.6617,7.6617,7.6429,7.6617,1132,0
20060403,7.6993,7.6993,7.6429,7.6993,4180,0
20060404,7.8215,7.8215,7.7463,7.8215,205566,0
