Date,Open,High,Low,Close,Volume,OpenInt
20000426,1.1516,1.1516,1.1516,1.1516,881970,0
20000427,1.0959,1.0959,1.0959,1.0959,287246,0
20000428,1.0773,1.0773,1.0773,1.0773,246612,0
20000504,1.0402,1.0402,1.0402,1.0402,174917,0
20000505,1.0215,1.0215,1.0215,1.0215,73538,0
20000508,0.9938,0.9938,0.9938,0.9938,56721,0
20000509,0.938,0.938,0.938,0.938,72516,0
20000510,0.9195,0.9195,0.9195,0.9195,114296,0
20000511,0.9102,0.9102,0.9102,0.9102,81048,0
20000512,0.9195,0.9195,0.9195,0.9195,121273,0
20000515,0.9195,0.9195,0.9195,0.9195,93467,0
20000516,0.9474,0.9474,0.9474,0.9474,52875,0
20000517,0.9843,0.9843,0.9843,0.9843,75383,0
20000518,1.0029,1.0029,1.0029,1.0029,21240,0
20000519,1.0309,1.0309,1.0309,1.0309,71885,0
20000522,1.0124,1.0124,1.0124,1.0124,78493,0
20000523,0.9659,0.9659,0.9659,0.9659,69030,0
20000524,0.9195,0.9195,0.9195,0.9195,84059,0
20000525,0.9287,0.9287,0.9287,0.9287,30693,0
20000526,0.9474,0.9474,0.9474,0.9474,6109,0
20000529,0.9474,0.9474,0.9474,0.9474,78650,0
20000530,0.9474,0.9474,0.9474,0.9474,36215,0
20000531,0.9659,0.9659,0.9659,0.9659,33192,0
20000601,0.9566,0.9566,0.9566,0.9566,29159,0
20000602,0.9659,0.9659,0.9659,0.9659,42868,0
20000605,0.9566,0.9566,0.9566,0.9566,64207,0
20000606,0.9474,0.9474,0.9474,0.9474,25782,0
20000607,0.938,0.938,0.938,0.938,27771,0
20000608,0.9474,0.9474,0.9474,0.9474,44434,0
20000609,0.938,0.938,0.938,0.938,13052,0
20000612,0.9195,0.9195,0.9195,0.9195,41845,0
20000613,0.8916,0.8916,0.8916,0.8916,129059,0
20000614,0.9474,0.9474,0.9474,0.9474,56654,0
20000615,0.9195,0.9195,0.9195,0.9195,21638,0
20000616,0.9195,0.9195,0.9195,0.9195,22716,0
20000619,0.9287,0.9287,0.9287,0.9287,13329,0
