Date,Open,High,Low,Close,Volume,OpenInt
19970806,21.182,21.182,21.182,21.182,26935,0
19970807,21.182,21.182,21.182,21.182,34394,0
19970808,22.286,22.286,22.286,22.286,19276,0
19970811,22.87,22.87,22.87,22.87,47257,0
19970812,21.943,21.943,21.943,21.943,4256,0
19970813,22.703,22.703,22.703,22.703,15017,0
19970814,21.266,21.266,21.266,21.266,9970,0
19970818,21.182,21.182,21.182,21.182,6374,0
19970819,20.505,20.505,20.505,20.505,5585,0
19970820,21.015,21.015,21.015,21.015,3927,0
19970821,20.923,20.923,20.923,20.923,4875,0
19970822,20.329,20.329,20.329,20.329,2483,0
19970825,20.505,20.505,20.505,20.505,6705,0
19970826,20.245,20.245,20.245,20.245,13560,0
19970827,19.235,19.235,19.235,19.235,7167,0
19970828,19.912,19.912,19.912,19.912,23052,0
19970829,19.912,19.912,19.912,19.912,6445,0
19970901,19.912,19.912,19.912,19.912,8238,0
19970902,19.485,19.485,19.485,19.485,2316,0
19970903,19.912,19.912,19.912,19.912,8195,0
19970904,19.912,19.912,19.912,19.912,6100,0
19970905,19.485,19.485,19.485,19.485,5902,0
19970908,19.485,19.485,19.485,19.485,3265,0
19970909,19.912,19.912,19.912,19.912,6861,0
19970910,19.828,19.828,19.828,19.828,3770,0
19970911,19.235,19.235,19.235,19.235,6499,0
19970912,19.318,19.318,19.318,19.318,4212,0
19970915,19.235,19.235,19.235,19.235,22777,0
19970916,19.318,19.318,19.318,19.318,9426,0
19970917,17.454,17.454,17.454,17.454,3480,0
19970918,17.37,17.37,17.37,17.37,28623,0
19970919,17.454,17.454,17.454,17.454,4717,0
19970922,17.788,17.788,17.788,17.788,2802,0
19970923,18.381,18.381,18.381,18.381,4347,0
19970924,18.214,18.214,18.214,18.214,2805,0
19970925,17.788,17.788,17.788,17.788,2947,0
19970926,17.37,17.37,17.37,17.37,6181,0
19970929,17.37,17.37,17.37,17.37,3057,0
19970930,17.37,17.37,17.37,17.37,4366,0
19971001,17.704,17.704,17.704,17.704,4429,0
19971002,17.788,17.788,17.788,17.788,8486,0
19971003,17.537,17.537,17.537,17.537,9124,0
19971006,17.37,17.37,17.37,17.37,10273,0
19971007,17.194,17.194,17.194,17.194,5959,0
19971008,16.944,16.944,16.944,16.944,26157,0
19971009,17.37,17.37,17.37,17.37,14807,0
19971010,17.537,17.537,17.537,17.537,11457,0
19971013,17.788,17.788,17.788,17.788,2995,0
19971014,18.298,18.298,18.298,18.298,8657,0
19971015,18.641,18.641,18.641,18.641,8745,0
19971016,19.058,19.058,19.058,19.058,14621,0
19971017,19.485,19.485,19.485,19.485,22455,0
19971020,19.485,19.485,19.485,19.485,14458,0
19971021,20.422,20.422,20.422,20.422,27052,0
19971022,21.433,21.433,21.433,21.433,47162,0
19971023,21.182,21.182,21.182,21.182,27652,0
19971024,20.923,20.923,20.923,20.923,49603,0
19971027,19.828,19.828,19.828,19.828,20570,0
19971028,17.881,17.881,17.881,17.881,0,0
19971029,19.318,19.318,19.318,19.318,42808,0
19971030,19.151,19.151,19.151,19.151,27037,0
19971031,19.569,19.569,19.569,19.569,10314,0
19971103,20.329,20.329,20.329,20.329,4758,0
19971104,21.182,21.182,21.182,21.182,41681,0
19971105,21.182,21.182,21.182,21.182,30497,0
19971106,20.505,20.505,20.505,20.505,6905,0
19971107,20.329,20.329,20.329,20.329,7735,0
19971112,19.652,19.652,19.652,19.652,14451,0
19971113,19.652,19.652,19.652,19.652,15675,0
19971114,19.995,19.995,19.995,19.995,12117,0
19971117,20.329,20.329,20.329,20.329,14142,0
19971118,20.672,20.672,20.672,20.672,22704,0
19971119,19.735,19.735,19.735,19.735,2159,0
19971120,20.329,20.329,20.329,20.329,10780,0
19971121,20.672,20.672,20.672,20.672,22850,0
19971124,20.756,20.756,20.756,20.756,19851,0
19971125,20.329,20.329,20.329,20.329,25524,0
19971126,20.505,20.505,20.505,20.505,14857,0
19971127,20.162,20.162,20.162,20.162,9818,0
19971128,20.329,20.329,20.329,20.329,9582,0
19971201,20.589,20.589,20.589,20.589,10407,0
19971202,21.015,21.015,21.015,21.015,17329,0
19971203,20.923,20.923,20.923,20.923,18996,0
19971204,21.015,21.015,21.015,21.015,10006,0
19971205,21.182,21.182,21.182,21.182,39508,0
19971208,21.266,21.266,21.266,21.266,14301,0
19971209,21.182,21.182,21.182,21.182,19291,0
19971210,20.672,20.672,20.672,20.672,11008,0
19971211,20.079,20.079,20.079,20.079,16079,0
19971212,20.079,20.079,20.079,20.079,13476,0
19971215,20.756,20.756,20.756,20.756,4742,0
19971216,21.182,21.182,21.182,21.182,16053,0
19971217,21.182,21.182,21.182,21.182,15013,0
19971218,20.589,20.589,20.589,20.589,4303,0
19971219,20.422,20.422,20.422,20.422,4650,0
19971222,19.995,19.995,19.995,19.995,6484,0
19971223,19.912,19.912,19.912,19.912,3770,0
19971229,20.422,20.422,20.422,20.422,4933,0
19971230,20.839,20.839,20.839,20.839,17852,0
19971231,20.923,20.923,20.923,20.923,10616,0
19980105,21.099,21.099,21.099,21.099,10837,0
19980106,20.505,20.505,20.505,20.505,4344,0
19980107,19.652,19.652,19.652,19.652,4500,0
19980108,19.912,19.912,19.912,19.912,5312,0
19980109,19.735,19.735,19.735,19.735,5700,0
19980112,18.808,18.808,18.808,18.808,2888,0
19980113,19.151,19.151,19.151,19.151,37175,0
19980114,19.569,19.569,19.569,19.569,2115,0
19980115,19.235,19.235,19.235,19.235,1421,0
19980116,19.569,19.569,19.569,19.569,14139,0
19980119,19.995,19.995,19.995,19.995,19767,0
19980120,19.995,19.995,19.995,19.995,16844,0
19980121,20.329,20.329,20.329,20.329,3948,0
19980122,19.569,19.569,19.569,19.569,3963,0
19980123,19.569,19.569,19.569,19.569,1191,0
19980126,19.828,19.828,19.828,19.828,1193,0
19980127,19.995,19.995,19.995,19.995,2743,0
19980128,20.329,20.329,20.329,20.329,6567,0
19980129,20.329,20.329,20.329,20.329,5917,0
19980130,19.485,19.485,19.485,19.485,3476,0
19980202,18.975,18.975,18.975,18.975,15631,0
19980203,19.735,19.735,19.735,19.735,4738,0
19980204,19.735,19.735,19.735,19.735,5174,0
19980205,19.735,19.735,19.735,19.735,5083,0
19980206,19.735,19.735,19.735,19.735,11804,0
19980209,20.162,20.162,20.162,20.162,15302,0
19980210,20.329,20.329,20.329,20.329,8743,0
19980211,19.828,19.828,19.828,19.828,3378,0
19980212,19.569,19.569,19.569,19.569,4632,0
19980213,19.235,19.235,19.235,19.235,3911,0
19980216,20.162,20.162,20.162,20.162,19695,0
19980217,20.329,20.329,20.329,20.329,31416,0
19980218,20.589,20.589,20.589,20.589,23499,0
19980219,20.839,20.839,20.839,20.839,37667,0
19980220,20.839,20.839,20.839,20.839,28162,0
19980223,20.923,20.923,20.923,20.923,10015,0
19980224,21.015,21.015,21.015,21.015,41126,0
19980225,20.672,20.672,20.672,20.672,27001,0
19980226,21.015,21.015,21.015,21.015,19528,0
19980227,21.182,21.182,21.182,21.182,61223,0
19980302,22.453,22.453,22.453,22.453,30125,0
19980303,22.787,22.787,22.787,22.787,22785,0
19980304,22.62,22.62,22.62,22.62,17126,0
19980305,22.453,22.453,22.453,22.453,17470,0
19980306,22.026,22.026,22.026,22.026,16232,0
19980309,22.286,22.286,22.286,22.286,10941,0
19980310,22.453,22.453,22.453,22.453,18582,0
19980311,21.182,21.182,21.182,21.182,4969,0
19980312,21.599,21.599,21.599,21.599,5159,0
19980313,22.026,22.026,22.026,22.026,4858,0
19980316,21.266,21.266,21.266,21.266,66479,0
19980317,22.026,22.026,22.026,22.026,13070,0
19980318,21.266,21.266,21.266,21.266,4226,0
