Date,Open,High,Low,Close,Volume,OpenInt
19981014,2.84,2.84,2.84,2.84,9360,0
19981015,2.572,2.572,2.572,2.572,0,0
19981016,2.322,2.322,2.322,2.322,0,0
19981019,2.304,2.304,2.304,2.304,730,0
19981020,2.322,2.322,2.322,2.322,12445,0
19981021,2.456,2.456,2.456,2.456,4005,0
19981022,2.226,2.226,2.226,2.226,11475,0
19981023,2.188,2.188,2.188,2.188,4935,0
19981026,2.304,2.304,2.304,2.304,12860,0
19981027,2.304,2.304,2.304,2.304,2525,0
19981028,2.246,2.246,2.246,2.246,4135,0
19981029,2.208,2.208,2.208,2.208,1015,0
19981030,2.4,2.4,2.4,2.4,2450,0
19981102,2.36,2.36,2.36,2.36,1200,0
19981103,2.4,2.4,2.4,2.4,1250,0
19981104,2.4,2.4,2.4,2.4,17930,0
19981105,2.38,2.38,2.38,2.38,1315,0
19981106,2.456,2.456,2.456,2.456,5730,0
19981109,2.456,2.456,2.456,2.456,5260,0
19981110,2.322,2.322,2.322,2.322,2600,0
19981112,2.322,2.322,2.322,2.322,1040,0
19981113,2.264,2.264,2.264,2.264,1560,0
19981116,2.304,2.304,2.304,2.304,4790,0
19981117,2.188,2.188,2.188,2.188,5570,0
19981118,2.208,2.208,2.208,2.208,1820,0
19981119,2.112,2.112,2.112,2.112,3735,0
19981120,2.15,2.15,2.15,2.15,10430,0
19981123,2.226,2.226,2.226,2.226,5730,0
19981124,2.112,2.112,2.112,2.112,9895,0
19981125,1.996,1.996,1.996,1.996,3645,0
19981126,1.958,1.958,1.958,1.958,1470,0
19981127,2.034,2.034,2.034,2.034,5065,0
19981130,2.168,2.168,2.168,2.168,10695,0
19981201,2.016,2.016,2.016,2.016,2860,0
19981202,2.072,2.072,2.072,2.072,1560,0
19981203,2.072,2.072,2.072,2.072,155,0
19981204,2.072,2.072,2.072,2.072,6250,0
19981207,2.054,2.054,2.054,2.054,1325,0
19981208,2.054,2.054,2.054,2.054,3070,0
19981209,2.016,2.016,2.016,2.016,3645,0
19981210,2.072,2.072,2.072,2.072,2600,0
19981211,1.996,1.996,1.996,1.996,3650,0
19981214,1.938,1.938,1.938,1.938,7655,0
19981215,1.746,1.746,1.746,1.746,1560,0
19981216,1.9,1.9,1.9,1.9,3125,0
19981217,1.9,1.9,1.9,1.9,2600,0
19981218,1.718,1.718,1.718,1.718,3125,0
19981221,1.88,1.88,1.88,1.88,520,0
19981222,1.92,1.92,1.92,1.92,2035,0
19981223,1.92,1.92,1.92,1.92,1265,0
19981228,1.88,1.88,1.88,1.88,520,0
19981229,1.92,1.92,1.92,1.92,1040,0
19981230,1.92,1.92,1.92,1.92,1300,0
19981231,1.824,1.824,1.824,1.824,2600,0
19990104,1.824,1.824,1.824,1.824,520,0
19990105,1.824,1.824,1.824,1.824,3125,0
19990106,1.91,1.91,1.91,1.91,15880,0
19990107,1.91,1.91,1.91,1.91,2600,0
19990108,1.91,1.91,1.91,1.91,840,0
19990111,1.88,1.88,1.88,1.88,2600,0
19990112,1.766,1.766,1.766,1.766,11585,0
19990113,1.766,1.766,1.766,1.766,2160,0
19990114,1.728,1.728,1.728,1.728,28810,0
19990115,1.728,1.728,1.728,1.728,9125,0
19990118,1.804,1.804,1.804,1.804,9490,0
19990119,1.804,1.804,1.804,1.804,6330,0
19990120,1.776,1.776,1.776,1.776,1560,0
19990121,1.632,1.632,1.632,1.632,5205,0
19990122,1.708,1.708,1.708,1.708,520,0
19990125,1.698,1.698,1.698,1.698,3795,0
19990126,1.698,1.698,1.698,1.698,8415,0
19990127,1.708,1.708,1.708,1.708,2690,0
19990128,1.67,1.67,1.67,1.67,520,0
19990129,1.67,1.67,1.67,1.67,3750,0
19990201,1.728,1.728,1.728,1.728,1050,0
19990202,1.708,1.708,1.708,1.708,285,0
19990203,1.708,1.708,1.708,1.708,1405,0
19990204,1.728,1.728,1.728,1.728,60,0
19990205,1.708,1.708,1.708,1.708,1255,0
19990208,1.65,1.65,1.65,1.65,14590,0
19990209,1.66,1.66,1.66,1.66,57130,0
19990210,1.728,1.728,1.728,1.728,1190,0
19990211,1.728,1.728,1.728,1.728,520,0
19990212,1.708,1.708,1.708,1.708,2600,0
19990215,1.69,1.69,1.69,1.69,805,0
19990216,1.718,1.718,1.718,1.718,490,0
19990217,1.728,1.728,1.728,1.728,13545,0
19990218,1.698,1.698,1.698,1.698,2080,0
19990219,1.708,1.708,1.708,1.708,3125,0
19990222,1.68,1.68,1.68,1.68,7980,0
19990223,1.632,1.632,1.632,1.632,8210,0
19990224,1.612,1.612,1.612,1.612,3645,0
19990225,1.594,1.594,1.594,1.594,3490,0
19990226,1.44,1.44,1.44,1.44,45860,0
19990301,1.344,1.344,1.344,1.344,58690,0
19990302,1.402,1.402,1.402,1.402,6300,0
19990303,1.402,1.402,1.402,1.402,4120,0
19990304,1.354,1.354,1.354,1.354,3785,0
19990305,1.382,1.382,1.382,1.382,5615,0
19990308,1.382,1.382,1.382,1.382,4675,0
19990309,1.402,1.402,1.402,1.402,11435,0
19990310,1.41,1.41,1.41,1.41,985,0
19990311,1.44,1.44,1.44,1.44,15595,0
19990312,1.45,1.45,1.45,1.45,2080,0
19990315,1.458,1.458,1.458,1.458,11425,0
19990316,1.382,1.382,1.382,1.382,16300,0
19990317,1.382,1.382,1.382,1.382,21515,0
19990318,1.402,1.402,1.402,1.402,6250,0
19990319,1.362,1.362,1.362,1.362,5205,0
19990322,1.362,1.362,1.362,1.362,13440,0
19990323,1.344,1.344,1.344,1.344,27285,0
19990324,1.344,1.344,1.344,1.344,7985,0
19990325,1.344,1.344,1.344,1.344,6615,0
19990326,1.362,1.362,1.362,1.362,5735,0
19990329,1.372,1.372,1.372,1.372,4850,0
19990330,1.372,1.372,1.372,1.372,15785,0
19990331,1.382,1.382,1.382,1.382,2080,0
19990401,1.372,1.372,1.372,1.372,1195,0
19990406,1.402,1.402,1.402,1.402,6085,0
19990407,1.402,1.402,1.402,1.402,2430,0
19990408,1.41,1.41,1.41,1.41,2435,0
19990409,1.41,1.41,1.41,1.41,3490,0
19990412,1.41,1.41,1.41,1.41,17425,0
19990413,1.41,1.41,1.41,1.41,4685,0
19990414,1.41,1.41,1.41,1.41,15635,0
19990415,1.41,1.41,1.41,1.41,2455,0
19990416,1.41,1.41,1.41,1.41,4925,0
19990419,1.402,1.402,1.402,1.402,4945,0
19990420,1.402,1.402,1.402,1.402,5215,0
19990421,1.536,1.536,1.536,1.536,9020,0
19990422,1.69,1.69,1.69,1.69,51460,0
19990423,1.632,1.632,1.632,1.632,15115,0
19990426,1.67,1.67,1.67,1.67,20635,0
19990427,1.65,1.65,1.65,1.65,7450,0
19990428,1.67,1.67,1.67,1.67,10155,0
19990429,1.65,1.65,1.65,1.65,16700,0
19990430,1.65,1.65,1.65,1.65,16590,0
19990504,1.69,1.69,1.69,1.69,14685,0
19990505,1.718,1.718,1.718,1.718,9325,0
19990506,1.738,1.738,1.738,1.738,42865,0
19990507,1.746,1.746,1.746,1.746,26645,0
19990510,1.92,1.92,1.92,1.92,56760,0
19990511,1.92,1.92,1.92,1.92,44345,0
19990512,1.92,1.92,1.92,1.92,14380,0
19990513,1.824,1.824,1.824,1.824,12460,0
19990514,1.842,1.842,1.842,1.842,8145,0
19990517,1.88,1.88,1.88,1.88,33330,0
19990518,1.862,1.862,1.862,1.862,20160,0
19990519,1.862,1.862,1.862,1.862,23620,0
19990520,1.92,1.92,1.92,1.92,5325,0
19990521,1.89,1.89,1.89,1.89,23945,0
19990524,1.92,1.92,1.92,1.92,72180,0
19990525,1.9,1.9,1.9,1.9,15105,0
19990526,1.92,1.92,1.92,1.92,17940,0
19990527,1.92,1.92,1.92,1.92,14820,0
19990528,1.9,1.9,1.9,1.9,14975,0
19990531,1.91,1.91,1.91,1.91,14065,0
19990601,1.89,1.89,1.89,1.89,15690,0
19990602,1.9,1.9,1.9,1.9,7395,0
19990607,1.92,1.92,1.92,1.92,23180,0
19990608,1.91,1.91,1.91,1.91,26750,0
19990609,1.92,1.92,1.92,1.92,44350,0
19990610,2.016,2.016,2.016,2.016,18475,0
19990611,2.054,2.054,2.054,2.054,15485,0
19990614,1.92,1.92,1.92,1.92,33860,0
19990615,1.976,1.976,1.976,1.976,7145,0
19990616,1.976,1.976,1.976,1.976,17555,0
19990617,1.92,1.92,1.92,1.92,13740,0
19990618,1.938,1.938,1.938,1.938,13695,0
19990621,1.958,1.958,1.958,1.958,16150,0
19990622,1.996,1.996,1.996,1.996,22375,0
19990623,1.92,1.92,1.92,1.92,27255,0
19990624,1.976,1.976,1.976,1.976,5205,0
19990625,1.958,1.958,1.958,1.958,10385,0
19990628,1.958,1.958,1.958,1.958,17125,0
19990629,1.958,1.958,1.958,1.958,16430,0
19990630,1.958,1.958,1.958,1.958,13505,0
19990701,1.976,1.976,1.976,1.976,6250,0
19990702,1.958,1.958,1.958,1.958,8020,0
19990705,2.016,2.016,2.016,2.016,13085,0
19990706,2.016,2.016,2.016,2.016,5095,0
19990707,2.016,2.016,2.016,2.016,24360,0
19990708,2.072,2.072,2.072,2.072,20865,0
19990709,2.112,2.112,2.112,2.112,18265,0
19990712,2.208,2.208,2.208,2.208,35765,0
19990713,2.284,2.284,2.284,2.284,30135,0
19990714,2.13,2.13,2.13,2.13,11585,0
19990715,2.208,2.208,2.208,2.208,33385,0
19990716,2.208,2.208,2.208,2.208,4910,0
19990719,2.246,2.246,2.246,2.246,7130,0
19990720,2.284,2.284,2.284,2.284,23385,0
19990721,2.208,2.208,2.208,2.208,16065,0
19990722,2.188,2.188,2.188,2.188,11445,0
19990723,2.15,2.15,2.15,2.15,9965,0
19990726,2.208,2.208,2.208,2.208,35155,0
19990727,2.168,2.168,2.168,2.168,31065,0
19990728,2.112,2.112,2.112,2.112,259115,0
19990729,2.112,2.112,2.112,2.112,90400,0
19990730,2.112,2.112,2.112,2.112,12050,0
19990802,2.072,2.072,2.072,2.072,29715,0
19990803,2.072,2.072,2.072,2.072,32910,0
19990804,2.112,2.112,2.112,2.112,53335,0
19990805,2.072,2.072,2.072,2.072,13020,0
19990806,2.072,2.072,2.072,2.072,40395,0
19990809,2.072,2.072,2.072,2.072,1140,0
19990810,2.092,2.092,2.092,2.092,5080,0
19990811,2.054,2.054,2.054,2.054,25185,0
19990812,2.034,2.034,2.034,2.034,26860,0
19990813,2.034,2.034,2.034,2.034,16415,0
19990816,2.034,2.034,2.034,2.034,2080,0
19990817,2.054,2.054,2.054,2.054,2600,0
19990818,2.092,2.092,2.092,2.092,15625,0
19990819,2.112,2.112,2.112,2.112,46180,0
19990820,2.15,2.15,2.15,2.15,12875,0
19990823,2.13,2.13,2.13,2.13,13380,0
19990824,2.13,2.13,2.13,2.13,15840,0
19990825,2.112,2.112,2.112,2.112,32820,0
19990826,2.112,2.112,2.112,2.112,46130,0
19990827,2.112,2.112,2.112,2.112,19015,0
19990830,2.13,2.13,2.13,2.13,1345,0
19990831,2.092,2.092,2.092,2.092,6355,0
19990901,2.092,2.092,2.092,2.092,260,0
19990902,2.112,2.112,2.112,2.112,1925,0
19990903,2.092,2.092,2.092,2.092,28755,0
19990906,2.112,2.112,2.112,2.112,4425,0
19990907,2.112,2.112,2.112,2.112,37105,0
19990908,2.092,2.092,2.092,2.092,32300,0
19990909,2.092,2.092,2.092,2.092,16670,0
19990910,2.072,2.072,2.072,2.072,5345,0
19990913,2.072,2.072,2.072,2.072,10335,0
19990914,2.072,2.072,2.072,2.072,5990,0
19990915,1.872,1.872,1.872,1.872,3645,0
19990916,1.92,1.92,1.92,1.92,3445,0
19990917,2.016,2.016,2.016,2.016,780,0
19990920,2.016,2.016,2.016,2.016,26080,0
19990921,1.976,1.976,1.976,1.976,18495,0
19990922,1.958,1.958,1.958,1.958,30215,0
19990923,1.786,1.786,1.786,1.786,23980,0
19990924,1.824,1.824,1.824,1.824,19645,0
19990927,1.824,1.824,1.824,1.824,2080,0
19990928,1.824,1.824,1.824,1.824,765,0
19990929,1.786,1.786,1.786,1.786,5205,0
19990930,1.786,1.786,1.786,1.786,20185,0
19991001,1.766,1.766,1.766,1.766,12325,0
19991004,1.728,1.728,1.728,1.728,1550,0
19991005,1.766,1.766,1.766,1.766,2070,0
19991006,1.824,1.824,1.824,1.824,20145,0
19991007,1.824,1.824,1.824,1.824,3020,0
19991008,1.842,1.842,1.842,1.842,12440,0
19991011,1.88,1.88,1.88,1.88,5470,0
19991012,1.92,1.92,1.92,1.92,2600,0
19991013,1.862,1.862,1.862,1.862,7610,0
19991014,1.92,1.92,1.92,1.92,14325,0
19991015,1.92,1.92,1.92,1.92,5205,0
19991018,1.88,1.88,1.88,1.88,2600,0
19991019,1.842,1.842,1.842,1.842,5650,0
19991020,1.824,1.824,1.824,1.824,5730,0
19991021,1.92,1.92,1.92,1.92,31655,0
19991022,1.9,1.9,1.9,1.9,33365,0
19991025,1.9,1.9,1.9,1.9,19485,0
19991026,1.88,1.88,1.88,1.88,1615,0
19991027,1.862,1.862,1.862,1.862,520,0
19991028,1.88,1.88,1.88,1.88,5205,0
19991029,1.862,1.862,1.862,1.862,4685,0
19991102,1.88,1.88,1.88,1.88,3125,0
19991103,1.862,1.862,1.862,1.862,4400,0
19991104,1.872,1.872,1.872,1.872,8335,0
19991105,1.862,1.862,1.862,1.862,5470,0
19991108,1.804,1.804,1.804,1.804,8660,0
19991109,1.824,1.824,1.824,1.824,6875,0
19991110,1.842,1.842,1.842,1.842,465,0
19991115,1.862,1.862,1.862,1.862,6510,0
19991116,1.862,1.862,1.862,1.862,415,0
19991117,1.91,1.91,1.91,1.91,1195,0
19991118,1.88,1.88,1.88,1.88,7775,0
19991119,1.92,1.92,1.92,1.92,6375,0
19991122,1.938,1.938,1.938,1.938,23535,0
19991123,1.958,1.958,1.958,1.958,14800,0
19991124,2.016,2.016,2.016,2.016,33535,0
