Date,Open,High,Low,Close,Volume,OpenInt
20071205,38.711,40.646,37.743,37.839,4727,0
20071206,39.34,39.34,37.792,39.001,1138,0
20071207,39.049,39.049,38.711,39.04,742,0
20071210,39.291,39.291,38.226,39.098,210,0
20071211,39.243,40.646,39.243,40.646,279,0
20071212,40.646,42.679,40.646,42.679,449,0
20071213,44.13,44.13,44.13,44.13,24,0
20071214,46.743,46.936,42.582,44.13,1414,0
20071217,43.937,43.937,42.292,43.549,331,0
20071218,43.549,43.549,43.549,43.549,10,0
20071219,44.421,44.421,42.582,42.582,139,0
20071220,42.292,42.292,40.937,41.033,1188,0
20071221,40.694,42.679,40.694,42.679,134,0
20071227,42.582,44.034,42.582,44.034,197,0
20071228,44.421,44.421,44.421,44.421,1,0
20080102,44.517,44.517,44.421,44.421,223,0
20080103,43.549,43.549,42.582,43.549,485,0
20080107,40.985,43.065,40.985,43.065,631,0
20080109,42.001,42.098,41.614,42.098,1187,0
20080110,42.098,42.098,42.098,42.098,734,0
20080111,42.098,42.098,42.098,42.098,91,0
20080115,41.13,42.098,41.13,41.13,116,0
20080116,38.711,38.711,37.259,37.259,362,0
20080117,38.711,38.711,36.775,36.775,239,0
20080118,37.646,38.226,37.646,38.226,8185,0
20080121,38.226,38.226,38.226,38.226,311,0
20080122,37.743,37.743,37.743,37.743,1159,0
20080123,37.743,39.678,37.743,39.678,5346,0
20080124,40.646,41.13,39.195,40.163,7021,0
20080125,39.678,40.163,39.678,40.163,2201,0
20080128,40.163,40.646,40.163,40.646,775,0
20080129,41.12,41.614,41.12,41.614,713,0
20080130,41.605,41.807,41.605,41.759,574,0
20080131,42.098,42.098,40.065,41.614,1557,0
20080201,42.098,42.582,42.098,42.582,1111,0
20080204,43.53,43.549,42.582,42.582,3973,0
20080205,43.065,43.54,42.582,43.54,8021,0
20080206,42.582,43.54,42.582,42.582,1375,0
20080207,42.969,42.969,42.969,42.969,154,0
20080208,42.95,42.969,41.13,42.582,9508,0
20080211,42.572,42.572,42.572,42.572,10,0
20080212,41.807,41.807,41.807,41.807,48,0
20080213,40.646,43.549,40.646,43.549,16843,0
20080214,43.549,44.468,43.549,43.549,3807,0
20080215,42.592,43.54,42.582,43.54,1240,0
20080218,42.679,44.517,42.098,44.507,3082,0
20080219,43.549,44.468,43.452,43.549,2893,0
20080220,43.791,43.84,43.791,43.84,1205,0
20080221,44.488,44.517,44.488,44.517,2370,0
