Date,Open,High,Low,Close,Volume,OpenInt
20051020,7.8276,9.122,7.3961,7.4732,758028,0
20051021,7.9355,8.4594,7.8584,8.0587,191489,0
20051024,8.2745,8.5672,8.0896,8.3206,169196,0
20051025,8.4748,8.4748,7.8892,7.9663,41859,0
20051026,7.9201,7.9817,7.5964,7.689,77820,0
20051027,7.5811,7.5811,7.3807,7.5503,29652,0
20051028,7.3961,7.5348,7.2729,7.4732,30444,0
20051031,7.4732,8.0433,7.4732,7.6736,29029,0
20051102,7.6736,7.843,7.5503,7.689,18672,0
20051103,7.8892,7.8892,7.5503,7.6274,19242,0
20051104,7.6274,7.6274,7.242,7.4732,8040,0
20051107,7.35,7.3654,7.1959,7.3654,18878,0
20051108,7.2113,7.35,7.1959,7.2266,13603,0
20051109,7.1034,7.165,6.9338,7.0572,13355,0
20051110,7.0572,7.4578,6.6565,7.0419,27731,0
20051114,7.0725,7.0725,6.4409,6.8415,27997,0
20051115,6.8261,7.6428,6.5179,7.6428,74263,0
20051116,7.4578,7.5195,7.1342,7.3654,12863,0
20051117,7.3961,7.7814,7.242,7.5811,53807,0
20051118,7.6274,7.6428,7.3037,7.3191,14973,0
20051121,7.3961,7.5041,7.242,7.242,38400,0
20051122,7.242,7.2575,7.0572,7.242,40230,0
20051123,7.2266,7.242,7.0264,7.242,13816,0
20051124,7.242,7.3191,7.165,7.2266,21183,0
20051125,7.3037,7.3037,7.1342,7.2266,4186,0
20051128,7.165,7.3037,7.1034,7.1804,4115,0
20051129,7.242,7.242,7.0264,7.0264,6335,0
20051130,7.1188,7.1188,6.9648,6.9648,733,0
20051201,6.8569,7.088,6.8106,7.0419,7879,0
20051202,6.8569,7.1342,6.8569,7.088,26530,0
20051205,6.9955,7.0109,6.7798,6.9338,16283,0
20051206,6.9648,7.0419,6.9493,7.0109,2661,0
20051207,7.0109,7.6274,6.9032,7.3654,52100,0
20051208,7.3191,7.5964,7.2266,7.3654,25784,0
20051209,7.3191,7.4116,7.1959,7.1959,14558,0
20051212,7.35,7.4578,7.242,7.3654,23474,0
20051213,7.427,7.427,7.3191,7.3191,14973,0
20051214,7.4578,7.7044,7.3191,7.5041,24109,0
20051215,7.5348,7.8276,7.5348,7.7044,60232,0
20051216,7.7044,8.0896,7.7044,8.0433,67417,0
20051219,8.0125,8.0125,7.9355,7.9972,12117,0
20051220,7.9046,7.9355,7.8584,7.9046,13245,0
20051221,7.7659,7.8584,7.7044,7.8584,20469,0
20051222,7.7351,7.7814,7.7044,7.7814,18821,0
20051223,7.7814,7.8276,7.7814,7.7814,3083,0
20051227,7.8584,7.8739,7.7968,7.8739,7762,0
20051228,7.8739,7.9509,7.8739,7.9509,14063,0
20051229,8.0125,8.0433,7.9817,8.0125,23811,0
20051230,7.9817,8.0125,7.9509,8.0125,15933,0
20060102,7.9817,7.9817,7.7044,7.8584,16549,0
20060103,7.7506,8.0896,7.7506,8.0896,72894,0
20060104,8.0125,8.0279,7.8739,7.9355,16756,0
20060105,8.0279,8.0279,7.7506,7.8584,9819,0
20060106,7.8123,7.9817,7.7968,7.8584,26875,0
20060109,7.9817,7.9817,7.7506,7.843,7294,0
20060110,7.8584,7.8892,7.7814,7.7814,28070,0
20060111,7.7968,7.8739,7.7968,7.8739,24298,0
20060112,7.8276,7.9817,7.8276,7.8892,5886,0
20060113,7.9355,8.2436,7.8584,8.2436,54138,0
20060116,8.3053,8.3361,8.0896,8.3361,17671,0
